,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2015-02-28,0,2,1.0
2015-03-01,2,3,-0.5
2015-03-02,0,11,1.875
2015-03-03,1,15,4.9375
2015-03-04,10,8,-0.2890625
2015-03-05,34,10,9.59765625
2015-03-06,8,5,-1.8486328125
2015-03-07,0,5,-4.49267578125
2015-03-08,0,1,-1.710357666015625
2015-03-09,8,17,1.9705352783203125
2015-03-10,14,16,4.79217529296875
2015-03-11,1,13,4.593475341796875
2015-03-12,20,11,-2.963134765625
2015-03-13,4,12,1.5499114990234375
2015-03-14,0,13,-3.989349365234375
2015-03-15,0,2,-0.4715423583984375
2015-03-16,10,24,1.63232421875
2015-03-17,15,19,3.761016845703125
2015-03-18,6,21,1.0948638916015625
2015-03-19,9,17,-0.8216400146484375
2015-03-20,10,16,3.1374359130859375
2015-03-21,1,12,-4.1226043701171875
2015-03-22,0,8,-1.4290618896484375
2015-03-23,12,31,3.186614990234375
2015-03-24,38,23,0.4341888427734375
2015-03-25,5,44,1.5825653076171875
2015-03-26,12,138,2.07269287109375
2015-03-27,6,42,-2.5342559814453125
2015-03-28,0,12,-1.7128448486328125
2015-03-29,0,21,-0.823272705078125
2015-03-30,14,28,-0.4931640625
2015-03-31,10,50,-0.3585205078125
2015-04-01,4,51,0.722747802734375
2015-04-02,3,30,-0.6861724853515625
2015-04-03,11,33,-0.250213623046875
2015-04-04,0,12,-0.1301422119140625
2015-04-05,0,2,-0.0499725341796875
2015-04-06,6,9,0.97265625
2015-04-07,2,19,1.4794921875
2015-04-08,12,35,-1.14111328125
2015-04-09,7,19,1.674407958984375
2015-04-10,0,20,-0.1749725341796875
2015-04-11,1,11,-0.85546875
2015-04-12,0,3,-0.3251953125
2015-04-13,1,7,-0.19775390625
2015-04-14,6,11,2.860931396484375
2015-04-15,2,12,-0.6054534912109375
2015-04-16,7,12,-0.949554443359375
2015-04-17,5,16,-0.35479736328125
2015-04-18,0,8,-0.214599609375
2015-04-19,0,6,-0.1320037841796875
2015-04-20,36,14,0.9111328125
2015-04-21,2,30,2.43115234375
2015-04-22,18,24,-1.680389404296875
2015-04-23,5,23,-0.4833221435546875
2015-04-24,17,17,-0.2374725341796875
2015-04-25,0,5,-0.14453125
2015-04-26,0,5,-0.1025390625
2015-04-27,3,9,1.92236328125
2015-04-28,7,17,2.938568115234375
2015-04-29,7,12,-2.3001861572265625
2015-04-30,3,18,-0.6577301025390625
2015-05-01,0,5,-0.328125
2015-05-02,0,12,-0.2109375
2015-05-03,0,5,-0.150390625
2015-05-04,5,8,0.8857421875
2015-05-05,7,19,-0.59063720703125
2015-05-06,0,15,-0.199188232421875
2015-05-07,2,25,-0.10614013671875
2015-05-08,6,13,-0.0390625
2015-05-09,0,0,-0.02734375
2015-05-10,0,3,-0.0205078125
2015-05-11,11,4,-0.01611328125
2015-05-12,4,0,0.986907958984375
2015-05-13,8,50,2.4890899658203125
2015-05-14,8,36,2.375
2015-05-15,11,21,-1.4375
2015-05-16,0,5,-1.2265625
2015-05-17,0,2,-0.51953125
2015-05-18,11,13,2.6787109375
2015-05-19,13,2,7.27392578125
2015-05-20,6,9,-4.045806884765625
2015-05-21,8,6,3.0523529052734375
2015-05-22,6,13,-3.4058990478515625
2015-05-23,0,7,-0.177825927734375
2015-05-24,0,1,-1.1700897216796875
2015-05-25,14,4,-0.58056640625
2015-05-26,5,14,4.595977783203125
2015-05-27,11,9,6.1917266845703125
2015-05-28,4,25,6.6558074951171875
2015-05-29,9,20,-5.5343780517578125
2015-05-30,0,8,-3.3284759521484375
2015-05-31,1,10,-1.501373291015625
2015-06-01,7,13,2.0467071533203125
2015-06-02,11,18,7.82861328125
2015-06-03,9,24,4.113739013671875
2015-06-04,3,7,9.155746459960938
2015-06-05,2,9,-6.2797088623046875
2015-06-06,0,5,-5.2547607421875
2015-06-07,0,5,-2.247406005859375
2015-06-08,4,9,7.59814453125
2015-06-09,3,17,4.500762939453125
2015-06-10,3,10,5.1127166748046875
2015-06-11,11,20,4.607635498046875
2015-06-12,4,42,-4.359588623046875
2015-06-13,0,3,-2.7386474609375
2015-06-14,0,0,-3.90789794921875
2015-06-15,10,17,3.12646484375
2015-06-16,3,9,6.236663818359375
2015-06-17,19,11,3.4320220947265625
2015-06-18,33,11,4.777252197265625
2015-06-19,1,14,-4.513519287109375
2015-06-20,0,7,-4.9079742431640625
2015-06-21,0,1,-2.1104278564453125
2015-06-22,0,19,8.689437866210938
2015-06-23,2,13,5.083953857421875
2015-06-24,2,17,2.5479278564453125
2015-06-25,9,22,5.484588623046875
2015-06-26,14,6,1.841217041015625
2015-06-27,0,4,-8.63641357421875
2015-06-28,0,1,-3.12762451171875
2015-06-29,9,4,-0.85546875
2015-06-30,5,13,0.20159912109375
2015-07-01,9,11,-0.10662841796875
2015-07-02,4,7,-0.9984893798828125
2015-07-03,4,9,-1.37060546875
2015-07-04,0,0,-0.6413116455078125
2015-07-05,0,1,-0.3358306884765625
2015-07-06,22,10,7.84912109375
2015-07-07,18,15,-3.113677978515625
2015-07-08,6,16,2.4101715087890625
2015-07-09,10,15,-0.689117431640625
2015-07-10,9,17,0.090087890625
2015-07-11,0,0,-1.7687225341796875
2015-07-12,0,0,-0.72265625
2015-07-13,6,12,-0.4619140625
2015-07-14,11,19,0.664306640625
2015-07-15,23,17,-0.760528564453125
2015-07-16,17,10,7.7384796142578125
2015-07-17,4,14,13.83544921875
2015-07-18,0,1,-2.087066650390625
2015-07-19,0,0,-6.799163818359375
2015-07-20,12,8,7.5419921875
2015-07-21,6,17,27.56201171875
2015-07-22,10,9,9.768157958984375
2015-07-23,6,12,10.897293090820312
2015-07-24,14,15,-0.199462890625
2015-07-25,0,4,-12.74090576171875
2015-07-26,0,0,-10.256195068359375
2015-07-27,11,22,13.9254150390625
2015-07-28,12,11,2.14447021484375
2015-07-29,8,11,4.631805419921875
2015-07-30,10,13,17.5721435546875
2015-07-31,11,6,-7.5044708251953125
2015-08-01,0,6,-9.265884399414062
2015-08-02,0,4,-5.344940185546875
2015-08-03,25,7,12.332489013671875
2015-08-04,12,9,6.805450439453125
2015-08-05,1,4,-0.0750579833984375
2015-08-06,6,8,5.8476715087890625
2015-08-07,13,16,26.148422241210938
2015-08-08,0,4,-17.219345092773438
2015-08-09,0,0,-11.012557983398438
2015-08-10,5,8,21.955078125
2015-08-11,8,17,33.273193359375
2015-08-12,7,9,-19.694076538085938
2015-08-13,11,18,14.9307861328125
2015-08-14,4,19,-4.6910552978515625
2015-08-15,0,5,-16.437759399414062
2015-08-16,0,1,-6.8677215576171875
2015-08-17,0,10,21.928024291992188
2015-08-18,6,8,4.130889892578125
2015-08-19,2,15,13.543502807617188
2015-08-20,1,21,5.85345458984375
2015-08-21,1,20,-2.6773223876953125
2015-08-22,0,3,-6.60455322265625
2015-08-23,1,0,-10.648361206054688
2015-08-24,4,2,16.1748046875
2015-08-25,7,29,35.30511474609375
2015-08-26,3,17,13.512603759765625
2015-08-27,6,14,-6.549041748046875
2015-08-28,18,6,2.6269073486328125
2015-08-29,0,1,-10.3270263671875
2015-08-30,0,3,-7.8784942626953125
2015-08-31,5,14,14.507766723632812
2015-09-01,12,21,-2.016632080078125
2015-09-02,8,13,6.9560394287109375
2015-09-03,12,15,12.592880249023438
2015-09-04,26,19,3.4241790771484375
2015-09-05,3,5,-15.069122314453125
2015-09-06,0,7,-8.048599243164062
2015-09-07,7,8,-4.0999298095703125
2015-09-08,0,15,5.342498779296875
2015-09-09,8,17,5.108673095703125
2015-09-10,11,13,3.2660064697265625
2015-09-11,6,10,11.793563842773438
2015-09-12,1,9,-12.844467163085938
2015-09-13,1,1,-4.940673828125
2015-09-14,7,14,8.508209228515625
2015-09-15,6,26,-3.1260528564453125
2015-09-16,7,33,24.443527221679688
2015-09-17,7,12,7.4058380126953125
2015-09-18,21,22,7.04840087890625
2015-09-19,1,7,-7.691497802734375
2015-09-20,0,6,-10.209976196289062
2015-09-21,6,7,8.749343872070312
2015-09-22,0,25,17.853057861328125
2015-09-23,5,29,14.008773803710938
2015-09-24,5,35,4.010284423828125
2015-09-25,10,18,18.453384399414062
2015-09-26,0,5,-15.9842529296875
2015-09-27,0,0,-11.71160888671875
2015-09-28,5,3,-3.1251220703125
2015-09-29,11,14,16.901504516601562
2015-09-30,17,12,19.123260498046875
2015-10-01,22,29,18.82635498046875
2015-10-02,5,24,-11.69586181640625
2015-10-03,0,7,-3.04473876953125
2015-10-04,0,2,-13.993820190429688
2015-10-05,11,24,19.232803344726562
2015-10-06,6,20,18.922317504882812
2015-10-07,7,18,-11.157333374023438
2015-10-08,6,22,9.180328369140625
2015-10-09,18,30,4.5687713623046875
2015-10-10,1,9,-6.3726806640625
2015-10-11,0,0,-8.798355102539062
2015-10-12,10,24,17.435562133789062
2015-10-13,12,35,9.497329711914062
2015-10-14,17,40,0.070709228515625
2015-10-15,20,9,3.781768798828125
2015-10-16,12,27,0.8413238525390625
2015-10-17,0,5,-10.725067138671875
