,apache/avro,protocolbuffers/protobuf,apache/thrift
2013-05-09,5,0.0,1
2013-05-10,0,0.0,5
2013-05-11,0,1.0,3
2013-05-12,0,1.6,1
2013-05-13,0,-0.9199999999999998,2
2013-05-14,0,-0.304,1
2013-05-15,1,-0.16960000000000006,0
2013-05-16,1,0.886848,5
2013-05-17,0,-0.48286719999999994,0
2013-05-18,0,-0.18429696,1
2013-05-19,0,-0.11589683199999998,0
2013-05-20,0,-0.08470958080000003,0
2013-05-21,1,-0.05554831360000001,0
2013-05-22,0,-0.022963200000000007,0
2013-05-23,0,-0.018370559999999994,0
2013-05-24,2,-0.015155711999999993,0
2013-05-25,0,2.9872018432,0
2013-05-26,0,-1.1999999999999997,0
2013-05-27,0,-0.36,1
2013-05-28,0,2.808,2
2013-05-29,0,-1.3247999999999998,0
2013-05-30,0,-0.44985600000000003,6
2013-05-31,0,-0.26088960000000005,3
2013-06-01,0,-0.17991168000000013,3
2013-06-02,0,-0.135323136,1
2013-06-03,0,-0.10728407040000001,3
2013-06-04,0,0.94488832,7
2013-06-05,0,0.5545328640000001,6
2013-06-06,0,3.4416055296000003,2
2013-06-07,0,1.2160000000000004,3
2013-06-08,0,-1.7855999999999996,2
2013-06-09,0,-0.687552,7
2013-06-10,0,-0.4113152000000002,2
2013-06-11,0,-0.2859417600000002,0
2013-06-12,0,-0.21523507200000006,1
2013-06-13,2,-0.17032570879999998,0
2013-06-14,0,-0.12853268479999996,0
2013-06-15,0,-0.09665976319999997,1
2013-06-16,0,-0.03839447039999999,0
2013-06-17,0,0.0,0
2013-06-18,0,0.0,1
2013-06-19,0,0.0,2
2013-06-20,1,0.0,4
2013-06-21,0,0.0,3
2013-06-22,0,0.0,3
2013-06-23,0,0.0,0
2013-06-24,1,1.0,0
2013-06-25,0,2.6,2
2013-06-26,0,-1.3199999999999998,1
2013-06-27,0,-0.424,0
2013-06-28,0,-0.23360000000000006,5
2013-06-29,0,-0.15475200000000014,3
2013-06-30,0,-0.11281920000000005,0
2013-07-01,1,-0.08726016000000002,0
2013-07-02,3,-0.07026739199999997,0
2013-07-03,0,-0.05826529279999997,0
2013-07-04,0,-0.03839447039999999,0
2013-07-05,0,0.0,2
2013-07-06,0,0.0,2
2013-07-07,0,0.0,0
2013-07-08,0,0.0,1
2013-07-09,2,5.0,0
2013-07-10,2,-1.9999999999999996,0
2013-07-11,0,2.4,0
2013-07-12,0,-1.5199999999999998,0
2013-07-13,0,-0.5680000000000003,1
2013-07-14,0,-0.34176000000000006,1
2013-07-15,1,-0.23961600000000016,1
2013-07-16,0,-0.1817088,1
2013-07-17,0,-0.14466816,1
2013-07-18,0,-0.11910246399999996,1
2013-07-19,0,7.954532864,3
2013-07-20,0,-3.2383944703999994,0
2013-07-21,0,-0.96,0
2013-07-22,0,-0.512,0
2013-07-23,0,3.6672,0
2013-07-24,0,-1.8396159999999997,0
2013-07-25,0,2.3362944,2
2013-07-26,3,2.39703552,1
2013-07-27,0,-2.2476456959999997,0
2013-07-28,1,-0.8941932544,0
2013-07-29,0,2.5273472,0
2013-07-30,0,-0.5297382399999999,1
2013-07-31,1,1.990679552,2
2013-08-01,0,-1.7101571071999997,0
2013-08-02,0,-0.6677493760000001,0
2013-08-03,0,-0.4224733184000001,2
2013-08-04,0,-0.27483422720000017,1
2013-08-05,0,0.83206912,0
2013-08-06,0,-0.5327272959999999,0
2013-08-07,6,0.7713381376,0
2013-08-08,0,5.4777347072,0
2013-08-09,0,-0.5999944703999995,0
2013-08-10,0,-1.6139519999999998,0
2013-08-11,0,-0.6885632,0
2013-08-12,0,-0.4259225600000003,0
2013-08-13,0,3.6989690879999997,3
2013-08-14,0,-1.8288519167999997,6
2013-08-15,0,-0.651305472,2
2013-08-16,0,-0.39647354879999996,4
2013-08-17,0,-0.2735003648000002,4
2013-08-18,0,-0.14540431360000006,6
2013-08-19,0,-0.09185280000000003,0
2013-08-20,3,-0.07348223999999998,0
2013-08-21,0,-0.06062284799999997,2
2013-08-22,0,-0.051192627199999986,0
2013-08-23,0,0.0,0
2013-08-24,0,0.0,2
2013-08-25,0,0.0,1
2013-08-26,0,0.0,3
2013-08-27,1,0.0,2
2013-08-28,0,0.0,3
2013-08-29,0,0.0,4
2013-08-30,0,0.0,3
2013-08-31,0,0.0,0
2013-09-01,0,0.0,0
2013-09-02,0,0.0,2
2013-09-03,0,0.0,0
2013-09-04,1,0.0,1
2013-09-05,0,0.0,2
2013-09-06,0,0.0,4
2013-09-07,0,0.0,2
2013-09-08,0,0.0,0
2013-09-09,0,0.0,2
2013-09-10,0,0.0,6
2013-09-11,1,0.0,0
2013-09-12,1,0.0,0
2013-09-13,0,0.0,1
2013-09-14,0,0.0,0
2013-09-15,0,0.0,0
2013-09-16,0,0.0,2
2013-09-17,0,1.0,0
2013-09-18,0,1.6,2
2013-09-19,0,-0.9199999999999998,1
2013-09-20,0,0.696,5
2013-09-21,0,2.4304,2
2013-09-22,0,-1.4331519999999998,0
2013-09-23,0,0.4931327999999999,3
2013-09-24,0,8.30210304,0
2013-09-25,0,-2.9266488319999993,1
2013-09-26,0,-1.6999287808,1
2013-09-27,2,-0.8504564736000001,2
2013-09-28,0,5.461380608,0
2013-09-29,0,-2.7923964927999996,0
2013-09-30,0,-1.0133858304,0
2013-10-01,0,-0.587453952,0
2013-10-02,0,-0.4171701248000002,0
2013-10-03,0,-0.31005112320000006,0
2013-10-04,0,3.8494226432,1
2013-10-05,0,-1.7102233599999996,1
2013-10-06,0,-0.5709342719999999,0
2013-10-07,0,0.6672110592,0
2013-10-08,0,0.4335999999999999,1
2013-10-09,0,5.360192,6
2013-10-10,0,1.3241472000000005,1
2013-10-11,0,2.50091776,3
2013-10-12,0,-2.9961748479999994,0
2013-10-13,0,-1.2097078272000004,0
2013-10-14,0,-0.7074457600000004,0
2013-10-15,0,6.500886528,2
2013-10-16,0,7.820209971200001,0
2013-10-17,0,-5.532030668799998,0
2013-10-18,0,-1.9972645887999998,0
2013-10-19,0,-1.1221711872000002,0
2013-10-20,0,-0.7312547840000005,0
2013-10-21,0,-0.49021440000000027,0
2013-10-22,0,-0.38118912000000005,0
2013-10-23,0,-0.3081661439999999,0
2013-10-24,0,2.7437000704,1
2013-10-25,1,2.6592202752,0
2013-10-26,0,-1.9599999999999995,0
2013-10-27,0,-0.6719999999999999,0
2013-10-28,0,-0.38080000000000014,0
2013-10-29,0,-0.25625600000000026,0
2013-10-30,0,-0.18869760000000008,0
2013-10-31,0,-0.14696448,0
2013-11-01,0,-0.11894937599999995,0
2013-11-02,0,-0.09901731839999997,1
2013-11-03,0,-0.051192627199999986,1
2013-11-04,0,0.0,4
2013-11-05,1,1.0,6
2013-11-06,1,0.6000000000000001,1
2013-11-07,1,1.48,0
2013-11-08,1,-0.9839999999999998,1
2013-11-09,0,-0.3456,1
2013-11-10,0,-0.19955200000000006,0
2013-11-11,1,0.8638847999999999,4
2013-11-12,0,2.49876224,0
2013-11-13,0,-0.3994526719999998,1
2013-11-14,0,-0.8886949887999999,0
2013-11-15,0,6.6032904192,0
2013-11-16,0,-3.0443483135999996,2
2013-11-17,0,-0.9944192000000001,1
2013-11-18,0,1.4347878399999998,0
2013-11-19,0,-1.184430592,0
2013-11-20,0,-0.5262998528,0
2013-11-21,1,1.6577074176,0
2013-11-22,0,-0.024592076799999862,0
2013-11-23,0,1.1940060160000001,0
2013-11-24,0,-1.1835134976,0
2013-11-25,0,-0.42394112000000006,2
2013-11-26,0,-0.2598154240000001,1
2013-11-27,0,-0.18467471360000012,1
2013-11-28,0,-0.11960832000000002,1
2013-11-29,0,-0.09460838399999999,0
2013-11-30,0,-0.07749314559999998,0
2013-12-01,0,-0.043109580799999984,0
2013-12-02,0,-0.025596313599999993,0
2013-12-03,0,0.0,2
2013-12-04,0,0.0,0
2013-12-05,0,1.0,0
