,getredash/redash,apache/superset,metabase/metabase
2019-08-02,0,2.0,1
2019-08-03,0,-0.3999999999999999,0
2019-08-04,3,-0.16000000000000014,0
2019-08-05,2,4.904,2
2019-08-06,2,5.9328,4
2019-08-07,1,3.1489279999999997,2
2019-08-08,1,2.1591423999999995,6
2019-08-09,2,1.2621465599999995,9
2019-08-10,0,-1.5516554240000002,1
2019-08-11,6,0.0941652991999995,0
2019-08-12,4,1.1662847999999997,6
2019-08-13,3,3.0244864000000002,9
2019-08-14,3,1.5859824640000004,14
2019-08-15,3,1.6621827072000004,8
2019-08-16,1,1.7045862400000003,6
2019-08-17,0,-1.2829413376,1
2019-08-18,3,-0.6821363712000004,0
2019-08-19,0,0.5486356479999999,8
2019-08-20,0,4.4523539456000005,8
2019-08-21,1,1.6488358912000005,7
2019-08-22,1,1.7468929024,6
2019-08-23,0,6.7550486528,7
2019-08-24,0,-1.2581071871999998,1
2019-08-25,1,-1.2703168512000007,0
2019-08-26,1,3.2395212799999995,7
2019-08-27,0,4.646284288,2
2019-08-28,0,-0.9543624703999998,12
2019-08-29,1,-0.21725644800000032,14
2019-08-30,2,5.0611862528,3
2019-08-31,0,-1.8011804671999994,0
2019-09-01,3,-0.9106737152000002,0
2019-09-02,5,1.4501149695999997,2
2019-09-03,1,1.1933240320000003,2
2019-09-04,2,1.1132248064000003,9
2019-09-05,0,1.1152966656,4
2019-09-06,0,1.1483826175999998,2
2019-09-07,0,-0.8730676223999998,2
2019-09-08,0,4.5100542976,1
2019-09-09,6,3.7110169600000003,0
2019-09-10,0,5.378241536,0
2019-09-11,2,0.7805028352000001,3
2019-09-12,2,-0.6964251648000006,4
2019-09-13,1,0.8407524351999995,9
2019-09-14,0,-1.1427381248000001,0
2019-09-15,2,-0.6992683008000004,0
2019-09-16,3,-0.5057817599999999,2
2019-09-17,0,4.593205248,2
2019-09-18,2,6.714658304,4
2019-09-19,0,2.8117670912,3
2019-09-20,1,-0.9656492032000004,16
2019-09-21,0,-1.1932447744000005,2
2019-09-22,6,1.2585812991999996,1
2019-09-23,1,4.077567999999999,2
2019-09-24,2,-0.5693440000000001,2
2019-09-25,2,-0.031032320000000224,1
2019-09-26,0,-0.8697108479999996,3
2019-09-27,1,1.4643079168000004,8
2019-09-28,0,0.2731279360000002,1
2019-09-29,0,1.4323972096,0
2019-09-30,1,1.264626176,2
2019-10-01,0,3.1905672192,10
2019-10-02,2,0.7656668160000002,10
2019-10-03,1,-0.9764506624000002,4
2019-10-04,0,5.4629764095999995,3
2019-10-05,1,-1.5680317439999998,1
2019-10-06,6,2.2366185471999995,0
2019-10-07,2,-1.0958854144,9
2019-10-08,0,0.3961213951999999,7
2019-10-09,0,0.3864410112000002,10
2019-10-10,3,2.4179743744,2
2019-10-11,2,1.0688929792,0
2019-10-12,0,0.13078732800000015,0
2019-10-13,0,-0.6887322624000001,0
2019-10-14,1,-0.365927936,0
2019-10-15,5,1.7334284288,7
2019-10-16,2,0.4227271680000001,1
2019-10-17,3,2.4959691776,1
2019-10-18,0,0.1140852736000002,0
2019-10-19,2,-0.6383101952,1
2019-10-20,0,-0.3479984128000001,0
2019-10-21,0,2.7723370496,6
2019-10-22,2,1.23550976,0
2019-10-23,3,3.227475456,2
2019-10-24,5,1.7854646272,0
2019-10-25,1,1.8106407936,0
2019-10-26,0,-0.2276037632000001,0
2019-10-27,1,-0.8432277504000003,0
2019-10-28,3,4.48141824,1
2019-10-29,1,0.6158602240000002,0
2019-10-30,1,3.8946152447999998,3
2019-10-31,1,3.3799078912000002,8
2019-11-01,0,-0.8282494975999999,0
2019-11-02,1,0.8676220927999996,0
2019-11-03,0,-1.0930117632000003,0
2019-11-04,0,6.3583594496,3
2019-11-05,1,5.134784,0
2019-11-06,1,0.6693642239999997,2
2019-11-07,2,0.25098833919999963,4
2019-11-08,0,0.596730368,8
2019-11-09,0,-1.2285399040000002,1
2019-11-10,1,1.2802016255999997,0
2019-11-11,4,-0.9262353408000001,1
2019-11-12,0,7.441240576,2
2019-11-13,4,2.973290803200001,2
2019-11-14,4,0.08764037120000001,0
2019-11-15,0,7.6648910848,1
2019-11-16,0,-1.5633717247999996,2
2019-11-17,0,-1.447080140800001,0
2019-11-18,1,2.1009141759999994,3
2019-11-19,0,5.7360315392,4
2019-11-20,2,10.855983104,0
2019-11-21,1,-0.7189420031999996,2
2019-11-22,0,0.659308543999999,0
2019-11-23,0,0.05283717119999998,0
2019-11-24,5,-0.5874502656000002,0
2019-11-25,1,0.8569808895999995,4
2019-11-26,2,1.8193674239999997,1
2019-11-27,6,6.6287362048,3
2019-11-28,0,-0.4070642687999988,0
2019-11-29,0,-0.5736384511999999,0
2019-11-30,0,-1.0307254272000002,0
2019-12-01,0,-0.6453757952000001,0
2019-12-02,1,4.5460457472,7
2019-12-03,1,11.6598726656,5
2019-12-04,4,11.7300908032,1
2019-12-05,3,1.5132080127999998,2
2019-12-06,0,1.662543052799999,4
2019-12-07,0,-2.803806412800001,0
2019-12-08,0,5.361418649599999,0
2019-12-09,0,-1.5748480000000002,4
2019-12-10,1,6.320366079999999,1
2019-12-11,6,1.2304593920000007,11
2019-12-12,1,0.6951784448000007,5
2019-12-13,1,0.12564787200000027,5
2019-12-14,1,-1.4160922623999999,9
2019-12-15,0,-0.8439505920000003,0
2019-12-16,1,3.419984896,2
2019-12-17,1,3.7373898752000003,4
2019-12-18,0,1.3723636736000004,6
2019-12-19,0,0.5590565888000001,7
2019-12-20,1,2.8587060224,3
2019-12-21,0,-1.4403274752,0
2019-12-22,0,0.24886609919999958,0
2019-12-23,0,-0.7056588800000002,0
2019-12-24,5,-0.46894284799999997,0
2019-12-25,7,-0.3635977215999997,0
2019-12-26,3,-0.2546785279999997,1
2019-12-27,0,-0.15942635519999981,1
2019-12-28,0,-0.1029183487999997,0
2019-12-29,0,-0.06680412159999986,0
2019-12-30,5,-0.01438771199999994,0
2019-12-31,1,2.9875306496,0
2020-01-01,1,-0.5999999999999999,0
2020-01-02,0,0.7599999999999998,0
2020-01-03,0,2.6559999999999997,2
2020-01-04,0,0.21920000000000006,0
2020-01-05,0,-0.5646080000000002,0
2020-01-06,2,1.6811135999999998,6
2020-01-07,0,0.37488383999999997,4
2020-01-08,2,1.4662000640000001,5
2020-01-09,1,-0.7171571712,3
2020-01-10,1,4.639203328,13
2020-01-11,0,-1.2532312063999997,4
2020-01-12,3,-0.5853893632000002,0
2020-01-13,3,3.6421764095999998,14
2020-01-14,3,0.9454402560000001,13
2020-01-15,0,5.0791401471999995,1
2020-01-16,2,2.3046112256,8
2020-01-17,0,-0.6199723008000002,6
2020-01-18,0,-1.0492825600000002,3
2020-01-19,0,-0.6687339520000002,0
2020-01-20,4,-0.4441804800000002,0
2020-01-21,4,1.650278912,8
2020-01-22,2,3.3125356544000004,12
2020-01-23,7,4.8405993472,9
2020-01-24,0,4.2347063296,7
2020-01-25,0,0.9965348864000001,3
2020-01-26,1,0.4340586495999994,0
2020-01-27,0,0.7273983999999996,3
2020-01-28,1,2.8256153599999996,2
2020-01-29,1,5.470928896,0
