,cfengine/core,ansible/ansible,saltstack/salt
2012-03-05,2,17.0,17.0
2012-03-06,8,13.600000000000001,37.9
2012-03-07,14,6.239999999999999,1.3149999999999995
2012-03-08,9,2.6239999999999988,8.673500000000002
2012-03-09,1,18.3328,11.378737500000002
2012-03-10,4,14.506688,-0.7792317499999992
2012-03-11,0,4.552998399999998,1.9431545875000023
2012-03-12,9,7.712860159999997,1.6740377587500008
2012-03-13,7,7.556985855999999,9.284679493734377
2012-03-14,4,13.4508424192,14.440597386620311
2012-03-15,5,0.33037957119999994,8.940808336489061
2012-03-16,9,8.311898521599998,38.247810509728126
2012-03-17,0,-4.232325836799999,40.315042880982816
2012-03-18,6,16.0009044992,13.816538138206248
2012-03-19,16,-3.569006182399999,47.85389267001719
2012-03-20,2,4.032701747199999,16.644050683032816
2012-03-21,16,3.897332326400001,-5.285035999843746
2012-03-22,1,14.009185894400002,-11.667702851082808
2012-03-23,3,-0.8778403839999989,-5.037639519665625
2012-03-24,1,10.086979788799999,-9.280479577420314
2012-03-25,2,-3.1402551296,-0.6006957080937525
2012-03-26,4,5.9040084992,-6.96779417959219
2012-03-27,1,26.148957696,8.218360950329684
2012-03-28,12,6.930278092800002,19.065064327706246
2012-03-29,3,2.1216145407999987,11.289948420468747
2012-03-30,3,0.47715758079999926,-7.731689926492187
2012-03-31,0,36.5479574528,6.547366212517189
2012-04-01,0,-4.863567359999998,2.3809273986265627
2012-04-02,8,9.578009190399998,1.1097450236781246
2012-04-03,6,6.951914291199999,39.884294977373436
2012-04-04,6,13.1195684864,11.827259410065622
2012-04-05,5,1.998614528000001,4.0580318658187515
2012-04-06,6,-0.21848678400000132,1.4891005496046894
2012-04-07,2,-2.854094745600001,0.7340844448328134
2012-04-08,0,-3.4826374143999987,-2.5333946083843735
2012-04-09,3,-1.4491203583999992,5.524433345317188
2012-04-10,16,7.296470425600001,8.644130028546876
2012-04-11,3,4.955824025600002,4.3363717841687475
2012-04-12,5,10.826762854400002,-7.209900707412501
2012-04-13,2,21.558717952000002,2.913162974685937
2012-04-14,0,2.723190784,-0.412398088640626
2012-04-15,0,-4.374644326400002,-4.356143178429687
2012-04-16,5,4.851587379199998,8.586234302596875
2012-04-17,13,35.278737408,5.072072560667186
2012-04-18,4,9.9486882816,24.64797338545781
2012-04-19,4,33.2115912704,7.469545242823436
2012-04-20,0,-7.111901491200001,31.623228778709375
2012-04-21,1,7.226964582399997,3.6424853206593752
2012-04-22,1,5.1876586496,-6.786717877190622
2012-04-23,1,-0.0811381760000014,5.032049297585939
2012-04-24,3,28.369598873599998,8.501347753078125
2012-04-25,20,-2.4986355711999977,32.30259768678282
2012-04-26,2,14.916606054399999,4.521617188453124
2012-04-27,3,13.499168768000002,-8.25058037553125
2012-04-28,0,0.005333811199999872,-6.6984842418296875
2012-04-29,0,-6.406704742400001,6.372000600893749
2012-04-30,9,-3.9066347520000013,-0.914054302748438
2012-05-01,2,10.2652535808,17.73213080765156
2012-05-02,10,27.374492979200003,41.136399454209375
2012-05-03,3,3.969294950400002,-3.673956842862502
2012-05-04,3,-1.756531507200001,0.19270449162969072
2012-05-05,1,-0.7559958527999999,4.965979694535939
