,golang/go,swiftlang/swift,rust-lang/rust
2022-08-17,37,42,88
2022-08-18,41,47,104
2022-08-19,41,49,89
2022-08-20,2,22,79
2022-08-21,0,20,117
2022-08-22,18,81,133
2022-08-23,35,64,134
2022-08-24,17,58,87
2022-08-25,14,48,67
2022-08-26,29,104,112
2022-08-27,4,16,92
2022-08-28,1,6,80
2022-08-29,21,26,87
2022-08-30,12,57,100
2022-08-31,32,72,124
2022-09-01,23,71,94
2022-09-02,51,60,87
2022-09-03,7,7,53
2022-09-04,1,9,60
2022-09-05,14,7,82
2022-09-06,39,41,75
2022-09-07,46,44,74
2022-09-08,27,59,96
2022-09-09,19,39,88
2022-09-10,0,29,72
2022-09-11,0,7,54
2022-09-12,0,50,126
2022-09-13,16,56,115
2022-09-14,9,47,103
2022-09-15,21,107,75
2022-09-16,22,42,94
2022-09-17,4,17,58
2022-09-18,1,24,46
2022-09-19,24,51,70
2022-09-20,10,75,82
2022-09-21,10,40,86
2022-09-22,5,49,103
2022-09-23,11,47,99
2022-09-24,1,13,93
2022-09-25,1,4,68
2022-09-26,23,37,101
2022-09-27,38,51,140
2022-09-28,31,49,64
2022-09-29,54,52,77
2022-09-30,24,60,82
2022-10-01,10,13,104
2022-10-02,4,1,91
2022-10-03,7,39,83
2022-10-04,15,66,65
2022-10-05,14,49,65
2022-10-06,10,25,78
2022-10-07,14,83,116
2022-10-08,4,21,60
2022-10-09,0,13,83
2022-10-10,13,52,108
2022-10-11,12,10,64
2022-10-12,17,21,74
2022-10-13,11,24,68
2022-10-14,17,43,87
2022-10-15,1,18,68
2022-10-16,0,4,70
2022-10-17,19,48,77
2022-10-18,13,29,65
2022-10-19,8,40,93
2022-10-20,9,77,104
2022-10-21,11,67,78
2022-10-22,0,45,64
2022-10-23,1,11,101
2022-10-24,15,42,106
2022-10-25,13,41,92
2022-10-26,16,33,95
2022-10-27,6,60,99
2022-10-28,8,49,74
2022-10-29,4,9,109
2022-10-30,0,26,39
2022-10-31,19,51,70
2022-11-01,19,60,71
2022-11-02,12,68,72
2022-11-03,24,56,52
2022-11-04,21,89,105
2022-11-05,1,25,102
2022-11-06,0,5,69
2022-11-07,17,56,158
2022-11-08,23,59,78
2022-11-09,25,83,122
2022-11-10,32,76,95
2022-11-11,14,64,86
2022-11-12,0,45,85
2022-11-13,0,7,71
2022-11-14,18,57,72
2022-11-15,45,52,102
2022-11-16,32,95,70
2022-11-17,25,64,70
2022-11-18,24,45,97
2022-11-19,13,23,105
2022-11-20,0,0,106
2022-11-21,20,6,130
2022-11-22,18,6,80
2022-11-23,14,7,90
2022-11-24,3,2,86
2022-11-25,0,0,170
2022-11-26,0,3,80
2022-11-27,0,2,88
2022-11-28,11,50,100
2022-11-29,5,116,100
2022-11-30,7,87,65
2022-12-01,18,90,90
2022-12-02,14,68,87
2022-12-03,1,24,75
2022-12-04,0,10,54
2022-12-05,8,32,53
2022-12-06,9,68,106
2022-12-07,11,58,60
2022-12-08,8,55,59
2022-12-09,3,58,83
2022-12-10,1,27,60
2022-12-11,1,7,68
2022-12-12,6,71,68
2022-12-13,3,90,110
2022-12-14,6,84,112
2022-12-15,2,109,88
2022-12-16,4,60,70
2022-12-17,1,19,79
2022-12-18,0,14,53
2022-12-19,1,55,53
2022-12-20,0,70,91
2022-12-21,6,68,59
2022-12-22,6,39,74
2022-12-23,2,1,60
2022-12-24,0,1,42
2022-12-25,0,1,44
2022-12-26,0,1,22
2022-12-27,1,1,67
2022-12-28,1,12,110
2022-12-29,2,7,67
2022-12-30,0,5,52
2022-12-31,0,2,54
2023-01-01,0,3,39
2023-01-02,0,8,87
2023-01-03,3,78,66
2023-01-04,4,60,80
2023-01-05,2,60,56
2023-01-06,3,49,62
2023-01-07,0,57,53
2023-01-08,0,29,37
2023-01-09,7,63,172
2023-01-10,3,30,52
2023-01-11,3,54,133
2023-01-12,0,57,131
2023-01-13,3,58,106
2023-01-14,0,18,131
2023-01-15,0,18,49
2023-01-16,1,54,65
2023-01-17,42,42,100
2023-01-18,7,51,72
2023-01-19,19,64,76
2023-01-20,38,60,84
2023-01-21,3,22,83
2023-01-22,0,9,54
2023-01-23,12,28,100
2023-01-24,20,56,50
2023-01-25,16,68,64
2023-01-26,22,115,81
2023-01-27,14,56,151
2023-01-28,6,39,77
2023-01-29,1,32,57
2023-01-30,25,37,91
2023-01-31,31,54,95
2023-02-01,14,81,72
2023-02-02,17,151,73
2023-02-03,7,61,80
2023-02-04,9,25,30
2023-02-05,0,11,61
2023-02-06,15,64,65
2023-02-07,8,87,72
2023-02-08,10,100,52
2023-02-09,13,92,84
2023-02-10,20,55,89
2023-02-11,2,72,53
2023-02-12,0,23,56
2023-02-13,8,58,90
2023-02-14,8,74,139
2023-02-15,7,78,86
2023-02-16,8,77,95
2023-02-17,10,64,75
2023-02-18,1,28,98
2023-02-19,1,9,73
2023-02-20,1,50,93
2023-02-21,8,63,91
2023-02-22,14,82,83
2023-02-23,18,90,66
2023-02-24,12,60,42
2023-02-25,3,38,79
2023-02-26,0,15,82
2023-02-27,34,48,64
2023-02-28,26,108,79
2023-03-01,23,93,126
2023-03-02,10,114,66
2023-03-03,5,118,93
2023-03-04,1,101,80
2023-03-05,0,50,84
2023-03-06,13,79,75
2023-03-07,12,91,60
2023-03-08,5,92,98
2023-03-09,13,73,97
2023-03-10,25,79,104
2023-03-11,1,40,75
2023-03-12,0,7,78
2023-03-13,16,51,76
2023-03-14,11,86,87
2023-03-15,24,69,87
2023-03-16,17,73,86
2023-03-17,12,61,88
2023-03-18,4,41,47
2023-03-19,0,18,59
2023-03-20,8,57,70
2023-03-21,20,85,92
2023-03-22,21,68,91
2023-03-23,5,73,79
2023-03-24,20,47,75
2023-03-25,2,28,63
2023-03-26,0,9,61
2023-03-27,12,41,84
2023-03-28,16,59,81
2023-03-29,24,100,99
2023-03-30,12,71,105
2023-03-31,18,52,50
2023-04-01,0,33,33
2023-04-02,0,7,34
2023-04-03,7,42,105
2023-04-04,21,80,115
2023-04-05,16,55,91
2023-04-06,16,69,112
