,ocornut/imgui,Immediate-Mode-UI/Nuklear,lvgl/lvgl
2016-12-07,0,0,0.0
2016-12-08,0,0,0.0
2016-12-09,0,0,1.0
2016-12-10,0,0,-0.10000000000000009
2016-12-11,0,0,-0.04500000000000003
2016-12-12,1,0,-0.028500000000000022
2016-12-13,0,0,-0.020662499999999924
2016-12-14,0,0,-0.016116749999999947
2016-12-15,0,0,3.9868379875
2016-12-16,0,0,0.5889063037499997
2016-12-17,0,0,4.710431686984375
2016-12-18,0,0,0.332601147464062
2016-12-19,1,0,2.56385
2016-12-20,0,2,2.4273705
2016-12-21,4,0,2.3644227000000004
2016-12-22,0,0,3.3207169525
2016-12-23,4,0,-0.8137812608124999
2016-12-24,0,0,-0.4876319669093745
2016-12-25,0,1,-0.3311579013640619
2016-12-26,0,1,0.7446700480546883
2016-12-27,0,0,-0.2743379178328121
2016-12-28,0,0,-0.18483063540468714
2016-12-29,0,2,1.8732237183453129
2016-12-30,0,0,5.715867690329688
2016-12-31,0,10,-0.7397121601437504
2017-01-01,1,2,2.6598379874999996
2017-01-02,0,0,3.4765813037499997
2017-01-03,0,11,6.299223186984375
2017-01-04,0,0,0.9030766224640621
2017-01-05,0,2,-0.7921469674999999
2017-01-06,0,4,14.49380094646875
2017-01-07,1,4,-1.8797981206656253
2017-01-08,0,0,5.034535496034375
2017-01-09,0,0,6.775052688453124
2017-01-10,1,1,6.452612791579688
2017-01-11,3,2,0.3044877562468751
2017-01-12,0,2,0.812666218717188
2017-01-13,0,0,4.036796351178126
2017-01-14,1,2,-0.16373077023437377
2017-01-15,0,1,0.14989993446093863
2017-01-16,0,0,7.387485951906251
2017-01-17,0,0,-1.2510592143406247
2017-01-18,0,0,-0.6819949919124995
2017-01-19,0,2,-0.4391041513187496
2017-01-20,0,1,-0.28598157485312403
2017-01-21,1,4,-0.21782897889999933
2017-01-22,0,3,-0.16795237194531204
2017-01-23,0,3,-0.10671673555156219
2017-01-24,0,3,-0.08494535666093728
2017-01-25,0,0,-0.06719082028749983
2017-01-26,0,0,0.0
2017-01-27,0,0,0.0
2017-01-28,2,0,0.0
2017-01-29,1,0,0.0
2017-01-30,0,1,0.0
2017-01-31,0,0,0.0
2017-02-01,0,0,2.0
2017-02-02,0,0,-0.20000000000000018
2017-02-03,0,0,3.91
2017-02-04,0,5,-0.4570000000000004
2017-02-05,0,1,-0.221325
2017-02-06,0,1,7.8537665
2017-02-07,0,0,-0.9089740250000004
2017-02-08,0,0,-0.4466543925
2017-02-09,0,1,-0.29978467603125
2017-02-10,0,2,-0.2264724900718742
2017-02-11,2,1,0.8327927479375006
2017-02-12,0,0,-0.23889151014374968
2017-02-13,0,2,-0.13374956999999976
2017-02-14,0,0,-0.10504650412499983
2017-02-15,0,0,-0.08785332028749976
2017-02-16,0,0,-0.016116749999999947
2017-02-17,0,1,1.9868379875
2017-02-18,0,1,-0.21109369625000016
2017-02-19,0,0,-0.09956831301562505
2017-02-20,0,1,-0.06539885253593752
2017-02-21,0,3,-0.04132499999999985
2017-02-22,0,0,0.9677665000000001
2017-02-23,0,1,-0.126324025
2017-02-24,0,2,-0.06718739249999997
2017-02-25,0,3,-0.047636626031249976
2017-02-26,2,0,-0.03746020507187488
2017-02-27,0,0,-0.016116749999999947
2017-02-28,0,0,-0.01316201249999996
2017-03-01,0,2,-0.011093696249999967
2017-03-02,0,2,-0.009568313015624975
2017-03-03,0,0,-0.008398852535937478
2017-03-04,0,2,0.0
2017-03-05,0,0,0.0
2017-03-06,0,0,0.0
2017-03-07,0,0,2.0
2017-03-08,0,0,-0.20000000000000018
2017-03-09,0,1,1.91
2017-03-10,0,0,-0.25700000000000023
2017-03-11,0,0,-0.13132499999999991
2017-03-12,0,5,-0.08923349999999994
2017-03-13,1,0,-0.06764902499999977
2017-03-14,0,0,-0.05442089249999983
2017-03-15,1,4,-0.04546065103124987
2017-03-16,4,1,-0.03898509757187489
2017-03-17,3,2,-0.01913662603124995
2017-03-18,0,4,-0.016797705071874957
2017-03-19,0,0,1.0
2017-03-20,0,0,1.9
2017-03-21,0,2,-0.24500000000000022
2017-03-22,0,0,-0.11850000000000009
2017-03-23,0,0,-0.07766249999999997
2017-03-24,2,0,-0.05744174999999979
2017-03-25,0,3,-0.04539551249999985
2017-03-26,2,2,-0.03741772124999989
2017-03-27,0,0,1.968244294484375
2017-03-28,0,0,-0.22753547856718762
2017-03-29,1,0,-0.10679770507187503
2017-03-30,0,2,-0.057000000000000044
2017-03-31,0,0,-0.04132499999999985
2017-04-01,2,0,-0.032233499999999894
2017-04-02,0,1,-0.02632402499999992
2017-04-03,0,0,-0.022187392499999934
2017-04-04,0,4,-0.01913662603124995
2017-04-05,0,2,-0.016797705071874957
2017-04-06,0,1,0.0
2017-04-07,0,0,0.0
2017-04-08,0,1,0.0
2017-04-09,0,5,0.0
2017-04-10,0,2,1.0
2017-04-11,0,0,1.9
2017-04-12,0,0,-0.24500000000000022
2017-04-13,1,0,3.8815
2017-04-14,0,0,-0.4776625000000003
2017-04-15,0,0,-0.23744174999999992
2017-04-16,0,0,-0.15939551249999995
2017-04-17,0,0,-0.12006772124999959
2017-04-18,0,0,1.9037772944843754
2017-04-19,0,0,-0.2801835285671874
2017-04-20,0,2,-0.1511724900718749
2017-04-21,0,0,1.9047267479375
2017-04-22,0,0,-0.2749204101437499
2017-04-23,0,0,0.8777665
2017-04-24,0,0,2.816675975
2017-04-25,1,0,-0.40851239250000004
2017-04-26,3,0,-0.21487012603124994
2017-04-27,0,1,-0.14928423007187486
2017-04-28,5,0,0.8997083575000003
2017-04-29,0,0,-0.18064888853124983
2017-04-30,2,0,-0.11237743882187484
2017-05-01,28,1,2.928650598234375
2017-05-02,1,0,-0.3577662915828126
2017-05-03,0,0,1.8236866923921875
2017-05-04,0,0,-0.2986620125000002
2017-05-05,0,0,-0.1630811962499998
2017-05-06,0,1,-0.11491856301562486
2017-05-07,0,0,-0.08920989003593721
2017-05-08,0,0,2.9344854112500003
2017-05-09,0,4,-0.3550289640468751
2017-05-10,0,1,1.8176160498921876
2017-05-11,0,0,-0.3046366260312502
2017-05-12,0,0,0.8312147949281252
2017-05-13,1,0,1.79464975
2017-05-14,1,0,0.6741889625
2017-05-15,0,0,8.71598541125
2017-05-16,2,0,-1.0776914640468758
2017-05-17,1,2,-0.5383257001078124
2017-05-18,0,0,-0.34169463853124993
2017-05-19,0,0,-0.2562946763218741
2017-05-20,0,0,-0.1899684680156244
2017-05-21,0,0,-0.15708728731718705
2017-05-22,0,0,-0.12620928433749964
2017-05-23,0,6,-0.09451366967656225
2017-05-24,0,0,-0.0755896728234373
2017-05-25,0,1,0.0
2017-05-26,5,1,0.0
2017-05-27,1,0,0.0
2017-05-28,0,0,0.0
2017-05-29,0,2,0.0
2017-05-30,0,0,0.0
2017-05-31,0,0,0.0
2017-06-01,1,0,0.0
2017-06-02,6,0,0.0
2017-06-03,0,0,0.0
2017-06-04,0,3,0.0
2017-06-05,0,0,0.0
2017-06-06,0,6,0.0
2017-06-07,0,0,1.0
2017-06-08,0,1,-0.10000000000000009
2017-06-09,0,1,-0.04500000000000003
2017-06-10,0,0,-0.028500000000000022
2017-06-11,0,0,-0.020662499999999924
2017-06-12,0,0,-0.016116749999999947
2017-06-13,2,0,3.9868379875
2017-06-14,0,2,-0.4110936962500003
2017-06-15,0,0,-0.1895683130156251
2017-06-16,1,4,0.8776011474640625
2017-06-17,2,0,4.81735
2017-06-18,0,0,1.3905329999999998
2017-06-19,1,0,0.4938519499999998
2017-06-20,0,0,0.6024627149999999
2017-06-21,1,6,1.6402974979375005
2017-06-22,0,2,-0.4421661726437497
2017-06-23,0,0,0.7517002412500003
2017-06-24,1,0,-0.28514006926562474
2017-06-25,0,0,-0.19403157261406206
2017-06-26,0,0,2.8538799025390627
2017-06-27,0,0,0.6155537606625
2017-06-28,0,0,0.7087286919484375
2017-06-29,0,0,-0.2711974910671876
2017-06-30,0,3,-0.16337890132187477
2017-07-01,0,0,-0.10708106301562477
2017-07-02,1,0,-0.08466414003593722
2017-07-03,2,0,-0.06255985124999981
2017-07-04,0,0,-0.05296064779687485
2017-07-05,0,0,-0.045858566873437374
2017-07-06,0,1,-0.017967165551562456
2017-07-07,0,1,6.9916011474640625
2017-07-08,0,0,-0.7000000000000006
2017-07-09,1,0,35.685
2017-07-10,0,0,2.200499999999997
2017-07-11,0,0,-2.3646375000000015
2017-07-12,0,0,5.59118275
2017-07-13,0,0,-1.7069840874999977
2017-07-14,3,0,-1.0968338737499976
2017-07-15,8,0,-0.8370111411093731
2017-07-16,1,0,-0.6817746077515605
2017-07-17,0,2,-0.5238386960624986
2017-07-18,0,0,-0.4519026568874988
2017-07-19,1,0,1.8719510110343753
2017-07-20,7,0,1.733021808890625
2017-07-21,0,0,-0.3487919677515626
2017-07-22,9,0,-0.1470000000000001
2017-07-23,8,1,-0.09832499999999988
2017-07-24,0,2,0.9264415000000003
2017-07-25,1,0,4.841442475
2017-07-26,12,0,0.40648858249999964
2017-07-27,7,0,11.60517598146875
2017-07-28,0,0,7.555903168896874
2017-07-29,9,0,-1.6047269550718757
2017-07-30,14,0,21.1385917375
2017-07-31,10,0,-1.797470508750001
2017-08-01,0,0,-1.5475623067656243
2017-08-02,0,0,1.9576709861359383
2017-08-03,1,0,-1.0862200431953102
2017-08-04,0,0,9.266707125026564
2017-08-05,3,0,-1.5780820725718745
2017-08-06,2,0,-0.8448005028234367
2017-08-07,8,0,1.4450531674062506
2017-08-08,13,0,2.3595458936937512
2017-08-09,4,0,-0.5928474412859372
2017-08-10,1,0,-0.3523250640468747
2017-08-11,11,4,3.737041479892188
2017-08-12,1,4,4.41009586984375
2017-08-13,0,1,1.161337199640625
2017-08-14,17,0,2.3993265699999995
2017-08-15,10,2,-0.66756771478125
2017-08-16,13,0,10.594717855881251
2017-08-17,10,1,10.614746642392188
2017-08-18,0,0,2.1005941524999994
2017-08-19,0,4,-1.4219160083125004
2017-08-20,25,1,3.1076020947781258
2017-08-21,1,1,2.9663537725390636
2017-08-22,22,0,2.9536642183812507
2017-08-23,0,0,9.936361633642187
2017-08-24,4,0,5.232326151828125
2017-08-25,4,0,-1.7076989190828125
2017-08-26,6,0,-0.9673245324937494
2017-08-27,0,2,-0.6218727451437487
2017-08-28,6,0,-0.45721783706249847
2017-08-29,22,0,0.6261571652937511
2017-08-30,0,0,-0.3860334084562493
2017-08-31,0,0,-0.26150272706562444
2017-09-01,13,2,-0.18786556900468712
2017-09-02,0,0,-0.07945446775156227
2017-09-03,0,0,4.98388325
2017-09-04,5,3,-0.5131620125000004
2017-09-05,2,0,-0.23609369625000015
2017-09-06,10,0,-0.15206831301562507
2017-09-07,0,0,-0.11171135253593709
2017-09-08,0,0,-0.08058374999999973
2017-09-09,0,0,-0.06581006249999981
2017-09-10,0,0,-0.05546848124999983
2017-09-11,2,4,2.9521584349218752
2017-09-12,2,0,0.6580057373203123
2017-09-13,0,0,3.7649999999999997
2017-09-14,5,4,0.4694999999999996
2017-09-15,1,0,0.6295124999999999
2017-09-16,0,0,-0.32801274999999996
2017-09-17,1,2,-0.2117527874999996
2017-09-18,14,3,-0.16007260124999959
2017-09-19,3,1,-0.1292259352968746
2017-09-20,3,1,-0.10841841812343718
2017-09-21,0,4,0.9290721866515627
2017-09-22,0,0,7.845742580590625
2017-09-23,0,1,3.137032834448437
2017-09-24,4,1,-0.7968988525359382
2017-09-25,13,0,0.5713374999999998
2017-09-26,14,0,-0.39541674999999954
2017-09-27,22,0,5.730253987500001
2017-09-28,23,0,-0.80935679625
2017-09-29,17,0,-0.44162843301562466
2017-09-30,1,0,-0.31643689166093725
2017-10-01,0,6,-0.24260108484999923
2017-10-02,3,0,3.8586103936062504
2017-10-03,6,0,3.511459611984375
2017-10-04,5,6,-0.6549610300359378
2017-10-05,10,0,7.64859012190625
2017-10-06,21,0,-1.0470431152156254
2017-10-07,0,4,-0.5071169999999998
2017-10-08,0,1,-0.3451150499999998
2017-10-09,0,2,9.737677165000001
2017-10-10,0,0,4.788417962937499
2017-10-11,10,0,3.7728352377937497
2017-10-12,1,0,2.8226550198562492
2017-10-13,13,0,-1.0791715041249996
2017-10-14,0,0,-0.6748333202874991
2017-10-15,10,0,0.554366875000001
2017-10-16,5,0,0.5468572125000011
2017-10-17,7,3,1.5624776298437508
2017-10-18,9,1,2.4769850652968755
2017-10-19,5,0,0.41822803470625014
2017-10-20,21,0,6.590953235257812
2017-10-21,0,0,-0.9346991726437504
2017-10-22,6,0,-0.46197670874999985
2017-10-23,18,0,-0.3154987842656248
2017-10-24,12,0,0.7596051544484383
2017-10-25,4,0,-0.286795829817187
2017-10-26,1,0,1.8062695721312503
2017-10-27,22,0,-0.3409207443734374
2017-10-28,3,0,-0.18603954364531228
2017-10-29,13,0,-0.13190871775156235
2017-10-30,3,0,1.9455129875000001
2017-10-31,0,0,2.75667280375
2017-11-01,8,0,1.5741076619843748
2017-11-02,8,0,2.5774137549640623
2017-11-03,1,0,1.4640383739687497
2017-11-04,0,0,0.49698129492812504
2017-11-05,0,0,6.608500725
2017-11-06,4,0,0.042105569999999815
2017-11-07,7,2,5.38808301021875
2017-11-08,5,2,1.9954279258812497
2017-11-09,3,0,1.136807452610938
2017-11-10,2,0,2.2796682008812503
2017-11-11,4,1,0.23684728261093801
2017-11-12,2,3,-0.5678719043374993
2017-11-13,5,0,1.6143819351046882
2017-11-14,5,3,-0.49712949576718685
2017-11-15,10,1,2.715573405620313
2017-11-16,6,1,2.4861117657375003
2017-11-17,2,0,2.4328987151109374
2017-11-18,21,1,-0.6093298403687502
2017-11-19,15,0,11.656423604376563
2017-11-20,10,0,1.573576004964062
2017-11-21,0,0,7.99103958646875
2017-11-22,10,0,5.485084918678124
2017-11-23,1,0,0.4600779347031252
2017-11-24,6,0,-0.11407108540468691
2017-11-25,0,1,-0.8356583966546863
2017-11-26,1,1,8.41050479989219
2017-11-27,5,3,0.6507987925625005
2017-11-28,14,2,1.0206354767718757
2017-11-29,6,2,15.222091976501563
2017-11-30,2,0,1.8891202310671873
2017-12-01,3,0,-0.4523980400328127
2017-12-02,0,3,8.0456173694125
2017-12-03,0,0,0.44360035621406335
2017-12-04,0,1,-1.108644234640624
2017-12-05,8,0,-0.7591353913546866
2017-12-06,11,0,2.4748392288968764
2017-12-07,16,1,2.286196739178126
2017-12-08,18,2,2.2305597986125005
2017-12-09,2,0,-0.6898310144093749
2017-12-10,14,0,-0.39918856217656207
2017-12-11,10,0,6.709435951145313
2017-12-12,30,0,-0.866621492571875
2017-12-13,14,0,0.5638826237500001
2017-12-14,3,0,-0.40097206529687496
2017-12-15,6,0,-0.2768200854046868
2017-12-16,0,0,-0.19521874665468703
2017-12-17,1,0,2.8620068548921878
2017-12-18,0,0,-0.39377262375
2017-12-19,0,0,3.784859796390625
2017-12-20,3,0,5.444614335998438
2017-12-21,9,0,3.1484441869843747
2017-12-22,5,0,5.159250897464062
2017-12-23,17,2,-0.0731360375000003
2017-12-24,6,0,2.2942769112500003
2017-12-25,7,1,-0.7767034890468746
2017-12-26,4,0,-0.5004854176078115
2017-12-27,0,0,-0.36034647956249927
2017-12-28,7,0,-0.2924563982374991
2017-12-29,7,1,-0.2167408072781244
2017-12-30,1,0,-0.14158502198749962
2017-12-31,0,4,3.90675748301875
2018-01-01,0,7,-0.43710379158281276
2018-01-02,4,5,5.794803442392188
2018-01-03,18,6,-0.7140000000000006
2018-01-04,2,2,1.64735
2018-01-05,8,4,1.564533
2018-01-06,0,1,-0.46662304999999965
2018-01-07,19,5,-0.2880752849999997
2018-01-08,4,2,13.7844296729375
2018-01-09,0,5,0.4262839123562494
2018-01-10,9,0,1.0540325969062496
2018-01-11,13,0,-0.7879045327156252
2018-01-12,6,1,-0.477599018531249
2018-01-13,0,0,0.6401061688968759
2018-01-14,3,0,0.6253756199281257
2018-01-15,12,2,3.6411307275000007
2018-01-16,0,0,4.34403220028125
2018-01-17,3,0,-0.8880704540343751
2018-01-18,4,0,3.588286418896875
2018-01-19,12,0,11.328773532428125
2018-01-20,6,0,-1.5720352087500005
2018-01-21,12,0,1.192106190734375
2018-01-22,2,1,-0.7528020130515622
2018-01-23,8,0,2.495442414151564
2018-01-24,21,0,-0.6844860252218743
2018-01-25,15,0,2.5793618023203133
2018-01-26,3,0,2.4108688929375
2018-01-27,1,0,-0.6717266913312496
2018-01-28,7,2,-0.39182387293124965
2018-01-29,12,0,0.7938898364687503
2018-01-30,13,2,3.7395834561781256
2018-01-31,15,2,2.438458773453125
2018-02-01,18,2,-0.6064636838578126
2018-02-02,2,2,-0.3316485277968749
2018-02-03,0,0,0.761831753345313
2018-02-04,6,2,-0.2648130701078121
2018-02-05,26,0,5.842908003750001
2018-02-06,23,0,0.2780708644843747
2018-02-07,0,0,3.5293843066515627
2018-02-08,2,0,-0.6944170991906253
2018-02-09,2,0,1.629166429892188
2018-02-10,2,4,-0.44245669624999984
2018-02-11,1,2,-0.27730713801562445
2018-02-12,10,1,-0.20959004253593708
2018-02-13,13,0,-0.1624766243437495
2018-02-14,7,0,-0.1365697132312496
2018-02-15,4,0,3.927003870401563
2018-02-16,15,0,1.5442171973562497
2018-02-17,0,1,0.6008633739687497
2018-02-18,2,0,-0.3207977050718752
2018-02-19,0,0,-0.1846499999999998
2018-02-20,11,0,2.865708
2018-02-21,4,2,-0.40554404999999993
2018-02-22,12,0,-0.22181555999999983
2018-02-23,3,1,10.8408773429375
2018-02-24,0,0,8.774186767575
2018-02-25,5,0,-1.5697162680875012
2018-02-26,2,0,1.188615109964062
2018-02-27,0,0,4.254431411250001
2018-02-28,3,0,3.997385810953126
2018-03-01,7,2,4.886853804892188
2018-03-02,0,1,1.7375242162500002
2018-03-03,6,0,-1.0642344056718744
2018-03-04,4,0,5.295709216948438
2018-03-05,4,1,0.9379552696406255
2018-03-06,1,0,-0.7691031697812494
2018-03-07,2,0,13.4915699236
2018-03-08,5,0,-1.7768590427578128
2018-03-09,2,0,1.0992892704765629
2018-03-10,1,0,1.2106963707375
2018-03-11,0,0,-0.6973577601078114
2018-03-12,7,0,7.547768229406251
2018-03-13,4,0,-1.152122916246875
2018-03-14,0,2,-0.6056679525718744
2018-03-15,0,0,-0.42051390721874965
2018-03-16,0,0,2.668604646996876
2018-03-17,5,0,-0.4702580185312497
2018-03-18,2,0,-0.27623043110312473
2018-03-19,6,0,0.8089527249281252
2018-03-20,7,1,-0.23853400412499967
2018-03-21,0,0,0.8394589297125004
2018-03-22,4,0,6.8320139625
2018-03-23,1,2,-0.7989435887500005
2018-03-24,0,1,-0.38832168904687514
2018-03-25,1,1,-0.25852107010781245
2018-03-26,0,0,-0.17184794624999938
2018-03-27,0,0,-0.13554757551562457
2018-03-28,1,0,-0.11162663628593716
2018-03-29,0,0,0.9127758132343753
2018-03-30,0,2,-0.1753770436453124
2018-03-31,0,0,-0.10379196775156238
2018-04-01,0,4,-0.028500000000000022
2018-04-02,1,6,-0.020662499999999924
2018-04-03,6,0,4.98388325
2018-04-04,5,1,0.4868379874999996
2018-04-05,0,3,1.6639063037499997
2018-04-06,8,5,-0.3970683130156253
2018-04-07,4,0,-0.23021135253593716
2018-04-08,1,0,-0.1582462499999997
2018-04-09,5,0,2.8767481875000005
2018-04-10,3,0,-0.4008639937499999
2018-04-11,3,1,-0.22025928632812486
2018-04-12,1,1,-0.15924996819531237
2018-04-13,1,1,0.9104770214328128
2018-04-14,1,1,0.8348520449281251
2018-04-15,0,3,-0.1844860375
2018-04-16,0,0,-0.10678108874999995
2018-04-17,1,0,2.9221325609531252
2018-04-18,5,0,1.6380241923921874
2018-04-19,4,0,-0.3642787625000002
2018-04-20,2,0,-0.19975570875000004
2018-04-21,0,0,-0.13964950926562475
2018-04-22,0,0,-0.10764241555156215
2018-04-23,3,4,-0.08011839003593726
2018-04-24,2,0,-0.05960511374999983
2018-04-25,9,0,-0.050892331546874864
2018-04-26,1,0,-0.044333183639062385
2018-04-27,8,0,-0.016797705071874957
2018-04-28,2,0,0.0
2018-04-29,1,0,0.0
2018-04-30,7,0,0.0
2018-05-01,0,0,0.0
2018-05-02,0,0,0.0
2018-05-03,14,0,0.0
2018-05-04,5,0,0.0
2018-05-05,0,0,0.0
2018-05-06,0,0,0.0
2018-05-07,9,1,0.0
2018-05-08,6,0,4.0
2018-05-09,5,0,-0.40000000000000036
2018-05-10,1,0,-0.18000000000000013
2018-05-11,3,1,-0.11400000000000009
2018-05-12,5,0,-0.0826499999999997
2018-05-13,6,0,-0.06446699999999979
2018-05-14,7,3,-0.05264804999999984
2018-05-15,0,0,-0.04437478499999987
2018-05-16,1,0,4.9617267479375
2018-05-17,4,0,1.4664045898562497
2018-05-18,1,0,-0.4250000000000004
2018-05-19,0,0,-0.23250000000000015
2018-05-20,0,0,5.8396875
2018-05-21,4,0,-0.7219087500000001
2018-05-22,0,1,1.6319564375
2018-05-23,2,0,-0.45279250625000006
2018-05-24,2,0,-0.2840039575781244
2018-05-25,2,0,0.7851686112890629
2018-05-26,0,0,5.762905219928125
2018-05-27,1,0,-0.7437956775000003
2018-05-28,6,0,-0.38223390309375
2018-05-29,1,0,-0.2642430077156248
2018-05-30,2,0,0.8407716239687506
2018-05-31,0,0,0.7733397824281253
2018-06-01,0,0,3.76493422875
2018-06-02,0,0,-0.5496304905156252
2018-06-03,0,0,-0.29497123062968744
2018-06-04,3,0,-0.20117236521562482
2018-06-05,6,0,-0.11192876249999961
2018-06-06,5,0,-0.08872270874999971
2018-06-07,3,0,21.926689940734374
2018-06-08,2,0,-0.2623419505515643
2018-06-09,0,0,1.7633278954015617
2018-06-10,4,3,-1.0505954101437507
2018-06-11,7,0,5.353425000000001
2018-06-12,6,0,3.918606500000001
2018-06-13,4,0,-0.1537852749999995
2018-06-14,2,0,4.1852644075
2018-06-15,1,0,1.9163486836562504
2018-06-16,2,0,0.00929452942812592
2018-06-17,0,0,0.39677903088125044
2018-06-18,0,0,2.492501952392188
2018-06-19,0,0,13.35788837815625
2018-06-20,2,0,-1.8076511890437508
2018-06-21,2,2,0.10120365555468758
2018-06-22,3,0,1.3202122311359377
2018-06-23,1,0,-0.6775801604765612
2018-06-24,0,0,-0.4294791043734366
2018-06-25,4,0,-0.31317892930156177
2018-06-26,2,0,0.7501427109171883
2018-06-27,2,0,-0.304548452326562
2018-06-28,3,0,-0.20000165675312462
