,apple/swift,JetBrains/kotlin,rust-lang/rust
2014-08-17,0,0,24
2014-08-18,22,5,30
2014-08-19,28,12,34
2014-08-20,29,27,22
2014-08-21,61,13,36
2014-08-22,33,18,18
2014-08-23,5,2,25
2014-08-24,0,0,23
2014-08-25,15,13,16
2014-08-26,19,7,15
2014-08-27,29,43,23
2014-08-28,51,4,21
2014-08-29,46,19,30
2014-08-30,15,0,23
2014-08-31,6,0,35
2014-09-01,14,29,11
2014-09-02,20,11,21
2014-09-03,27,11,18
2014-09-04,38,0,24
2014-09-05,17,7,31
2014-09-06,10,7,19
2014-09-07,1,0,25
2014-09-08,23,6,24
2014-09-09,24,36,45
2014-09-10,39,18,25
2014-09-11,37,25,19
2014-09-12,32,9,26
2014-09-13,5,0,15
2014-09-14,0,0,35
2014-09-15,21,31,36
2014-09-16,37,18,22
2014-09-17,47,10,61
2014-09-18,52,19,30
2014-09-19,36,9,21
2014-09-20,4,0,18
2014-09-21,9,0,12
2014-09-22,27,3,43
2014-09-23,50,26,19
2014-09-24,26,23,34
2014-09-25,20,38,31
2014-09-26,15,41,21
2014-09-27,12,1,16
2014-09-28,29,24,9
2014-09-29,26,14,47
2014-09-30,37,22,37
2014-10-01,32,24,40
2014-10-02,32,11,67
2014-10-03,25,90,43
2014-10-04,12,0,22
2014-10-05,7,0,27
2014-10-06,26,45,25
2014-10-07,25,38,29
2014-10-08,25,29,23
2014-10-09,38,24,48
2014-10-10,34,23,12
2014-10-11,11,3,25
2014-10-12,3,0,23
2014-10-13,16,122,41
2014-10-14,23,32,22
2014-10-15,44,29,28
2014-10-16,17,33,27
2014-10-17,14,14,21
2014-10-18,7,11,17
2014-10-19,3,0,16
2014-10-20,24,23,15
2014-10-21,15,21,23
2014-10-22,8,75,20
2014-10-23,22,1,21
2014-10-24,29,11,19
2014-10-25,8,0,26
2014-10-26,12,0,21
2014-10-27,20,10,53
2014-10-28,20,8,41
2014-10-29,17,6,24
2014-10-30,9,44,45
2014-10-31,19,36,37
2014-11-01,14,2,18
2014-11-02,14,1,30
2014-11-03,18,0,76
2014-11-04,14,0,24
2014-11-05,15,33,34
2014-11-06,20,15,69
2014-11-07,25,64,40
2014-11-08,16,8,18
2014-11-09,15,0,31
2014-11-10,13,20,18
2014-11-11,40,32,18
2014-11-12,35,65,32
2014-11-13,18,38,20
2014-11-14,29,29,20
2014-11-15,16,0,14
2014-11-16,6,0,42
2014-11-17,29,46,62
2014-11-18,27,14,42
2014-11-19,33,13,73
2014-11-20,38,24,38
2014-11-21,47,48,55
2014-11-22,17,0,18
2014-11-23,4,0,46
2014-11-24,11,61,25
2014-11-25,2,40,36
2014-11-26,2,19,33
2014-11-27,0,27,45
2014-11-28,4,43,11
2014-11-29,0,0,7
2014-11-30,1,0,16
2014-12-01,12,68,12
2014-12-02,22,13,18
2014-12-03,39,69,33
2014-12-04,28,1,41
2014-12-05,46,11,60
2014-12-06,15,0,17
2014-12-07,2,0,51
2014-12-08,19,41,27
2014-12-09,18,3,42
2014-12-10,15,26,20
2014-12-11,20,25,17
2014-12-12,28,74,24
2014-12-13,16,0,122
2014-12-14,11,1,79
2014-12-15,19,55,47
2014-12-16,15,52,37
2014-12-17,31,3,63
2014-12-18,24,54,41
2014-12-19,26,12,103
2014-12-20,17,4,45
2014-12-21,3,36,57
2014-12-22,19,4,62
2014-12-23,42,50,26
2014-12-24,15,38,22
2014-12-25,0,11,35
2014-12-26,3,29,30
2014-12-27,3,1,27
2014-12-28,2,0,35
2014-12-29,0,48,63
2014-12-30,0,2,126
2014-12-31,0,19,42
2015-01-01,4,0,49
2015-01-02,1,15,70
2015-01-03,0,16,61
2015-01-04,2,0,60
2015-01-05,15,11,127
2015-01-06,25,5,136
2015-01-07,12,1,78
2015-01-08,35,7,109
2015-01-09,43,4,43
2015-01-10,18,13,33
2015-01-11,10,12,48
2015-01-12,10,35,86
2015-01-13,27,16,32
2015-01-14,22,28,34
2015-01-15,28,9,91
2015-01-16,28,4,50
2015-01-17,7,0,44
2015-01-18,2,0,46
2015-01-19,34,17,43
2015-01-20,35,17,72
2015-01-21,34,36,96
2015-01-22,40,26,51
2015-01-23,33,0,28
2015-01-24,16,0,43
2015-01-25,9,0,22
2015-01-26,12,4,31
2015-01-27,24,4,66
2015-01-28,41,16,44
2015-01-29,27,38,40
2015-01-30,27,23,65
2015-01-31,18,0,28
2015-02-01,7,0,36
2015-02-02,17,13,51
2015-02-03,18,8,43
2015-02-04,51,13,21
2015-02-05,37,13,49
2015-02-06,33,34,71
2015-02-07,16,0,35
2015-02-08,0,0,18
2015-02-09,15,37,21
2015-02-10,42,28,66
2015-02-11,58,40,75
2015-02-12,48,28,39
2015-02-13,31,22,46
2015-02-14,11,0,25
2015-02-15,7,0,71
2015-02-16,21,69,71
2015-02-17,23,5,86
2015-02-18,25,35,123
2015-02-19,18,32,36
2015-02-20,32,36,17
2015-02-21,30,1,53
2015-02-22,4,1,72
2015-02-23,10,0,64
2015-02-24,27,8,105
2015-02-25,16,10,32
2015-02-26,30,181,31
2015-02-27,57,10,34
2015-02-28,14,0,41
2015-03-01,17,0,43
2015-03-02,31,8,32
2015-03-03,31,29,76
2015-03-04,44,34,31
2015-03-05,20,34,55
2015-03-06,27,92,59
2015-03-07,19,0,15
2015-03-08,20,0,38
2015-03-09,33,0,35
2015-03-10,56,25,33
2015-03-11,36,97,24
2015-03-12,70,50,33
2015-03-13,39,34,29
2015-03-14,27,1,18
2015-03-15,30,1,42
2015-03-16,23,48,30
2015-03-17,39,38,53
2015-03-18,38,80,37
2015-03-19,49,8,57
2015-03-20,35,28,41
2015-03-21,15,10,10
2015-03-22,19,0,23
2015-03-23,36,29,96
2015-03-24,44,30,65
2015-03-25,49,24,24
2015-03-26,46,15,44
2015-03-27,39,19,79
2015-03-28,29,0,26
2015-03-29,19,0,34
2015-03-30,24,34,37
2015-03-31,35,41,75
2015-04-01,49,45,95
2015-04-02,61,30,34
2015-04-03,35,44,37
2015-04-04,30,7,42
2015-04-05,31,1,18
2015-04-06,19,21,21
2015-04-07,51,88,43
2015-04-08,36,18,68
2015-04-09,41,41,38
2015-04-10,28,16,57
2015-04-11,11,0,45
2015-04-12,6,0,21
2015-04-13,17,30,36
2015-04-14,25,15,86
2015-04-15,36,24,49
2015-04-16,42,89,31
2015-04-17,51,18,75
2015-04-18,10,4,35
2015-04-19,12,0,22
2015-04-20,38,12,35
2015-04-21,24,26,99
2015-04-22,74,47,30
2015-04-23,44,46,45
2015-04-24,37,29,63
2015-04-25,9,0,50
2015-04-26,53,0,25
2015-04-27,63,42,51
2015-04-28,44,21,31
2015-04-29,53,43,97
2015-04-30,50,7,70
2015-05-01,41,6,44
2015-05-02,31,32,36
2015-05-03,10,0,23
2015-05-04,34,0,43
2015-05-05,47,4,52
2015-05-06,40,7,58
2015-05-07,69,28,56
2015-05-08,41,51,43
2015-05-09,36,1,37
2015-05-10,15,0,54
2015-05-11,39,4,54
2015-05-12,45,15,63
2015-05-13,41,132,66
2015-05-14,45,50,52
2015-05-15,57,23,53
2015-05-16,14,25,39
2015-05-17,20,8,40
2015-05-18,43,32,33
2015-05-19,58,24,84
2015-05-20,52,47,36
2015-05-21,31,52,35
2015-05-22,33,16,21
2015-05-23,37,0,34
2015-05-24,22,7,26
2015-05-25,9,24,34
2015-05-26,29,97,35
2015-05-27,40,121,30
2015-05-28,32,27,41
2015-05-29,30,20,41
2015-05-30,13,4,20
2015-05-31,18,1,22
2015-06-01,15,38,28
2015-06-02,37,48,34
2015-06-03,25,40,26
2015-06-04,21,43,30
2015-06-05,11,19,25
2015-06-06,10,1,30
2015-06-07,4,0,20
2015-06-08,12,34,44
2015-06-09,5,14,58
2015-06-10,6,29,40
2015-06-11,0,58,36
2015-06-12,6,19,35
2015-06-13,2,4,25
2015-06-14,3,0,18
2015-06-15,19,54,35
2015-06-16,16,18,19
2015-06-17,57,48,52
2015-06-18,26,29,51
2015-06-19,25,22,36
2015-06-20,10,0,37
2015-06-21,2,0,28
2015-06-22,19,8,28
2015-06-23,23,57,44
2015-06-24,63,23,40
2015-06-25,64,46,36
2015-06-26,33,7,25
2015-06-27,19,13,21
2015-06-28,8,0,9
2015-06-29,19,54,32
2015-06-30,25,19,57
2015-07-01,41,16,37
2015-07-02,35,10,28
2015-07-03,7,30,26
2015-07-04,3,6,28
2015-07-05,0,0,35
2015-07-06,12,29,35
2015-07-07,21,33,29
2015-07-08,49,17,46
2015-07-09,40,66,32
2015-07-10,48,60,27
2015-07-11,25,1,27
2015-07-12,8,0,32
2015-07-13,44,7,38
2015-07-14,22,12,39
2015-07-15,36,24,11
2015-07-16,48,94,47
2015-07-17,51,42,37
2015-07-18,28,0,33
2015-07-19,13,5,24
2015-07-20,27,9,52
2015-07-21,50,88,46
2015-07-22,41,28,63
2015-07-23,38,30,45
2015-07-24,40,43,60
2015-07-25,36,0,34
2015-07-26,30,0,35
2015-07-27,31,13,32
2015-07-28,31,47,52
2015-07-29,28,45,53
2015-07-30,39,30,32
2015-07-31,60,28,31
2015-08-01,31,0,16
2015-08-02,12,0,21
2015-08-03,25,28,20
2015-08-04,39,22,40
2015-08-05,16,8,37
2015-08-06,23,24,41
2015-08-07,17,51,23
2015-08-08,11,1,16
2015-08-09,1,1,21
2015-08-10,22,41,27
2015-08-11,19,29,66
2015-08-12,28,9,109
2015-08-13,40,9,78
2015-08-14,17,14,28
2015-08-15,3,7,36
2015-08-16,6,0,40
2015-08-17,17,12,81
2015-08-18,36,35,42
2015-08-19,30,48,39
2015-08-20,16,7,26
2015-08-21,25,15,29
2015-08-22,16,0,49
2015-08-23,6,10,25
2015-08-24,15,42,42
2015-08-25,19,24,67
2015-08-26,44,29,44
2015-08-27,35,40,44
2015-08-28,14,51,28
2015-08-29,11,9,23
2015-08-30,12,0,29
2015-08-31,3,81,37
2015-09-01,20,31,51
2015-09-02,30,38,41
2015-09-03,31,62,60
2015-09-04,21,54,66
2015-09-05,20,0,31
2015-09-06,11,7,49
2015-09-07,17,150,27
2015-09-08,37,153,30
2015-09-09,32,49,29
2015-09-10,39,52,43
2015-09-11,35,35,32
2015-09-12,11,10,19
2015-09-13,0,1,15
2015-09-14,21,27,40
2015-09-15,29,22,32
2015-09-16,34,18,25
2015-09-17,28,6,56
2015-09-18,34,89,25
2015-09-19,7,9,52
2015-09-20,10,0,44
2015-09-21,28,54,29
2015-09-22,29,38,30
2015-09-23,21,45,19
2015-09-24,21,28,47
2015-09-25,35,170,32
2015-09-26,11,2,44
2015-09-27,4,3,31
2015-09-28,22,19,15
2015-09-29,32,43,27
2015-09-30,25,29,62
2015-10-01,35,88,53
2015-10-02,18,30,54
2015-10-03,8,51,23
2015-10-04,8,2,11
2015-10-05,14,27,25
2015-10-06,25,26,37
2015-10-07,25,123,47
2015-10-08,32,35,60
2015-10-09,45,76,32
2015-10-10,17,9,19
2015-10-11,19,48,19
2015-10-12,17,34,29
2015-10-13,31,46,53
2015-10-14,22,84,41
2015-10-15,11,61,46
2015-10-16,18,97,31
2015-10-17,8,11,22
2015-10-18,4,12,25
2015-10-19,18,172,40
2015-10-20,20,32,31
2015-10-21,23,34,25
2015-10-22,12,41,31
2015-10-23,14,5,44
2015-10-24,22,13,26
2015-10-25,8,1,31
2015-10-26,12,70,32
2015-10-27,21,34,38
2015-10-28,27,53,49
2015-10-29,0,29,33
2015-10-30,0,58,15
2015-10-31,3,9,11
2015-11-01,0,0,19
2015-11-02,19,67,19
2015-11-03,39,40,58
2015-11-04,30,52,32
2015-11-05,42,50,47
2015-11-06,45,46,24
2015-11-07,29,0,17
2015-11-08,27,0,26
2015-11-09,15,43,30
2015-11-10,33,66,41
