,kubernetes/kubernetes,docker-archive/classicswarm,hashicorp/nomad
2015-07-01,92,13.0,0
2015-07-02,29,5.699999999999999,0
2015-07-03,22,-1.285000000000001,3
2015-07-04,12,0.31449999999999956,8
2015-07-05,9,2.4318875000000006,0
2015-07-06,64,4.300844750000001,10
2015-07-07,85,14.0525765875,3
2015-07-08,107,-1.067514638750001,0
2015-07-09,83,1.8023518070468751,0
2015-07-10,82,4.8865119634234375,0
2015-07-11,43,-0.2633929515015614,0
2015-07-12,6,0.17342678573437587,0
2015-07-13,89,0.31589328966718844,0
2015-07-14,71,7.401569171064064,0
2015-07-15,70,-0.22696169166406222,0
2015-07-16,27,7.2269164851953125,0
2015-07-17,74,3.773392768417187,0
2015-07-18,60,-1.1767788944515623,0
2015-07-19,60,4.31318636301875,0
2015-07-20,66,0.041726288198438044,0
2015-07-21,8,1.3228747519484383,0
2015-07-22,26,0.330581097089063,0
2015-07-23,98,-0.5531312658031242,6
2015-07-24,133,-0.34366008791093683,11
2015-07-25,21,-0.26678419786562435,0
2015-07-26,4,-0.163520756429687,0
2015-07-27,56,-0.10137603632812471,5
2015-07-28,33,0.9130880193046877,8
2015-07-29,72,6.861370825182813,6
2015-07-30,61,3.228633981912499,0
2015-07-31,68,7.248101147464062,0
2015-08-01,13,0.7998374999999991,0
2015-08-02,3,-0.83475425,0
2015-08-03,45,-0.5266292624999995,0
2015-08-04,51,6.610005216250001,5
2015-08-05,66,4.989868763234376,22
2015-08-06,73,1.8277185713546875,9
2015-08-07,81,4.018361185185937,8
2015-08-08,12,3.91703319323125,0
2015-08-09,5,-1.1336196963187497,0
2015-08-10,87,3.3648802074281257,0
2015-08-11,63,5.149209301250001,6
2015-08-12,87,0.8630773438906254,5
2015-08-13,65,0.12012325290468784,22
2015-08-14,51,0.3559734019875005,23
2015-08-15,11,3.481051396064063,19
2015-08-16,1,0.24599062224218793,20
2015-08-17,72,-0.5267371226796871,4
2015-08-18,78,-0.3269387045624996,0
2015-08-19,70,0.7463785567625008,0
2015-08-20,65,2.7210850500031256,12
2015-08-21,72,-0.4512245143375,1
2015-08-22,14,-0.2390039630515624,0
2015-08-23,3,-0.16392830084843735,27
2015-08-24,63,-0.1212679731593746,4
2015-08-25,56,-0.06991111503593728,7
2015-08-26,56,1.9494202662500002,10
2015-08-27,40,3.757150598234375,20
2015-08-28,56,0.47289620841718716,7
2015-08-29,21,2.6378034423921872,7
2015-08-30,3,-0.5003250000000002,6
2015-08-31,38,2.7216165000000005,13
2015-09-01,70,10.503046475,9
2015-09-02,65,1.6120603074999993,1
2015-09-03,61,5.9944763264687495,6
2015-09-04,68,-0.31613819088437545,6
2015-09-05,8,0.1474174380906258,0
2015-09-06,7,-0.6603615790828117,29
2015-09-07,19,0.5302524661421887,37
2015-09-08,49,1.547798614703126,16
2015-09-09,59,2.462357572970313,15
2015-09-10,77,2.353473046807813,20
2015-09-11,72,1.3709070425328125,22
2015-09-12,34,-0.5573957270171874,22
2015-09-13,13,-0.3008501780515622,22
2015-09-14,44,0.786845676214063,44
2015-09-15,66,0.7390830069843755,42
2015-09-16,73,1.7224638951828126,10
2015-09-17,93,2.62139224213125,7
2015-09-18,64,6.484748610845313,5
2015-09-19,32,1.026887566360937,17
2015-09-20,6,-0.6879014675718752,33
2015-09-21,64,-0.4079767087499998,31
2015-09-22,69,1.7030262157343758,83
2015-09-23,68,4.566217154448438,89
2015-09-24,64,2.2248158451828126,53
2015-09-25,85,2.26851745713125,53
2015-09-26,33,-0.7331871412171875,33
2015-09-27,2,-0.433974593782812,23
2015-09-28,35,-0.2711929800718744,48
2015-09-29,52,6.801664795000001,26
2015-09-30,98,4.13755860521875,7
2015-10-01,72,2.0475936035999998,11
2015-10-02,94,4.171519709523437,21
2015-10-03,17,-0.9760389966546875,16
2015-10-04,6,-0.5518263076078119,5
2015-10-05,88,1.6227946625000007,10
2015-10-06,66,1.5048713137500007,31
2015-10-07,79,4.467483540140625,15
2015-10-08,81,6.147275315920313,21
2015-10-09,91,20.850507317023435,14
2015-10-10,47,-0.8040966226859396,21
2015-10-11,3,-0.5933642876796879,34
2015-10-12,95,2.9092673325000002,23
2015-10-13,74,6.823473668968752,11
2015-10-14,61,7.412069600146876,3
