,swiftlang/swift,golang/go,rust-lang/rust
2022-08-17,42,37,88
2022-08-18,47,41,104
2022-08-19,49,41,89
2022-08-20,22,2,79
2022-08-21,20,0,117
2022-08-22,81,18,133
2022-08-23,64,35,134
2022-08-24,58,17,87
2022-08-25,48,14,67
2022-08-26,104,29,112
2022-08-27,16,4,92
2022-08-28,6,1,80
2022-08-29,26,21,87
2022-08-30,57,12,100
2022-08-31,72,32,124
2022-09-01,71,23,94
2022-09-02,60,51,87
2022-09-03,7,7,53
2022-09-04,9,1,60
2022-09-05,7,14,82
2022-09-06,41,39,75
2022-09-07,44,46,74
2022-09-08,59,27,96
2022-09-09,39,19,88
2022-09-10,29,0,72
2022-09-11,7,0,54
2022-09-12,50,0,126
2022-09-13,56,16,115
2022-09-14,47,9,103
2022-09-15,107,21,75
2022-09-16,42,22,94
2022-09-17,17,4,58
2022-09-18,24,1,46
2022-09-19,51,24,70
2022-09-20,75,10,82
2022-09-21,40,10,86
2022-09-22,49,5,103
2022-09-23,47,11,99
2022-09-24,13,1,93
2022-09-25,4,1,68
2022-09-26,37,23,101
2022-09-27,51,38,140
2022-09-28,49,31,64
2022-09-29,52,54,77
2022-09-30,60,24,82
2022-10-01,13,10,104
2022-10-02,1,4,91
2022-10-03,39,7,83
2022-10-04,66,15,65
2022-10-05,49,14,65
2022-10-06,25,10,78
2022-10-07,83,14,116
2022-10-08,21,4,60
2022-10-09,13,0,83
2022-10-10,52,13,108
2022-10-11,10,12,64
2022-10-12,21,17,74
2022-10-13,24,11,68
2022-10-14,43,17,87
2022-10-15,18,1,68
2022-10-16,4,0,70
2022-10-17,48,19,77
2022-10-18,29,13,65
2022-10-19,40,8,93
2022-10-20,77,9,104
2022-10-21,67,11,78
2022-10-22,45,0,64
2022-10-23,11,1,101
2022-10-24,42,15,106
2022-10-25,41,13,92
2022-10-26,33,16,95
2022-10-27,60,6,99
2022-10-28,49,8,74
2022-10-29,9,4,109
2022-10-30,26,0,39
2022-10-31,51,19,70
2022-11-01,60,19,71
2022-11-02,68,12,72
2022-11-03,56,24,52
2022-11-04,89,21,105
2022-11-05,25,1,102
2022-11-06,5,0,69
2022-11-07,56,17,158
2022-11-08,59,23,78
2022-11-09,83,25,122
2022-11-10,76,32,95
2022-11-11,64,14,86
2022-11-12,45,0,85
2022-11-13,7,0,71
2022-11-14,57,18,72
2022-11-15,52,45,102
2022-11-16,95,32,70
2022-11-17,64,25,70
2022-11-18,45,24,97
2022-11-19,23,13,105
2022-11-20,0,0,106
2022-11-21,6,20,130
2022-11-22,6,18,80
2022-11-23,7,14,90
2022-11-24,2,3,86
2022-11-25,0,0,170
2022-11-26,3,0,80
2022-11-27,2,0,88
2022-11-28,50,11,100
2022-11-29,116,5,100
2022-11-30,87,7,65
2022-12-01,90,18,90
2022-12-02,68,14,87
2022-12-03,24,1,75
2022-12-04,10,0,54
2022-12-05,32,8,53
2022-12-06,68,9,106
2022-12-07,58,11,60
2022-12-08,55,8,59
2022-12-09,58,3,83
