,jekyll/jekyll,getpelican/pelican,middleman/middleman
2010-11-14,0,1.0,0.0
2010-11-15,0,7.0,0.0
2010-11-16,0,3.0,0.0
2010-11-17,8,2.0,0.0
2010-11-18,3,2.0,0.0
2010-11-19,2,1.0,0.0
2010-11-20,1,8.0,0.0
2010-11-21,3,1.0,0.0
2010-11-22,0,0.0,0.0
2010-11-23,3,0.0,0.0
2010-11-24,0,2.0,0.0
2010-11-25,0,0.0,0.0
2010-11-26,0,1.0,0.0
2010-11-27,0,1.0,0.0
2010-11-28,0,0.0,0.0
2010-11-29,0,0.0,0.0
2010-11-30,1,0.0,0.0
2010-12-01,1,4.0,0.0
2010-12-02,0,1.0,0.0
2010-12-03,0,1.0,0.0
2010-12-04,0,0.0,0.0
2010-12-05,0,3.0,0.0
2010-12-06,0,2.0,0.0
2010-12-07,0,0.0,0.0
2010-12-08,0,0.0,0.0
2010-12-09,0,0.0,0.0
2010-12-10,0,2.0,0.0
2010-12-11,2,0.0,0.0
2010-12-12,0,2.0,0.0
2010-12-13,0,3.0,0.0
2010-12-14,5,4.0,0.0
2010-12-15,2,9.0,0.0
2010-12-16,0,7.0,0.0
2010-12-17,2,5.0,0.0
2010-12-18,0,11.0,0.0
2010-12-19,2,4.0,0.0
2010-12-20,0,5.0,0.0
2010-12-21,0,2.0,0.0
2010-12-22,0,3.0,0.0
2010-12-23,0,0.0,0.0
2010-12-24,0,0.0,2.0
2010-12-25,0,2.0,-0.20000000000000018
2010-12-26,0,1.0,-0.09000000000000007
2010-12-27,0,1.0,-0.057000000000000044
2010-12-28,0,0.0,-0.04132499999999985
2010-12-29,0,4.0,-0.032233499999999894
2010-12-30,0,0.0,-0.02632402499999992
2010-12-31,1,0.0,-0.022187392499999934
2011-01-01,0,2.0,1.98086337396875
2011-01-02,0,0.0,0.7832022949281249
2011-01-03,0,0.0,-0.19000000000000017
2011-01-04,0,0.0,-0.10200000000000008
2011-01-05,0,9.0,1.9301750000000002
2011-01-06,0,2.0,1.747104
2011-01-07,0,0.0,-0.33244077500000013
2011-01-08,0,0.0,-0.18234940500000002
2011-01-09,0,0.0,-0.1285553222812498
2011-01-10,0,0.0,0.9000754819125003
2011-01-11,0,1.0,-0.1669563775359374
2011-01-12,0,6.0,-0.09351141749999989
2011-01-13,1,0.0,-0.0698240185312499
2011-01-14,0,0.0,-0.056596831103124835
2011-01-15,0,0.0,-0.032914455071874904
2011-01-16,0,0.0,-0.01316201249999996
2011-01-17,0,0.0,-0.011093696249999967
2011-01-18,0,0.0,0.990431686984375
2011-01-19,0,2.0,-0.10839885253593756
2011-01-20,0,1.0,-0.04500000000000003
2011-01-21,0,0.0,-0.028500000000000022
2011-01-22,1,0.0,1.9793375
2011-01-23,4,1.0,-0.21611675000000014
2011-01-24,0,7.0,-0.10316201250000002
2011-01-25,0,8.0,-0.06809369625000002
2011-01-26,0,1.0,-0.05089331301562482
2011-01-27,4,0.0,-0.040632352535937374
2011-01-28,0,0.0,-0.02632402499999992
2011-01-29,0,0.0,-0.022187392499999934
2011-01-30,0,0.0,2.98086337396875
2011-01-31,0,0.0,-0.3167977050718752
2011-02-01,0,8.0,-0.1350000000000001
2011-02-02,0,0.0,-0.08550000000000006
2011-02-03,0,0.0,-0.06198749999999977
2011-02-04,0,0.0,-0.048350249999999845
2011-02-05,1,0.0,2.9605139625000003
2011-02-06,0,0.0,0.6667189112499998
2011-02-07,0,0.0,-0.2637049390468751
2011-02-08,0,0.0,-0.15569655760781254
2011-02-09,1,2.0,-0.09048749999999979
2011-02-10,0,2.0,-0.06901274999999976
2011-02-11,0,2.0,1.9443972125000002
2011-02-12,0,0.0,-0.24644310125000005
2011-02-13,0,0.0,0.870201364703125
2011-02-14,0,7.0,-0.19176487062343756
2011-02-15,0,12.0,-0.09472385253593736
2011-02-16,0,6.0,0.9392665000000001
2011-02-17,0,5.0,-0.14698652499999992
2011-02-18,0,4.0,-0.08330414249999991
2011-02-19,0,0.0,1.93920136146875
2011-02-20,0,0.0,-0.24855390132187502
2011-02-21,0,0.0,3.884314936984375
2011-02-22,0,5.0,-0.47856086503593787
2011-02-23,0,0.0,-0.23241869624999995
2011-02-24,0,2.0,-0.15580181301562496
2011-02-25,0,0.0,-0.11737287753593709
2011-02-26,0,1.0,-0.08665439249999972
2011-02-27,0,2.0,-0.0717846760312498
2011-02-28,0,0.0,-0.06117249007187482
2011-03-01,0,0.0,-0.0382732520624999
2011-03-02,1,0.0,-0.033595410143749914
2011-03-03,1,0.0,0.0
2011-03-04,0,0.0,0.0
2011-03-05,0,0.0,0.0
2011-03-06,3,0.0,0.0
2011-03-07,1,0.0,0.0
2011-03-08,3,2.0,0.0
2011-03-09,0,2.0,0.0
2011-03-10,0,0.0,0.0
2011-03-11,10,0.0,0.0
2011-03-12,2,0.0,0.0
2011-03-13,1,0.0,0.0
2011-03-14,0,0.0,0.0
2011-03-15,0,0.0,0.0
2011-03-16,0,0.0,1.0
2011-03-17,0,0.0,-0.10000000000000009
2011-03-18,0,0.0,-0.04500000000000003
2011-03-19,0,0.0,-0.028500000000000022
2011-03-20,0,0.0,-0.020662499999999924
2011-03-21,0,0.0,-0.016116749999999947
2011-03-22,0,0.0,-0.01316201249999996
2011-03-23,1,5.0,-0.011093696249999967
2011-03-24,0,0.0,-0.009568313015624975
2011-03-25,0,0.0,-0.008398852535937478
2011-03-26,0,1.0,0.0
2011-03-27,0,2.0,0.0
2011-03-28,0,0.0,0.0
2011-03-29,0,0.0,0.0
2011-03-30,0,0.0,0.0
2011-03-31,0,0.0,0.0
2011-04-01,0,0.0,0.0
2011-04-02,0,0.0,0.0
2011-04-03,0,0.0,0.0
2011-04-04,0,0.0,0.0
2011-04-05,0,0.0,0.0
2011-04-06,1,0.0,1.0
2011-04-07,0,0.0,-0.10000000000000009
2011-04-08,0,0.0,3.955
2011-04-09,0,0.0,-0.4285000000000004
2011-04-10,0,0.0,4.7993375
2011-04-11,0,0.0,-0.6301167500000004
2011-04-12,2,0.0,-0.3208120124999998
