,tryghost/ghost,WordPress/WordPress,getgrav/grav
2014-11-02,2,3,2
2014-11-03,5,45,1
2014-11-04,16,15,0
2014-11-05,9,10,3
2014-11-06,0,4,4
2014-11-07,2,9,1
2014-11-08,1,15,4
2014-11-09,2,1,8
2014-11-10,8,6,3
2014-11-11,6,11,0
2014-11-12,2,8,0
2014-11-13,12,22,3
2014-11-14,8,9,2
2014-11-15,9,3,0
2014-11-16,12,11,0
2014-11-17,22,9,9
2014-11-18,6,9,2
2014-11-19,10,13,2
2014-11-20,7,32,0
2014-11-21,5,18,1
2014-11-22,4,19,0
2014-11-23,4,6,1
2014-11-24,11,23,7
2014-11-25,4,17,0
2014-11-26,0,12,8
2014-11-27,5,7,0
2014-11-28,8,33,1
2014-11-29,11,2,0
2014-11-30,7,50,0
2014-12-01,22,17,11
2014-12-02,8,25,4
2014-12-03,19,16,0
2014-12-04,31,7,3
2014-12-05,8,5,9
2014-12-06,3,11,0
2014-12-07,2,26,0
2014-12-08,7,10,1
2014-12-09,7,4,0
2014-12-10,17,13,2
2014-12-11,13,7,0
2014-12-12,14,10,4
2014-12-13,2,4,0
2014-12-14,8,6,0
2014-12-15,23,18,0
2014-12-16,9,24,0
2014-12-17,10,8,2
2014-12-18,24,4,0
2014-12-19,10,0,0
2014-12-20,5,8,1
2014-12-21,5,0,1
2014-12-22,14,2,6
2014-12-23,12,2,0
2014-12-24,4,0,0
2014-12-25,4,0,0
2014-12-26,7,1,0
2014-12-27,2,0,0
2014-12-28,7,1,1
2014-12-29,10,5,1
2014-12-30,3,6,0
2014-12-31,4,10,3
2015-01-01,9,4,3
2015-01-02,9,4,0
2015-01-03,3,16,2
2015-01-04,6,8,2
2015-01-05,5,6,2
2015-01-06,7,8,5
2015-01-07,1,12,2
2015-01-08,8,27,12
2015-01-09,8,11,13
2015-01-10,2,20,9
2015-01-11,6,14,7
2015-01-12,9,17,0
2015-01-13,12,9,2
2015-01-14,6,4,0
2015-01-15,0,4,0
2015-01-16,5,36,8
2015-01-17,2,11,0
2015-01-18,3,7,2
2015-01-19,3,8,10
2015-01-20,3,7,9
2015-01-21,2,9,7
2015-01-22,2,5,5
2015-01-23,5,4,11
2015-01-24,4,2,7
2015-01-25,2,7,9
2015-01-26,3,3,12
2015-01-27,10,1,8
2015-01-28,4,1,7
2015-01-29,5,13,8
2015-01-30,6,8,1
2015-01-31,2,11,5
2015-02-01,7,2,1
2015-02-02,5,2,4
2015-02-03,5,7,6
2015-02-04,5,2,3
2015-02-05,3,12,2
2015-02-06,2,18,4
2015-02-07,1,4,4
2015-02-08,0,4,1
2015-02-09,3,18,1
2015-02-10,1,9,2
2015-02-11,0,20,1
2015-02-12,5,3,0
2015-02-13,10,18,2
2015-02-14,1,7,2
2015-02-15,2,2,13
2015-02-16,3,1,3
2015-02-17,9,3,5
2015-02-18,12,2,15
2015-02-19,0,3,6
2015-02-20,2,4,0
2015-02-21,2,0,3
2015-02-22,2,29,0
2015-02-23,2,12,1
2015-02-24,6,6,1
2015-02-25,6,14,0
2015-02-26,5,17,0
2015-02-27,3,22,4
2015-02-28,19,3,3
2015-03-01,0,7,5
2015-03-02,3,5,6
2015-03-03,6,6,0
2015-03-04,0,6,0
2015-03-05,0,21,0
2015-03-06,0,17,0
