,microsoft/vscode,pulsar-edit/pulsar,neovim/neovim
2020-02-13,75,5,22
2020-02-14,59,2,7
2020-02-15,13,0,1
2020-02-16,2,0,12
2020-02-17,66,2,11
2020-02-18,61,0,7
2020-02-19,88,0,5
2020-02-20,102,4,1
2020-02-21,77,0,5
2020-02-22,14,0,2
2020-02-23,31,0,9
2020-02-24,25,1,1
2020-02-25,35,7,1
2020-02-26,88,5,6
2020-02-27,71,5,6
2020-02-28,59,5,1
2020-02-29,4,1,4
2020-03-01,7,0,11
2020-03-02,72,1,20
2020-03-03,52,2,1
2020-03-04,86,3,0
2020-03-05,70,0,0
2020-03-06,62,1,1
2020-03-07,19,0,0
2020-03-08,8,0,6
2020-03-09,65,0,0
2020-03-10,55,1,0
2020-03-11,41,5,0
2020-03-12,58,0,2
2020-03-13,54,0,0
2020-03-14,9,0,0
2020-03-15,5,0,0
2020-03-16,43,1,1
2020-03-17,54,0,1
2020-03-18,58,0,0
2020-03-19,54,0,4
2020-03-20,36,0,0
2020-03-21,8,1,1
2020-03-22,3,0,2
2020-03-23,53,1,2
2020-03-24,72,0,0
2020-03-25,74,0,0
2020-03-26,89,3,0
2020-03-27,113,0,0
2020-03-28,21,2,2
2020-03-29,20,0,3
2020-03-30,84,0,1
2020-03-31,48,1,0
2020-04-01,74,0,3
2020-04-02,43,1,2
2020-04-03,57,1,0
2020-04-04,5,0,2
2020-04-05,14,0,0
2020-04-06,72,0,1
2020-04-07,76,0,1
2020-04-08,58,0,1
2020-04-09,82,0,0
2020-04-10,34,0,0
2020-04-11,21,0,0
2020-04-12,21,0,7
2020-04-13,45,1,30
2020-04-14,76,0,1
2020-04-15,62,1,3
2020-04-16,91,0,3
2020-04-17,105,0,1
2020-04-18,21,0,9
2020-04-19,36,0,4
2020-04-20,74,0,5
2020-04-21,85,0,8
2020-04-22,98,0,2
2020-04-23,70,0,1
2020-04-24,83,0,5
2020-04-25,7,1,4
2020-04-26,9,0,18
2020-04-27,107,0,12
2020-04-28,39,0,3
2020-04-29,72,0,3
2020-04-30,41,0,1
2020-05-01,17,0,5
2020-05-02,5,0,8
2020-05-03,7,0,13
2020-05-04,70,0,3
2020-05-05,69,0,9
2020-05-06,78,1,1
2020-05-07,75,2,11
2020-05-08,46,0,2
2020-05-09,8,0,4
2020-05-10,5,0,0
2020-05-11,68,0,1
2020-05-12,89,3,6
2020-05-13,81,1,0
2020-05-14,72,0,2
2020-05-15,78,2,3
2020-05-16,8,0,3
2020-05-17,10,0,3
2020-05-18,52,2,4
2020-05-19,44,18,5
2020-05-20,81,12,2
2020-05-21,12,0,6
2020-05-22,15,0,0
2020-05-23,12,2,4
2020-05-24,3,0,2
2020-05-25,43,0,7
2020-05-26,68,0,7
2020-05-27,80,8,0
2020-05-28,29,7,1
2020-05-29,54,1,1
2020-05-30,3,8,5
2020-05-31,13,1,4
2020-06-01,73,0,0
2020-06-02,32,2,4
2020-06-03,94,9,3
2020-06-04,53,1,6
2020-06-05,44,1,13
2020-06-06,5,5,5
2020-06-07,8,2,1
2020-06-08,75,2,2
2020-06-09,69,0,1
2020-06-10,58,1,5
2020-06-11,81,1,3
2020-06-12,81,8,2
2020-06-13,10,0,3
2020-06-14,6,0,2
2020-06-15,71,4,3
2020-06-16,78,3,3
2020-06-17,73,2,1
2020-06-18,58,3,17
2020-06-19,37,1,2
2020-06-20,11,0,0
2020-06-21,16,1,1
2020-06-22,73,2,5
2020-06-23,81,4,6
2020-06-24,71,7,2
2020-06-25,68,0,0
2020-06-26,61,4,0
2020-06-27,0,0,2
2020-06-28,12,0,0
2020-06-29,71,2,11
2020-06-30,37,0,2
2020-07-01,74,1,3
2020-07-02,38,0,6
2020-07-03,17,5,2
2020-07-04,6,0,10
2020-07-05,1,0,0
2020-07-06,42,1,3
2020-07-07,50,1,1
