,huggingface/transformers,EleutherAI/gpt-neox,eleutherai/gpt-neo
2021-03-22,10.0,0.0,22
2021-03-23,11.0,1.0,0
2021-03-24,4.349999999999999,0.0,0
2021-03-25,5.574999999999999,4.0,0
2021-03-26,1.4813749999999997,1.0,4
2021-03-27,-1.1951174999999992,0.0,1
2021-03-28,0.21650387500000123,0.0,6
2021-03-29,10.304280887500001,0.0,0
2021-03-30,9.37241568984375,3.0,2
2021-03-31,10.970645203453124,1.0,1
2021-04-01,4.5954994802249995,0.0,1
2021-04-02,-0.9925566450750001,0.0,13
2021-04-03,-1.2907306692984364,0.0,4
2021-04-04,-0.8714691413578106,0.0,0
2021-04-05,14.340963640734376,0.0,0
2021-04-06,9.959733133042189,6.0,2
2021-04-07,8.674892290182813,11.0,1
2021-04-08,11.624906666651562,6.0,0
2021-04-09,10.265805529673436,2.0,0
2021-04-10,-2.8015615307671875,9.0,4
2021-04-11,-1.6105175400359362,1.0,0
2021-04-12,7.838591156250002,3.0,0
2021-04-13,13.184321812265626,2.0,0
2021-04-14,7.338380872023438,4.0,2
2021-04-15,0.5360444163968747,3.0,0
2021-04-16,3.2659756886359386,1.0,0
2021-04-17,-1.6169602547062485,2.0,0
2021-04-18,-0.9865194454671855,9.0,0
2021-04-19,3.3370715462500016,6.0,1
2021-04-20,5.064196864109376,3.0,1
2021-04-21,11.769878881942187,2.0,0
2021-04-22,4.995242930554687,19.0,0
2021-04-23,17.29318805434375,24.0,0
2021-04-24,-0.846980122685939,2.0,0
2021-04-25,0.28554468732031313,23.0,0
2021-04-26,18.690997890000002,30.0,0
2021-04-27,0.07165365793750089,19.0,0
2021-04-28,1.068099323012501,40.0,0
2021-04-29,2.4189262043312514,16.0,0
2021-04-30,17.52074897217344,72.0,0
2021-05-01,-2.838923832548437,6.0,0
2021-05-02,-0.5434802167140615,10.0,0
2021-05-03,10.930205456396877,5.0,0
2021-05-04,6.017014408365626,1.0,0
2021-05-05,3.0426706214843757,28.0,0
2021-05-06,6.428982980845313,21.0,0
2021-05-07,5.208683211579688,16.0,0
2021-05-08,-1.7897563699406243,12.0,0
2021-05-09,-0.10386254443281118,6.0,0
2021-05-10,9.206627481984377,10.0,0
2021-05-11,6.403650258776564,19.0,0
2021-05-12,7.27058543419375,9.0,0
2021-05-13,6.138421457134375,10.0,0
2021-05-14,2.1480616094453127,6.0,0
2021-05-15,-1.4902985238968742,0.0,0
2021-05-16,-0.9244022890015612,0.0,0
2021-05-17,6.349847874484377,4.0,0
2021-05-18,8.777126334807814,5.0,2
2021-05-19,1.2548586042656251,9.0,0
2021-05-20,4.755796742571875,3.0,0
2021-05-21,5.638851538051563,0.0,0
2021-05-22,-0.48040632234999947,1.0,1
2021-05-23,-0.9348844976437494,0.0,0
2021-05-24,6.373898751250001,2.0,0
2021-05-25,7.812760808890626,1.0,0
2021-05-26,5.3847919883421875,0.0,0
2021-05-27,1.4079935205937497,2.0,0
2021-05-28,1.8104381780484378,0.0,0
2021-05-29,-1.0617447525749992,0.0,2
2021-05-30,-0.6706826182671862,0.0,0
2021-05-31,3.5351824112140635,0.0,1
2021-06-01,14.230706705140626,0.0,0
2021-06-02,5.009601053857812,0.0,0
2021-06-03,0.2956650098171869,1.0,0
2021-06-04,0.8540720044515624,0.0,0
2021-06-05,-0.9178059966546864,0.0,0
2021-06-06,-0.6112333576078111,0.0,0
2021-06-07,6.547052777500001,2.0,0
2021-06-08,9.9296287166875,0.0,0
2021-06-09,6.271666495871875,3.0,2
2021-06-10,8.264027603351561,12.0,0
2021-06-11,1.0817465137171869,2.0,0
2021-06-12,-1.3540390811031244,0.0,0
2021-06-13,0.12848395742812613,0.0,0
2021-06-14,18.25650298875,0.0,0
2021-06-15,11.537540050140624,3.0,0
2021-06-16,3.283736644076562,7.0,0
2021-06-17,6.8884806179796865,4.0,0
2021-06-18,1.8261407108062508,0.0,0
2021-06-19,-1.6973487269062484,0.0,0
2021-06-20,-1.0724779913578106,2.0,0
2021-06-21,9.198720283234376,0.0,0
2021-06-22,8.347818627667188,17.0,0
2021-06-23,19.006978129598437,0.0,0
2021-06-24,1.8375148701531234,4.0,0
2021-06-25,7.882492282643749,0.0,0
2021-06-26,-0.30515542488593717,0.0,2
2021-06-27,-1.5527955351437481,0.0,0
