,ansible/ansible,saltstack/salt,cfengine/core
2020-05-05,12.0,9,3
2020-05-06,3.799999999999999,22,0
2020-05-07,3.959999999999999,119,0
2020-05-08,2.932999999999999,25,3
2020-05-09,-1.0154499999999997,10,0
2020-05-10,-0.6192134999999992,44,0
2020-05-11,4.544159600000001,8,1
2020-05-12,7.1378318325,16,4
2020-05-13,5.6744347000625,4,0
2020-05-14,14.540755673240625,15,0
2020-05-15,7.619476887242186,15,1
2020-05-16,3.754348735257812,11,0
2020-05-17,-1.87897697264375,7,0
2020-05-18,0.8408181687500016,71,4
2020-05-19,3.935781777421877,42,8
2020-05-20,6.718068659445314,30,0
2020-05-21,4.378011223603126,31,0
2020-05-22,2.454380986498438,60,0
2020-05-23,-1.3301729482312494,9,1
2020-05-24,-0.764606178453124,0,0
2020-05-25,-0.5052995702156238,4,0
2020-05-26,7.640748292718751,0,4
2020-05-27,6.9031720848500004,1,0
2020-05-28,11.602249005695313,0,1
2020-05-29,19.94302451661875,0,0
2020-05-30,-2.2669663672781266,0,0
2020-05-31,-0.7883294101437501,0,0
2020-06-01,3.7251574000000014,0,1
2020-06-02,3.5683615800000026,0,1
2020-06-03,2.5348667633750015,0,0
2020-06-04,8.618201099337501,17,1
2020-06-05,6.109268530509375,10,3
2020-06-06,1.108160071939063,0,0
2020-06-07,-1.3794805775562495,6,0
2020-06-08,6.226662290698439,0,8
2020-06-09,8.723675551135939,37,10
2020-06-10,13.228247762242187,0,33
2020-06-11,15.505649172757812,0,2
2020-06-12,1.837848352199999,0,1
2020-06-13,-1.2507583682343748,0,0
2020-06-14,-1.4971348468343733,0,0
2020-06-15,7.96435119364219,0,4
2020-06-16,13.302740658890627,0,0
2020-06-17,3.435956983342188,0,7
2020-06-18,5.959373434406251,0,8
2020-06-19,9.949694583929688,0,6
2020-06-20,-2.3961028569749994,0,0
2020-06-21,-1.3037469381953113,0,0
2020-06-22,5.090327193714064,0,12
2020-06-23,11.691623664109377,0,5
2020-06-24,2.845626354442188,0,0
2020-06-25,6.313913613867188,0,2
2020-06-26,1.2204610256593749,0,3
2020-06-27,-0.34982357647499884,1,0
2020-06-28,-0.9555885554312488,0,0
2020-06-29,11.385947910000002,0,2
2020-06-30,9.31314050815625,0,0
2020-07-01,8.95544148433125,0,0
2020-07-02,9.761620994454686,0,0
2020-07-03,2.578566131945312,0,0
2020-07-04,-1.8811779555843744,0,0
2020-07-05,-1.164280770623436,0,0
2020-07-06,2.1459604049640646,0,0
2020-07-07,8.021653947562502,0,0
2020-07-08,2.398403767646876,0,0
2020-07-09,5.712926761432813,0,0
2020-07-10,9.538836884667187,0,0
2020-07-11,1.088059454490625,0,0
2020-07-12,-1.3036810501796874,0,0
2020-07-13,7.1906562987500005,98,0
2020-07-14,10.593198994703126,32,0
2020-07-15,6.952908002751562,24,1
2020-07-16,1.9473488138640622,0,0
2020-07-17,4.4256097024968755,0,0
2020-07-18,-1.6107084996734364,0,0
2020-07-19,0.010248083057814217,0,0
2020-07-20,14.22940897239219,0,1
2020-07-21,6.938429028375,0,0
2020-07-22,6.965297607275,14,5
2020-07-23,3.9365895924281245,6,0
2020-07-24,3.232020647614063,6,4
2020-07-25,-0.5583810507374991,0,0
2020-07-26,-1.0859302489656235,0,0
2020-07-27,2.2490423807343767,0,4
