,strapi/strapi,TryGhost/Ghost,decaporg/decap-cms
2024-05-25,0,0.0,0
2024-05-26,0,0.0,0
2024-05-27,5,4.0,0
2024-05-28,4,5.2,0
2024-05-29,6,5.48,0
2024-05-30,8,8.928,0
2024-05-31,5,-1.1824000000000003,0
2024-06-01,0,-1.919744000000001,0
2024-06-02,0,-1.1581312000000008,0
2024-06-03,8,6.16536832,0
2024-06-04,6,10.949791232,0
2024-06-05,8,5.3095204864,0
2024-06-06,10,7.4214183936,0
2024-06-07,8,-3.0586037247999993,0
2024-06-08,0,-2.293490278400001,0
2024-06-09,0,-1.4103083008000006,0
2024-06-10,2,3.9685145599999996,0
2024-06-11,6,8.180883456,0
2024-06-12,6,0.9230810112000007,0
2024-06-13,2,6.661786316800001,0
2024-06-14,7,-2.0554157055999993,1
2024-06-15,0,-1.7272305664000005,0
2024-06-16,0,-1.0163733504000005,0
2024-06-17,10,2.2585343999999994,0
2024-06-18,12,3.8136550400000004,0
2024-06-19,14,10.276674048,0
2024-06-20,9,3.7009863680000006,0
2024-06-21,12,1.1029064703999998,0
2024-06-22,2,-2.3072198656000005,0
2024-06-23,1,0.7393642495999992,0
2024-06-24,12,8.71344384,0
2024-06-25,18,-0.8460943359999997,0
2024-06-26,9,8.146387148799999,4
2024-06-27,0,4.8575984640000005,1
2024-06-28,5,-2.2011250687999997,0
2024-06-29,0,-1.8282539008000005,0
2024-06-30,0,-1.1390908416000005,0
2024-07-01,7,12.188939776,0
2024-07-02,6,10.755154739200002,0
2024-07-03,6,1.6482974719999994,0
2024-07-04,1,5.731341619199999,0
2024-07-05,2,-0.6455219200000002,0
2024-07-06,0,-2.5245105152000007,0
2024-07-07,0,-1.509147750400001,0
2024-07-08,1,5.89433344,1
2024-07-09,1,7.722788864000001,0
2024-07-10,3,6.714442956800001,0
2024-07-11,0,2.3894759424000003,0
2024-07-12,0,0.029714329599999978,0
2024-07-13,0,-2.2301392896000003,0
2024-07-14,0,-1.2997696512000008,0
2024-07-15,0,1.0762649599999996,0
2024-07-16,1,0.8717148160000003,0
2024-07-17,2,5.840389427200001,0
2024-07-18,2,6.912582656000001,0
2024-07-19,2,0.2150000640000007,0
2024-07-20,0,0.10774876159999969,0
2024-07-21,0,-1.4365376512000005,0
2024-07-22,6,1.1401369599999995,0
2024-07-23,4,0.9677455359999998,0
2024-07-24,3,7.9401316352,0
2024-07-25,4,1.5536484352000004,0
2024-07-26,1,0.008387379200000211,0
2024-07-27,0,0.5404872703999999,0
2024-07-28,0,-1.2125130752000002,0
2024-07-29,1,5.280126259199999,1
2024-07-30,2,2.2881679360000002,0
2024-07-31,5,4.3139581952,0
2024-08-01,5,5.8779354112,4
2024-08-02,1,-1.7180860416,3
2024-08-03,0,-1.5281222656000006,0
2024-08-04,0,-0.9440309248000003,0
2024-08-05,1,5.3217697792,1
2024-08-06,6,0.28550604800000046,0
2024-08-07,3,0.6971063296,5
2024-08-08,3,1.8599537664,0
2024-08-09,3,-0.2644445183999995,0
2024-08-10,0,-0.8705585152,0
