,ionic-team/ionic-framework,flutter/flutter,NativeScript/NativeScript
2015-06-16,6,10,3
2015-06-17,7,10,19
2015-06-18,21,12,33
2015-06-19,19,4,1
2015-06-20,3,0,0
2015-06-21,2,0,0
2015-06-22,8,10,0
2015-06-23,13,11,2
2015-06-24,9,10,2
2015-06-25,24,13,9
2015-06-26,10,11,14
2015-06-27,8,0,0
2015-06-28,0,0,0
2015-06-29,10,1,9
2015-06-30,11,2,5
2015-07-01,7,2,9
2015-07-02,7,1,4
2015-07-03,12,0,4
2015-07-04,2,0,0
2015-07-05,2,0,0
2015-07-06,5,8,22
2015-07-07,7,1,18
2015-07-08,2,4,6
2015-07-09,3,2,10
2015-07-10,0,2,9
2015-07-11,0,0,0
2015-07-12,0,0,0
2015-07-13,5,0,6
2015-07-14,4,1,11
2015-07-15,1,0,23
2015-07-16,9,8,17
2015-07-17,24,18,4
2015-07-18,5,8,0
2015-07-19,7,0,0
2015-07-20,30,10,12
2015-07-21,23,34,6
2015-07-22,14,29,10
2015-07-23,13,31,6
2015-07-24,7,22,14
2015-07-25,0,6,0
2015-07-26,1,0,0
2015-07-27,12,19,11
2015-07-28,11,15,12
2015-07-29,3,17,8
2015-07-30,7,31,10
2015-07-31,3,13,11
2015-08-01,2,4,0
2015-08-02,3,2,0
2015-08-03,2,17,25
2015-08-04,0,18,12
2015-08-05,0,13,1
2015-08-06,9,17,6
2015-08-07,14,39,13
2015-08-08,0,7,0
2015-08-09,0,0,0
2015-08-10,6,27,5
2015-08-11,3,50,8
2015-08-12,19,11,7
2015-08-13,9,30,11
2015-08-14,1,17,4
2015-08-15,0,0,0
2015-08-16,0,0,0
2015-08-17,0,26,0
2015-08-18,10,20,6
2015-08-19,7,29,2
2015-08-20,6,26,1
2015-08-21,8,17,1
2015-08-22,3,9,0
2015-08-23,1,0,1
2015-08-24,8,21,4
2015-08-25,3,49,7
2015-08-26,6,43,3
2015-08-27,2,24,6
2015-08-28,24,25,18
2015-08-29,4,11,0
2015-08-30,0,6,0
2015-08-31,23,24,5
2015-09-01,20,15,12
2015-09-02,8,21,8
2015-09-03,19,29,12
2015-09-04,27,24,26
2015-09-05,3,4,3
2015-09-06,4,1,0
2015-09-07,3,1,7
2015-09-08,17,9,0
2015-09-09,18,12,8
2015-09-10,6,12,11
2015-09-11,14,21,6
2015-09-12,3,1,1
2015-09-13,3,0,1
2015-09-14,16,11,7
2015-09-15,26,4,6
2015-09-16,4,29,7
2015-09-17,6,24,7
2015-09-18,17,24,21
2015-09-19,6,10,1
2015-09-20,0,1,0
2015-09-21,6,14,6
2015-09-22,29,28,0
2015-09-23,12,32,5
2015-09-24,14,26,5
2015-09-25,10,39,10
2015-09-26,0,11,0
2015-09-27,3,3,0
2015-09-28,27,5,5
2015-09-29,20,24,11
2015-09-30,16,35,17
2015-10-01,15,42,22
2015-10-02,26,17,5
2015-10-03,6,15,0
2015-10-04,10,1,0
2015-10-05,31,26,11
2015-10-06,48,36,6
2015-10-07,35,13,7
2015-10-08,27,24,6
2015-10-09,40,23,18
2015-10-10,7,12,1
2015-10-11,3,4,0
2015-10-12,10,25,10
2015-10-13,9,26,12
2015-10-14,3,19,17
2015-10-15,6,20,20
2015-10-16,23,17,12
2015-10-17,0,4,0
2015-10-18,19,4,0
2015-10-19,9,27,10
2015-10-20,14,18,10
2015-10-21,7,20,17
2015-10-22,3,16,13
2015-10-23,3,27,6
2015-10-24,0,5,0
2015-10-25,0,0,0
2015-10-26,9,38,4
2015-10-27,18,22,2
2015-10-28,11,23,10
2015-10-29,23,31,20
2015-10-30,38,13,20
2015-10-31,10,4,0
2015-11-01,0,1,0
2015-11-02,33,19,29
2015-11-03,24,39,14
2015-11-04,10,32,6
2015-11-05,20,21,8
2015-11-06,13,20,30
2015-11-07,2,14,0
2015-11-08,2,4,0
2015-11-09,8,15,18
2015-11-10,5,30,27
2015-11-11,7,24,9
2015-11-12,23,27,12
2015-11-13,13,27,5
2015-11-14,7,4,0
2015-11-15,0,0,0
2015-11-16,22,19,9
2015-11-17,32,31,10
2015-11-18,14,24,10
2015-11-19,12,24,2
2015-11-20,18,33,2
2015-11-21,2,9,0
2015-11-22,6,10,0
2015-11-23,15,15,20
2015-11-24,21,21,7
2015-11-25,25,20,15
2015-11-26,1,19,6
2015-11-27,0,2,11
2015-11-28,4,2,0
2015-11-29,5,4,0
2015-11-30,13,15,7
2015-12-01,21,16,10
2015-12-02,18,20,10
2015-12-03,28,23,5
2015-12-04,38,39,10
2015-12-05,13,27,0
2015-12-06,5,0,0
2015-12-07,32,30,3
2015-12-08,51,32,10
2015-12-09,36,26,3
2015-12-10,49,28,10
2015-12-11,38,9,4
2015-12-12,7,7,8
2015-12-13,0,0,0
2015-12-14,28,27,11
2015-12-15,24,30,9
2015-12-16,33,26,9
2015-12-17,28,11,3
2015-12-18,18,6,7
2015-12-19,11,0,0
2015-12-20,0,4,0
2015-12-21,7,7,4
2015-12-22,6,3,6
2015-12-23,6,0,2
2015-12-24,1,2,0
2015-12-25,0,1,0
2015-12-26,0,3,0
2015-12-27,0,0,0
2015-12-28,4,4,1
2015-12-29,11,2,0
2015-12-30,10,3,0
2015-12-31,8,4,0
2016-01-01,7,0,0
2016-01-02,4,10,0
2016-01-03,2,0,0
2016-01-04,19,8,2
2016-01-05,24,8,0
2016-01-06,21,15,0
2016-01-07,19,30,1
2016-01-08,22,16,3
2016-01-09,3,5,0
2016-01-10,14,7,0
2016-01-11,13,30,11
2016-01-12,13,23,16
2016-01-13,6,11,10
2016-01-14,19,15,4
2016-01-15,15,15,8
2016-01-16,2,9,0
2016-01-17,1,0,0
2016-01-18,3,13,6
2016-01-19,18,17,13
2016-01-20,15,26,12
2016-01-21,11,23,3
2016-01-22,13,21,5
2016-01-23,6,5,0
2016-01-24,0,8,2
2016-01-25,15,12,8
2016-01-26,5,17,16
2016-01-27,40,20,5
2016-01-28,21,18,3
2016-01-29,12,14,4
2016-01-30,3,4,0
2016-01-31,7,9,0
2016-02-01,32,12,10
2016-02-02,41,17,8
2016-02-03,21,26,12
2016-02-04,31,26,14
2016-02-05,42,16,11
2016-02-06,6,16,0
2016-02-07,5,0,1
2016-02-08,6,11,5
2016-02-09,8,38,13
2016-02-10,39,26,15
2016-02-11,16,28,17
2016-02-12,12,57,9
2016-02-13,17,19,1
2016-02-14,9,21,1
2016-02-15,7,15,15
2016-02-16,5,20,5
2016-02-17,17,33,7
2016-02-18,24,8,17
2016-02-19,9,24,9
2016-02-20,6,9,0
2016-02-21,11,12,0
2016-02-22,14,19,4
2016-02-23,29,22,7
2016-02-24,22,21,24
2016-02-25,10,42,15
2016-02-26,2,38,1
2016-02-27,2,23,3
2016-02-28,7,5,0
2016-02-29,23,9,9
2016-03-01,11,23,8
2016-03-02,11,24,6
2016-03-03,13,46,2
2016-03-04,26,28,1
2016-03-05,5,8,0
2016-03-06,12,16,0
2016-03-07,18,18,9
2016-03-08,0,27,7
2016-03-09,11,21,15
2016-03-10,5,31,4
2016-03-11,15,44,7
2016-03-12,7,30,1
2016-03-13,5,9,0
2016-03-14,8,34,1
2016-03-15,11,19,5
2016-03-16,3,8,9
2016-03-17,1,22,7
2016-03-18,4,42,7
2016-03-19,0,6,1
2016-03-20,0,0,0
2016-03-21,1,35,12
2016-03-22,6,13,8
2016-03-23,5,24,8
2016-03-24,5,37,14
2016-03-25,0,23,13
2016-03-26,0,10,0
2016-03-27,0,11,0
2016-03-28,2,18,9
2016-03-29,1,30,7
2016-03-30,1,25,7
2016-03-31,8,23,3
2016-04-01,14,28,2
2016-04-02,1,5,0
2016-04-03,0,2,0
2016-04-04,1,8,2
2016-04-05,14,11,0
2016-04-06,9,13,3
2016-04-07,12,21,1
2016-04-08,3,19,11
2016-04-09,2,3,0
2016-04-10,4,0,0
2016-04-11,24,10,7
2016-04-12,19,15,4
2016-04-13,9,13,18
2016-04-14,20,10,15
2016-04-15,14,15,16
2016-04-16,4,3,0
2016-04-17,12,0,0
2016-04-18,18,10,11
2016-04-19,16,10,10
2016-04-20,18,15,8
2016-04-21,25,17,8
2016-04-22,16,10,7
2016-04-23,0,3,0
2016-04-24,0,2,0
2016-04-25,3,12,5
2016-04-26,7,7,6
2016-04-27,8,11,8
2016-04-28,3,14,5
2016-04-29,14,17,1
2016-04-30,0,3,0
2016-05-01,0,3,0
2016-05-02,1,8,10
2016-05-03,1,18,8
2016-05-04,4,23,2
2016-05-05,8,13,11
2016-05-06,0,9,5
2016-05-07,0,1,2
2016-05-08,0,0,1
2016-05-09,3,18,20
2016-05-10,10,14,7
2016-05-11,1,13,3
2016-05-12,6,12,1
2016-05-13,5,11,16
2016-05-14,2,1,3
2016-05-15,0,1,0
2016-05-16,9,16,8
2016-05-17,5,20,12
2016-05-18,11,15,11
2016-05-19,21,14,12
2016-05-20,13,12,15
2016-05-21,10,3,0
2016-05-22,0,0,0
2016-05-23,3,13,0
2016-05-24,8,11,0
2016-05-25,12,8,11
2016-05-26,7,16,8
2016-05-27,12,11,8
2016-05-28,0,3,0
2016-05-29,0,4,0
2016-05-30,0,2,17
2016-05-31,26,9,10
2016-06-01,18,12,4
2016-06-02,20,16,7
2016-06-03,3,18,9
2016-06-04,1,2,0
2016-06-05,0,0,1
2016-06-06,4,8,4
2016-06-07,6,18,8
2016-06-08,26,11,14
2016-06-09,23,10,5
2016-06-10,4,11,5
2016-06-11,0,0,0
2016-06-12,2,2,0
2016-06-13,5,11,14
2016-06-14,12,12,16
2016-06-15,8,9,7
