,serverless/serverless,apache/openwhisk,aws/chalice
2016-08-31,66.0,7,0
2016-09-01,-0.6000000000000059,8,8
2016-09-02,13.429999999999998,9,0
2016-09-03,1.1489999999999965,3,0
2016-09-04,-2.7997249999999965,0,0
2016-09-05,27.102819500000003,0,0
2016-09-06,16.640844175,7,7
2016-09-07,6.406546722500001,5,0
2016-09-08,15.12609120096875,4,1
2016-09-09,3.5411504557843774,5,0
2016-09-10,0.8616788322687521,0,0
2016-09-11,-0.4395596706890599,1,0
2016-09-12,26.182014533570317,1,0
2016-09-13,9.869250913796876,4,0
2016-09-14,1.2548058068796886,10,1
2016-09-15,8.368504324823437,2,0
2016-09-16,7.249633554807815,6,0
2016-09-17,0.31513248769218993,0,0
2016-09-18,-1.8886348148499983,3,0
2016-09-19,6.724505043825003,2,0
2016-09-20,15.224758470490627,5,0
2016-09-21,2.1474701280250006,6,8
2016-09-22,13.03957346566875,7,1
2016-09-23,15.327531294148438,4,0
2016-09-24,-3.3190480968015623,0,0
2016-09-25,0.16721318559375087,0,0
2016-09-26,18.558778409892188,2,0
2016-09-27,12.965374347125001,5,0
2016-09-28,16.670147689696876,3,3
2016-09-29,-1.9252687269390636,1,0
2016-09-30,9.613311009585939,2,0
2016-10-01,10.162528552679689,0,0
2016-10-02,-2.0047249881468727,0,0
2016-10-03,12.157737248968752,1,0
2016-10-04,19.255413144615627,7,0
2016-10-05,12.110218491031251,1,0
2016-10-06,4.2749403066125,0,0
2016-10-07,19.05626405575,3,6
2016-10-08,-3.9852070250093745,0,0
2016-10-09,1.6762953291156277,0,0
2016-10-10,18.98620258151719,1,11
2016-10-11,42.53948224774531,2,2
2016-10-12,34.37554943815312,2,3
2016-10-13,38.43266839095937,4,11
2016-10-14,7.290631037799997,0,0
2016-10-15,-1.4577685066312487,0,0
2016-10-16,-4.625084803290621,0,0
2016-10-17,12.831044801687508,6,1
2016-10-18,24.90104697652813,1,0
2016-10-19,48.34200707677657,2,4
2016-10-20,20.258865972206248,5,0
2016-10-21,17.48509544480781,0,3
2016-10-22,-1.7959892061531253,1,0
2016-10-23,2.572523844346879,0,0
2016-10-24,24.291791234820316,4,5
2016-10-25,16.572992875500006,0,1
2016-10-26,5.441648071971878,3,0
2016-10-27,18.475755619864067,4,9
2016-10-28,21.812461166856252,6,4
2016-10-29,-5.584721117682811,1,0
2016-10-30,-0.15636110222656008,0,0
2016-10-31,20.56881802621094,2,0
2016-11-01,34.92087906281094,2,2
2016-11-02,21.6739200464,2,0
2016-11-03,8.826956949787498,1,0
2016-11-04,11.992923873995313,1,0
2016-11-05,1.1594731527515663,0,0
2016-11-06,-2.562379644720308,0,0
2016-11-07,15.58711505970313,1,5
2016-11-08,20.344527989282817,1,3
2016-11-09,2.2891487515640643,1,2
2016-11-10,3.6040093304109386,7,5
2016-11-11,6.266700772509377,0,5
2016-11-12,0.43113020069531505,0,0
2016-11-13,-1.8841397924546852,0,0
2016-11-14,8.775508989268753,0,1
2016-11-15,8.076708965682814,1,10
2016-11-16,4.792352930728126,1,0
2016-11-17,10.051985111778125,8,4
2016-11-18,12.728275537389063,8,0
2016-11-19,1.2145196263578124,0,0
2016-11-20,4.041280263129688,0,1
2016-11-21,25.16397910489219,0,0
2016-11-22,12.11390731984375,6,3
2016-11-23,3.274327070734375,2,2
2016-11-24,18.14053674103125,1,0
2016-11-25,1.0817467823109386,1,0
2016-11-26,2.222089964334377,0,0
2016-11-27,1.6878019448984398,0,0
2016-11-28,10.084642963012502,4,2
2016-11-29,13.457364955862502,4,1
2016-11-30,0.8281835870296885,0,2
2016-12-01,36.874628734565626,5,2
2016-12-02,17.77057791517031,2,0
2016-12-03,-3.025334999582813,2,1
2016-12-04,2.0208272372421874,0,0
2016-12-05,11.460211430257816,3,0
2016-12-06,10.835646893668754,4,1
2016-12-07,16.603917238818752,12,0
2016-12-08,27.9274186661125,6,0
2016-12-09,8.442902593496875,9,0
2016-12-10,-2.560533403260937,1,0
2016-12-11,19.16706860939219,0,0
2016-12-12,3.9232458073500025,7,0
2016-12-13,22.753486357601567,2,3
2016-12-14,20.251441857278124,9,0
2016-12-15,5.7669748491843755,4,0
2016-12-16,25.85833266028125,2,0
2016-12-17,1.4118696691312511,0,0
2016-12-18,-0.7851759790343724,0,0
2016-12-19,8.241531263584378,0,0
2016-12-20,18.88953307508438,6,0
2016-12-21,-3.146731502443748,0,0
2016-12-22,1.4472262249250023,1,0
2016-12-23,8.91219451842969,5,0
2016-12-24,-1.4369379296140599,0,0
2016-12-25,-1.581237993437498,0,0
2016-12-26,-0.9563585905484359,0,0
2016-12-27,1.2920741692203146,0,20
2016-12-28,4.235421239510939,0,12
2016-12-29,1.0103832586937507,0,14
2016-12-30,3.3361352241515627,0,2
2016-12-31,-0.823765549565625,0,0
2017-01-01,0.5254983090890631,0,1
2017-01-02,12.629368372464063,0,0
2017-01-03,5.452119045,1,0
2017-01-04,1.5211038677187494,2,0
2017-01-05,3.8543627873499995,0,7
2017-01-06,22.775265076289063,0,0
2017-01-07,-3.132888219634376,2,1
2017-01-08,-0.6131000188937494,0,1
2017-01-09,2.8184167982343755,1,0
2017-01-10,1.72858741701094,0,0
2017-01-11,4.829443574673439,0,0
2017-01-12,-0.32851618804843685,1,0
2017-01-13,-0.8935535826859364,1,0
2017-01-14,6.372749712445313,0,0
2017-01-15,5.833860542887501,1,0
2017-01-16,1.7742078644843748,1,0
2017-01-17,4.010457981651562,3,0
2017-01-18,5.878837960809375,3,0
2017-01-19,3.638345118048438,4,0
2017-01-20,6.71559973426875,3,1
2017-01-21,-1.5543515637859375,0,0
2017-01-22,-0.911841352359374,0,0
2017-01-23,8.331008939889063,0,0
