,chartjs/chart.js,highcharts/highcharts,d3/d3
2017-06-17,0,0,0
2017-06-18,0,0,0
2017-06-19,2,26,0
2017-06-20,0,4,0
2017-06-21,0,9,0
2017-06-22,1,9,0
2017-06-23,5,9,0
2017-06-24,3,0,0
2017-06-25,6,0,0
2017-06-26,0,12,0
2017-06-27,0,0,0
2017-06-28,0,0,0
2017-06-29,1,1,0
2017-06-30,0,0,0
2017-07-01,4,0,0
2017-07-02,0,0,0
2017-07-03,0,1,0
2017-07-04,4,0,0
2017-07-05,1,0,0
2017-07-06,0,0,0
2017-07-07,0,0,0
2017-07-08,2,0,0
2017-07-09,1,0,0
2017-07-10,0,0,0
2017-07-11,0,0,0
2017-07-12,0,0,0
2017-07-13,0,9,0
2017-07-14,0,0,2
2017-07-15,3,0,0
2017-07-16,2,0,0
2017-07-17,0,13,0
2017-07-18,1,10,0
2017-07-19,2,2,0
2017-07-20,1,0,0
2017-07-21,3,0,0
2017-07-22,4,0,0
2017-07-23,1,0,0
2017-07-24,1,3,0
2017-07-25,1,6,0
2017-07-26,2,0,0
2017-07-27,1,10,0
2017-07-28,1,10,0
2017-07-29,2,0,0
2017-07-30,1,0,0
2017-07-31,0,6,0
2017-08-01,1,8,0
2017-08-02,4,12,0
2017-08-03,1,13,0
2017-08-04,0,11,0
2017-08-05,1,1,0
2017-08-06,0,0,0
2017-08-07,1,13,0
2017-08-08,1,13,0
2017-08-09,0,5,0
2017-08-10,0,9,0
2017-08-11,0,4,0
2017-08-12,0,0,0
2017-08-13,1,0,0
2017-08-14,3,9,0
2017-08-15,0,1,0
2017-08-16,0,13,0
2017-08-17,0,8,0
2017-08-18,0,9,0
2017-08-19,1,0,0
2017-08-20,0,0,0
2017-08-21,1,16,0
2017-08-22,0,7,0
2017-08-23,1,14,0
2017-08-24,3,7,0
2017-08-25,1,18,0
2017-08-26,4,0,0
2017-08-27,1,0,0
2017-08-28,1,15,0
2017-08-29,0,17,0
2017-08-30,0,25,0
2017-08-31,0,31,0
2017-09-01,0,16,0
2017-09-02,1,0,3
2017-09-03,0,0,2
2017-09-04,0,13,0
2017-09-05,0,15,0
2017-09-06,0,11,0
2017-09-07,0,2,0
2017-09-08,1,4,0
2017-09-09,1,0,0
2017-09-10,3,0,0
2017-09-11,1,11,0
2017-09-12,0,15,0
2017-09-13,0,21,0
2017-09-14,0,21,0
2017-09-15,1,14,0
2017-09-16,1,4,0
2017-09-17,0,0,0
2017-09-18,0,13,0
2017-09-19,0,9,0
2017-09-20,0,15,0
2017-09-21,0,4,0
2017-09-22,0,5,0
2017-09-23,0,0,0
2017-09-24,0,0,0
2017-09-25,0,9,0
2017-09-26,0,25,0
2017-09-27,0,14,0
2017-09-28,0,36,0
2017-09-29,3,41,0
2017-09-30,0,16,0
2017-10-01,0,3,0
2017-10-02,1,42,3
2017-10-03,0,19,2
2017-10-04,0,24,0
2017-10-05,0,13,0
2017-10-06,1,9,0
2017-10-07,1,11,0
2017-10-08,2,3,0
2017-10-09,1,0,0
2017-10-10,1,3,0
2017-10-11,0,1,0
2017-10-12,0,7,0
2017-10-13,0,11,0
2017-10-14,1,3,0
2017-10-15,0,13,0
2017-10-16,1,7,0
2017-10-17,0,10,0
2017-10-18,0,12,0
2017-10-19,0,13,0
2017-10-20,1,9,0
2017-10-21,1,1,0
2017-10-22,2,3,0
2017-10-23,0,6,0
2017-10-24,1,1,0
2017-10-25,0,0,0
2017-10-26,0,1,0
2017-10-27,0,0,0
2017-10-28,2,3,0
2017-10-29,0,4,0
2017-10-30,0,11,0
2017-10-31,0,11,0
2017-11-01,2,13,0
2017-11-02,1,9,0
2017-11-03,0,13,0
2017-11-04,0,4,0
2017-11-05,0,6,0
2017-11-06,1,7,0
2017-11-07,3,4,0
2017-11-08,0,7,0
2017-11-09,0,8,0
2017-11-10,1,11,0
2017-11-11,1,2,0
2017-11-12,0,0,0
2017-11-13,0,5,0
2017-11-14,2,8,0
2017-11-15,0,15,0
2017-11-16,0,5,0
2017-11-17,0,0,0
2017-11-18,0,0,0
2017-11-19,0,0,0
2017-11-20,0,6,0
2017-11-21,0,4,2
2017-11-22,2,5,0
2017-11-23,0,2,0
2017-11-24,0,0,0
2017-11-25,2,0,0
2017-11-26,0,0,0
2017-11-27,0,9,0
2017-11-28,0,1,0
2017-11-29,1,3,0
2017-11-30,1,0,0
2017-12-01,1,2,0
2017-12-02,2,0,0
2017-12-03,0,0,0
2017-12-04,0,10,0
2017-12-05,0,25,0
2017-12-06,0,11,0
2017-12-07,0,15,0
2017-12-08,0,5,0
2017-12-09,0,0,0
2017-12-10,0,0,0
2017-12-11,0,8,0
2017-12-12,2,12,0
2017-12-13,0,1,0
2017-12-14,1,15,0
2017-12-15,1,13,0
2017-12-16,0,0,0
2017-12-17,0,0,0
2017-12-18,1,10,0
2017-12-19,0,16,0
2017-12-20,0,11,0
2017-12-21,0,7,0
2017-12-22,0,12,0
2017-12-23,1,0,0
2017-12-24,0,0,0
2017-12-25,0,0,0
2017-12-26,0,0,4
2017-12-27,0,0,0
2017-12-28,0,0,0
2017-12-29,1,0,0
2017-12-30,0,0,0
2017-12-31,1,0,0
2018-01-01,0,0,0
2018-01-02,0,12,0
2018-01-03,0,1,0
2018-01-04,0,2,0
2018-01-05,0,5,0
2018-01-06,2,0,0
2018-01-07,1,1,0
2018-01-08,1,7,0
2018-01-09,1,8,0
2018-01-10,0,11,0
2018-01-11,2,2,0
2018-01-12,0,9,0
2018-01-13,3,0,0
2018-01-14,0,0,0
2018-01-15,0,13,0
2018-01-16,1,4,0
2018-01-17,0,2,0
2018-01-18,0,0,2
2018-01-19,0,1,0
2018-01-20,0,0,0
2018-01-21,5,0,0
2018-01-22,0,5,0
2018-01-23,0,14,0
2018-01-24,0,10,0
2018-01-25,0,16,0
2018-01-26,0,23,0
2018-01-27,1,0,0
2018-01-28,1,6,3
2018-01-29,0,12,3
2018-01-30,0,12,0
2018-01-31,0,17,0
2018-02-01,1,18,0
2018-02-02,1,5,0
2018-02-03,1,0,0
2018-02-04,1,0,0
2018-02-05,0,8,0
2018-02-06,0,0,0
2018-02-07,0,0,3
2018-02-08,0,3,0
2018-02-09,1,26,0
2018-02-10,0,3,0
2018-02-11,0,0,0
2018-02-12,0,10,0
2018-02-13,0,16,0
2018-02-14,0,16,0
2018-02-15,1,8,0
2018-02-16,1,13,0
2018-02-17,0,9,0
2018-02-18,0,4,0
2018-02-19,0,5,0
2018-02-20,2,17,0
2018-02-21,0,3,0
2018-02-22,0,3,0
2018-02-23,0,2,0
2018-02-24,0,10,0
2018-02-25,0,6,0
2018-02-26,0,6,0
2018-02-27,0,19,0
2018-02-28,0,6,1
2018-03-01,1,5,0
2018-03-02,0,33,0
2018-03-03,1,0,0
2018-03-04,0,0,0
2018-03-05,0,12,0
2018-03-06,0,14,0
2018-03-07,0,12,0
2018-03-08,0,18,0
2018-03-09,0,17,0
2018-03-10,2,0,0
2018-03-11,0,0,0
2018-03-12,0,22,0
2018-03-13,1,24,0
2018-03-14,0,15,0
2018-03-15,0,22,0
2018-03-16,0,30,0
2018-03-17,0,0,0
2018-03-18,0,0,0
2018-03-19,0,9,0
2018-03-20,1,20,0
