,spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard
2017-06-25,0,0,0
2017-06-26,19,3,1
2017-06-27,17,3,0
2017-06-28,4,7,1
2017-06-29,20,2,0
2017-06-30,9,0,0
2017-07-01,3,0,0
2017-07-02,10,0,0
2017-07-03,3,2,0
2017-07-04,1,1,5
2017-07-05,0,2,1
2017-07-06,6,0,0
2017-07-07,6,2,0
2017-07-08,12,0,0
2017-07-09,2,1,0
2017-07-10,2,5,0
2017-07-11,5,16,0
2017-07-12,3,14,0
2017-07-13,19,1,0
2017-07-14,3,5,1
2017-07-15,0,0,0
2017-07-16,0,0,0
2017-07-17,9,0,0
2017-07-18,9,0,0
2017-07-19,26,6,0
2017-07-20,16,11,0
2017-07-21,32,0,0
2017-07-22,11,0,0
2017-07-23,0,0,0
2017-07-24,34,2,0
2017-07-25,34,1,0
2017-07-26,17,2,0
2017-07-27,24,1,1
2017-07-28,28,1,0
2017-07-29,1,0,0
2017-07-30,2,0,2
2017-07-31,6,0,5
2017-08-01,14,1,0
2017-08-02,0,5,3
2017-08-03,14,4,0
2017-08-04,5,1,2
2017-08-05,0,0,0
2017-08-06,0,1,0
2017-08-07,0,0,0
2017-08-08,2,0,0
2017-08-09,17,1,0
2017-08-10,2,0,0
2017-08-11,13,0,0
2017-08-12,0,0,0
2017-08-13,0,0,0
2017-08-14,10,0,0
2017-08-15,0,6,0
2017-08-16,12,2,0
2017-08-17,12,4,0
2017-08-18,13,2,3
2017-08-19,0,2,0
2017-08-20,1,0,0
2017-08-21,4,0,1
2017-08-22,7,0,0
2017-08-23,7,0,0
2017-08-24,3,0,6
2017-08-25,22,0,1
2017-08-26,1,0,0
2017-08-27,4,1,0
2017-08-28,13,0,0
2017-08-29,19,0,0
2017-08-30,8,0,0
2017-08-31,1,0,0
2017-09-01,3,0,1
2017-09-02,0,0,0
2017-09-03,0,0,2
2017-09-04,10,0,0
2017-09-05,13,0,4
2017-09-06,13,0,0
2017-09-07,46,0,0
2017-09-08,12,0,2
2017-09-09,0,0,0
2017-09-10,3,0,0
2017-09-11,29,0,0
2017-09-12,20,0,0
2017-09-13,9,11,1
2017-09-14,28,3,1
2017-09-15,8,2,0
2017-09-16,4,0,0
2017-09-17,3,0,0
2017-09-18,17,0,1
2017-09-19,28,0,4
2017-09-20,24,0,0
2017-09-21,18,1,0
2017-09-22,5,1,1
2017-09-23,3,0,0
2017-09-24,26,0,0
2017-09-25,37,1,0
2017-09-26,17,2,0
2017-09-27,10,1,0
2017-09-28,19,0,0
2017-09-29,23,0,0
2017-09-30,6,0,0
2017-10-01,0,0,0
2017-10-02,56,1,0
2017-10-03,15,0,0
2017-10-04,29,0,0
2017-10-05,14,1,2
2017-10-06,9,0,12
2017-10-07,2,0,0
2017-10-08,9,0,0
2017-10-09,4,0,1
2017-10-10,30,2,0
2017-10-11,14,0,0
2017-10-12,11,0,0
2017-10-13,16,0,0
2017-10-14,0,0,0
2017-10-15,0,0,0
2017-10-16,9,0,0
2017-10-17,24,0,2
2017-10-18,11,0,2
2017-10-19,9,0,7
2017-10-20,13,0,1
2017-10-21,16,0,0
2017-10-22,0,0,0
2017-10-23,6,2,0
2017-10-24,13,7,1
2017-10-25,14,2,1
2017-10-26,4,0,5
2017-10-27,21,7,0
2017-10-28,15,1,0
2017-10-29,11,0,0
2017-10-30,28,2,1
2017-10-31,18,0,0
2017-11-01,14,2,0
2017-11-02,42,0,0
2017-11-03,38,0,0
2017-11-04,7,0,0
2017-11-05,5,0,0
2017-11-06,14,0,0
2017-11-07,6,0,0
2017-11-08,2,0,0
2017-11-09,7,0,1
2017-11-10,9,0,11
2017-11-11,4,0,1
2017-11-12,14,0,0
2017-11-13,20,0,3
2017-11-14,14,1,1
2017-11-15,9,0,3
2017-11-16,12,0,0
2017-11-17,22,0,0
2017-11-18,13,0,0
2017-11-19,8,0,1
2017-11-20,28,0,0
2017-11-21,19,0,4
2017-11-22,6,0,5
2017-11-23,46,1,0
2017-11-24,20,0,3
2017-11-25,0,0,0
2017-11-26,6,0,0
2017-11-27,27,0,0
2017-11-28,27,1,0
2017-11-29,33,2,2
2017-11-30,9,0,0
2017-12-01,0,0,0
2017-12-02,5,2,0
2017-12-03,2,0,1
2017-12-04,0,4,0
2017-12-05,2,0,0
2017-12-06,13,3,0
2017-12-07,4,0,0
2017-12-08,4,0,0
2017-12-09,3,0,0
2017-12-10,2,0,0
2017-12-11,10,0,0
2017-12-12,30,0,0
2017-12-13,20,27,4
2017-12-14,23,18,2
2017-12-15,4,9,0
2017-12-16,2,0,0
2017-12-17,0,0,0
2017-12-18,1,8,0
2017-12-19,0,7,0
2017-12-20,1,0,1
2017-12-21,0,1,0
2017-12-22,9,0,0
2017-12-23,22,1,0
2017-12-24,4,0,0
2017-12-25,0,0,0
2017-12-26,2,0,0
2017-12-27,11,0,0
2017-12-28,22,3,0
2017-12-29,6,1,0
2017-12-30,2,0,0
2017-12-31,0,0,0
2018-01-01,7,0,0
2018-01-02,11,0,0
2018-01-03,22,1,0
2018-01-04,17,3,0
2018-01-05,24,10,4
2018-01-06,3,0,2
2018-01-07,1,0,0
2018-01-08,61,2,0
2018-01-09,31,1,3
2018-01-10,8,4,0
2018-01-11,17,0,0
2018-01-12,5,0,2
2018-01-13,0,0,0
2018-01-14,4,0,0
2018-01-15,12,2,0
2018-01-16,18,1,0
2018-01-17,24,2,0
2018-01-18,30,0,4
2018-01-19,16,1,1
2018-01-20,10,0,1
