,microsoft/vscode,nteract/nteract,nteract/hydrogen
2016-02-13,4,18,0
2016-02-14,7,11,0
2016-02-15,17,38,1
2016-02-16,34,7,6
2016-02-17,30,6,7
2016-02-18,50,2,0
2016-02-19,79,7,0
2016-02-20,6,16,0
2016-02-21,15,5,0
2016-02-22,54,0,2
2016-02-23,34,0,1
2016-02-24,41,2,6
2016-02-25,48,0,6
2016-02-26,23,5,1
2016-02-27,0,0,0
2016-02-28,7,0,0
2016-02-29,33,3,0
2016-03-01,50,6,3
2016-03-02,20,7,0
2016-03-03,56,4,5
2016-03-04,46,6,0
2016-03-05,4,18,3
2016-03-06,2,16,5
2016-03-07,37,5,0
2016-03-08,53,0,0
2016-03-09,30,0,8
2016-03-10,35,4,6
2016-03-11,68,26,8
2016-03-12,4,24,0
2016-03-13,12,12,3
2016-03-14,21,7,0
2016-03-15,64,6,21
2016-03-16,56,8,7
2016-03-17,45,0,0
2016-03-18,37,3,6
2016-03-19,3,5,4
2016-03-20,1,3,5
2016-03-21,3,1,6
2016-03-22,14,0,2
2016-03-23,25,12,12
2016-03-24,55,3,0
2016-03-25,7,0,9
2016-03-26,0,22,8
2016-03-27,5,26,0
2016-03-28,1,9,8
2016-03-29,29,6,9
2016-03-30,38,0,4
2016-03-31,61,2,0
2016-04-01,34,4,7
2016-04-02,1,0,0
2016-04-03,3,4,4
2016-04-04,35,7,2
2016-04-05,36,0,0
2016-04-06,30,0,0
2016-04-07,47,0,0
2016-04-08,42,0,2
2016-04-09,1,12,2
2016-04-10,1,0,1
2016-04-11,41,0,0
2016-04-12,20,0,0
2016-04-13,44,3,0
2016-04-14,36,9,2
2016-04-15,19,0,1
2016-04-16,7,6,2
2016-04-17,2,5,3
2016-04-18,45,12,1
2016-04-19,65,27,3
2016-04-20,45,18,1
2016-04-21,92,38,0
2016-04-22,36,19,0
2016-04-23,10,28,0
2016-04-24,26,0,0
2016-04-25,50,14,0
2016-04-26,10,9,0
2016-04-27,28,12,2
2016-04-28,29,4,0
2016-04-29,35,2,0
2016-04-30,17,2,0
2016-05-01,2,3,0
2016-05-02,51,8,0
2016-05-03,29,0,0
2016-05-04,63,0,0
2016-05-05,3,10,0
2016-05-06,49,0,0
2016-05-07,0,4,0
2016-05-08,1,2,0
2016-05-09,15,0,0
2016-05-10,45,3,0
2016-05-11,47,15,2
2016-05-12,40,3,1
2016-05-13,51,0,1
2016-05-14,6,14,3
2016-05-15,4,4,1
2016-05-16,26,9,0
2016-05-17,40,23,0
2016-05-18,58,13,0
2016-05-19,61,19,1
2016-05-20,60,13,0
2016-05-21,17,7,2
2016-05-22,17,9,2
2016-05-23,58,1,3
2016-05-24,19,0,3
2016-05-25,53,0,2
2016-05-26,50,0,0
2016-05-27,37,0,0
2016-05-28,2,0,0
2016-05-29,0,0,0
2016-05-30,40,2,0
2016-05-31,33,2,0
2016-06-01,57,0,0
2016-06-02,86,18,0
2016-06-03,54,3,0
2016-06-04,5,20,0
2016-06-05,4,0,0
2016-06-06,50,3,0
2016-06-07,51,0,0
2016-06-08,51,46,4
2016-06-09,52,0,0
2016-06-10,29,0,1
2016-06-11,15,4,3
2016-06-12,7,2,0
2016-06-13,43,0,2
2016-06-14,85,17,4
2016-06-15,77,9,5
2016-06-16,71,0,1
2016-06-17,43,39,0
2016-06-18,1,5,0
2016-06-19,9,0,0
2016-06-20,47,2,0
2016-06-21,47,0,5
2016-06-22,42,9,0
2016-06-23,57,0,2
2016-06-24,69,2,0
2016-06-25,14,0,3
2016-06-26,19,0,2
2016-06-27,63,0,5
2016-06-28,19,2,0
2016-06-29,57,1,0
2016-06-30,51,9,0
