,mui/material-ui,twbs/bootstrap,ant-design/ant-design
2023-08-07,12.0,0,19
2023-08-08,5.799999999999999,0,14
2023-08-09,6.759999999999999,0,7
2023-08-10,2.5429999999999984,0,6
2023-08-11,9.79255,0,5
2023-08-12,-1.8460385000000001,0,0
2023-08-13,-1.0450613999999991,0,0
2023-08-14,18.2496575575,0,11
2023-08-15,5.5104737700625,1,9
2023-08-16,10.858553708459375,0,4
2023-08-17,3.4740046056234366,0,9
2023-08-18,1.966917768900001,0,9
2023-08-19,0.34913489668437614,0,0
2023-08-20,4.7089878846046895,0,3
2023-08-21,8.546430921250002,3,12
2023-08-22,11.051995820203127,4,11
2023-08-23,9.513893171442188,0,4
2023-08-24,5.463002383009375,0,10
2023-08-25,0.7488807289390627,0,4
2023-08-26,0.3783941652218761,0,2
2023-08-27,-1.2713820886749982,0,3
2023-08-28,0.1095482918343772,0,16
2023-08-29,9.203840053378126,0,19
2023-08-30,7.418527700437501,0,7
2023-08-31,8.237026053345312,0,7
2023-09-01,6.052399651693749,0,7
2023-09-02,1.1526750981656249,0,9
2023-09-03,1.650374803860938,0,2
2023-09-04,14.825812723678126,0,11
2023-09-05,9.614069111984374,0,11
2023-09-06,5.468033126057812,0,2
2023-09-07,2.707325845,0,12
2023-09-08,9.119541339520314,0,8
2023-09-09,4.7078798442656264,0,0
2023-09-10,7.964029951915626,0,4
2023-09-11,7.749908713345313,0,16
2023-09-12,2.6259187291421884,1,7
2023-09-13,4.039317220737502,9,12
2023-09-14,6.192974396693751,5,5
2023-09-15,4.090510368384376,0,10
2023-09-16,2.2479982953984385,0,5
2023-09-17,0.4955185934953137,0,4
2023-09-18,9.855777377092188,1,8
2023-09-19,3.1289787882343756,0,6
2023-09-20,4.4649611320625,0,12
2023-09-21,1.4885822142265628,0,4
2023-09-22,3.781829153159376,0,9
2023-09-23,-0.2818962583812492,0,0
2023-09-24,3.129305352721876,0,0
2023-09-25,7.0132392425750005,0,13
2023-09-26,12.58334754550625,0,10
2023-09-27,6.778476592026562,0,3
2023-09-28,3.944737957976562,0,2
2023-09-29,0.21850445198750013,1,2
2023-09-30,0.7185111310640637,0,3
2023-10-01,-0.07383046069531085,0,0
2023-10-02,9.164284400401565,1,2
2023-10-03,4.37606272573125,0,5
2023-10-04,10.467978956243751,0,3
2023-10-05,2.8955190448562496,1,1
2023-10-06,3.384747281582813,0,2
2023-10-07,0.5429783537531252,0,13
2023-10-08,0.9092013476468763,0,8
2023-10-09,11.054511444412501,0,6
2023-10-10,7.140515439807813,0,5
2023-10-11,4.040758429046875,0,12
2023-10-12,5.292950084846875,1,6
2023-10-13,4.262896198240625,2,8
2023-10-14,-0.6037107452578117,0,3
2023-10-15,-1.0797881812109362,0,13
2023-10-16,9.255145201396877,0,10
2023-10-17,3.424274947490626,0,7
2023-10-18,4.587039687428126,0,3
2023-10-19,10.584255750332812,0,3
2023-10-20,2.9837795036749997,0,18
2023-10-21,-0.6027755420953123,0,5
2023-10-22,1.9368596967687508,0,0
2023-10-23,2.9827036224640637,3,9
2023-10-24,5.9096628135937515,0,10
2023-10-25,4.5769173320625,0,4
2023-10-26,3.5945571917265626,0,7
2023-10-27,1.6656563848468753,0,1
2023-10-28,-0.10431202925937422,0,2
2023-10-29,-0.7517839644453116,0,4
2023-10-30,13.495874335917188,1,6
2023-10-31,4.2088309915796875,1,2
2023-11-01,4.468041408746875,0,4
2023-11-02,9.503726885404687,1,8
2023-11-03,3.0250472184562502,0,15
2023-11-04,-0.5974023979765621,0,0
2023-11-05,-0.07820854562343671,0,3
2023-11-06,4.1458293249640645,0,3
2023-11-07,6.866412615281251,0,3
2023-11-08,10.458915621403126,0,11
2023-11-09,-0.03492296455937538,0,13
2023-11-10,3.6882956978625003,1,11
2023-11-11,-1.342368401723437,0,1
2023-11-12,1.212649665554689,0,2
2023-11-13,2.2440422531984385,0,34
2023-11-14,3.1715198623859386,2,16
2023-11-15,0.04942710319531307,2,10
2023-11-16,1.3231669685250007,0,11
2023-11-17,5.371387662287501,1,12
2023-11-18,1.0595364548500001,1,0
2023-11-19,-0.7157971926796873,0,0
2023-11-20,-0.4235075147812497,0,3
2023-11-21,0.6837520583812509,2,10
2023-11-22,10.661086969079689,0,17
2023-11-23,5.678443309340625,0,11
2023-11-24,-0.3439216810671881,0,9
2023-11-25,0.15444252433437478,0,0
2023-11-26,1.342566008753126,0,0
2023-11-27,4.374618532428126,0,10
2023-11-28,4.09214441625,0,6
2023-11-29,5.957487690734375,0,5
2023-11-30,3.6705900680421872,0,11
2023-12-01,5.7233327222453125,0,5
2023-12-02,-0.4141742520171876,0,0
2023-12-03,-0.8886858705515619,0,0
2023-12-04,2.3905562276828136,0,8
2023-12-05,3.2340369111000014,0,3
2023-12-06,5.098218485992188,0,3
2023-12-07,-0.13819177253906245,0,8
2023-12-08,-0.7434389190796871,0,2
2023-12-09,-0.46706640003906197,1,7
2023-12-10,-0.32478831826718657,1,9
2023-12-11,6.788309008714063,0,8
2023-12-12,3.1318314509531247,1,5
2023-12-13,2.1418060003296873,0,7
2023-12-14,1.2184010155124998,0,10
2023-12-15,4.34640107176875,1,10
2023-12-16,-0.8793661025359374,0,1
2023-12-17,-0.5005885874999995,3,2
2023-12-18,5.63752082625,0,11
2023-12-19,0.1136149863906254,0,5
2023-12-20,1.392745916435938,0,3
2023-12-21,4.433702195809375,1,7
2023-12-22,6.157723335110938,1,10
2023-12-23,-1.1640022701500001,0,0
2023-12-24,2.364091912320313,0,3
2023-12-25,16.28522981,0,6
2023-12-26,4.844951150656249,0,1
2023-12-27,4.18872386676875,0,15
2023-12-28,4.363374452682812,0,5
2023-12-29,-0.6114078938999989,0,7
2023-12-30,0.891919258710939,2,8
2023-12-31,2.031380480998439,0,1
2024-01-01,-0.9486073627968736,0,1
2024-01-02,11.346151172376564,0,12
2024-01-03,3.3017653132796876,0,4
2024-01-04,7.669852964154687,0,7
2024-01-05,4.339429035440624,0,10
2024-01-06,2.4829151417687503,0,2
2024-01-07,0.7159699326828131,0,2
2024-01-08,7.9790069558812515,0,5
2024-01-09,9.402843274892188,1,6
2024-01-10,3.9699031500625,0,3
2024-01-11,9.215264863240625,0,10
2024-01-12,-1.1490153073203127,0,9
2024-01-13,1.6579633890828138,0,8
