,microsoft/typescript,rescript-lang/rescript-compiler,google/closure-compiler
2014-10-08,26,0,7.0
2014-10-09,35,0,8.299999999999999
2014-10-10,19,0,11.784999999999998
2014-10-11,7,0,-0.9045000000000016
2014-10-12,0,0,-1.0861375000000002
2014-10-13,21,0,2.2857202500000007
2014-10-14,22,0,8.165702662500001
2014-10-15,28,0,2.5387057637500003
2014-10-16,14,0,3.7554556301406254
2014-10-17,18,0,2.699225651357813
2014-10-18,6,0,2.815615811723438
2014-10-19,6,0,-1.108440183482812
2014-10-20,18,0,3.378082446214063
2014-10-21,39,0,5.141569994703126
2014-10-22,18,0,2.851386777751563
2014-10-23,32,0,15.929553543864063
2014-10-24,18,1,1.6878901897781242
2014-10-25,5,1,-1.5920842997421876
2014-10-26,4,1,-0.9683672122062496
2014-10-27,19,2,5.313328229856252
2014-10-28,26,1,7.885881770437502
2014-10-29,33,0,7.4063987142625
2014-10-30,23,3,8.194092746471874
2014-10-31,13,1,-0.026106516409375224
2014-11-01,18,2,-1.3702167451734368
2014-11-02,13,0,-0.8185807351437488
2014-11-03,24,1,9.406303960000002
2014-11-04,42,0,4.521796243156251
2014-11-05,22,0,6.549795176393751
2014-11-06,39,0,7.346034522535938
2014-11-07,33,0,7.168914804520313
2014-11-08,14,4,-1.921267651390625
2014-11-09,11,5,-1.0719183300718742
2014-11-10,25,3,7.238694462500002
2014-11-11,54,4,9.601445342343752
2014-11-12,31,6,4.046343164046875
2014-11-13,19,0,1.3317590019093748
2014-11-14,14,5,1.6980510963218756
2014-11-15,15,0,-1.1239259899640612
2014-11-16,2,0,0.2973549771765639
2014-11-17,25,2,1.422280292500001
2014-11-18,27,14,3.3671130121250012
2014-11-19,64,0,4.154659271540625
2014-11-20,47,0,4.019773117760938
2014-11-21,39,3,4.9911791069875
2014-11-22,27,6,1.8505529908453122
2014-11-23,9,15,-0.9428937788578122
2014-11-24,8,4,3.4256999944843756
2014-11-25,44,0,4.172220923932813
2014-11-26,33,0,5.984962499115626
2014-11-27,12,0,-1.3032277814718751
2014-11-28,15,0,-0.736034042757812
2014-11-29,16,0,-0.4999647295234366
2014-11-30,19,0,-0.3569673542624988
2014-12-01,57,0,1.7518013448921883
2014-12-02,60,6,1.6141241791875003
2014-12-03,34,2,9.550907151028126
2014-12-04,39,7,4.744027546210937
2014-12-05,15,0,2.7928830322484366
2014-12-06,13,0,0.9714414999999996
2014-12-07,4,2,2.1838174750000006
2014-12-08,16,1,2.162346082500001
2014-12-09,24,1,0.15570535646875072
2014-12-10,105,0,3.3478646313968756
2014-12-11,70,2,3.1435879372718754
2014-12-12,91,0,3.0690650365468755
2014-12-13,7,0,0.08664745272187513
2014-12-14,16,0,-0.6182659124249996
2014-12-15,27,0,3.6019372546312507
2014-12-16,56,0,-0.693260242904687
2014-12-17,60,0,10.603082794376563
2014-12-18,9,1,12.626188310401561
2014-12-19,8,0,14.89294454029375
2014-12-20,0,1,4.209070641543748
2014-12-21,0,0,-2.1870992731593755
2014-12-22,3,1,6.681167112464063
2014-12-23,0,0,5.240547610437502
2014-12-24,0,0,0.1814835061062514
2014-12-25,0,1,-1.3401346531718739
2014-12-26,1,0,-0.9618706838640606
2014-12-27,1,0,-0.6884726305187482
2014-12-28,1,0,-0.4691970342203111
2014-12-29,1,0,1.7280908747484383
2014-12-30,7,0,-0.38052640287499967
2014-12-31,3,1,-0.24635640389687463
2015-01-01,0,0,-0.13492859378281236
2015-01-02,2,0,-0.05812270507187481
2015-01-03,0,0,0.9677665000000001
2015-01-04,3,5,1.873675975
2015-01-05,7,0,12.7328126075
2015-01-06,8,0,2.562363373968749
2015-01-07,8,0,1.9205397949281244
2015-01-08,5,0,3.0920582499999996
2015-01-09,11,0,1.0369919875000004
2015-01-10,3,1,-0.7950854712499993
2015-01-11,3,0,-0.5333163680156241
2015-01-12,11,0,5.5875981701828135
2015-01-13,9,0,6.069161403225
2015-01-14,19,1,0.7643790262203125
2015-01-15,18,0,4.181000840809375
2015-01-16,12,0,4.000867797829687
2015-01-17,4,0,1.9239299638250003
2015-01-18,0,0,-0.9174120300718748
2015-01-19,15,1,0.42825773500000075
2015-01-20,41,2,6.469213973156251
2015-01-21,21,2,3.9070599886750004
2015-01-22,17,0,8.908942612467188
2015-01-23,10,0,5.395243711099999
2015-01-24,11,1,2.423628833492187
2015-01-25,2,0,-1.2999909642265624
2015-01-26,5,0,3.2048669086421886
2015-01-27,20,0,7.027160750734376
2015-01-28,21,0,-1.437932899895312
2015-01-29,26,1,12.151828417170313
2015-01-30,19,0,0.12136868341406215
2015-01-31,10,0,-1.2101085014687492
2015-02-01,5,0,1.260852730185938
2015-02-02,19,0,0.29112120485625126
2015-02-03,33,2,4.432134427937501
2015-02-04,27,0,12.08451842323125
2015-02-05,27,0,6.167442103462499
2015-02-06,27,1,5.273028538296874
2015-02-07,43,1,0.2954250160015621
2015-02-08,5,0,-1.1443433600718742
2015-02-09,28,0,7.2396418652187515
2015-02-10,15,0,0.616487838162501
2015-02-11,16,0,4.980103181135938
2015-02-12,26,0,0.7025005106171878
