,moby/moby,containerd/containerd,canonical/lxd
2016-02-05,33.0,0,3
2016-02-06,8.0,0,0
2016-02-07,5.0,0,0
2016-02-08,20.0,0,1
2016-02-09,34.0,0,13
2016-02-10,36.0,0,16
2016-02-11,54.0,10,19
2016-02-12,41.0,6,5
2016-02-13,7.0,0,1
2016-02-14,3.0,0,1
2016-02-15,9.0,0,4
2016-02-16,28.0,3,2
2016-02-17,40.0,2,20
2016-02-18,41.0,0,15
2016-02-19,30.0,3,9
2016-02-20,14.0,0,1
2016-02-21,7.0,1,6
2016-02-22,14.0,1,3
2016-02-23,30.0,4,11
2016-02-24,31.0,0,30
2016-02-25,38.0,10,11
2016-02-26,22.0,10,17
2016-02-27,16.0,0,8
2016-02-28,10.0,0,0
2016-02-29,51.0,8,10
2016-03-01,56.0,5,7
2016-03-02,43.0,0,16
2016-03-03,41.0,0,4
2016-03-04,30.0,0,1
2016-03-05,8.0,0,0
2016-03-06,7.0,0,0
2016-03-07,16.0,3,19
2016-03-08,27.0,1,15
2016-03-09,27.0,2,10
2016-03-10,27.0,0,19
2016-03-11,43.0,7,12
2016-03-12,16.0,2,1
2016-03-13,8.0,0,0
2016-03-14,31.0,3,0
2016-03-15,41.0,4,28
2016-03-16,40.0,3,5
2016-03-17,43.0,10,8
2016-03-18,35.0,4,4
2016-03-19,14.0,2,2
2016-03-20,12.0,0,3
2016-03-21,38.0,10,8
2016-03-22,40.0,11,6
2016-03-23,39.0,8,17
2016-03-24,39.0,3,3
2016-03-25,51.0,10,7
2016-03-26,10.0,1,4
2016-03-27,14.0,0,1
2016-03-28,44.0,8,8
2016-03-29,44.0,6,3
2016-03-30,35.0,4,2
2016-03-31,45.0,7,15
2016-04-01,10.0,3,7
2016-04-02,1.0,1,6
2016-04-03,1.0,0,5
2016-04-04,13.0,5,8
2016-04-05,12.0,4,7
2016-04-06,58.0,7,8
2016-04-07,27.0,6,9
2016-04-08,40.0,0,12
2016-04-09,22.0,0,3
2016-04-10,13.0,0,3
2016-04-11,16.0,1,3
2016-04-12,22.0,0,0
2016-04-13,26.0,2,5
2016-04-14,37.0,3,4
2016-04-15,45.0,2,0
2016-04-16,12.0,0,0
2016-04-17,2.0,3,0
2016-04-18,24.0,6,4
2016-04-19,27.0,1,2
2016-04-20,22.0,2,0
2016-04-21,25.0,5,1
2016-04-22,19.0,9,4
2016-04-23,9.0,0,0
2016-04-24,4.0,0,13
2016-04-25,32.0,0,2
2016-04-26,19.0,16,6
2016-04-27,16.0,1,6
2016-04-28,20.0,3,8
2016-04-29,24.0,3,4
2016-04-30,8.0,0,0
2016-05-01,6.0,0,6
2016-05-02,21.0,4,1
2016-05-03,18.0,0,2
2016-05-04,24.0,2,5
2016-05-05,19.0,0,2
2016-05-06,26.0,3,1
2016-05-07,18.0,0,2
2016-05-08,5.0,0,0
2016-05-09,19.0,8,6
2016-05-10,12.0,0,3
2016-05-11,19.0,0,6
2016-05-12,33.0,1,0
2016-05-13,12.0,2,0
2016-05-14,16.0,0,2
2016-05-15,5.0,0,0
2016-05-16,14.0,0,0
2016-05-17,10.0,1,5
2016-05-18,16.0,5,1
2016-05-19,15.0,1,3
2016-05-20,17.0,0,1
2016-05-21,13.0,0,0
2016-05-22,11.0,0,0
2016-05-23,21.0,1,1
2016-05-24,42.0,0,0
2016-05-25,55.0,2,6
2016-05-26,25.0,2,5
2016-05-27,32.0,1,4
2016-05-28,7.0,0,0
2016-05-29,8.0,0,0
2016-05-30,9.0,0,0
2016-05-31,30.0,1,10
2016-06-01,27.0,0,17
2016-06-02,35.0,0,13
2016-06-03,49.0,1,11
2016-06-04,18.0,0,0
2016-06-05,31.0,0,13
2016-06-06,51.0,1,3
