,bridgecrewio/checkov,aquasecurity/trivy,tfsec/tfsec
2020-02-27,0.0,2,0
2020-02-28,5.0,0,0
2020-02-29,-0.5000000000000004,0,0
2020-03-01,2.775,0,0
2020-03-02,1.5574999999999997,0,0
2020-03-03,-0.4383124999999999,0,0
2020-03-04,-0.2560837499999999,2,0
2020-03-05,-0.18479756249999962,1,0
2020-03-06,3.8548562687500003,4,0
2020-03-07,-0.519561102578125,0,0
2020-03-08,10.718400623570313,0,0
2020-03-09,6.735107668453124,1,0
2020-03-10,12.578016816360936,0,0
2020-03-11,21.845235294928123,1,0
2020-03-12,-3.537935550000002,0,1
2020-03-13,-1.8659590349999997,5,0
2020-03-14,9.7147356104375,0,0
2020-03-15,3.9175433311062524,1,0
2020-03-16,4.139928811828126,2,1
2020-03-17,4.1763660704796886,1,0
2020-03-18,3.2643165874937514,1,1
2020-03-19,-1.5894826978781238,0,0
2020-03-20,5.036969901637502,1,0
2020-03-21,-1.1641782337499993,0,0
2020-03-22,-0.7207986956718737,0,0
2020-03-23,-0.5469152584890615,0,0
2020-03-24,-0.3641502333093739,2,0
2020-03-25,2.7400280254406257,0,0
2020-03-26,4.52279324470625,0,0
2020-03-27,3.2564435598203123,0,2
2020-03-28,10.23209012190625,0,0
2020-03-29,1.4651193847843742,0,0
2020-03-30,26.93933725,0,0
2020-03-31,2.548780212499998,2,0
2020-04-01,-2.3363456512500003,1,0
2020-04-02,-1.4440932202968746,0,0
2020-04-03,0.9399047048140654,0,0
2020-04-04,-1.0170282109921849,0,0
2020-04-05,1.2726352079343768,1,3
2020-04-06,4.232312113057814,1,0
2020-04-07,1.009003500454688,0,0
2020-04-08,-0.8068112490999996,0,0
2020-04-09,5.649457859784375,0,0
2020-04-10,-0.8147333925,0,0
2020-04-11,-0.4373694010312496,0,0
2020-04-12,2.6919713399281253,0,0
2020-04-13,13.47509586771875,4,0
2020-04-14,8.281472837349998,1,0
2020-04-15,3.144397036289061,1,0
2020-04-16,-1.4943473825718756,2,0
2020-04-17,-0.9050351280937491,0,0
2020-04-18,-0.6646386527156234,0,0
2020-04-19,3.5179707362500015,0,0
2020-04-20,5.203779438453126,0,0
2020-04-21,6.884100035173438,0,0
2020-04-22,-1.4527355469093752,1,0
2020-04-23,4.2545199095625,0,0
2020-04-24,-0.9584362626796874,0,0
2020-04-25,-0.5396485499999991,0,0
2020-04-26,3.605219140000001,1,0
2020-04-27,10.286555970437501,2,0
2020-04-28,6.459661391762499,0,2
2020-04-29,1.3982503181593744,0,0
2020-04-30,28.8211906984625,3,0
2020-05-01,-3.7025960650781267,0,0
2020-05-02,5.127273437320313,0,0
2020-05-03,13.0649215775,2,0
2020-05-04,6.251174739187501,0,0
2020-05-05,21.474915039184374,2,0
2020-05-06,22.025787154229686,0,0
2020-05-07,7.212038603165625,0,0
2020-05-08,-3.8860937855765623,0,0
2020-05-09,-2.449002387328122,0,0
2020-05-10,-1.6178687473593711,0,0
2020-05-11,5.714966270764067,0,0
2020-05-12,21.286040359820316,1,0
2020-05-13,12.633390562301562,0,0
2020-05-14,32.58202704573125,0,0
2020-05-15,-1.4533274221218777,0,0
2020-05-16,5.83515901956875,0,0
2020-05-17,4.1005806625000005,1,0
2020-05-18,8.398899838750005,1,0
2020-05-19,1.1329215951406275,1,0
2020-05-20,7.724875742889065,0,0
2020-05-21,10.41852401842344,2,0
2020-05-22,17.154221443362502,0,0
2020-05-23,-1.66254354710625,0,0
2020-05-24,2.916259761465626,0,0
2020-05-25,2.0929734273171894,2,0
2020-05-26,37.35519392907656,0,0
2020-05-27,15.001136245042186,0,0
2020-05-28,33.45871715845,1,0
2020-05-29,-6.431308294562503,1,2
2020-05-30,-3.538853298279685,2,20
2020-05-31,16.579966542000005,1,0
2020-06-01,25.370157457350004,1,1
2020-06-02,5.856401581507814,1,1
2020-06-03,26.924709982246874,0,0
2020-06-04,27.245430533285937,0,0
2020-06-05,0.5544963046875004,0,0
2020-06-06,-1.3324078838656241,0,0
2020-06-07,8.034199658750003,0,0
2020-06-08,19.73572097395313,3,0
2020-06-09,21.475897428114067,0,0
2020-06-10,16.74962608703594,2,0
2020-06-11,21.851631104870314,1,0
2020-06-12,-5.776782419379687,0,0
2020-06-13,-3.2721138010453092,0,0
2020-06-14,22.844635646951566,1,0
2020-06-15,17.859728660470317,2,0
2020-06-16,16.349388795245314,0,0
2020-06-17,8.156114598267187,0,0
2020-06-18,7.883034648971876,0,0
2020-06-19,-0.6841129572124975,0,0
2020-06-20,-2.554800330970309,0,0
2020-06-21,9.349029068750003,1,0
2020-06-22,3.5973608446093777,1,0
2020-06-23,11.825063516507814,2,0
2020-06-24,5.28027821963125,2,0
2020-06-25,13.698338135042189,1,0
2020-06-26,0.08245482209531207,0,0
2020-06-27,-1.9082488069781238,0,0
2020-06-28,2.791866208642189,0,0
2020-06-29,22.698884204328127,0,1
2020-06-30,3.6897393965109373,0,0
2020-07-01,14.573958482565626,0,0
2020-07-02,44.807234382871876,0,1
2020-07-03,-6.578431917287502,0,0
2020-07-04,-3.391674129621874,0,30
2020-07-05,10.782460607392188,0,0
2020-07-06,-0.9624407995624953,1,4
2020-07-07,0.8767509912312534,2,0
2020-07-08,3.1505799117781272,0,0
2020-07-09,15.285436790982816,1,9
2020-07-10,1.1365977321390632,0,0
2020-07-11,5.024027915775001,0,0
2020-07-12,14.31329517375,0,0
2020-07-13,0.35309225079687545,1,0
2020-07-14,6.196452389751563,0,0
2020-07-15,3.0751701621312506,1,2
2020-07-16,10.296803741064064,1,0
2020-07-17,-0.3140199564453119,1,0
2020-07-18,3.434547931076564,0,0
2020-07-19,6.518194721246876,1,0
2020-07-20,9.239004085248439,0,0
2020-07-21,5.845127787878125,0,0
2020-07-22,2.0262983070171874,3,0
2020-07-23,0.4061354846343759,0,0
2020-07-24,4.7909670261328134,0,0
2020-07-25,-1.4272716877124987,0,0
2020-07-26,3.1632450223500017,1,0
2020-07-27,-1.0226595255546866,0,0
2020-07-28,-0.6500483834593738,2,0
2020-07-29,16.549666807979687,4,0
2020-07-30,-1.9892735398500005,2,0
2020-07-31,-0.9487612136750001,1,0
2020-08-01,-0.611355633165625,0,0
2020-08-02,4.553969599784376,0,0
2020-08-03,-0.8122580020624994,0,0
2020-08-04,4.517650377356251,0,0
2020-08-05,24.16890716375,2,0
2020-08-06,-2.9909738212656265,0,2
2020-08-07,12.509135756889062,0,0
2020-08-08,-0.2816225625000013,0,0
2020-08-09,2.517385268750002,1,0
2020-08-10,2.5944296224218757,0,4
