,elastic/elasticsearch,blevesearch/bleve,apache/solr
2014-07-17,17.0,0,4
2014-07-18,4.8999999999999995,0,3
2014-07-19,-4.784999999999999,0,5
2014-07-20,-0.06149999999999878,0,5
2014-07-21,19.1222375,7,10
2014-07-22,15.583130749999999,1,4
2014-07-23,24.083022837500003,0,6
2014-07-24,4.500092721250002,0,6
2014-07-25,4.999170077484376,0,1
2014-07-26,-6.1021096676140605,0,2
2014-07-27,-6.127237542328123,0,2
2014-07-28,18.424607980218752,0,5
2014-07-29,2.8619082502062483,0,10
2014-07-30,7.182143391501562,4,5
2014-07-31,1.669546511864061,5,4
2014-08-01,9.0908706152875,0,3
2014-08-02,-5.058734517689063,4,1
2014-08-03,-0.5331819700359359,5,1
2014-08-04,19.32872620832031,0,2
2014-08-05,18.02962849240781,1,4
2014-08-06,2.038384060192186,7,6
2014-08-07,6.777389985973439,7,6
2014-08-08,11.739123150103126,3,7
2014-08-09,-11.726891138076564,0,3
2014-08-10,-5.70405646077031,0,4
2014-08-11,16.321877793240624,9,9
2014-08-12,10.282205878960935,1,7
2014-08-13,9.095470744224999,0,5
2014-08-14,-1.3379389507531254,21,15
2014-08-15,-0.5194654060078117,4,15
2014-08-16,-4.113198293801563,0,1
2014-08-17,-1.9627245911218747,0,2
2014-08-18,42.0258708875,0,10
2014-08-19,0.5023213259374977,6,5
2014-08-20,6.924591403046875,1,11
2014-08-21,19.20941052877969,0,22
2014-08-22,-4.2889909435640625,0,19
2014-08-23,-3.518875258954685,1,4
2014-08-24,-3.045839686160937,1,16
2014-08-25,6.550669121253125,20,7
2014-08-26,6.865776514081248,6,9
2014-08-27,79.85888463377344,0,2
2014-08-28,-6.227613851006254,6,7
2014-08-29,8.07610814634063,12,5
2014-08-30,-16.548054657140625,7,13
2014-08-31,-8.099677377921871,1,2
2014-09-01,15.710791293540627,10,14
2014-09-02,2.878854513381249,7,10
2014-09-03,3.9756349664874993,10,9
2014-09-04,4.280240531865621,4,14
2014-09-05,5.472195929387496,1,18
2014-09-06,-3.8160319065093766,0,2
2014-09-07,4.199876377198439,6,2
2014-09-08,24.831689272501563,0,4
2014-09-09,4.379773910423436,1,2
2014-09-10,7.2909407166593745,0,10
2014-09-11,18.393217160021877,3,11
2014-09-12,5.0430547612718755,3,10
2014-09-13,-12.17600378049375,2,10
2014-09-14,-6.143083507320311,3,6
2014-09-15,20.959688617429688,0,3
2014-09-16,7.505683719187498,3,8
2014-09-17,-1.2970506852328132,0,13
