,apache/echarts,plotly/plotly.js,highcharts/highcharts
2017-08-31,6.0,1,31
2017-09-01,0.8000000000000003,3,16
2017-09-02,-0.8800000000000003,0,0
2017-09-03,-0.44800000000000034,0,0
2017-09-04,0.7023999999999999,0,13
2017-09-05,-0.42041600000000007,7,15
2017-09-06,4.7463552,5,11
2017-09-07,-1.19041792,1,2
2017-09-08,7.446220288,1,4
2017-09-09,-1.9691275263999994,0,0
2017-09-10,-0.8533675008000006,0,0
2017-09-11,1.4713932799999996,1,11
2017-09-12,-0.7853317120000001,2,15
2017-09-13,1.5386090495999998,25,21
2017-09-14,1.2686310400000003,3,21
2017-09-15,5.175039488,6,14
2017-09-16,-1.6221736959999995,0,4
2017-09-17,-0.7838124032000002,0,0
2017-09-18,-0.44012544000000026,3,13
2017-09-19,-0.322305024,15,9
2017-09-20,-0.2528657408,23,15
2017-09-21,-0.18520166399999996,4,4
2017-09-22,0.8447255552000001,28,5
2017-09-23,-0.31126497279999954,0,0
2017-09-24,-0.15481610239999985,0,0
2017-09-25,4.952,9,9
2017-09-26,3.9664,2,25
2017-09-27,2.574464,10,14
2017-09-28,1.5395711999999997,15,36
2017-09-29,-1.3449267200000004,3,41
2017-09-30,-0.7420677120000004,5,16
2017-10-01,-0.5206933504000003,0,3
2017-10-02,-0.3897216000000002,8,42
2017-10-03,-0.31489535999999985,20,19
2017-10-04,-0.2632785919999996,23,24
2017-10-05,-0.17067775999999962,27,13
2017-10-06,-0.09304053759999967,19,9
2017-10-07,-0.03740805119999989,0,11
2017-10-08,0.0,0,3
2017-10-09,2.0,12,0
2017-10-10,1.6,9,3
2017-10-11,4.4399999999999995,0,1
2017-10-12,11.744,5,7
2017-10-13,-0.16320000000000023,1,11
2017-10-14,1.0017279999999988,0,3
2017-10-15,-1.7239296000000006,1,13
2017-10-16,2.9768089599999996,14,7
2017-10-17,0.4584591359999999,9,10
2017-10-18,-0.3013301248000002,14,12
2017-10-19,-1.0068190208,14,13
2017-10-20,2.3281464320000005,19,9
2017-10-21,-1.0733888511999994,0,1
2017-10-22,2.5130416128,0,3
