,kubernetes/kubernetes,docker-archive/classicswarm,hashicorp/nomad
2016-05-01,5,2,2
2016-05-02,41,3,2
2016-05-03,36,8,10
2016-05-04,54,1,2
2016-05-05,60,5,13
2016-05-06,86,7,2
2016-05-07,23,0,16
2016-05-08,19,1,6
2016-05-09,83,0,20
2016-05-10,71,4,6
2016-05-11,68,2,28
2016-05-12,65,1,4
2016-05-13,59,3,4
2016-05-14,26,1,5
2016-05-15,22,0,1
2016-05-16,61,0,8
2016-05-17,84,1,13
2016-05-18,67,0,4
2016-05-19,65,0,6
2016-05-20,88,0,2
2016-05-21,47,1,1
2016-05-22,37,1,3
2016-05-23,63,1,3
2016-05-24,60,3,4
2016-05-25,53,2,24
2016-05-26,76,6,0
2016-05-27,87,1,11
2016-05-28,41,0,7
2016-05-29,28,2,72
2016-05-30,42,0,1
2016-05-31,50,9,12
2016-06-01,59,0,3
2016-06-02,65,3,2
2016-06-03,65,3,12
2016-06-04,36,2,2
2016-06-05,7,1,8
2016-06-06,43,1,10
2016-06-07,39,0,10
2016-06-08,63,2,10
2016-06-09,51,1,2
2016-06-10,78,0,186
2016-06-11,28,0,28
2016-06-12,11,0,27
2016-06-13,68,1,11
2016-06-14,59,6,25
2016-06-15,59,1,26
2016-06-16,51,0,40
2016-06-17,70,4,44
2016-06-18,35,1,2
2016-06-19,23,0,0
2016-06-20,61,2,8
2016-06-21,76,2,20
2016-06-22,75,4,28
2016-06-23,49,4,7
2016-06-24,83,0,5
2016-06-25,38,0,2
2016-06-26,21,1,0
2016-06-27,47,2,5
2016-06-28,71,1,24
2016-06-29,74,3,6
2016-06-30,48,2,4
2016-07-01,35,4,13
2016-07-02,30,0,0
2016-07-03,23,0,0
2016-07-04,23,0,0
2016-07-05,35,3,0
2016-07-06,48,0,5
2016-07-07,88,6,2
2016-07-08,67,3,5
2016-07-09,16,0,11
2016-07-10,8,0,19
2016-07-11,54,3,24
2016-07-12,62,5,33
2016-07-13,79,2,13
2016-07-14,56,3,1
2016-07-15,72,0,0
2016-07-16,17,0,0
2016-07-17,8,0,0
2016-07-18,63,1,6
2016-07-19,89,2,4
2016-07-20,90,8,18
2016-07-21,73,2,15
2016-07-22,68,3,11
2016-07-23,33,1,5
2016-07-24,3,0,0
2016-07-25,38,0,39
2016-07-26,37,0,35
2016-07-27,42,0,10
2016-07-28,47,3,20
2016-07-29,48,0,4
2016-07-30,23,0,1
2016-07-31,3,0,0
2016-08-01,37,0,2
2016-08-02,94,2,19
2016-08-03,80,2,20
2016-08-04,99,1,24
2016-08-05,71,1,12
2016-08-06,23,1,3
2016-08-07,8,0,2
2016-08-08,43,0,19
2016-08-09,62,0,24
2016-08-10,86,0,11
2016-08-11,79,0,18
2016-08-12,78,0,27
2016-08-13,34,0,5
2016-08-14,18,0,4
2016-08-15,47,1,7
2016-08-16,61,0,25
2016-08-17,89,3,75
2016-08-18,114,6,12
2016-08-19,115,0,25
2016-08-20,59,0,2
2016-08-21,49,0,1
2016-08-22,98,1,9
2016-08-23,114,0,18
2016-08-24,79,4,9
2016-08-25,100,1,16
2016-08-26,95,0,13
2016-08-27,20,0,7
2016-08-28,12,2,1
2016-08-29,39,0,9
2016-08-30,81,0,11
2016-08-31,54,0,18
