,apache/tomee,dropwizard/dropwizard,spring-projects/spring-boot
2016-12-21,0.0,0,36
2016-12-22,1.0,0,31
2016-12-23,-0.6000000000000001,1,5
2016-12-24,-0.12,1,6
2016-12-25,-0.055999999999999994,0,5
2016-12-26,-0.03359999999999997,0,4
2016-12-27,-0.022848000000000004,0,34
2016-12-28,0.9832448,7,19
2016-12-29,-0.61292544,2,12
2016-12-30,0.8696596480000001,0,38
2016-12-31,-0.6645020672,0,1
2017-01-01,-0.15359999999999996,0,0
2017-01-02,1.921152,0,0
2017-01-03,1.7496447999999998,0,57
2017-01-04,-2.0757734400000003,0,30
2017-01-05,-0.499095552,0,33
2017-01-06,0.7433724928000001,0,28
2017-01-07,0.243163648,0,0
2017-01-08,-0.8305564672000001,0,7
2017-01-09,-0.25211648000000003,0,3
2017-01-10,0.850942976,1,15
2017-01-11,1.2955268095999999,1,0
2017-01-12,-1.3851094016000003,0,8
2017-01-13,-0.32568063999999997,14,22
2017-01-14,-0.16886579199999996,0,4
2017-01-15,-0.10889041919999996,0,4
2017-01-16,0.9290467327999999,1,34
2017-01-17,-0.6464358400000001,3,46
2017-01-18,-0.156191232,0,22
2017-01-19,-0.08518277120000002,0,45
2017-01-20,0.9493958656,0,33
2017-01-21,-0.6228480000000001,0,0
2017-01-22,-0.1367552,0,6
2017-01-23,-0.06892544,6,15
2017-01-24,-0.04394035199999998,1,70
2017-01-25,0.9686499328,0,27
2017-01-26,5.3832448,0,40
2017-01-27,-2.7329254400000007,5,3
2017-01-28,-1.386340352,0,6
2017-01-29,-0.49810206719999994,0,0
2017-01-30,0.7195520000000002,4,20
2017-01-31,1.2125568,0,3
2017-02-01,-1.4563046400000004,3,13
2017-02-02,1.599351808,6,6
2017-02-03,-1.4290696192000003,0,2
2017-02-04,-0.3914007552,0,0
2017-02-05,-0.18295326720000002,0,6
2017-02-06,-0.11363583999999996,3,21
2017-02-07,-0.08188723200000003,3,23
2017-02-08,1.9373068288,1,34
2017-02-09,-0.24285501440000012,2,15
2017-02-10,1.139319296,2,2
2017-02-11,-1.4490041344000002,2,0
2017-02-12,-0.3631999999999999,0,6
2017-02-13,0.8087040000000001,4,10
2017-02-14,0.27644159999999995,3,16
2017-02-15,-0.8083020800000001,0,11
