,pulsar-edit/pulsar,neovim/neovim,microsoft/vscode
2016-01-13,26,10,46
2016-01-14,22,14,40
2016-01-15,25,17,32
2016-01-16,2,7,0
2016-01-17,3,10,2
2016-01-18,1,16,75
2016-01-19,17,4,40
2016-01-20,4,10,42
2016-01-21,2,13,55
2016-01-22,3,8,34
2016-01-23,3,6,16
2016-01-24,1,10,4
2016-01-25,11,11,90
2016-01-26,11,3,16
2016-01-27,18,12,50
2016-01-28,10,18,59
2016-01-29,2,9,18
2016-01-30,1,9,3
2016-01-31,0,25,1
2016-02-01,25,28,41
2016-02-02,20,14,33
2016-02-03,2,10,42
2016-02-04,18,5,54
2016-02-05,15,8,47
2016-02-06,1,5,2
2016-02-07,0,9,2
2016-02-08,23,1,33
2016-02-09,15,35,54
2016-02-10,20,13,19
2016-02-11,13,17,25
2016-02-12,55,2,54
2016-02-13,4,5,4
2016-02-14,1,9,7
2016-02-15,3,27,17
2016-02-16,25,11,34
2016-02-17,31,14,30
2016-02-18,28,2,50
2016-02-19,9,8,79
2016-02-20,0,6,6
2016-02-21,4,18,15
2016-02-22,14,21,54
2016-02-23,6,18,34
2016-02-24,3,5,41
2016-02-25,23,9,48
2016-02-26,13,2,23
2016-02-27,0,8,0
2016-02-28,16,13,7
2016-02-29,13,10,33
2016-03-01,79,6,50
2016-03-02,6,20,20
2016-03-03,8,2,56
2016-03-04,20,7,46
2016-03-05,3,15,4
2016-03-06,2,0,2
2016-03-07,12,7,37
2016-03-08,9,3,53
2016-03-09,7,7,30
2016-03-10,21,3,35
2016-03-11,11,7,68
2016-03-12,5,0,4
2016-03-13,5,1,12
2016-03-14,14,0,21
2016-03-15,14,3,64
2016-03-16,4,1,56
2016-03-17,15,5,45
2016-03-18,21,4,37
2016-03-19,4,0,3
2016-03-20,1,0,1
2016-03-21,8,2,3
2016-03-22,12,0,14
2016-03-23,14,0,25
2016-03-24,6,1,55
2016-03-25,27,0,7
2016-03-26,2,0,0
2016-03-27,0,0,5
2016-03-28,21,1,1
2016-03-29,11,4,29
2016-03-30,26,5,38
2016-03-31,18,3,61
2016-04-01,11,5,34
2016-04-02,9,2,1
2016-04-03,1,1,3
2016-04-04,5,2,35
2016-04-05,26,0,36
2016-04-06,13,2,30
2016-04-07,19,1,47
2016-04-08,13,6,42
2016-04-09,8,2,1
2016-04-10,3,4,1
2016-04-11,15,6,41
2016-04-12,9,7,20
2016-04-13,7,5,44
2016-04-14,15,1,36
2016-04-15,18,14,19
2016-04-16,5,2,7
2016-04-17,1,100,2
2016-04-18,13,20,45
2016-04-19,5,13,65
2016-04-20,13,12,45
2016-04-21,11,5,92
2016-04-22,10,5,36
2016-04-23,1,3,10
2016-04-24,4,5,26
2016-04-25,29,21,50
2016-04-26,39,2,10
2016-04-27,16,11,28
2016-04-28,19,14,29
2016-04-29,15,12,35
2016-04-30,4,4,17
2016-05-01,5,6,2
2016-05-02,9,3,51
2016-05-03,11,9,29
2016-05-04,14,2,63
2016-05-05,7,4,3
2016-05-06,5,18,49
2016-05-07,4,7,0
2016-05-08,0,5,1
2016-05-09,0,1,15
2016-05-10,4,20,45
2016-05-11,3,2,47
2016-05-12,4,5,40
2016-05-13,4,0,51
2016-05-14,1,13,6
2016-05-15,2,16,4
2016-05-16,12,5,26
2016-05-17,12,27,40
2016-05-18,7,2,58
2016-05-19,10,12,61
2016-05-20,4,20,60
2016-05-21,2,8,17
2016-05-22,1,9,17
2016-05-23,21,11,58
2016-05-24,19,2,19
2016-05-25,22,13,53
2016-05-26,13,3,50
2016-05-27,5,6,37
2016-05-28,0,15,2
2016-05-29,0,5,0
2016-05-30,6,14,40
2016-05-31,0,6,33
2016-06-01,6,11,57
2016-06-02,2,6,86
2016-06-03,6,4,54
2016-06-04,2,5,5
2016-06-05,1,9,4
2016-06-06,5,7,50
2016-06-07,3,17,51
2016-06-08,11,3,51
2016-06-09,6,11,52
2016-06-10,6,15,29
2016-06-11,4,4,15
2016-06-12,0,1,7
2016-06-13,9,3,43
2016-06-14,16,1,85
2016-06-15,10,12,77
2016-06-16,3,6,71
2016-06-17,5,3,43
2016-06-18,7,7,1
2016-06-19,1,0,9
2016-06-20,5,5,47
2016-06-21,3,1,47
2016-06-22,3,0,42
2016-06-23,2,18,57
2016-06-24,3,15,69
2016-06-25,14,6,14
2016-06-26,0,4,19
2016-06-27,1,1,63
2016-06-28,6,3,19
2016-06-29,7,2,57
2016-06-30,10,1,51
2016-07-01,0,6,24
2016-07-02,18,1,10
2016-07-03,1,12,1
2016-07-04,4,0,30
2016-07-05,2,1,42
2016-07-06,8,3,52
2016-07-07,1,0,62
2016-07-08,6,38,38
2016-07-09,4,11,1
2016-07-10,0,4,5
2016-07-11,10,0,35
2016-07-12,16,5,47
2016-07-13,11,9,50
2016-07-14,11,0,49
