,jetty/jetty.project,apache/httpcomponents-client,square/okhttp
2019-07-25,3.0,0,1
2019-07-26,5.699999999999999,3,0
2019-07-27,-0.7350000000000007,1,0
2019-07-28,-0.35550000000000026,0,0
2019-07-29,2.7670125,0,1
2019-07-30,9.527674750000001,0,1
2019-07-31,10.7288134625,0,0
2019-08-01,5.152246836249999,0,0
2019-08-02,5.317745383453124,0,1
2019-08-03,-1.6945816857015623,0,0
2019-08-04,-1.0134966527156237,0,0
2019-08-05,10.297560286250002,0,0
2019-08-06,0.3449591984531257,0,0
2019-08-07,17.846044619735938,0,0
2019-08-08,7.327901757203124,0,2
2019-08-09,1.615292204709375,0,6
2019-08-10,0.2641205911390625,0,4
2019-08-11,-0.2933951052515609,1,1
2019-08-12,6.034802066250002,0,6
2019-08-13,18.576665426828125,0,1
2019-08-14,9.096783642323437,0,5
2019-08-15,4.285423335131249,0,0
2019-08-16,1.7032856116609376,0,0
2019-08-17,0.25932156757812663,0,1
2019-08-18,0.6942551800750021,1,4
2019-08-19,9.890699358162502,0,0
2019-08-20,11.102337631354688,0,0
2019-08-21,3.5667913294359375,0,2
2019-08-22,13.014840769343751,1,0
2019-08-23,6.361515768459375,1,2
2019-08-24,-2.337473387314062,3,4
2019-08-25,-1.3856943161749988,0,0
2019-08-26,7.007790847646877,0,0
2019-08-27,23.42704697550625,0,0
2019-08-28,19.514181437901563,0,0
2019-08-29,-0.10445851731093914,0,0
2019-08-30,1.3934389232999997,0,0
2019-08-31,-2.0930941051796856,0,0
2019-09-01,-1.353042022823434,0,0
2019-09-02,1.0148648675000027,0,0
2019-09-03,-1.0037321978749978,0,0
2019-09-04,3.2313312905718767,0,3
2019-09-05,13.015934652242189,1,6
2019-09-06,20.102853354610936,0,2
2019-09-07,-2.048102162206252,0,3
2019-09-08,-1.6315694351437506,0,2
2019-09-09,11.952070607500001,0,3
2019-09-10,21.919505823968752,0,5
2019-09-11,17.394328334928126,0,3
2019-09-12,13.950233975437499,0,0
2019-09-13,9.877612377637499,0,0
2019-09-14,-3.8530982680968737,0,2
2019-09-15,-2.329163731306247,0,4
2019-09-16,1.4221180462140663,0,1
2019-09-17,13.453584458296879,0,2
2019-09-18,18.330657058407816,0,0
2019-09-19,2.353038258309375,0,2
2019-09-20,2.4615952149640625,0,0
2019-09-21,-2.011923477865624,0,7
2019-09-22,-1.2287337230031223,0,5
2019-09-23,6.164361973750002,0,3
2019-09-24,3.6284743547031266,0,1
2019-09-25,6.623755300907813,0,0
2019-09-26,3.316210398632813,0,4
2019-09-27,0.563608237401563,2,2
2019-09-28,0.03263556970625048,0,1
2019-09-29,-0.7125121001796865,0,10
2019-09-30,6.522287563750001,0,0
2019-10-01,16.921848477640626,0,2
2019-10-02,19.57091083467031,0,7
2019-10-03,2.5740499769453105,1,1
2019-10-04,-0.3980192903656259,2,1
2019-10-05,-0.6539668349609364,0,0
2019-10-06,-0.2241766055874972,1,11
2019-10-07,4.996485548714065,0,5
2019-10-08,8.632245501390626,0,0
2019-10-09,9.094549005467188,1,0
2019-10-10,10.787652315509375,0,0
2019-10-11,-0.4976257888843758,0,0
2019-10-12,-1.4956109499968746,0,0
2019-10-13,-0.9653867893374987,0,0
2019-10-14,2.2809537819484396,0,2
2019-10-15,12.127629419370313,0,0
2019-10-16,30.093553433378126,0,1
2019-10-17,2.7697179552187476,0,0
2019-10-18,-0.8114503395984385,0,3
2019-10-19,2.127715541001563,0,2
2019-10-20,9.383498507428127,0,0
2019-10-21,3.7982392487500016,0,0
2019-10-22,2.0427503597031262,0,0
2019-10-23,0.304899505689064,2,0
2019-10-24,2.6378945017828146,0,0
2019-10-25,-0.31583616475937326,0,0
2019-10-26,-0.7834360162828115,0,6
2019-10-27,-0.520865690884374,0,3
2019-10-28,-0.4014405808156239,0,0
2019-10-29,0.6943744340109383,0,0
2019-10-30,10.720381440221875,0,0
2019-10-31,5.744731166325,1,0
2019-11-01,-0.28966465338437586,0,0
2019-11-02,-0.7923262231593753,0,2
2019-11-03,0.5036968974640632,0,0
2019-11-04,7.536416237500001,0,0
2019-11-05,6.86564441625,0,0
2019-11-06,11.571650190734374,0,0
2019-11-07,14.886869318042187,0,0
2019-11-08,4.135123984745311,1,0
2019-11-09,-2.211256293267188,0,3
2019-11-10,-0.32183514878593633,1,3
2019-11-11,10.936105766984378,0,0
2019-11-12,10.991576660839064,0,0
2019-11-13,22.5069731618375,0,0
2019-11-14,20.080031686759373,0,0
2019-11-15,-1.5090690279828145,0,0
2019-11-16,-1.777434196720312,0,0
2019-11-17,8.12708993599844,0,4
2019-11-18,14.65688241948438,0,1
2019-11-19,7.776223527526564,0,1
2019-11-20,9.962582244115627,0,0
2019-11-21,0.843630594142188,0,0
2019-11-22,0.7030160729765647,1,0
2019-11-23,-1.7247634711593731,0,1
2019-11-24,-0.06435279562343488,0,0
2019-11-25,2.0848752935578148,0,0
2019-11-26,8.988758832125,1,0
2019-11-27,15.343251712467188,1,1
2019-11-28,6.443201230401561,0,0
2019-11-29,-0.20884367377968838,0,0
2019-11-30,-1.4199376116906246,0,0
2019-12-01,0.06529370864218931,0,0
2019-12-02,11.208583223234378,0,0
2019-12-03,6.196829283417188,0,0
2019-12-04,4.171335863485938,0,2
2019-12-05,-0.6954796378749999,4,1
2019-12-06,1.8868505472484387,0,0
2019-12-07,3.0174106886453136,0,3
2019-12-08,-0.0022445513218740665,0,6
2019-12-09,0.2691482319843759,0,3
2019-12-10,2.3719554962765637,2,0
2019-12-11,4.238442825443751,0,0
2019-12-12,5.07619006786875,3,1
2019-12-13,2.9068301830187497,0,2
2019-12-14,-0.9852448390828126,0,0
2019-12-15,-0.590388268420312,15,0
2019-12-16,4.5876977930906255,0,0
2019-12-17,7.203591183198438,0,0
2019-12-18,2.7389886521671873,0,0
2019-12-19,15.905251649814062,0,0
2019-12-20,4.6449085742265614,1,3
2019-12-21,-1.9135501172781253,1,2
2019-12-22,-0.11048947264374953,0,2
2019-12-23,1.1240059187500018,0,0
2019-12-24,-0.8528614350781233,0,1
2019-12-25,-0.617987014304686,1,0
2019-12-26,0.5361465039000011,1,0
2019-12-27,1.5686456448406259,3,0
2019-12-28,-0.500154196720312,0,0
2019-12-29,-0.21470968900156234,0,1
2019-12-30,6.890581794484375,2,4
2019-12-31,0.21502277143281212,3,11
2020-01-01,-0.4771932175718751,4,3
2020-01-02,2.71808227875,0,1
2020-01-03,1.4951067944843754,0,2
2020-01-04,1.5039847714328127,0,5
2020-01-05,-0.500548542571875,0,4
2020-01-06,-0.29980538624999964,0,1
2020-01-07,9.775252862640626,4,5
2020-01-08,-1.181404818267188,1,0
2020-01-09,13.449762533714063,1,0
2020-01-10,-1.7622163565468763,1,0
2020-01-11,-0.903145576139062,0,2
2020-01-12,-0.5961018311031246,0,8
2020-01-13,2.5623071699281263,0,1
2020-01-14,9.3634285375,1,0
2020-01-15,7.585048694843749,0,2
2020-01-16,2.3251997271406246,0,1
2020-01-17,18.71405611778125,0,0
2020-01-18,-2.809059185503126,0,0
2020-01-19,-0.4006160374999994,2,7
2020-01-20,4.93739803625,0,4
2020-01-21,2.619182985953127,0,4
2020-01-22,7.705793995985939,2,1
2020-01-23,-0.7493808774999997,0,0
2020-01-24,4.905171400114064,0,0
2020-01-25,-1.3189741829562496,0,2
2020-01-26,-0.8069723219687486,1,0
2020-01-27,-0.46549179051562417,0,0
2020-01-28,4.631266621870314,1,2
2020-01-29,11.201627853971875,2,2
2020-01-30,12.365224001465624,2,0
2020-01-31,4.765779836660936,0,0
2020-02-01,0.15887876937031176,0,1
2020-02-02,-0.2929268652156243,0,2
2020-02-03,3.0620139375000015,0,1
2020-02-04,3.9143153687500014,0,2
2020-02-05,0.772123654921876,0,0
2020-02-06,6.003844146132813,0,2
2020-02-07,2.6300107386000002,0,0
2020-02-08,-1.1596910316124995,0,0
2020-02-09,0.35692090996718795,0,6
2020-02-10,4.472578134412501,0,0
2020-02-11,0.131068139151563,0,2
2020-02-12,3.3862745447781255,0,0
2020-02-13,1.2004026875390625,0,0
2020-02-14,-0.6560799311812495,1,0
2020-02-15,-0.415473482314062,3,0
2020-02-16,8.73373408110625,0,7
2020-02-17,0.9160091932343748,2,11
2020-02-18,5.242784336135937,0,0
2020-02-19,13.931238614304688,2,0
2020-02-20,18.918178002901563,0,1
2020-02-21,0.8148922138249981,0,0
2020-02-22,-1.0639643175718754,2,0
2020-02-23,-1.4113052912499988,0,3
2020-02-24,-1.0219380346406222,1,0
2020-02-25,6.191679586145315,0,1
2020-02-26,5.697855210584376,0,0
2020-02-27,8.4893497683,0,0
2020-02-28,3.1010458411328123,0,0
2020-02-29,0.48011964843281274,0,0
2020-03-01,3.989381526840625,0,1
2020-03-02,2.8475248099640633,0,2
2020-03-03,4.8837300387500004,0,0
2020-03-04,0.6793370601406254,0,3
2020-03-05,-1.0220631838609366,0,2
2020-03-06,-0.6605013541578115,0,2
2020-03-07,5.534730454562501,2,3
2020-03-08,0.09272708003906294,0,6
2020-03-09,4.40978036985,0,1
2020-03-10,8.110846282757812,0,1
2020-03-11,4.609332319262499,0,0
2020-03-12,1.6656072587531245,0,0
2020-03-13,3.958300969928125,0,0
2020-03-14,-1.1522704399999995,0,1
2020-03-15,1.2861606131562509,0,4
2020-03-16,10.264923978018752,0,1
2020-03-17,15.423281491135938,2,0
2020-03-18,7.433258955179687,0,5
2020-03-19,3.6480842978328116,0,1
2020-03-20,13.0714124644875,0,0
2020-03-21,2.3170911023140626,0,2
2020-03-22,-1.0355735426796864,0,2
2020-03-23,8.597436002718752,0,1
2020-03-24,7.963599890506252,0,5
2020-03-25,6.731478513339064,0,4
2020-03-26,8.761297761732813,0,4
2020-03-27,0.6136443402968754,0,0
2020-03-28,-0.6818408041999988,0,2
2020-03-29,-0.21216817436718594,0,1
2020-03-30,8.10304208680469,0,3
2020-03-31,32.45375119230781,1,0
2020-04-01,2.673190190734373,0,0
2020-04-02,6.145100711249999,0,1
2020-04-03,2.386636532754687,0,0
2020-04-04,0.9025762243078148,0,2
2020-04-05,-0.6384236793734352,2,0
2020-04-06,13.75840139319844,0,2
2020-04-07,11.557303320323438,0,0
2020-04-08,10.156902448395313,2,1
2020-04-09,0.05529474391874967,0,2
2020-04-10,3.1500844463578135,0,4
2020-04-11,-0.706400589151561,0,8
2020-04-12,-1.1839700854765602,0,4
2020-04-13,5.155556260626565,0,2
2020-04-14,12.741495792229689,0,0
2020-04-15,2.7851104909921878,0,0
2020-04-16,7.34182009404375,0,0
