,balderdashy/sails,hapijs/hapi,expressjs/express
2012-03-17,0,0.0,0
2012-03-18,14,0.0,0
2012-03-19,1,9.0,0
2012-03-20,5,-0.7999999999999996,0
2012-03-21,0,0.0799999999999994,0
2012-03-22,2,1.2879999999999996,0
2012-03-23,0,4.1696,0
2012-03-24,0,-0.47142400000000007,12
2012-03-25,0,4.061004799999999,0
2012-03-26,0,13.41449472,0
2012-03-27,0,1.166083072000001,2
2012-03-28,0,-2.7856761856000007,0
2012-03-29,0,-1.476390502400001,7
2012-03-30,0,0.9820128255999996,2
2012-03-31,0,-1.1669879807999997,0
2012-04-01,0,-0.7554800640000001,0
2012-04-02,4,3.4635472896,15
2012-04-03,0,-0.22999603199999874,4
2012-04-04,0,-0.8300508159999994,2
2012-04-05,0,-0.3752043520000001,2
2012-04-06,0,-0.2162534400000001,0
2012-04-07,0,-0.16451942399999994,0
2012-04-08,0,-0.13218990079999998,0
2012-04-09,0,-0.08813568000000005,0
2012-04-10,0,-0.07447756799999977,2
2012-04-11,0,-0.0642651135999998,14
2012-04-12,0,-0.012469350399999964,1
2012-04-13,4,0.0,3
2012-04-14,1,0.0,0
2012-04-15,12,0.0,8
2012-04-16,2,0.0,10
2012-04-17,1,2.0,0
2012-04-18,0,-0.3999999999999999,10
2012-04-19,0,0.8399999999999999,5
2012-04-20,0,-0.29600000000000004,2
2012-04-21,0,-0.1472000000000001,0
2012-04-22,1,-0.09907200000000006,2
2012-04-23,4,-0.07445760000000004,0
2012-04-24,0,-0.05938944000000003,1
2012-04-25,0,4.9507957760000005,11
2012-04-26,0,2.9581345792000002,34
2012-04-27,0,-1.2143877120000002,5
2012-04-28,0,-0.5724693504000005,1
2012-04-29,0,-0.3600000000000002,3
2012-04-30,0,0.7379199999999999,1
2012-05-01,0,0.5957119999999999,2
2012-05-02,0,-0.4463488000000001,5
2012-05-03,0,-0.26764543999999985,6
2012-05-04,0,-0.20149759999999964,3
2012-05-05,0,-0.10901340159999989,1
2012-05-06,0,-0.04596480000000003,0
2012-05-07,14,-0.03735552000000002,7
2012-05-08,0,16.968685568,0
2012-05-09,0,5.5731429376,2
2012-05-10,2,12.8275306496,2
2012-05-11,1,17.264,3
2012-05-12,2,-5.6832,2
2012-05-13,0,-3.4645120000000027,0
2012-05-14,16,10.749286399999999,1
2012-05-15,2,-0.26738944000000053,0
2012-05-16,5,17.840815616,0
2012-05-17,6,-6.2312654848,1
2012-05-18,0,-3.0440441856000007,0
2012-05-19,0,-2.007333990399999,0
2012-05-20,0,-1.3620318207999995,0
2012-05-21,0,-0.8504879104000005,1
2012-05-22,0,-0.6837519359999995,0
2012-05-23,0,1.4248864768000005,0
2012-05-24,0,0.2479806464000015,0
2012-05-25,4,-0.6218563583999994,0
2012-05-26,0,-0.17600000000000016,0
2012-05-27,0,-0.11520000000000005,2
