,getsentry/sentry,grafana/grafana,elastic/kibana
2021-05-22,0.0,1,2
2021-05-23,0.0,0,0
2021-05-24,7.0,19,15
2021-05-25,26.3,18,18
2021-05-26,13.984999999999998,29,40
2021-05-27,16.885499999999997,35,37
2021-05-28,2.320862499999998,39,30
2021-05-29,-2.6552047499999993,4,3
2021-05-30,-1.7185488374999975,0,0
2021-05-31,13.708735038750003,25,11
2021-06-01,13.463427797640627,27,31
2021-06-02,23.859329994576562,30,30
2021-06-03,9.462223660264062,34,31
2021-06-04,12.218353569076562,39,33
2021-06-05,-3.7972381788125,1,1
2021-06-06,-2.1825788027156223,0,0
2021-06-07,11.442575106250004,13,24
2021-06-08,30.467367327265627,11,38
2021-06-09,25.094258229960936,17,43
2021-06-10,19.385869960503122,17,41
2021-06-11,19.402662959310938,18,7
2021-06-12,-3.642057193753125,0,3
2021-06-13,-3.4947155530749967,0,0
2021-06-14,19.618870536250004,18,34
2021-06-15,31.93817832954688,27,44
2021-06-16,19.878955637517187,14,50
2021-06-17,19.95016225709531,24,51
2021-06-18,9.95458516728125,10,21
2021-06-19,-5.08078503128906,1,0
2021-06-20,-3.0971002144296835,0,0
2021-06-21,31.85304802742813,11,46
2021-06-22,27.898276223656254,10,60
2021-06-23,27.752249548146875,15,62
2021-06-24,18.0958368678,13,69
2021-06-25,7.682329555659376,6,10
2021-06-26,-5.095295174184373,1,1
2021-06-27,-3.1587678155749948,2,1
2021-06-28,18.724935915000007,13,59
2021-06-29,27.068883206218754,12,81
2021-06-30,42.4218141992625,12,86
2021-07-01,22.14240464253281,17,48
2021-07-02,12.8425069408875,13,3
2021-07-03,-6.040916945617187,0,1
2021-07-04,-3.64040544800312,1,0
2021-07-05,10.395530991250006,14,17
2021-07-06,34.62663174292188,13,46
2021-07-07,27.89231359826094,24,42
2021-07-08,21.20380540913594,15,51
2021-07-09,28.40631926280625,14,41
2021-07-10,-5.167024586390625,2,4
2021-07-11,-4.2270447132187465,2,0
2021-07-12,39.14160597375,19,33
2021-07-13,27.57508654829688,20,43
2021-07-14,38.88608574993906,19,39
2021-07-15,29.22499352860312,17,36
2021-07-16,13.325097855590624,18,35
2021-07-17,-7.192674719053122,2,1
2021-07-18,-4.437345489789057,0,2
2021-07-19,30.916213127428133,17,31
2021-07-20,29.148481105843754,16,38
2021-07-21,32.926890548459376,27,34
2021-07-22,32.01917188255938,23,43
2021-07-23,22.505970571253123,11,4
2021-07-24,-6.840816282709374,1,0
2021-07-25,-4.657869430790621,0,2
2021-07-26,11.762473890000006,18,41
2021-07-27,23.946209988718756,10,38
2021-07-28,22.414037958231255,5,48
2021-07-29,26.96792065311719,22,41
2021-07-30,16.2563092816875,13,33
2021-07-31,-6.046966751171874,0,1
2021-08-01,-3.472681929129684,0,0
2021-08-02,15.668027853714069,9,40
2021-08-03,20.37022520976563,13,46
2021-08-04,18.28044929002344,26,26
2021-08-05,19.93510110080625,15,29
2021-08-06,27.602997785728125,10,5
2021-08-07,-4.363734833045313,0,1
2021-08-08,-3.68962933332656,0,0
2021-08-09,1.5666774175000042,15,32
2021-08-10,-1.2829858817812445,16,56
2021-08-11,0.1817980657281295,11,46
2021-08-12,-0.5245659789718717,12,45
2021-08-13,-1.125947434967185,18,47
2021-08-14,0.26495746458593905,2,9
