,brave/brave-browser,gorhill/ublock,adblockplus/adblockplus
2016-11-09,4.0,2,0
2016-11-10,9.8,3,0
2016-11-11,-3.72,0,0
2016-11-12,1.607000000000001,4,0
2016-11-13,-1.7151499999999997,1,0
2016-11-14,-0.8756684999999997,2,0
2016-11-15,-0.5985461999999999,0,0
2016-11-16,1.5475939175,1,0
2016-11-17,2.0388023716875,6,0
2016-11-18,-0.4088201248531256,1,1
2016-11-19,-0.9402893668109376,0,0
2016-11-20,-0.41145515029687496,0,0
2016-11-21,0.7198217603015624,0,1
2016-11-22,2.524115025,1,1
2016-11-23,-0.14247738500000007,2,0
2016-11-24,-0.7864061172812499,0,0
2016-11-25,0.5825832494875001,0,0
2016-11-26,1.4336652935359373,0,0
2016-11-27,-0.8711875257328126,0,0
2016-11-28,11.61197988875,2,0
2016-11-29,2.1448080994843743,0,0
2016-11-30,-3.250216087279687,0,1
2016-12-01,-1.4833483189640617,2,0
2016-12-02,-0.9180524119828124,3,0
2016-12-03,-0.6514092642656251,2,0
2016-12-04,-0.5030286967640625,0,0
2016-12-05,-0.3943392864656251,0,0
2016-12-06,0.6957357563124995,0,0
2016-12-07,0.4417387406124994,9,0
2016-12-08,-0.48650047939687513,4,0
2016-12-09,0.8355000000000001,0,0
2016-12-10,0.6003375,0,0
2016-12-11,-0.47488274999999996,0,0
2016-12-12,-0.21750111249999987,0,0
2016-12-13,-0.14190063624999996,1,0
2016-12-14,4.895283259484375,3,0
2016-12-15,2.4175387575015623,4,0
2016-12-16,0.21917845051718765,1,0
2016-12-17,-1.3523339905156249,0,0
2016-12-18,-0.6782726299984373,0,0
2016-12-19,0.5581653367671875,2,0
2016-12-20,-0.6156103125,0,0
2016-12-21,0.6476496812500001,1,1
2016-12-22,0.4387255961718748,0,0
2016-12-23,1.3854990192734373,0,0
2016-12-24,-0.8803073364625001,0,0
2016-12-25,-0.36011018896562486,3,0
2016-12-26,-0.20784002374999994,3,0
2016-12-27,-0.14920282926562503,1,0
2016-12-28,-0.11526204948281252,0,0
2016-12-29,0.9186042844843749,4,0
2016-12-30,-0.3673746774984376,3,0
2016-12-31,-0.15033684676406253,0,0
2017-01-01,0.913333173534375,0,0
2017-01-02,-0.34016250000000003,1,0
2017-01-03,-0.13472024999999993,0,0
2017-01-04,-0.08278086249999997,0,0
2017-01-05,0.94088022625,0,2
2017-01-06,0.6544030332343749,2,0
2017-01-07,-0.4418642757328125,5,0
2017-01-08,-0.1834572737499999,4,0
2017-01-09,-0.11553921676562501,5,0
2017-01-10,-0.08346616323281252,0,0
2017-01-11,0.9469988875,0,0
2017-01-12,-0.34223813625000005,1,0
2017-01-13,-0.13983399051562498,0,0
2017-01-14,-0.08896012999843754,0,0
2017-01-15,-0.05374591323281252,0,0
2017-01-16,-0.029720249999999997,0,0
2017-01-17,-0.023280862499999996,1,0
2017-01-18,-0.018957273750000003,7,0
2017-01-19,1.984123283234375,3,3
2017-01-20,-0.6135834132328126,5,0
2017-01-21,-0.20999999999999985,0,0
2017-01-22,-0.11899999999999994,3,0
2017-01-23,-0.080325,7,0
2017-01-24,-0.05944049999999999,3,1
2017-01-25,-0.04656172499999999,3,0
2017-01-26,0.9620854525,2,0
2017-01-27,-0.33175343353125014,2,0
2017-01-28,-0.13216682646562497,1,0
2017-01-29,-0.05949999999999997,0,0
2017-01-30,-0.0401625,0,0
2017-01-31,-0.029720249999999997,0,0
2017-02-01,-0.023280862499999996,2,0
2017-02-02,-0.018957273750000003,0,0
2017-02-03,-0.015876716765625045,2,0
2017-02-04,-0.013583413232812524,0,0
2017-02-05,0.0,3,0
2017-02-06,0.0,3,0
2017-02-07,0.0,1,0
2017-02-08,0.0,0,0
2017-02-09,3.0,1,0
2017-02-10,1.0999999999999999,0,0
2017-02-11,-0.9149999999999998,1,0
2017-02-12,-0.38849999999999973,1,0
2017-02-13,-0.23948749999999994,2,0
2017-02-14,0.83051425,0,0
2017-02-15,-0.4292830875,0,0
2017-02-16,-0.20843354624999993,1,0
2017-02-17,-0.14504469779687512,0,0
2017-02-18,-0.11266617322968767,3,0
2017-02-19,-0.05688707646562505,2,0
2017-02-20,-0.023280862499999996,0,0
2017-02-21,-0.018957273750000003,0,0
2017-02-22,-0.015876716765625045,0,0
2017-02-23,-0.013583413232812524,0,0
2017-02-24,0.0,0,0
2017-02-25,0.0,0,0
2017-02-26,0.0,0,0
2017-02-27,0.0,1,0
2017-02-28,0.0,1,0
2017-03-01,0.0,0,0
2017-03-02,0.0,2,0
2017-03-03,0.0,1,1
2017-03-04,0.0,0,0
2017-03-05,0.0,5,0
2017-03-06,0.0,2,0
2017-03-07,0.0,1,1
2017-03-08,0.0,1,0
2017-03-09,1.0,0,1
2017-03-10,-0.30000000000000004,1,0
2017-03-11,-0.10499999999999993,2,0
2017-03-12,-0.05949999999999997,1,0
2017-03-13,-0.0401625,3,0
2017-03-14,-0.029720249999999997,3,0
2017-03-15,7.9767191375,0,0
2017-03-16,-2.4189572737500002,2,1
