,TryGhost/Ghost,strapi/strapi,decaporg/decap-cms
2016-02-25,0,0.0,2
2016-02-26,0,0.0,1
2016-02-27,2,0.0,0
2016-02-28,3,0.0,0
2016-02-29,1,1.0,0
2016-03-01,9,-0.30000000000000004,0
2016-03-02,2,5.8950000000000005,0
2016-03-03,4,-1.8595000000000002,0
2016-03-04,0,-0.6701624999999996,0
2016-03-05,0,-0.3867202499999998,0
2016-03-06,0,-0.2642558625,0
2016-03-07,5,1.80272122625,0
2016-03-08,1,-0.755561891765625,0
2016-03-09,0,4.662672944267188,0
2016-03-10,0,0.28573969940624955,0
2016-03-11,0,2.713174520603125,0
2016-03-12,1,-1.7669405,0
2016-03-13,1,-0.7863742249999996,0
2016-03-14,3,-0.5048407974999999,0
2016-03-15,7,2.63175175396875,0
2016-03-16,0,-0.18739592021562523,0
2016-03-17,1,2.174578418671875,0
2016-03-18,1,-0.3589995946953126,0
2016-03-19,0,-0.8856611935281251,0
2016-03-20,3,-0.4671569029312499,0
2016-03-21,12,-0.2795503374999999,0
2016-03-22,18,7.79052406625,0
2016-03-23,1,2.4338497384531244,0
2016-03-24,7,-2.4767796402140623,0
2016-03-25,5,2.918829162720313,0
2016-03-26,2,-1.8754269564640627,0
2016-03-27,0,0.12784208676718778,0
2016-03-28,1,1.1271518500000002,0
2016-03-29,7,-0.1337125025000001,0
2016-03-30,4,-0.9101811028750002,0
2016-03-31,13,0.4546631603093747,0
2016-04-01,2,-0.6132914111640626,0
2016-04-02,1,-0.2913907295625001,0
2016-04-03,2,-0.20907290168125006,0
2016-04-04,16,3.882765373234375,0
2016-04-05,2,-0.29401437051406276,0
2016-04-06,4,-0.7863244057312498,0
2016-04-07,0,3.6244593130171876,0
2016-04-08,30,-1.436026716765625,0
2016-04-09,5,-0.5926269132328122,0
2016-04-10,6,-0.3608436999999999,0
2016-04-11,6,-0.2597599575,0
2016-04-12,4,2.7986548591875,0
2016-04-13,11,-1.0633338196968753,0
2016-04-14,26,2.5955874917671875,0
2016-04-15,6,-0.14200686706250032,0
2016-04-16,0,-0.7898211529312499,0
2016-04-17,0,-0.3726607499999998,0
2016-04-18,5,-0.24983008749999994,0
2016-04-19,18,2.81380492875,0
2016-04-20,7,-1.0471929877968753,0
2016-04-21,3,4.564097076551563,0
2016-04-22,0,-0.7450874240468752,0
2016-04-23,0,-1.0021144564640623,0
2016-04-24,0,-0.5052441632328123,0
2016-04-25,2,-0.3301550874999999,0
2016-04-26,16,1.75436442875,0
2016-04-27,1,-0.7937547127968752,0
2016-04-28,19,-0.3688174709484374,0
2016-04-29,1,-0.21734085757812516,0
2016-04-30,0,-0.16411878292968768,0
2016-05-01,0,-0.07302391323281252,0
2016-05-02,1,-0.04656172499999999,0
2016-05-03,4,0.9620854525,0
2016-05-04,1,-0.33175343353125014,0
2016-05-05,6,-0.13216682646562497,0
2016-05-06,1,-0.05949999999999997,0
2016-05-07,6,-0.0401625,0
2016-05-08,17,-0.029720249999999997,0
2016-05-09,4,-0.023280862499999996,0
2016-05-10,0,-0.018957273750000003,0
2016-05-11,34,-0.015876716765625045,0
2016-05-12,13,-0.013583413232812524,0
2016-05-13,11,0.0,0
2016-05-14,3,2.0,0
2016-05-15,2,-0.6000000000000001,0
2016-05-16,9,-0.20999999999999985,0
2016-05-17,9,-0.11899999999999994,0
2016-05-18,10,-0.080325,0
2016-05-19,8,-0.05944049999999999,0
2016-05-20,23,-0.04656172499999999,0
2016-05-21,4,-0.037914547500000007,0
2016-05-22,9,-0.03175343353125009,0
2016-05-23,10,-0.027166826465625047,0
2016-05-24,8,0.0,0
2016-05-25,5,0.0,0
2016-05-26,0,5.0,0
2016-05-27,8,-1.5000000000000002,0
2016-05-28,3,-0.5249999999999997,0
2016-05-29,2,-0.2974999999999999,0
2016-05-30,6,-0.20081249999999998,1
2016-05-31,2,-0.14860125,2
2016-06-01,9,-0.11640431249999998,0
2016-06-02,9,-0.09478636875000002,0
2016-06-03,12,-0.07938358382812523,0
2016-06-04,7,-0.06791706616406262,0
2016-06-05,1,0.0,2
2016-06-06,7,0.0,8
2016-06-07,6,0.0,4
2016-06-08,8,0.0,4
2016-06-09,27,0.0,0
2016-06-10,25,0.0,3
2016-06-11,12,0.0,0
2016-06-12,0,0.0,0
2016-06-13,16,0.0,0
2016-06-14,14,0.0,0
2016-06-15,15,0.0,0
2016-06-16,6,0.0,4
2016-06-17,6,0.0,4
2016-06-18,12,0.0,6
2016-06-19,1,0.0,0
2016-06-20,6,0.0,0
2016-06-21,10,0.0,0
2016-06-22,3,0.0,3
2016-06-23,6,0.0,0
2016-06-24,0,0.0,0
2016-06-25,0,0.0,0
2016-06-26,2,0.0,0
