,rust-lang/rust,swiftlang/swift,golang/go
2022-07-17,77,0,0
2022-07-18,108,36,4
2022-07-19,94,48,17
2022-07-20,171,63,4
2022-07-21,111,71,3
2022-07-22,81,29,3
2022-07-23,63,20,0
2022-07-24,109,8,2
2022-07-25,112,40,9
2022-07-26,114,58,4
2022-07-27,97,40,3
2022-07-28,115,53,11
2022-07-29,97,73,1
2022-07-30,85,4,2
2022-07-31,77,10,0
2022-08-01,85,39,6
2022-08-02,96,87,21
2022-08-03,103,47,4
2022-08-04,134,25,16
2022-08-05,65,47,6
2022-08-06,72,17,2
2022-08-07,63,1,0
2022-08-08,72,54,45
2022-08-09,111,46,32
2022-08-10,97,41,15
2022-08-11,76,53,26
2022-08-12,109,48,31
2022-08-13,61,13,0
2022-08-14,57,2,5
2022-08-15,80,32,18
2022-08-16,106,61,14
2022-08-17,88,42,37
2022-08-18,104,47,41
2022-08-19,89,49,41
2022-08-20,79,22,2
2022-08-21,117,20,0
2022-08-22,133,81,18
2022-08-23,134,64,35
2022-08-24,87,58,17
2022-08-25,67,48,14
2022-08-26,112,104,29
2022-08-27,92,16,4
2022-08-28,80,6,1
2022-08-29,87,26,21
2022-08-30,100,57,12
2022-08-31,124,72,32
2022-09-01,94,71,23
2022-09-02,87,60,51
2022-09-03,53,7,7
2022-09-04,60,9,1
2022-09-05,82,7,14
2022-09-06,75,41,39
2022-09-07,74,44,46
2022-09-08,96,59,27
2022-09-09,88,39,19
2022-09-10,72,29,0
2022-09-11,54,7,0
2022-09-12,126,50,0
2022-09-13,115,56,16
2022-09-14,103,47,9
2022-09-15,75,107,21
2022-09-16,94,42,22
2022-09-17,58,17,4
2022-09-18,46,24,1
2022-09-19,70,51,24
2022-09-20,82,75,10
2022-09-21,86,40,10
2022-09-22,103,49,5
2022-09-23,99,47,11
2022-09-24,93,13,1
2022-09-25,68,4,1
2022-09-26,101,37,23
2022-09-27,140,51,38
2022-09-28,64,49,31
2022-09-29,77,52,54
2022-09-30,82,60,24
2022-10-01,104,13,10
2022-10-02,91,1,4
2022-10-03,83,39,7
2022-10-04,65,66,15
2022-10-05,65,49,14
2022-10-06,78,25,10
2022-10-07,116,83,14
2022-10-08,60,21,4
2022-10-09,83,13,0
2022-10-10,108,52,13
2022-10-11,64,10,12
2022-10-12,74,21,17
2022-10-13,68,24,11
2022-10-14,87,43,17
2022-10-15,68,18,1
2022-10-16,70,4,0
2022-10-17,77,48,19
2022-10-18,65,29,13
2022-10-19,93,40,8
2022-10-20,104,77,9
2022-10-21,78,67,11
2022-10-22,64,45,0
2022-10-23,101,11,1
2022-10-24,106,42,15
2022-10-25,92,41,13
2022-10-26,95,33,16
2022-10-27,99,60,6
2022-10-28,74,49,8
2022-10-29,109,9,4
2022-10-30,39,26,0
2022-10-31,70,51,19
2022-11-01,71,60,19
2022-11-02,72,68,12
2022-11-03,52,56,24
2022-11-04,105,89,21
2022-11-05,102,25,1
2022-11-06,69,5,0
