,ceph/ceph,minio/minio,seaweedfs/seaweedfs
2018-12-31,8.0,1.0,5.0
2019-01-01,17.0,-0.10000000000000009,2.0
2019-01-02,36.0,0.955,7.0
2019-01-03,109.0,-0.12850000000000011,-2.08
2019-01-04,105.0,0.9343375,1.0479999999999992
2019-01-05,5.0,0.8553832499999999,1.9875199999999997
2019-01-06,5.0,-0.1788245125,3.792448
2019-01-07,18.0,0.8992895537500001,0.31379199999999985
2019-01-08,38.0,1.828107174484375,-0.29734912000000024
2019-01-09,38.0,3.6987282012140623,2.007204352
2019-01-10,33.0,2.4426529244843747,5.7860246528
2019-01-11,54.0,0.40968293871406225,-1.0777746431999997
2019-01-12,15.0,-0.42710375926562505,-0.17037158400000063
2019-01-13,3.0,-0.2765126780515621,1.0640709631999998
2019-01-14,44.0,1.799228926214063,-1.0034368511999996
2019-01-15,49.0,2.6465834944843754,1.4103127039999999
2019-01-16,52.0,7.482486948932813,2.2117558272
2019-01-17,31.0,1.9064859416156246,1.9527156736000002
2019-01-18,57.0,1.1397809545593747,5.8374504448
2019-01-19,8.0,-0.6919858706234375,-2.0106574848
2019-01-20,17.0,4.576126872464063,-0.9165825024000006
2019-01-21,13.0,0.1904050700000004,-0.5955103744000001
2019-01-22,13.0,4.42761093521875,2.5681134592
2019-01-23,68.0,5.10652824838125,1.080406016
2019-01-24,31.0,1.8818393245171876,-0.9018835968
2019-01-25,54.0,1.068170598165625,1.4969417728
2019-01-26,27.0,-0.7355724961390622,3.2650779648000006
2019-01-27,23.0,-0.4654869488218742,-1.1910934527999997
2019-01-28,35.0,0.6595666761718759,4.4716416
2019-01-29,42.0,5.624321618054688,-1.35083776
2019-01-30,39.0,4.1604778673859375,-0.6624885760000003
2019-01-31,85.0,2.042490745476562,-0.44918507520000006
2019-02-01,33.0,3.1820520532375,-0.3085073408000001
2019-02-02,18.0,0.13807506636093758,-0.22416230399999998
2019-02-03,17.0,-0.5954727175718745,-0.18463354879999974
2019-02-04,19.0,0.6083629787500007,-0.1345110015999999
2019-02-05,29.0,3.5985591969843758,-0.0719385599999997
2019-02-06,24.0,6.309107250620313,1.9376532480000002
2019-02-07,123.0,0.8912194309562498,-0.3999999999999999
2019-02-08,31.0,0.2221015007734375,-0.16000000000000014
2019-02-09,5.0,3.4371697440796876,2.904
2019-02-10,1.0,1.2325697643406255,1.3328000000000002
2019-02-11,31.0,2.365217151214063,-0.6910720000000001
2019-02-12,61.0,6.297026814484375,-0.34485760000000026
2019-02-13,82.0,3.8585812466515623,-0.2306534400000001
2019-02-14,57.0,1.8577849937468751,1.827416576
2019-02-15,40.0,1.0396086599671877,4.4627028992
2019-02-16,23.0,0.23244742191250056,2.74836224
2019-02-17,8.0,-0.5999752845984367,-1.3730165760000002
2019-02-18,28.0,-0.42271846242499905,2.3066165248
2019-02-19,68.0,0.6928561696312507,5.9639892992
2019-02-20,63.0,4.659974732532813,2.0570624
2019-02-21,119.0,3.2726446034203125,-1.7421414400000006
2019-02-22,39.0,-0.7595486067265628,-0.9519242240000005
2019-02-23,8.0,1.6014106201109375,-0.6683921408
2019-02-24,3.0,1.5402047319125003,-0.4943359999999998
2019-02-25,55.0,1.525205384964063,5.6541968384
2019-02-26,25.0,2.51162924125,0.5566346240000004
2019-02-27,49.0,3.3939901557343752,0.9141710848000002
2019-02-28,54.0,2.2338262973859377,1.0071636992000004
2019-03-01,59.0,0.25434996025781254,-0.9074774016
2019-03-02,11.0,-0.5253278276437497,0.5235839999999996
2019-03-03,8.0,0.6708517064687505,0.4631551999999999
2019-03-04,40.0,0.6474377388968756,4.45931008
2019-03-05,27.0,3.6641237801468756,-1.3401093119999996
2019-03-06,28.0,3.38101978338125,2.3400974336
2019-03-07,41.0,1.2609245890796874,-0.9867035647999999
2019-03-08,46.0,1.3958267045593749,-0.5076789248000001
2019-03-09,14.0,0.44930636687656267,0.6660257791999998
2019-03-10,27.0,-0.4267715612859371,-0.434258432
2019-03-11,42.0,-0.2811020592656245,4.7319013376
2019-03-12,52.0,0.7829514994484381,-1.1936943103999995
2019-03-13,34.0,1.729733085401563,-0.5467269120000002
2019-03-14,29.0,5.61850317029375,1.691300864
2019-03-15,81.0,-0.8065814411750004,6.3741631488
2019-03-16,29.0,-0.39469052735312504,3.29539328
