,flutter/flutter,facebook/react-native,NativeScript/NativeScript
2015-03-30,0.0,28,14
2015-03-31,0.0,50,10
2015-04-01,1.0,51,4
2015-04-02,-0.19999999999999996,30,3
2015-04-03,-0.08000000000000007,33,11
2015-04-04,-0.048000000000000036,12,0
2015-04-05,-0.03360000000000001,2,0
2015-04-06,0.974464,9,6
2015-04-07,1.7795712,19,2
2015-04-08,-0.49692672,35,12
2015-04-09,1.7776122879999998,19,7
2015-04-10,0.4579306496000001,20,0
2015-04-11,-0.45273600000000014,11,1
2015-04-12,-0.2475008000000002,3,0
2015-04-13,-0.17298432000000008,7,1
2015-04-14,2.867086848,11,6
2015-04-15,0.29236162560000023,12,2
2015-04-16,-0.5192209408000001,12,7
2015-04-17,-0.26970214400000003,16,5
2015-04-18,-0.18812641279999995,8,0
2015-04-19,-0.12267735040000002,6,0
2015-04-20,0.9131775999999999,14,36
2015-04-21,2.72879104,30,2
2015-04-22,-0.7400898559999998,24,18
2015-04-23,-0.33979576320000004,23,5
2015-04-24,-0.19006935040000006,17,17
2015-04-25,-0.12633600000000003,5,0
2015-04-26,-0.09703680000000005,5,0
2015-04-27,1.92178688,9,3
2015-04-28,3.534832128,17,7
2015-04-29,-1.0156324863999997,12,7
2015-04-30,-0.4534080512000003,18,3
2015-05-01,-0.25920000000000015,5,0
2015-05-02,-0.18547200000000008,12,0
2015-05-03,-0.14300160000000006,5,0
2015-05-04,0.88443136,8,5
2015-05-05,-0.29648230399999986,19,7
2015-05-06,-0.16248954879999977,15,0
2015-05-07,-0.09787740159999989,25,2
2015-05-08,-0.03360000000000001,13,6
2015-05-09,-0.025536000000000014,0,0
2015-05-10,-0.02042880000000001,3,0
2015-05-11,-0.01692672000000001,4,11
2015-05-12,0.9856122880000001,0,4
2015-05-13,2.7875306496,50,8
2015-05-14,3.3200000000000003,36,8
2015-05-15,-0.08800000000000008,21,11
2015-05-16,-0.6976000000000003,5,0
2015-05-17,-0.39833600000000025,2,0
2015-05-18,2.7205632,13,11
2015-05-19,8.18604288,2,13
2015-05-20,-1.2124190719999999,9,6
2015-05-21,3.7922318336,6,8
2015-05-22,-1.7246856191999997,13,6
2015-05-23,0.10872688639999972,7,0
2015-05-24,-0.7771797504000003,1,0
2015-05-25,-0.5081753600000003,4,14
2015-05-26,4.608387584,14,5
2015-05-27,7.680431820800001,9,11
2015-05-28,9.5632185344,25,4
2015-05-29,-1.4648367104000002,20,9
2015-05-30,-2.039273472000001,8,0
2015-05-31,-1.1804677120000007,10,1
2015-06-01,2.1563626495999997,13,7
2015-06-02,8.7578752,18,11
2015-06-03,7.2395033600000005,24,9
2015-06-04,12.6201856,7,3
2015-06-05,-0.8995301375999993,9,2
2015-06-06,-3.151015628800001,5,0
2015-06-07,-1.765585100800001,5,0
2015-06-08,7.7599718399999995,9,4
2015-06-09,7.240305664,17,3
2015-06-10,8.5004428288,10,3
2015-06-11,8.746886656000001,20,11
2015-06-12,0.23499622400000053,42,4
2015-06-13,-0.4388844544000001,3,0
2015-06-14,-2.5162966016000006,0,0
2015-06-15,3.4201395199999993,17,10
2015-06-16,7.812129792,9,3
2015-06-17,6.6467236864000006,11,19
2015-06-18,8.263854592000001,11,33
2015-06-19,-0.33059246079999927,14,1
2015-06-20,-2.9885002752000007,7,0
2015-06-21,-1.6950138880000005,1,0
2015-06-22,8.8231103488,19,0
2015-06-23,8.11367424,13,2
2015-06-24,6.277219328000001,17,2
2015-06-25,9.086593536,22,9
2015-06-26,6.370947072,6,14
2015-06-27,-4.5521430528,4,0
2015-06-28,-2.3750614016000013,1,0
2015-06-29,-0.6141440000000009,4,9
2015-06-30,0.5640729600000001,13,5
