,highcharts/highcharts,apache/echarts,plotly/plotly.js
2017-07-31,6,0.0,0
2017-08-01,8,1.0,8
2017-08-02,12,1.0,8
2017-08-03,13,2.0,3
2017-08-04,11,0.0,10
2017-08-05,1,0.0,13
2017-08-06,0,0.0,0
2017-08-07,13,2.0,9
2017-08-08,13,4.0,8
2017-08-09,5,0.0,0
2017-08-10,9,4.0,5
2017-08-11,4,4.0,2
2017-08-12,0,4.0,0
2017-08-13,0,0.0,0
2017-08-14,9,4.0,16
2017-08-15,1,7.0,11
2017-08-16,13,2.0,3
2017-08-17,8,0.0,0
2017-08-18,9,2.0,0
2017-08-19,0,0.0,0
2017-08-20,0,4.0,0
2017-08-21,16,6.0,2
2017-08-22,7,7.0,1
2017-08-23,14,5.0,2
2017-08-24,7,6.0,2
2017-08-25,18,1.0,1
2017-08-26,0,0.0,0
2017-08-27,0,0.0,0
2017-08-28,15,0.0,2
2017-08-29,17,5.0,0
2017-08-30,25,2.0,2
2017-08-31,31,6.0,1
2017-09-01,16,2.0,3
2017-09-02,0,0.0,0
2017-09-03,0,0.0,0
2017-09-04,13,1.0,0
2017-09-05,15,0.0,7
2017-09-06,11,5.0,5
2017-09-07,2,0.0,1
2017-09-08,4,8.0,1
2017-09-09,0,0.0,0
2017-09-10,0,0.0,0
2017-09-11,11,2.0,1
2017-09-12,15,0.0,2
2017-09-13,21,2.0,25
2017-09-14,21,2.0,3
2017-09-15,14,6.0,6
2017-09-16,4,0.0,0
2017-09-17,0,0.0,0
2017-09-18,13,0.0,3
2017-09-19,9,0.0,15
2017-09-20,15,0.0,23
2017-09-21,4,0.0,4
2017-09-22,5,1.0,28
2017-09-23,0,0.0,0
2017-09-24,0,0.0,0
2017-09-25,9,5.0,9
2017-09-26,25,5.0,2
2017-09-27,14,4.0,10
2017-09-28,36,3.0,15
2017-09-29,41,0.0,3
2017-09-30,16,0.0,5
2017-10-01,3,0.0,0
2017-10-02,42,0.0,8
2017-10-03,19,0.0,20
2017-10-04,24,0.0,23
2017-10-05,13,0.0,27
2017-10-06,9,0.0,19
2017-10-07,11,0.0,0
2017-10-08,3,0.0,0
2017-10-09,0,2.0,12
2017-10-10,3,2.0,9
2017-10-11,1,5.0,0
2017-10-12,7,13.0,5
2017-10-13,11,3.0,1
2017-10-14,3,3.0,0
2017-10-15,13,0.0,1
2017-10-16,7,4.0,14
2017-10-17,10,2.0,9
2017-10-18,12,1.0,14
2017-10-19,13,0.0,14
2017-10-20,9,3.0,19
2017-10-21,1,0.0,0
2017-10-22,3,3.0,0
2017-10-23,6,2.0,23
2017-10-24,1,3.0,14
2017-10-25,0,0.0,7
2017-10-26,1,2.0,13
2017-10-27,0,1.0,8
2017-10-28,3,0.0,0
2017-10-29,4,0.0,0
2017-10-30,11,2.0,1
2017-10-31,11,6.0,15
2017-11-01,13,13.0,6
2017-11-02,9,3.0,25
2017-11-03,13,10.0,4
2017-11-04,4,2.0,0
2017-11-05,6,5.0,0
2017-11-06,7,9.0,1
2017-11-07,4,2.0,0
2017-11-08,7,9.0,1
2017-11-09,8,3.0,0
2017-11-10,11,10.0,0
2017-11-11,2,1.0,0
2017-11-12,0,4.0,0
2017-11-13,5,3.0,4
2017-11-14,8,1.0,6
2017-11-15,15,3.0,15
2017-11-16,5,2.0,12
2017-11-17,0,1.0,8
2017-11-18,0,0.0,0
2017-11-19,0,0.0,0
2017-11-20,6,1.0,6
2017-11-21,4,0.0,2
2017-11-22,5,0.0,3
2017-11-23,2,1.0,2
2017-11-24,0,1.0,4
2017-11-25,0,0.0,0
2017-11-26,0,0.0,0
2017-11-27,9,5.0,8
2017-11-28,1,7.0,6
2017-11-29,3,6.0,1
2017-11-30,0,1.0,0
2017-12-01,2,2.0,1
2017-12-02,0,3.0,0
2017-12-03,0,0.0,0
2017-12-04,10,5.0,1
2017-12-05,25,3.0,1
2017-12-06,11,7.0,1
2017-12-07,15,2.0,11
2017-12-08,5,5.0,14
2017-12-09,0,4.0,1
2017-12-10,0,0.0,0
2017-12-11,8,3.0,19
2017-12-12,12,1.0,1
2017-12-13,1,0.0,0
2017-12-14,15,6.0,0
2017-12-15,13,4.0,17
2017-12-16,0,0.0,1
2017-12-17,0,0.0,0
2017-12-18,10,2.0,13
2017-12-19,16,19.0,8
2017-12-20,11,10.0,6
2017-12-21,7,12.0,1
2017-12-22,12,1.0,6
2017-12-23,0,0.0,1
2017-12-24,0,1.0,0
2017-12-25,0,4.0,0
2017-12-26,0,17.0,0
2017-12-27,0,17.0,1
2017-12-28,0,16.0,4
2017-12-29,0,12.0,9
2017-12-30,0,9.0,7
2017-12-31,0,14.0,0
2018-01-01,0,1.0,0
2018-01-02,12,7.0,0
2018-01-03,1,1.0,6
2018-01-04,2,16.0,10
2018-01-05,5,5.0,1
2018-01-06,0,2.0,0
2018-01-07,1,0.0,1
2018-01-08,7,8.0,4
2018-01-09,8,12.0,4
2018-01-10,11,6.0,10
2018-01-11,2,19.0,21
2018-01-12,9,26.0,4
2018-01-13,0,24.0,0
2018-01-14,0,11.0,0
2018-01-15,13,22.0,11
2018-01-16,4,2.0,6
2018-01-17,2,9.0,35
2018-01-18,0,2.0,27
2018-01-19,1,1.0,9
2018-01-20,0,0.0,1
2018-01-21,0,0.0,1
2018-01-22,5,1.0,11
2018-01-23,14,5.0,12
2018-01-24,10,2.0,10
2018-01-25,16,0.0,9
2018-01-26,23,0.0,6
2018-01-27,0,0.0,1
2018-01-28,6,1.0,0
2018-01-29,12,4.0,11
2018-01-30,12,6.0,23
2018-01-31,17,4.0,9
2018-02-01,18,1.0,17
2018-02-02,5,0.0,20
2018-02-03,0,0.0,0
