,flutter/flutter,ionic-team/ionic-framework,NativeScript/NativeScript
2015-05-16,0.0,11,0
2015-05-17,0.0,4,0
2015-05-18,3.0,1,11
2015-05-19,8.4,2,13
2015-05-20,-1.04,3,6
2015-05-21,3.935999999999999,5,8
2015-05-22,-1.6128000000000002,2,6
2015-05-23,0.17299199999999945,0,0
2015-05-24,-0.7647104000000002,0,0
2015-05-25,-0.5081753600000003,0,14
2015-05-26,4.608387584,5,5
2015-05-27,7.680431820800001,2,11
2015-05-28,9.5632185344,11,4
2015-05-29,-1.4648367104000002,14,9
2015-05-30,-2.039273472000001,11,0
2015-05-31,-1.1804677120000007,8,1
2015-06-01,2.1563626495999997,10,7
2015-06-02,8.7578752,14,11
2015-06-03,7.2395033600000005,11,9
2015-06-04,12.6201856,24,3
2015-06-05,-0.8995301375999993,10,2
2015-06-06,-3.151015628800001,1,0
2015-06-07,-1.765585100800001,1,0
2015-06-08,7.7599718399999995,13,4
2015-06-09,7.240305664,9,3
2015-06-10,8.5004428288,26,3
2015-06-11,8.746886656000001,8,11
2015-06-12,0.23499622400000053,3,4
2015-06-13,-0.4388844544000001,0,0
2015-06-14,-2.5162966016000006,1,0
2015-06-15,3.4201395199999993,7,10
2015-06-16,7.812129792,6,3
2015-06-17,6.6467236864000006,7,19
2015-06-18,8.263854592000001,21,33
2015-06-19,-0.33059246079999927,19,1
2015-06-20,-2.9885002752000007,3,0
2015-06-21,-1.6950138880000005,2,0
2015-06-22,8.8231103488,8,0
2015-06-23,8.11367424,13,2
2015-06-24,6.277219328000001,9,2
2015-06-25,9.086593536,24,9
2015-06-26,6.370947072,10,14
2015-06-27,-4.5521430528,8,0
2015-06-28,-2.3750614016000013,0,0
2015-06-29,-0.6141440000000009,10,9
2015-06-30,0.5640729600000001,11,5
2015-07-01,0.5213040640000006,7,9
2015-07-02,-0.33380413439999934,7,4
2015-07-03,-0.9875276799999991,12,4
2015-07-04,-0.5891023871999991,2,0
2015-07-05,-0.3238636543999997,2,0
2015-07-06,7.85754368,5,22
2015-07-07,-0.7146347519999996,7,18
2015-07-08,3.0644729855999997,2,6
2015-07-09,0.6653591552,3,10
2015-07-10,0.9238735871999997,0,9
2015-07-11,-1.0023573504000003,0,0
2015-07-12,-0.5793664000000004,0,0
2015-07-13,-0.42118656000000027,5,6
2015-07-14,0.6679843840000004,4,11
2015-07-15,-0.4737789951999997,1,23
2015-07-16,7.7752687616000005,9,17
2015-07-17,16.2394937344,24,4
2015-07-18,3.672685875200001,5,0
2015-07-19,-3.474474700800001,7,0
2015-07-20,8.206771199999999,30,12
2015-07-21,30.78998528,23,6
2015-07-22,20.493733888,14,10
2015-07-23,21.2801104896,13,6
2015-07-24,10.928786943999999,7,14
2015-07-25,-4.163907379200001,0,0
2015-07-26,-6.834462003200002,1,0
2015-07-27,14.718254796799997,12,11
2015-07-28,8.0693632,11,12
2015-07-29,9.978564608000001,3,8
2015-07-30,23.5194205184,7,10
2015-07-31,2.779009126400002,3,11
2015-08-01,-3.6898238464000004,2,0
2015-08-02,-3.0310391808000015,3,0
2015-08-03,13.477432217599999,2,25
2015-08-04,12.145027072000001,0,12
2015-08-05,6.103851622400001,0,1
2015-08-06,10.752721919999999,9,6
2015-08-07,32.1139674112,14,13
2015-08-08,-4.505066598399999,0,0
2015-08-09,-6.833243443200003,0,0
2015-08-10,22.9307065344,6,5
2015-08-11,41.679702835200004,3,8
2015-08-12,-3.4293987327999993,19,7
2015-08-13,20.8292819968,9,11
2015-08-14,5.6029636608,1,4
2015-08-15,-9.5890587648,0,0
2015-08-16,-5.584996249600001,0,0
2015-08-17,22.329357107199996,0,0
2015-08-18,12.003198976,10,6
2015-08-19,20.630772019200002,7,2
2015-08-20,15.715176448000001,6,1
2015-08-21,6.7898515455999995,8,1
2015-08-22,0.17339238399999957,3,0
2015-08-23,-6.636247756800002,1,1
2015-08-24,17.001185279999998,8,4
2015-08-25,41.827813888,3,7
2015-08-26,29.149506969600004,6,3
2015-08-27,8.788161024,2,6
2015-08-28,12.495094886399999,24,18
2015-08-29,-0.8877906943999996,4,0
2015-08-30,-2.818537164800002,0,0
2015-08-31,17.3468555264,23,5
2015-09-01,5.729146368,20,12
2015-09-02,12.599005593600001,8,8
2015-09-03,19.8188729344,19,12
2015-09-04,13.311012044800002,27,26
2015-09-05,-6.2125879296,3,3
2015-09-06,-5.262490112000002,4,0
2015-09-07,-3.1188184064000017,3,7
2015-09-08,5.8780292096,17,0
2015-09-09,7.861759590400002,18,8
2015-09-10,7.2259077120000015,6,11
2015-09-11,15.981807513600002,14,6
2015-09-12,-5.858987929599998,3,1
2015-09-13,-3.4831947776000014,3,1
2015-09-14,8.9373169664,16,7
2015-09-15,0.31562485760000003,26,6
2015-09-16,26.1599190016,4,7
2015-09-17,16.4094618624,6,7
2015-09-18,15.6202253312,17,21
2015-09-19,1.0040031232000004,6,1
2015-09-20,-5.649504870400001,0,0
2015-09-21,10.020677529599997,6,6
2015-09-22,22.402329088000002,29,0
2015-09-23,23.1072562176,12,5
2015-09-24,15.0353864704,14,5
2015-09-25,28.0826184704,10,10
2015-09-26,-2.548569497599999,0,0
2015-09-27,-6.1042794496000035,3,0
2015-09-28,-0.9908136960000027,27,5
2015-09-29,18.916096921599998,20,11
2015-09-30,26.6402653184,16,17
2015-10-01,30.411937484800003,15,22
2015-10-02,2.745433395199999,26,5
2015-10-03,4.493115801599998,6,0
2015-10-04,-7.962357657600002,10,0
2015-10-05,20.723789209599996,31,11
2015-10-06,27.1256921088,48,6
2015-10-07,0.8757913600000009,35,7
2015-10-08,14.9943138304,27,6
2015-10-09,12.897966592000003,40,18
2015-10-10,1.9398305792000006,7,1
2015-10-11,-3.7239661568000013,3,0
2015-10-12,19.620672512,10,10
2015-10-13,17.456849817600002,9,12
2015-10-14,9.064972697600002,3,17
2015-10-15,10.9671274496,6,20
2015-10-16,8.147989196800001,23,12
2015-10-17,-4.3390176256,0,0
2015-10-18,-1.460210483200001,19,0
2015-10-19,22.7453161472,9,10
2015-10-20,9.768267878400001,14,10
2015-10-21,12.063490048,7,17
2015-10-22,7.744062361600001,3,13
2015-10-23,19.4325146624,3,6
2015-10-24,-4.577672192,0,0
2015-10-25,-5.948462284800003,0,0
2015-10-26,34.3235119104,9,4
2015-10-27,11.692621414400003,18,2
2015-10-28,13.4414815232,11,10
2015-10-29,21.3537123328,23,20
2015-10-30,1.5884441599999999,38,20
2015-10-31,-4.566179430400002,10,0
2015-11-01,-4.847497420800002,0,0
2015-11-02,15.072076287999998,33,29
2015-11-03,32.310600704,24,14
2015-11-04,20.3526596608,10,6
2015-11-05,9.0367101952,20,8
2015-11-06,9.669487308799999,13,30
2015-11-07,4.326690201599998,2,0
2015-11-08,-4.103830323200002,2,0
2015-11-09,9.414652006399997,8,18
2015-11-10,23.2000444416,5,27
2015-11-11,13.858181734400002,7,9
2015-11-12,16.8773474304,23,12
2015-11-13,16.3081572352,13,5
2015-11-14,-6.9713398784,7,0
2015-11-15,-6.653433856000002,0,0
2015-11-16,14.765049446399999,22,9
2015-11-17,24.1475421184,32,10
2015-11-18,13.879637504000002,14,10
2015-11-19,13.97787136,12,2
2015-11-20,22.9271307264,18,2
2015-11-21,-2.9916315647999987,2,0
2015-11-22,2.027613491199997,6,0
2015-11-23,8.271958118399997,15,20
2015-11-24,13.757949952,21,7
2015-11-25,11.3954427904,25,15
2015-11-26,10.221929369600002,1,6
2015-11-27,-6.554370457599999,0,11
2015-11-28,-3.0993273856000005,4,0
2015-11-29,0.3030668288,5,0
2015-11-30,11.8558731264,13,7
2015-12-01,10.927069696,21,10
2015-12-02,14.073864192000002,18,10
2015-12-03,15.902452121600001,28,5
2015-12-04,30.828391424000003,38,10
2015-12-05,15.098098278399998,13,0
2015-12-06,-11.132429004800002,5,0
2015-12-07,24.021228851199997,32,3
2015-12-08,21.8611753984,51,10
2015-12-09,14.071255552,36,3
2015-12-10,16.4372263936,49,10
2015-12-11,-3.016024064,38,4
2015-12-12,-1.434217267200001,7,8
2015-12-13,-6.642388889599999,0,0
2015-12-14,22.9050683392,28,11
2015-12-15,21.742156800000004,24,9
2015-12-16,15.528387584000003,33,9
2015-12-17,0.49434091520000045,28,3
2015-12-18,-1.6496011264000003,18,7
2015-12-19,-5.622590259200001,11,0
2015-12-20,0.5878042623999988,0,0
2015-12-21,3.7212931071999993,7,4
2015-12-22,-0.6299146239999995,6,6
2015-12-23,-2.938331340799998,6,2
2015-12-24,0.23267225600000185,1,0
2015-12-25,-0.4653722623999985,0,0
2015-12-26,2.0552436736000006,0,0
2015-12-27,-1.1381325824,0,0
2015-12-28,3.407475712,4,1
