,mlpack/mlpack,scikit-learn/scikit-learn,statsmodels/statsmodels
2018-03-05,2,3,40
2018-03-06,13,2,2
2018-03-07,6,6,0
2018-03-08,4,4,0
2018-03-09,28,1,0
2018-03-10,5,1,0
2018-03-11,14,0,0
2018-03-12,5,1,1
2018-03-13,5,2,1
2018-03-14,12,2,0
2018-03-15,18,2,0
2018-03-16,30,2,0
2018-03-17,4,1,0
2018-03-18,2,2,0
2018-03-19,6,0,6
2018-03-20,5,0,8
2018-03-21,6,0,7
2018-03-22,8,5,20
2018-03-23,6,0,5
2018-03-24,7,2,17
2018-03-25,2,1,2
2018-03-26,12,1,1
2018-03-27,3,2,0
2018-03-28,7,1,0
2018-03-29,8,1,2
2018-03-30,24,1,3
2018-03-31,14,1,0
2018-04-01,3,1,0
2018-04-02,6,2,0
2018-04-03,22,4,0
2018-04-04,8,2,0
2018-04-05,8,1,4
2018-04-06,8,2,10
2018-04-07,6,0,1
2018-04-08,1,0,0
2018-04-09,5,2,0
2018-04-10,8,1,2
2018-04-11,4,2,1
2018-04-12,1,2,3
2018-04-13,8,3,12
2018-04-14,1,2,5
2018-04-15,5,0,1
2018-04-16,13,5,2
2018-04-17,12,2,12
2018-04-18,2,1,12
2018-04-19,4,1,23
2018-04-20,5,1,4
2018-04-21,5,3,2
2018-04-22,1,2,11
2018-04-23,7,5,3
2018-04-24,4,0,7
2018-04-25,6,7,7
2018-04-26,5,4,8
2018-04-27,4,0,9
2018-04-28,1,0,2
2018-04-29,0,0,5
2018-04-30,8,0,4
2018-05-01,2,0,3
2018-05-02,3,3,3
2018-05-03,4,3,2
2018-05-04,8,5,0
2018-05-05,5,0,4
2018-05-06,0,3,0
2018-05-07,1,2,4
2018-05-08,2,1,4
2018-05-09,2,2,2
2018-05-10,4,0,0
2018-05-11,9,1,2
2018-05-12,3,1,1
2018-05-13,1,0,7
2018-05-14,5,0,9
2018-05-15,5,2,2
2018-05-16,7,1,4
2018-05-17,14,0,2
2018-05-18,7,3,32
2018-05-19,8,0,40
2018-05-20,7,1,2
2018-05-21,7,0,2
2018-05-22,2,2,0
2018-05-23,14,4,1
2018-05-24,1,4,2
2018-05-25,1,3,3
2018-05-26,2,1,9
2018-05-27,5,0,4
2018-05-28,2,0,1
2018-05-29,0,3,10
2018-05-30,2,9,1
2018-05-31,8,3,4
2018-06-01,7,3,8
2018-06-02,3,1,5
2018-06-03,3,0,4
2018-06-04,12,8,5
2018-06-05,3,0,3
2018-06-06,6,7,2
2018-06-07,2,1,7
2018-06-08,13,2,3
2018-06-09,22,0,0
2018-06-10,8,3,7
2018-06-11,6,3,8
2018-06-12,8,3,6
2018-06-13,9,2,34
2018-06-14,6,9,1
2018-06-15,0,5,3
2018-06-16,7,1,0
2018-06-17,28,4,2
2018-06-18,3,5,1
2018-06-19,6,1,1
2018-06-20,2,7,8
2018-06-21,11,9,12
2018-06-22,11,4,1
2018-06-23,8,4,4
2018-06-24,5,3,0
2018-06-25,5,1,0
2018-06-26,0,5,2
2018-06-27,8,2,5
2018-06-28,4,8,5
2018-06-29,4,3,13
2018-06-30,2,1,2
2018-07-01,8,1,0
2018-07-02,9,6,1
2018-07-03,7,4,0
2018-07-04,6,5,3
