,rust-lang/rust,golang/go,nim-lang/Nim
2010-06-16,1.0,6,0
2010-06-17,-0.19999999999999996,0,0
2010-06-18,-0.08000000000000007,2,0
2010-06-19,-0.048000000000000036,5,0
2010-06-20,-0.03360000000000001,7,0
2010-06-21,-0.025536000000000014,11,0
2010-06-22,-0.02042880000000001,9,0
2010-06-23,-0.01692672000000001,3,0
2010-06-24,14.985612288,2,0
2010-06-25,14.9875306496,0,0
2010-06-26,8.2,0,0
2010-06-27,-2.7600000000000016,0,0
2010-06-28,3.1919999999999984,10,0
2010-06-29,13.02816,10,0
2010-06-30,19.02112,15,0
2010-07-01,17.611212799999997,15,0
2010-07-02,44.27325696,9,0
2010-07-03,-8.149740032,0,0
2010-07-04,5.377109196799996,0,0
2010-07-05,6.0238379007999985,1,0
2010-07-06,-5.547583692800002,0,0
2010-07-07,-2.0025887744000013,1,0
2010-07-08,3.8681389056000004,2,0
2010-07-09,0.5370210304000018,5,0
2010-07-10,-3.6874767359999963,1,0
2010-07-11,1.7795611648000014,0,0
2010-07-12,7.048046899200001,12,0
2010-07-13,10.036573286400001,9,0
2010-07-14,-2.0572368896000004,8,0
2010-07-15,15.687940403199999,20,0
2010-07-16,17.974312652800002,7,0
2010-07-17,-5.0560325632,5,0
2010-07-18,2.1829191679999975,0,0
2010-07-19,8.404662272,7,0
2010-07-20,12.3512802304,5,0
2010-07-21,2.9966357504000003,14,6
2010-07-22,6.045907660799999,5,3
2010-07-23,6.9934943232,2,4
2010-07-24,-5.301423923199999,0,0
2010-07-25,-2.886788403200001,3,0
2010-07-26,11.1629007872,12,0
2010-07-27,-3.0031780863999993,11,0
2010-07-28,3.6822874112,4,0
2010-07-29,29.3231921152,10,1
2010-07-30,-7.838409625599999,14,0
2010-07-31,-2.5233833984000014,0,0
2010-08-01,-2.378342604800001,1,1
2010-08-02,-0.5488921600000007,1,0
2010-08-03,0.6083082240000002,19,0
2010-08-04,14.5546288128,4,1
2010-08-05,4.926013337600001,15,0
2010-08-06,1.2347483136000017,7,0
2010-08-07,7.0033180672,2,0
2010-08-08,-2.4554885120000005,0,3
2010-08-09,15.9787703296,7,0
2010-08-10,2.0670740480000003,12,0
2010-08-11,8.152388505599998,5,1
2010-08-12,3.3774134272000005,17,2
2010-08-13,-0.1442566143999997,7,0
2010-08-14,-3.0847067136000006,2,1
2010-08-15,-1.8768209920000003,1,0
2010-08-16,1.6460042239999997,7,4
2010-08-17,1.426231193600001,9,3
2010-08-18,21.366142668800002,5,0
2010-08-19,-1.461066956799998,9,0
2010-08-20,18.7827592192,3,0
2010-08-21,-5.158713651199999,1,0
2010-08-22,-3.1125718016000024,2,0
2010-08-23,-1.9697945600000013,4,2
2010-08-24,11.546850304,7,0
2010-08-25,12.253007052800001,21,0
2010-08-26,6.8489980928000005,19,0
2010-08-27,8.9588374528,10,0
2010-08-28,-2.3481337856,0,3
2010-08-29,-3.454281420800001,3,0
2010-08-30,-2.001819750400001,7,0
2010-08-31,3.532259839999999,9,0
2010-09-01,-1.1613173759999995,9,0
2010-09-02,-1.5580367871999992,13,0
2010-09-03,3.009577369600001,7,0
2010-09-04,-1.4178403327999987,5,0
2010-09-05,-0.6990140415999997,1,0
2010-09-06,-0.3570880512000001,1,0
2010-09-07,3.7605375999999997,14,0
2010-09-08,14.00899072,8,0
2010-09-09,0.5215503360000007,17,0
2010-09-10,0.7278237695999987,19,0
2010-09-11,-1.8319508480000006,7,0
2010-09-12,-0.08802140160000049,16,2
2010-09-13,0.056844799999999585,10,0
2010-09-14,4.14291712,10,0
2010-09-15,2.402225152,6,1
2010-09-16,14.323713638400001,14,1
2010-09-17,-4.114507263999999,3,0
2010-09-18,-1.779005337600001,2,0
2010-09-19,-1.1048435712000007,3,2
2010-09-20,0.22679756799999973,16,2
2010-09-21,11.1982181376,5,1
2010-09-22,5.0410244096,17,0
2010-09-23,1.0012748799999995,12,0
2010-09-24,5.6703192064,29,0
2010-09-25,-2.9322456063999995,2,0
2010-09-26,-1.427660800000001,0,0
2010-09-27,2.0152396799999996,12,0
2010-09-28,3.6481172479999997,10,0
2010-09-29,-0.8465388543999994,14,0
2010-09-30,3.7601288192,16,0
2010-10-01,0.2864805888000004,5,0
2010-10-02,-0.25758709759999965,0,0
2010-10-03,-0.9223212032000001,1,0
2010-10-04,0.4775398399999997,3,0
2010-10-05,1.408894464,2,0
2010-10-06,4.206910668800001,13,0
2010-10-07,1.5642383360000003,13,0
2010-10-08,4.7317098496,2,0
2010-10-09,7.119215104,1,0
2010-10-10,-0.7028272127999999,0,0
2010-10-11,0.2932663295999991,11,0
2010-10-12,9.579406848,16,0
2010-10-13,3.9012192256000002,9,0
2010-10-14,5.0567457792,10,0
2010-10-15,-1.1972014080000002,10,0
2010-10-16,-1.1136044032000005,2,0
2010-10-17,-1.5391125503999998,4,0
2010-10-18,7.9768781824,14,0
2010-10-19,2.4976023552,7,0
2010-10-20,1.7302070272000005,17,2
2010-10-21,12.9283158016,17,0
2010-10-22,7.880930611200001,12,0
2010-10-23,3.6647190527999998,0,7
2010-10-24,-3.7652656128000013,1,0
2010-10-25,-2.0890978304000014,11,1
2010-10-26,3.5339217919999997,14,1
2010-10-27,-0.13353359359999928,8,1
2010-10-28,6.376768,14,0
2010-10-29,-2.6322441215999994,7,0
2010-10-30,-1.3991065599999994,4,3
2010-10-31,-0.8436139007999994,4,1
2010-11-01,-0.5217708031999999,18,5
2010-11-02,1.6702207999999998,6,1
2010-11-03,8.330777600000001,6,0
2010-11-04,0.8134640640000006,10,0
2010-11-05,6.4439596032,14,0
2010-11-06,6.5610451968,4,0
2010-11-07,-2.9374720000000005,0,2
2010-11-08,0.5245183999999989,6,0
2010-11-09,0.6048793599999995,5,0
2010-11-10,-0.30909030400000015,9,0
2010-11-11,0.9455373312000002,4,0
2010-11-12,1.8821397504000004,8,0
2010-11-13,-0.23112222719999953,3,0
2010-11-14,6.109226188800001,0,0
2010-11-15,-0.9036711935999997,0,0
2010-11-16,-0.04292966400000031,0,0
2010-11-17,-0.8377064448000002,2,0
2010-11-18,0.4767977471999999,8,2
2010-11-19,3.4271942656,5,0
2010-11-20,3.8328338432000004,1,0
2010-11-21,4.4157523968,1,0
2010-11-22,4.0238611456,4,0
2010-11-23,4.8014641152,2,0
2010-11-24,1.5145701375999998,1,0
2010-11-25,7.911608729599999,0,0
2010-11-26,6.804945408,1,0
2010-11-27,-1.6576425984000007,1,0
2010-11-28,-2.339101081600001,1,0
2010-11-29,3.5286210559999995,5,0
2010-11-30,3.9512953856000004,10,0
2010-12-01,3.6299150336,4,0
2010-12-02,5.5105364992,9,0
2010-12-03,11.0601206784,5,0
2010-12-04,0.6402959360000011,0,0
2010-12-05,-3.1144289280000006,3,0
2010-12-06,-0.7261611008000011,13,0
2010-12-07,7.58924032,28,3
2010-12-08,2.1808322560000004,29,0
2010-12-09,9.521760665599999,17,0
2010-12-10,6.205364121600001,5,0
2010-12-11,7.086247628800001,1,0
2010-12-12,-0.24076226559999991,4,0
2010-12-13,6.045987327999999,18,1
2010-12-14,3.440695807999999,17,0
2010-12-15,9.591302041599999,14,0
2010-12-16,5.4011326464,17,0
2010-12-17,0.5904727039999997,12,0
2010-12-18,2.5495575552,0,0
2010-12-19,-3.2300764159999997,0,0
2010-12-20,5.121976217599999,2,0
2010-12-21,4.3252117504,2,0
2010-12-22,3.0734465024000004,0,0
2010-12-23,-0.7949529087999996,5,0
2010-12-24,0.03561492480000039,1,0
2010-12-25,2.439855616,0,0
2010-12-26,-1.7280266239999997,0,0
2010-12-27,-0.9727207424000004,3,0
2010-12-28,-0.6520458239999999,0,0
2010-12-29,0.4841106432000005,0,0
2010-12-30,6.4495332352000005,1,0
2010-12-31,15.300839833600001,0,0
2011-01-01,-3.1294210048,0,0
2011-01-02,-2.0120895488000015,0,0
2011-01-03,7.7933865984,2,2
2011-01-04,11.3816192,13,2
2011-01-05,-0.1476403200000007,14,6
2011-01-06,3.142299647999999,6,8
2011-01-07,2.0842336255999996,8,1
2011-01-08,-0.7210272767999992,5,0
2011-01-09,-1.9901298688000002,3,4
2011-01-10,10.845442969599999,5,3
2011-01-11,1.7346053120000007,15,2
2011-01-12,7.3411881984,16,0
2011-01-13,-2.4628980736,11,2
2011-01-14,5.095105126399999,11,1
2011-01-15,-0.6150401024000001,1,3
2011-01-16,-1.8079477760000005,3,2
2011-01-17,5.884836659199999,1,0
2011-01-18,4.781689856000001,14,2
2011-01-19,2.3827812352000004,31,0
