,JuliaLang/julia,rust-lang/rust,python/cpython
2010-06-16,1,1.0,24
2010-06-17,0,-0.19999999999999996,25
2010-06-18,1,-0.08000000000000007,12
2010-06-19,0,-0.048000000000000036,3
2010-06-20,0,-0.03360000000000001,7
2010-06-21,1,-0.025536000000000014,16
2010-06-22,2,-0.02042880000000001,25
2010-06-23,1,-0.01692672000000001,11
2010-06-24,2,14.985612288,16
2010-06-25,1,14.9875306496,21
2010-06-26,0,8.2,25
2010-06-27,1,-2.7600000000000016,52
2010-06-28,0,3.1919999999999984,33
2010-06-29,0,13.02816,28
2010-06-30,1,19.02112,22
2010-07-01,0,17.611212799999997,12
2010-07-02,1,44.27325696,29
2010-07-03,1,-8.149740032,57
2010-07-04,5,5.377109196799996,36
2010-07-05,1,6.0238379007999985,26
2010-07-06,7,-5.547583692800002,14
2010-07-07,6,-2.0025887744000013,20
2010-07-08,2,3.8681389056000004,19
2010-07-09,1,0.5370210304000018,34
2010-07-10,0,-3.6874767359999963,22
2010-07-11,0,1.7795611648000014,45
2010-07-12,0,7.048046899200001,17
2010-07-13,2,10.036573286400001,12
2010-07-14,0,-2.0572368896000004,30
2010-07-15,3,15.687940403199999,2
2010-07-16,2,17.974312652800002,7
2010-07-17,5,-5.0560325632,17
2010-07-18,14,2.1829191679999975,19
2010-07-19,7,8.404662272,25
2010-07-20,7,12.3512802304,7
2010-07-21,0,2.9966357504000003,19
2010-07-22,0,6.045907660799999,5
2010-07-23,0,6.9934943232,49
2010-07-24,0,-5.301423923199999,17
2010-07-25,3,-2.886788403200001,15
2010-07-26,6,11.1629007872,16
2010-07-27,3,-3.0031780863999993,21
2010-07-28,1,3.6822874112,20
2010-07-29,2,29.3231921152,25
2010-07-30,4,-7.838409625599999,38
2010-07-31,4,-2.5233833984000014,54
2010-08-01,4,-2.378342604800001,133
2010-08-02,5,-0.5488921600000007,109
2010-08-03,10,0.6083082240000002,73
2010-08-04,2,14.5546288128,44
2010-08-05,1,4.926013337600001,7
2010-08-06,1,1.2347483136000017,24
2010-08-07,0,7.0033180672,22
2010-08-08,0,-2.4554885120000005,51
2010-08-09,7,15.9787703296,45
2010-08-10,2,2.0670740480000003,14
2010-08-11,5,8.152388505599998,14
2010-08-12,8,3.3774134272000005,11
2010-08-13,0,-0.1442566143999997,23
2010-08-14,2,-3.0847067136000006,62
2010-08-15,0,-1.8768209920000003,30
2010-08-16,3,1.6460042239999997,35
2010-08-17,5,1.426231193600001,48
2010-08-18,6,21.366142668800002,24
2010-08-19,1,-1.461066956799998,26
2010-08-20,3,18.7827592192,6
2010-08-21,1,-5.158713651199999,24
2010-08-22,0,-3.1125718016000024,22
2010-08-23,4,-1.9697945600000013,18
2010-08-24,3,11.546850304,14
2010-08-25,0,12.253007052800001,13
2010-08-26,7,6.8489980928000005,6
2010-08-27,8,8.9588374528,0
2010-08-28,13,-2.3481337856,13
2010-08-29,4,-3.454281420800001,5
2010-08-30,6,-2.001819750400001,17
2010-08-31,4,3.532259839999999,8
2010-09-01,0,-1.1613173759999995,39
2010-09-02,0,-1.5580367871999992,11
2010-09-03,0,3.009577369600001,39
2010-09-04,0,-1.4178403327999987,26
2010-09-05,4,-0.6990140415999997,31
2010-09-06,0,-0.3570880512000001,29
2010-09-07,0,3.7605375999999997,40
2010-09-08,0,14.00899072,25
2010-09-09,4,0.5215503360000007,20
2010-09-10,3,0.7278237695999987,40
2010-09-11,1,-1.8319508480000006,26
2010-09-12,1,-0.08802140160000049,28
2010-09-13,0,0.056844799999999585,39
2010-09-14,2,4.14291712,29
2010-09-15,2,2.402225152,19
2010-09-16,2,14.323713638400001,8
2010-09-17,1,-4.114507263999999,16
2010-09-18,8,-1.779005337600001,19
2010-09-19,0,-1.1048435712000007,23
2010-09-20,0,0.22679756799999973,20
2010-09-21,2,11.1982181376,32
2010-09-22,0,5.0410244096,4
2010-09-23,1,1.0012748799999995,21
2010-09-24,1,5.6703192064,13
2010-09-25,4,-2.9322456063999995,14
2010-09-26,9,-1.427660800000001,6
2010-09-27,14,2.0152396799999996,16
2010-09-28,19,3.6481172479999997,31
2010-09-29,16,-0.8465388543999994,29
2010-09-30,12,3.7601288192,3
2010-10-01,5,0.2864805888000004,16
2010-10-02,8,-0.25758709759999965,20
2010-10-03,10,-0.9223212032000001,15
2010-10-04,7,0.4775398399999997,12
2010-10-05,7,1.408894464,11
2010-10-06,0,4.206910668800001,51
2010-10-07,0,1.5642383360000003,16
2010-10-08,4,4.7317098496,14
2010-10-09,5,7.119215104,12
2010-10-10,10,-0.7028272127999999,17
2010-10-11,9,0.2932663295999991,4
2010-10-12,4,9.579406848,18
2010-10-13,3,3.9012192256000002,45
2010-10-14,1,5.0567457792,61
2010-10-15,1,-1.1972014080000002,43
2010-10-16,4,-1.1136044032000005,30
2010-10-17,10,-1.5391125503999998,89
2010-10-18,1,7.9768781824,30
2010-10-19,1,2.4976023552,17
2010-10-20,0,1.7302070272000005,17
2010-10-21,0,12.9283158016,18
2010-10-22,1,7.880930611200001,13
2010-10-23,19,3.6647190527999998,14
2010-10-24,15,-3.7652656128000013,17
2010-10-25,4,-2.0890978304000014,11
2010-10-26,8,3.5339217919999997,9
2010-10-27,3,-0.13353359359999928,22
2010-10-28,3,6.376768,19
2010-10-29,1,-2.6322441215999994,55
2010-10-30,1,-1.3991065599999994,37
2010-10-31,1,-0.8436139007999994,68
2010-11-01,9,-0.5217708031999999,30
2010-11-02,3,1.6702207999999998,26
2010-11-03,1,8.330777600000001,14
2010-11-04,1,0.8134640640000006,27
2010-11-05,10,6.4439596032,48
2010-11-06,7,6.5610451968,49
2010-11-07,9,-2.9374720000000005,28
2010-11-08,6,0.5245183999999989,23
2010-11-09,18,0.6048793599999995,33
2010-11-10,7,-0.30909030400000015,17
2010-11-11,4,0.9455373312000002,10
2010-11-12,1,1.8821397504000004,21
