,grafana/grafana,getsentry/sentry,elastic/kibana
2021-05-22,1,0.0,2
2021-05-23,0,0.0,0
2021-05-24,19,7.0,15
2021-05-25,18,26.3,18
2021-05-26,29,13.984999999999998,40
2021-05-27,35,16.885499999999997,37
2021-05-28,39,2.320862499999998,30
2021-05-29,4,-2.6552047499999993,3
2021-05-30,0,-1.7185488374999975,0
2021-05-31,25,13.708735038750003,11
2021-06-01,27,13.463427797640627,31
2021-06-02,30,23.859329994576562,30
2021-06-03,34,9.462223660264062,31
2021-06-04,39,12.218353569076562,33
2021-06-05,1,-3.7972381788125,1
2021-06-06,0,-2.1825788027156223,0
2021-06-07,13,11.442575106250004,24
2021-06-08,11,30.467367327265627,38
2021-06-09,17,25.094258229960936,43
2021-06-10,17,19.385869960503122,41
2021-06-11,18,19.402662959310938,7
2021-06-12,0,-3.642057193753125,3
2021-06-13,0,-3.4947155530749967,0
2021-06-14,18,19.618870536250004,34
2021-06-15,27,31.93817832954688,44
2021-06-16,14,19.878955637517187,50
2021-06-17,24,19.95016225709531,51
2021-06-18,10,9.95458516728125,21
2021-06-19,1,-5.08078503128906,0
2021-06-20,0,-3.0971002144296835,0
2021-06-21,11,31.85304802742813,46
2021-06-22,10,27.898276223656254,60
2021-06-23,15,27.752249548146875,62
2021-06-24,13,18.0958368678,69
2021-06-25,6,7.682329555659376,10
2021-06-26,1,-5.095295174184373,1
2021-06-27,2,-3.1587678155749948,1
2021-06-28,13,18.724935915000007,59
2021-06-29,12,27.068883206218754,81
2021-06-30,12,42.4218141992625,86
2021-07-01,17,22.14240464253281,48
2021-07-02,13,12.8425069408875,3
2021-07-03,0,-6.040916945617187,1
2021-07-04,1,-3.64040544800312,0
2021-07-05,14,10.395530991250006,17
2021-07-06,13,34.62663174292188,46
2021-07-07,24,27.89231359826094,42
2021-07-08,15,21.20380540913594,51
2021-07-09,14,28.40631926280625,41
2021-07-10,2,-5.167024586390625,4
2021-07-11,2,-4.2270447132187465,0
2021-07-12,19,39.14160597375,33
2021-07-13,20,27.57508654829688,43
2021-07-14,19,38.88608574993906,39
2021-07-15,17,29.22499352860312,36
2021-07-16,18,13.325097855590624,35
2021-07-17,2,-7.192674719053122,1
2021-07-18,0,-4.437345489789057,2
2021-07-19,17,30.916213127428133,31
2021-07-20,16,29.148481105843754,38
2021-07-21,27,32.926890548459376,34
2021-07-22,23,32.01917188255938,43
2021-07-23,11,22.505970571253123,4
2021-07-24,1,-6.840816282709374,0
2021-07-25,0,-4.657869430790621,2
2021-07-26,18,11.762473890000006,41
2021-07-27,10,23.946209988718756,38
2021-07-28,5,22.414037958231255,48
2021-07-29,22,26.96792065311719,41
2021-07-30,13,16.2563092816875,33
2021-07-31,0,-6.046966751171874,1
2021-08-01,0,-3.472681929129684,0
2021-08-02,9,15.668027853714069,40
2021-08-03,13,20.37022520976563,46
2021-08-04,26,18.28044929002344,26
2021-08-05,15,19.93510110080625,29
2021-08-06,10,27.602997785728125,5
2021-08-07,0,-4.363734833045313,1
2021-08-08,0,-3.68962933332656,0
2021-08-09,15,1.5666774175000042,32
2021-08-10,16,-1.2829858817812445,56
2021-08-11,11,0.1817980657281295,46
2021-08-12,12,-0.5245659789718717,45
2021-08-13,18,-1.125947434967185,47
2021-08-14,2,0.26495746458593905,9
2021-08-15,2,2.4651114402828136,4
2021-08-16,11,-0.47223050257187493,61
2021-08-17,20,14.7446922766875,78
2021-08-18,23,15.315324371840624,44
2021-08-19,20,12.50826657518281,44
2021-08-20,11,6.219621719412498,36
2021-08-21,0,-2.428416086285938,2
2021-08-22,0,-1.4683631517656233,4
2021-08-23,21,14.92504377091719,48
2021-08-24,19,14.55693003614219,47
2021-08-25,15,19.905401531015624,47
2021-08-26,15,27.905492334445313,55
2021-08-27,23,14.563751545404685,15
2021-08-28,1,-4.916728105179688,0
2021-08-29,2,-2.8474041228234355,0
2021-08-30,9,23.996861397500005,38
2021-08-31,16,37.826601868000004,44
2021-09-01,25,23.334282624409376,47
2021-09-02,17,17.387909777529686,26
2021-09-03,5,-4.205458549826563,46
2021-09-04,0,-3.8819900414624957,0
2021-09-05,0,-2.5809678757187444,1
2021-09-06,12,-1.877643127499994,19
2021-09-07,20,26.462301244093755,41
2021-09-08,19,12.898827999909376,53
2021-09-09,23,19.107626068021876,43
2021-09-10,21,11.633207519046874,26
2021-09-11,0,-3.9187590868937496,0
2021-09-12,1,-2.194829205071873,1
2021-09-13,26,29.426241400000002,41
2021-09-14,18,20.6643370425,41
2021-09-15,25,24.087900111812502,46
2021-09-16,17,14.227923593978122,31
2021-09-17,22,12.801611667529688,6
2021-09-18,0,-4.888948366576561,3
2021-09-19,1,-2.9245352780749956,5
2021-09-20,23,28.933409353750005,25
2021-09-21,15,28.250081527765627,31
2021-09-22,14,27.930368804745314,39
