,date-fns/date-fns,moment/luxon,moment/moment
2015-11-30,0,1.0,0
2015-12-01,0,-0.3999999999999999,10
2015-12-02,0,-0.12,0
2015-12-03,0,-0.064,0
2015-12-04,0,-0.04160000000000005,0
2015-12-05,0,-0.029952000000000017,0
2015-12-06,0,-0.022963200000000007,0
2015-12-07,0,2.98162944,0
2015-12-08,0,-1.2151557119999998,0
2015-12-09,0,-0.3727981568,62
2015-12-10,0,-0.192,0
2015-12-11,0,-0.12480000000000013,0
2015-12-12,0,-0.08985600000000005,0
2015-12-13,0,-0.06888960000000002,0
2015-12-14,0,-0.05511167999999998,0
2015-12-15,0,-0.04546713599999998,1
2015-12-16,0,-0.03839447039999999,0
2015-12-17,0,0.0,0
2015-12-18,0,0.0,1
2015-12-19,0,0.0,0
2015-12-20,0,0.0,0
2015-12-21,0,0.0,0
2015-12-22,0,0.0,0
2015-12-23,0,0.0,1
2015-12-24,0,0.0,0
2015-12-25,11,0.0,1
2015-12-26,9,0.0,0
2015-12-27,0,0.0,0
2015-12-28,0,0.0,0
2015-12-29,0,0.0,4
2015-12-30,0,0.0,0
2015-12-31,0,0.0,11
2016-01-01,8,0.0,0
2016-01-02,0,0.0,2
2016-01-03,11,0.0,0
2016-01-04,0,0.0,0
2016-01-05,0,0.0,0
2016-01-06,0,0.0,0
2016-01-07,0,0.0,0
2016-01-08,0,0.0,0
2016-01-09,0,0.0,24
2016-01-10,0,0.0,0
2016-01-11,0,0.0,0
2016-01-12,0,0.0,0
2016-01-13,0,0.0,0
2016-01-14,0,0.0,0
2016-01-15,0,0.0,0
2016-01-16,0,0.0,1
2016-01-17,0,0.0,0
2016-01-18,0,0.0,0
2016-01-19,0,0.0,0
2016-01-20,0,0.0,0
2016-01-21,0,0.0,0
2016-01-22,0,0.0,0
2016-01-23,0,0.0,0
2016-01-24,0,0.0,0
2016-01-25,0,0.0,0
2016-01-26,0,0.0,0
2016-01-27,0,0.0,0
2016-01-28,0,0.0,0
2016-01-29,0,0.0,0
2016-01-30,0,0.0,0
2016-01-31,0,0.0,0
2016-02-01,0,0.0,0
2016-02-02,0,0.0,1
2016-02-03,0,0.0,4
2016-02-04,0,0.0,0
2016-02-05,1,0.0,0
2016-02-06,0,0.0,0
2016-02-07,0,0.0,0
2016-02-08,0,0.0,0
2016-02-09,0,0.0,0
2016-02-10,0,0.0,0
2016-02-11,0,0.0,0
2016-02-12,0,0.0,0
2016-02-13,0,0.0,0
2016-02-14,2,0.0,0
2016-02-15,0,0.0,0
2016-02-16,0,0.0,0
2016-02-17,0,0.0,0
2016-02-18,0,0.0,0
2016-02-19,0,0.0,1
2016-02-20,0,0.0,0
2016-02-21,0,0.0,1
2016-02-22,0,0.0,0
2016-02-23,0,0.0,0
2016-02-24,0,0.0,0
2016-02-25,0,0.0,0
2016-02-26,0,0.0,0
2016-02-27,0,0.0,0
2016-02-28,0,0.0,0
2016-02-29,0,0.0,0
2016-03-01,3,0.0,0
2016-03-02,0,0.0,0
2016-03-03,0,0.0,0
2016-03-04,0,0.0,0
2016-03-05,0,0.0,0
2016-03-06,0,0.0,54
2016-03-07,0,0.0,4
2016-03-08,0,0.0,0
2016-03-09,3,0.0,0
2016-03-10,1,0.0,0
2016-03-11,3,0.0,0
2016-03-12,0,0.0,0
2016-03-13,0,0.0,0
2016-03-14,0,0.0,0
2016-03-15,0,0.0,0
2016-03-16,1,0.0,0
