,lvgl/lvgl,Immediate-Mode-UI/Nuklear,ocornut/imgui
2016-06-08,2,0,0.0
2016-06-09,0,0,0.0
2016-06-10,1,3,0.0
2016-06-11,1,5,3.0
2016-06-12,0,4,2.6999999999999997
2016-06-13,0,2,-0.4350000000000004
2016-06-14,0,5,-0.22050000000000017
2016-06-15,6,3,1.8525125
2016-06-16,10,6,0.6896622500000003
2016-06-17,2,1,-0.2778362874999999
2016-06-18,0,1,-0.17476712624999988
2016-06-19,0,0,0.8681889722031253
2016-06-20,2,1,-0.20679749665468727
2016-06-21,0,0,-0.11263733260781233
2016-06-22,5,0,-0.06384940499999991
2016-06-23,0,1,-0.05089282228124984
2016-06-24,0,1,-0.04248276808749988
2016-06-25,0,5,4.978439134964063
2016-06-26,0,0,0.48890630374999955
2016-06-27,0,0,1.6654316869843748
2016-06-28,0,0,-0.3958988525359378
2016-06-29,0,1,4.7781875000000005
2016-06-30,0,0,-0.6582462500000001
2016-07-01,0,1,-0.34825181249999976
2016-07-02,0,0,-0.24336399374999979
2016-07-03,0,0,-0.18857178632812438
2016-07-04,0,0,-0.15433371819531205
2016-07-05,0,0,-0.09334554106718723
2016-07-06,0,3,-0.07226618632187479
2016-07-07,0,0,1.952158434921875
2016-07-08,0,0,-0.24199426267968757
2016-07-09,0,5,-0.09000000000000007
2016-07-10,0,2,-0.057000000000000044
2016-07-11,2,0,-0.04132499999999985
2016-07-12,2,3,2.9677665
2016-07-13,0,0,-0.3263240250000002
2016-07-14,0,1,2.8428126075
2016-07-15,0,7,-0.4046366260312503
2016-07-16,0,0,2.7862147949281253
2016-07-17,0,0,0.5661497499999999
2016-07-18,0,0,18.663526462500002
2016-07-19,1,0,-0.11213133875000159
2016-07-20,0,0,1.7863215234531244
2016-07-21,0,0,-1.058990396357813
2016-07-22,0,0,-0.6688952265468734
2016-07-23,0,0,8.495317091142189
2016-07-24,0,0,7.715902127203125
2016-07-25,0,3,-1.6252193743734378
2016-07-26,0,0,-0.9133702298328124
2016-07-27,0,1,-0.6544584129640614
2016-07-28,0,1,-0.37651589411874875
2016-07-29,0,2,10.711294579892188
2016-07-30,0,0,22.68169862125
2016-07-31,0,2,7.919041916609373
