,mlpack/mlpack,statsmodels/statsmodels,scikit-learn/scikit-learn
2010-05-06,4,0,11
2010-05-07,1,0,23
2010-05-08,0,0,1
2010-05-09,2,0,6
2010-05-10,0,7,4
2010-05-11,3,0,0
2010-05-12,5,2,6
2010-05-13,2,0,2
2010-05-14,5,0,1
2010-05-15,1,4,1
2010-05-16,0,4,0
2010-05-17,3,3,6
2010-05-18,0,5,2
2010-05-19,0,1,0
2010-05-20,2,6,3
2010-05-21,1,6,0
2010-05-22,0,7,0
2010-05-23,0,0,0
2010-05-24,12,0,3
2010-05-25,12,0,1
2010-05-26,5,0,4
2010-05-27,2,1,19
2010-05-28,2,3,5
2010-05-29,0,0,6
2010-05-30,0,0,2
2010-05-31,0,3,2
2010-06-01,6,0,2
2010-06-02,1,0,7
2010-06-03,8,0,3
2010-06-04,0,2,3
2010-06-05,2,0,0
2010-06-06,1,0,0
2010-06-07,1,2,2
2010-06-08,6,5,0
2010-06-09,8,8,3
2010-06-10,0,4,10
2010-06-11,0,0,1
2010-06-12,0,2,0
2010-06-13,0,0,0
2010-06-14,1,6,2
2010-06-15,1,3,3
2010-06-16,4,8,13
2010-06-17,4,4,6
2010-06-18,14,3,3
2010-06-19,0,0,0
2010-06-20,1,0,0
2010-06-21,3,4,7
2010-06-22,5,6,11
2010-06-23,13,0,14
2010-06-24,2,0,0
2010-06-25,3,1,8
2010-06-26,0,0,13
2010-06-27,0,1,2
2010-06-28,0,3,7
2010-06-29,0,2,0
2010-06-30,1,7,0
2010-07-01,0,3,2
2010-07-02,0,0,1
2010-07-03,0,0,5
2010-07-04,0,0,9
2010-07-05,0,0,1
2010-07-06,0,0,11
2010-07-07,2,5,9
2010-07-08,0,2,3
2010-07-09,1,4,0
2010-07-10,0,0,6
2010-07-11,0,0,0
2010-07-12,0,2,0
2010-07-13,2,4,1
2010-07-14,2,5,2
2010-07-15,1,1,3
2010-07-16,1,13,42
2010-07-17,0,0,3
2010-07-18,0,0,6
2010-07-19,0,3,2
2010-07-20,0,2,5
2010-07-21,0,2,1
2010-07-22,0,1,2
2010-07-23,0,6,1
2010-07-24,0,0,2
2010-07-25,0,0,0
2010-07-26,0,2,14
2010-07-27,3,0,74
2010-07-28,0,0,18
2010-07-29,0,1,4
2010-07-30,0,0,4
2010-07-31,0,2,8
2010-08-01,0,0,6
2010-08-02,0,1,1
2010-08-03,0,4,0
2010-08-04,0,0,4
2010-08-05,4,0,4
2010-08-06,0,2,4
2010-08-07,1,0,1
2010-08-08,1,0,17
2010-08-09,4,1,0
2010-08-10,2,0,0
2010-08-11,5,0,4
2010-08-12,7,0,1
2010-08-13,3,3,16
2010-08-14,3,0,1
2010-08-15,5,0,2
2010-08-16,7,4,5
2010-08-17,4,2,13
2010-08-18,1,2,38
2010-08-19,5,1,17
2010-08-20,1,0,22
2010-08-21,0,0,3
2010-08-22,0,0,11
2010-08-23,0,0,9
2010-08-24,3,0,3
2010-08-25,3,1,8
2010-08-26,3,0,10
2010-08-27,2,3,16
2010-08-28,0,0,0
2010-08-29,0,0,0
2010-08-30,0,0,6
2010-08-31,0,1,20
2010-09-01,0,3,8
2010-09-02,1,1,8
2010-09-03,0,0,14
2010-09-04,0,0,6
2010-09-05,0,0,10
2010-09-06,0,0,24
2010-09-07,0,2,8
2010-09-08,2,2,54
2010-09-09,0,0,61
2010-09-10,0,0,11
2010-09-11,0,7,23
2010-09-12,0,5,1
2010-09-13,2,6,3
2010-09-14,0,0,29
2010-09-15,1,9,12
2010-09-16,2,1,19
2010-09-17,0,4,7
2010-09-18,0,0,2
2010-09-19,1,7,1
2010-09-20,0,2,6
2010-09-21,0,1,4
2010-09-22,2,5,1
2010-09-23,0,2,0
2010-09-24,1,10,0
2010-09-25,0,0,0
2010-09-26,0,0,0
2010-09-27,0,0,8
2010-09-28,0,2,10
2010-09-29,1,4,12
2010-09-30,2,3,7
2010-10-01,1,3,17
2010-10-02,2,0,0
2010-10-03,9,3,0
2010-10-04,5,4,12
2010-10-05,9,0,11
2010-10-06,3,2,19
2010-10-07,3,6,4
2010-10-08,4,4,7
2010-10-09,7,1,0
2010-10-10,0,6,0
2010-10-11,10,11,10
2010-10-12,3,4,7
2010-10-13,3,5,5
2010-10-14,8,3,4
2010-10-15,6,6,2
2010-10-16,4,9,0
2010-10-17,10,8,0
2010-10-18,8,1,10
2010-10-19,7,0,8
2010-10-20,12,1,21
2010-10-21,4,0,25
2010-10-22,3,0,10
2010-10-23,2,0,2
2010-10-24,2,9,24
2010-10-25,2,0,21
2010-10-26,7,0,15
2010-10-27,14,0,5
2010-10-28,7,0,3
2010-10-29,3,9,1
2010-10-30,8,5,4
2010-10-31,10,1,16
2010-11-01,27,0,49
2010-11-02,6,0,8
2010-11-03,3,0,15
2010-11-04,1,2,13
2010-11-05,0,0,8
2010-11-06,1,0,4
2010-11-07,3,0,30
2010-11-08,1,1,4
2010-11-09,5,3,7
2010-11-10,4,5,5
2010-11-11,0,0,4
2010-11-12,1,6,23
2010-11-13,2,12,19
2010-11-14,0,4,15
2010-11-15,10,1,15
2010-11-16,3,6,10
2010-11-17,4,13,7
2010-11-18,11,1,4
2010-11-19,10,2,9
2010-11-20,9,12,3
2010-11-21,1,3,3
2010-11-22,5,9,25
2010-11-23,1,8,11
2010-11-24,0,5,12
2010-11-25,8,5,16
2010-11-26,7,0,9
2010-11-27,1,23,14
2010-11-28,0,2,10
2010-11-29,6,5,7
2010-11-30,4,7,7
2010-12-01,3,1,17
2010-12-02,5,1,5
2010-12-03,6,3,8
2010-12-04,4,1,2
2010-12-05,13,3,5
2010-12-06,17,7,5
2010-12-07,5,1,12
2010-12-08,3,2,8
2010-12-09,1,5,11
2010-12-10,10,1,20
2010-12-11,9,0,3
2010-12-12,7,0,19
2010-12-13,3,0,11
2010-12-14,8,1,14
2010-12-15,3,0,2
2010-12-16,4,0,11
2010-12-17,1,0,7
2010-12-18,0,0,1
2010-12-19,4,1,0
2010-12-20,7,1,0
2010-12-21,4,0,3
2010-12-22,6,1,0
2010-12-23,9,0,0
2010-12-24,2,1,0
2010-12-25,0,0,0
2010-12-26,1,1,0
2010-12-27,2,2,0
2010-12-28,3,2,0
2010-12-29,7,0,0
2010-12-30,8,0,2
2010-12-31,7,9,0
2011-01-01,0,4,0
2011-01-02,0,1,5
2011-01-03,4,5,1
2011-01-04,9,6,1
2011-01-05,1,4,2
2011-01-06,3,4,0
2011-01-07,7,3,0
2011-01-08,0,0,2
2011-01-09,4,3,2
2011-01-10,10,0,5
2011-01-11,5,10,4
2011-01-12,2,0,16
2011-01-13,5,2,7
2011-01-14,5,2,5
2011-01-15,6,5,1
2011-01-16,4,2,1
2011-01-17,15,3,4
2011-01-18,14,0,11
2011-01-19,12,2,11
2011-01-20,6,0,27
2011-01-21,11,8,2
2011-01-22,15,4,10
2011-01-23,8,2,5
2011-01-24,6,0,7
2011-01-25,7,1,7
2011-01-26,7,0,9
2011-01-27,8,0,7
2011-01-28,12,0,6
2011-01-29,7,1,1
2011-01-30,5,5,2
2011-01-31,4,3,6
2011-02-01,16,0,16
2011-02-02,6,0,22
2011-02-03,5,0,1
2011-02-04,6,1,2
2011-02-05,12,0,0
2011-02-06,6,2,0
2011-02-07,17,1,0
2011-02-08,8,2,14
2011-02-09,1,0,0
2011-02-10,17,3,0
2011-02-11,5,0,3
2011-02-12,0,0,2
2011-02-13,1,11,0
2011-02-14,10,2,9
2011-02-15,10,1,1
2011-02-16,5,1,0
2011-02-17,3,7,12
2011-02-18,3,1,1
2011-02-19,0,1,0
2011-02-20,7,5,4
2011-02-21,15,3,19
2011-02-22,3,12,3
2011-02-23,4,6,20
2011-02-24,3,2,12
2011-02-25,1,11,7
2011-02-26,1,6,4
2011-02-27,0,0,25
2011-02-28,10,12,18
2011-03-01,2,3,5
2011-03-02,9,4,8
2011-03-03,2,4,3
2011-03-04,5,3,3
2011-03-05,2,4,1
2011-03-06,5,5,15
2011-03-07,10,9,11
2011-03-08,22,5,9
2011-03-09,6,8,39
2011-03-10,0,1,12
2011-03-11,0,5,4
2011-03-12,0,0,1
2011-03-13,5,0,2
2011-03-14,9,10,6
2011-03-15,8,7,3
2011-03-16,5,3,0
2011-03-17,13,2,0
2011-03-18,23,4,0
2011-03-19,1,9,14
2011-03-20,6,0,1
2011-03-21,5,7,5
2011-03-22,9,0,1
2011-03-23,5,0,1
2011-03-24,4,0,2
2011-03-25,4,0,0
2011-03-26,8,7,5
2011-03-27,20,3,0
2011-03-28,12,1,2
2011-03-29,26,1,1
2011-03-30,11,2,6
2011-03-31,13,0,15
2011-04-01,9,0,126
2011-04-02,10,1,52
2011-04-03,14,1,16
2011-04-04,19,0,25
2011-04-05,21,0,15
2011-04-06,12,0,15
2011-04-07,12,0,17
2011-04-08,2,2,29
2011-04-09,3,7,1
2011-04-10,8,8,38
2011-04-11,6,11,50
2011-04-12,7,3,21
2011-04-13,7,1,5
2011-04-14,1,1,2
2011-04-15,1,4,9
2011-04-16,0,0,7
2011-04-17,2,0,11
2011-04-18,2,0,7
2011-04-19,2,0,2
2011-04-20,9,0,14
2011-04-21,0,0,21
2011-04-22,1,0,10
2011-04-23,0,0,19
2011-04-24,5,0,22
2011-04-25,2,0,8
2011-04-26,8,0,6
2011-04-27,3,0,4
2011-04-28,1,0,11
2011-04-29,1,0,4
2011-04-30,10,1,0
2011-05-01,1,0,1
2011-05-02,13,0,10
2011-05-03,7,1,8
2011-05-04,3,0,36
2011-05-05,3,1,19
2011-05-06,7,4,3
2011-05-07,2,3,7
2011-05-08,0,2,11
2011-05-09,1,6,11
2011-05-10,5,2,15
2011-05-11,6,0,19
2011-05-12,4,6,6
2011-05-13,0,7,5
2011-05-14,4,0,10
2011-05-15,2,0,20
2011-05-16,0,6,11
2011-05-17,11,6,31
2011-05-18,9,22,8
2011-05-19,5,9,13
2011-05-20,9,12,15
2011-05-21,6,5,25
2011-05-22,3,0,11
2011-05-23,22,3,15
2011-05-24,19,1,16
2011-05-25,4,1,9
2011-05-26,11,0,9
2011-05-27,4,2,6
2011-05-28,7,1,1
2011-05-29,8,2,1
2011-05-30,9,0,10
2011-05-31,10,2,11
2011-06-01,9,1,9
2011-06-02,8,5,8
2011-06-03,20,4,10
2011-06-04,7,4,41
2011-06-05,4,1,0
2011-06-06,19,4,21
2011-06-07,14,1,7
2011-06-08,11,2,4
2011-06-09,6,0,9
2011-06-10,11,20,24
2011-06-11,7,3,14
2011-06-12,0,3,10
2011-06-13,2,0,7
2011-06-14,12,4,18
2011-06-15,12,0,7
2011-06-16,19,0,11
2011-06-17,12,0,2
2011-06-18,5,0,12
2011-06-19,3,1,5
2011-06-20,14,4,3
2011-06-21,14,11,13
2011-06-22,9,3,37
2011-06-23,6,1,0
2011-06-24,16,7,9
2011-06-25,2,0,43
2011-06-26,2,0,13
2011-06-27,14,13,7
2011-06-28,33,0,8
2011-06-29,8,0,20
2011-06-30,7,0,9
2011-07-01,1,0,8
2011-07-02,0,0,0
2011-07-03,0,0,3
2011-07-04,0,0,7
2011-07-05,1,0,15
2011-07-06,10,0,4
2011-07-07,16,0,16
2011-07-08,17,19,15
2011-07-09,0,0,9
2011-07-10,0,7,8
2011-07-11,3,1,9
2011-07-12,5,2,6
2011-07-13,0,1,4
2011-07-14,0,1,3
2011-07-15,6,2,47
2011-07-16,2,6,48
2011-07-17,4,2,6
2011-07-18,6,0,13
2011-07-19,3,5,14
2011-07-20,4,0,7
2011-07-21,5,0,18
2011-07-22,5,0,15
2011-07-23,4,1,13
2011-07-24,6,0,6
2011-07-25,5,0,8
2011-07-26,14,0,24
2011-07-27,5,0,11
2011-07-28,4,0,12
2011-07-29,0,0,37
2011-07-30,1,0,16
2011-07-31,0,0,7
2011-08-01,1,0,15
2011-08-02,2,0,20
2011-08-03,3,0,61
2011-08-04,4,0,17
2011-08-05,7,0,27
2011-08-06,0,0,20
2011-08-07,5,0,8
2011-08-08,15,0,39
2011-08-09,15,0,57
2011-08-10,18,0,24
2011-08-11,18,0,22
2011-08-12,10,0,73
2011-08-13,3,0,6
2011-08-14,5,0,12
2011-08-15,11,0,8
2011-08-16,5,0,5
2011-08-17,15,0,4
2011-08-18,13,0,6
2011-08-19,13,0,3
2011-08-20,5,0,6
2011-08-21,8,0,12
2011-08-22,5,1,15
2011-08-23,1,0,54
2011-08-24,8,14,77
2011-08-25,7,11,6
2011-08-26,5,3,2
2011-08-27,6,35,0
2011-08-28,7,0,6
2011-08-29,19,0,17
2011-08-30,15,0,12
2011-08-31,6,0,14
2011-09-01,4,1,25
2011-09-02,10,1,20
2011-09-03,2,0,49
2011-09-04,1,0,36
2011-09-05,3,0,27
2011-09-06,9,0,24
2011-09-07,44,0,21
2011-09-08,22,0,14
2011-09-09,9,0,22
2011-09-10,14,0,17
2011-09-11,9,0,10
2011-09-12,20,0,38
2011-09-13,6,0,20
2011-09-14,17,0,28
2011-09-15,13,0,10
2011-09-16,8,0,12
2011-09-17,7,0,9
2011-09-18,5,0,6
2011-09-19,14,0,34
2011-09-20,14,0,18
2011-09-21,11,0,22
2011-09-22,22,0,20
2011-09-23,19,0,9
2011-09-24,18,0,6
2011-09-25,11,0,16
2011-09-26,24,0,25
2011-09-27,14,2,1
2011-09-28,9,34,8
2011-09-29,5,8,4
2011-09-30,25,0,10
2011-10-01,23,0,4
2011-10-02,15,0,11
2011-10-03,30,80,22
2011-10-04,21,6,36
2011-10-05,17,2,5
2011-10-06,6,0,5
2011-10-07,20,8,16
2011-10-08,27,0,4
2011-10-09,22,0,25
2011-10-10,5,1,4
2011-10-11,16,0,2
2011-10-12,1,0,4
2011-10-13,15,1,4
2011-10-14,17,0,4
2011-10-15,12,0,7
2011-10-16,1,0,4
2011-10-17,7,0,5
2011-10-18,6,0,5
2011-10-19,12,0,11
2011-10-20,24,0,15
2011-10-21,15,0,46
2011-10-22,7,0,11
2011-10-23,10,0,4
2011-10-24,9,0,3
2011-10-25,9,0,9
2011-10-26,13,2,5
2011-10-27,13,0,13
2011-10-28,2,0,3
2011-10-29,10,0,2
2011-10-30,2,0,5
2011-10-31,13,58,4
2011-11-01,5,4,12
2011-11-02,0,0,19
2011-11-03,7,3,15
2011-11-04,4,0,26
2011-11-05,2,2,12
2011-11-06,2,0,17
2011-11-07,1,0,25
2011-11-08,8,0,13
2011-11-09,13,0,12
2011-11-10,3,15,53
2011-11-11,1,0,21
2011-11-12,2,0,13
2011-11-13,2,0,9
2011-11-14,8,0,5
2011-11-15,5,1,12
2011-11-16,16,0,22
2011-11-17,10,0,3
2011-11-18,8,0,11
2011-11-19,3,0,4
2011-11-20,0,0,14
2011-11-21,6,2,14
2011-11-22,4,0,12
2011-11-23,17,23,12
2011-11-24,21,1,9
2011-11-25,5,0,0
2011-11-26,10,0,0
2011-11-27,8,0,0
2011-11-28,5,46,12
2011-11-29,1,0,7
2011-11-30,13,0,10
2011-12-01,7,0,2
2011-12-02,13,0,0
2011-12-03,10,0,1
2011-12-04,7,0,1
2011-12-05,6,0,2
2011-12-06,12,0,6
2011-12-07,3,1,10
2011-12-08,9,4,3
2011-12-09,8,0,2
2011-12-10,9,0,13
2011-12-11,2,0,1
2011-12-12,20,0,12
2011-12-13,18,0,3
2011-12-14,59,1,3
2011-12-15,12,0,29
2011-12-16,35,0,14
2011-12-17,14,0,5
2011-12-18,0,0,29
2011-12-19,0,1,86
2011-12-20,9,0,169
2011-12-21,6,0,103
2011-12-22,4,0,14
2011-12-23,0,0,32
2011-12-24,0,0,17
2011-12-25,0,0,4
2011-12-26,0,0,11
2011-12-27,0,29,17
2011-12-28,0,0,26
2011-12-29,0,0,44
2011-12-30,0,0,18
2011-12-31,0,0,2
2012-01-01,0,0,0
2012-01-02,0,0,5
2012-01-03,0,0,15
2012-01-04,0,0,17
