,ant-design/ant-design,twbs/bootstrap,mui/material-ui
2015-05-07,5,2,3.0
2015-05-08,5,4,0.40000000000000013
2015-05-09,9,2,6.56
2015-05-10,0,2,12.376
2015-05-11,4,3,19.4912
2015-05-12,7,5,13.833791999999999
2015-05-13,0,11,1.1659775999999988
2015-05-14,0,21,-2.024360960000002
2015-05-15,3,5,5.466604543999998
2015-05-16,16,6,-4.139614003200001
2015-05-17,0,2,-1.4635398144000011
2015-05-18,5,2,3.9763080192
2015-05-19,0,0,0.3335389184000017
2015-05-20,0,0,-1.1290734591999985
2015-05-21,2,1,-0.36072806399999924
2015-05-22,2,2,1.0536055808000002
2015-05-23,0,7,1.0306577408000006
2015-05-24,0,1,16.0300683264
2015-05-25,13,0,-3.892370432
2015-05-26,11,3,0.28125941759999895
2015-05-27,23,1,-0.4896067584000001
2015-05-28,6,7,1.9081479168
2015-05-29,15,18,0.6883198975999998
2015-05-30,0,5,-0.17758781440000027
2015-05-31,0,1,1.0698596351999998
2015-06-01,5,11,0.9872765952000009
2015-06-02,17,2,11.981930803200001
2015-06-03,13,2,13.952339456
2015-06-04,33,0,-0.7597001728000006
2015-06-05,18,2,8.987813273599999
2015-06-06,0,0,0.8521602047999997
2015-06-07,4,0,5.830794547199999
2015-06-08,22,2,4.314815385599999
2015-06-09,57,9,11.3136049152
2015-06-10,39,2,13.872119603200002
2015-06-11,15,3,4.4663748608
2015-06-12,18,0,10.486581555199999
2015-06-13,0,3,1.808689254399999
2015-06-14,23,0,3.033218355199999
2015-06-15,62,1,10.50353408
2015-06-16,14,6,5.288130150400001
2015-06-17,41,1,10.6767290368
2015-06-18,8,11,7.753450496000001
2015-06-19,21,11,-1.1457284096000002
2015-06-20,0,1,12.6931495936
2015-06-21,0,1,0.9530469375999999
2015-06-22,0,6,5.427549900799999
2015-06-23,2,16,4.269870796799999
2015-06-24,8,0,22.462984192
2015-06-25,22,1,20.024203673600002
2015-06-26,13,0,6.4603872256
2015-06-27,0,2,0.02897469439999778
2015-06-28,0,0,5.009263103999999
2015-06-29,1,0,1.0959086591999991
2015-06-30,3,0,-0.851688652800001
2015-07-01,13,7,1.1514132479999994
2015-07-02,16,1,27.4686106624
2015-07-03,15,4,-5.481882316799997
2015-07-04,2,7,2.4273722367999992
2015-07-05,7,0,4.9580491775999995
2015-07-06,30,0,9.8684981248
2015-07-07,30,2,20.8438562816
2015-07-08,41,1,8.073429299199999
2015-07-09,35,1,30.8590173184
2015-07-10,14,0,-5.530371583999997
2015-07-11,12,1,0.028836761599997374
2015-07-12,11,1,7.517998284799998
2015-07-13,23,3,18.8817262592
2015-07-14,33,0,0.37142435839999877
2015-07-15,59,0,-1.4081893376000005
2015-07-16,45,0,14.1442533376
2015-07-17,40,1,6.205227417600002
2015-07-18,0,8,-4.2450230272
2015-07-19,0,0,-2.6561214464000016
2015-07-20,65,0,8.3685670912
2015-07-21,45,0,6.925737164800002
2015-07-22,21,0,12.558828032000001
2015-07-23,11,0,0.3359832063999999
2015-07-24,13,1,-3.0797542399999998
2015-07-25,1,7,-2.6247361536
2015-07-26,1,3,-1.6526164992
2015-07-27,14,3,7.866050867199999
2015-07-28,19,4,3.308966297600001
2015-07-29,36,3,8.3487092736
