,elastic/kibana,getsentry/sentry,grafana/grafana
2017-05-22,4,6,9
2017-05-23,20,4,17
2017-05-24,16,4,18
2017-05-25,27,10,5
2017-05-26,15,6,8
2017-05-27,5,0,0
2017-05-28,0,0,0
2017-05-29,1,1,16
2017-05-30,5,23,2
2017-05-31,14,16,5
2017-06-01,5,8,1
2017-06-02,13,15,4
2017-06-03,0,1,2
2017-06-04,0,0,5
2017-06-05,3,6,17
2017-06-06,15,7,8
2017-06-07,5,29,17
2017-06-08,5,14,17
2017-06-09,6,11,1
2017-06-10,0,0,0
2017-06-11,0,0,0
2017-06-12,10,4,44
2017-06-13,13,6,10
2017-06-14,11,7,9
2017-06-15,3,5,9
2017-06-16,1,4,10
2017-06-17,0,0,10
2017-06-18,0,0,3
2017-06-19,10,6,20
2017-06-20,13,17,6
2017-06-21,13,19,10
2017-06-22,18,6,17
2017-06-23,12,14,15
2017-06-24,0,1,1
2017-06-25,0,1,3
2017-06-26,9,27,1
2017-06-27,16,21,9
2017-06-28,12,19,5
2017-06-29,13,17,5
2017-06-30,15,13,1
2017-07-01,2,0,0
2017-07-02,0,0,0
2017-07-03,7,11,7
2017-07-04,0,0,10
2017-07-05,7,11,12
2017-07-06,11,21,5
2017-07-07,8,5,4
2017-07-08,0,2,0
2017-07-09,1,0,1
2017-07-10,14,1,3
2017-07-11,20,9,1
2017-07-12,14,14,10
2017-07-13,13,12,1
2017-07-14,19,4,2
2017-07-15,0,0,0
2017-07-16,1,0,0
2017-07-17,10,3,1
2017-07-18,23,12,4
2017-07-19,13,12,3
2017-07-20,16,2,2
2017-07-21,22,7,3
2017-07-22,1,0,0
2017-07-23,0,0,0
2017-07-24,16,9,13
2017-07-25,9,6,1
2017-07-26,18,13,1
2017-07-27,7,21,2
2017-07-28,12,10,1
2017-07-29,1,0,1
2017-07-30,0,0,0
2017-07-31,13,7,25
2017-08-01,27,3,16
2017-08-02,16,2,14
2017-08-03,12,9,9
2017-08-04,14,6,10
2017-08-05,1,2,1
2017-08-06,0,0,0
2017-08-07,14,10,26
2017-08-08,16,8,26
2017-08-09,20,9,17
2017-08-10,16,5,16
2017-08-11,7,3,6
2017-08-12,1,0,0
2017-08-13,0,0,0
2017-08-14,11,9,10
2017-08-15,5,4,15
2017-08-16,14,9,5
2017-08-17,20,5,9
2017-08-18,18,7,11
2017-08-19,2,0,3
2017-08-20,0,2,2
2017-08-21,11,10,10
2017-08-22,9,20,1
2017-08-23,10,16,7
2017-08-24,16,17,14
2017-08-25,25,6,4
2017-08-26,0,1,5
2017-08-27,0,0,0
2017-08-28,14,14,13
2017-08-29,9,7,8
2017-08-30,16,9,2
2017-08-31,7,9,5
2017-09-01,7,6,6
2017-09-02,0,1,1
2017-09-03,3,0,0
2017-09-04,2,0,14
2017-09-05,9,8,8
2017-09-06,7,4,4
2017-09-07,24,10,18
2017-09-08,14,10,10
2017-09-09,0,0,0
2017-09-10,0,0,0
2017-09-11,22,6,5
2017-09-12,24,16,18
2017-09-13,18,9,17
2017-09-14,29,6,27
2017-09-15,18,8,23
2017-09-16,0,0,0
2017-09-17,0,1,0
2017-09-18,5,6,40
2017-09-19,16,5,8
2017-09-20,21,15,4
2017-09-21,12,2,30
2017-09-22,15,23,16
2017-09-23,0,0,0
2017-09-24,0,1,9
2017-09-25,0,5,1
2017-09-26,20,12,7
2017-09-27,3,8,11
2017-09-28,20,14,15
2017-09-29,4,8,54
2017-09-30,1,1,0
2017-10-01,0,0,4
2017-10-02,10,8,20
2017-10-03,16,8,11
2017-10-04,8,9,14
2017-10-05,10,7,42
2017-10-06,17,5,6
2017-10-07,0,1,3
2017-10-08,1,0,2
2017-10-09,10,13,11
2017-10-10,9,9,17
2017-10-11,9,13,31
2017-10-12,9,4,41
2017-10-13,4,12,16
2017-10-14,9,0,3
2017-10-15,1,0,2
2017-10-16,0,6,18
2017-10-17,0,4,24
2017-10-18,11,10,18
2017-10-19,1,20,6
2017-10-20,0,13,7
2017-10-21,0,0,0
2017-10-22,1,0,14
2017-10-23,20,8,19
2017-10-24,15,7,32
2017-10-25,19,11,12
2017-10-26,44,10,22
2017-10-27,15,4,6
2017-10-28,0,0,5
2017-10-29,0,0,5
2017-10-30,11,11,8
2017-10-31,15,12,30
2017-11-01,16,10,21
2017-11-02,29,5,8
2017-11-03,15,6,8
2017-11-04,1,0,1
2017-11-05,0,0,0
2017-11-06,33,1,3
2017-11-07,12,2,1
2017-11-08,13,2,4
2017-11-09,14,0,4
2017-11-10,5,0,1
2017-11-11,1,4,2
2017-11-12,0,0,0
2017-11-13,10,12,14
2017-11-14,8,14,10
2017-11-15,12,19,41
2017-11-16,11,7,22
2017-11-17,18,9,23
2017-11-18,1,0,0
2017-11-19,0,1,0
2017-11-20,9,5,18
2017-11-21,21,9,24
2017-11-22,19,3,14
2017-11-23,3,0,20
2017-11-24,0,0,8
2017-11-25,0,0,0
2017-11-26,0,0,1
2017-11-27,12,5,18
2017-11-28,15,8,11
2017-11-29,17,9,15
2017-11-30,15,6,15
2017-12-01,18,8,25
2017-12-02,1,1,7
2017-12-03,0,0,5
2017-12-04,24,6,13
2017-12-05,11,5,22
2017-12-06,18,6,20
2017-12-07,11,5,52
2017-12-08,9,8,39
2017-12-09,1,1,8
2017-12-10,0,0,9
2017-12-11,14,8,35
2017-12-12,25,11,39
2017-12-13,22,11,69
2017-12-14,10,10,36
2017-12-15,26,5,32
2017-12-16,3,0,1
2017-12-17,0,0,0
2017-12-18,12,25,11
2017-12-19,10,19,38
2017-12-20,8,10,18
2017-12-21,9,22,7
2017-12-22,3,2,9
2017-12-23,1,0,2
2017-12-24,3,0,0
2017-12-25,5,0,2
2017-12-26,1,0,7
2017-12-27,0,0,10
2017-12-28,2,0,16
2017-12-29,1,0,3
2017-12-30,1,0,0
2017-12-31,0,1,6
2018-01-01,0,0,3
2018-01-02,6,17,3
2018-01-03,6,6,9
2018-01-04,10,10,6
2018-01-05,7,18,5
2018-01-06,2,2,0
2018-01-07,1,0,0
2018-01-08,13,6,6
2018-01-09,16,18,41
2018-01-10,18,11,18
2018-01-11,9,11,10
2018-01-12,9,6,4
2018-01-13,1,0,0
2018-01-14,0,0,2
2018-01-15,4,0,11
2018-01-16,22,5,31
2018-01-17,9,17,7
2018-01-18,11,20,20
2018-01-19,22,6,10
2018-01-20,0,1,3
2018-01-21,0,0,2
2018-01-22,9,12,13
2018-01-23,10,9,13
2018-01-24,6,16,18
2018-01-25,9,20,35
2018-01-26,6,14,19
2018-01-27,3,0,3
2018-01-28,0,0,1
2018-01-29,12,6,22
2018-01-30,17,8,45
2018-01-31,11,17,58
2018-02-01,11,13,41
2018-02-02,14,14,11
2018-02-03,3,1,6
2018-02-04,1,0,3
2018-02-05,11,5,41
2018-02-06,8,11,13
2018-02-07,11,12,8
2018-02-08,25,16,14
2018-02-09,10,6,17
2018-02-10,0,1,1
2018-02-11,1,0,0
2018-02-12,7,9,16
2018-02-13,16,18,6
2018-02-14,13,7,30
2018-02-15,2,16,21
2018-02-16,5,22,23
2018-02-17,0,2,2
2018-02-18,0,0,2
2018-02-19,3,0,13
2018-02-20,4,10,19
2018-02-21,13,16,29
2018-02-22,9,16,26
2018-02-23,17,7,6
2018-02-24,0,0,1
2018-02-25,2,0,1
2018-02-26,2,7,9
2018-02-27,3,24,13
2018-02-28,0,14,12
2018-03-01,0,11,8
2018-03-02,2,15,2
2018-03-03,3,0,4
2018-03-04,7,0,6
2018-03-05,2,22,6
2018-03-06,2,30,26
2018-03-07,9,25,39
2018-03-08,10,23,14
2018-03-09,15,26,9
2018-03-10,1,0,2
2018-03-11,1,0,1
2018-03-12,11,16,20
2018-03-13,7,21,37
2018-03-14,7,27,26
2018-03-15,9,24,22
2018-03-16,17,25,18
2018-03-17,1,0,1
2018-03-18,0,0,1
2018-03-19,10,15,29
2018-03-20,13,19,38
2018-03-21,9,16,11
2018-03-22,15,17,32
2018-03-23,7,12,38
2018-03-24,3,1,6
2018-03-25,2,0,2
2018-03-26,6,15,14
2018-03-27,2,21,21
2018-03-28,18,17,24
2018-03-29,8,27,6
2018-03-30,9,5,6
2018-03-31,0,0,0
2018-04-01,0,0,0
2018-04-02,6,23,5
2018-04-03,10,15,20
2018-04-04,11,9,19
2018-04-05,5,30,21
2018-04-06,5,10,11
2018-04-07,0,0,1
2018-04-08,0,0,6
2018-04-09,6,16,22
2018-04-10,11,21,24
2018-04-11,16,5,14
2018-04-12,11,21,19
2018-04-13,4,16,29
2018-04-14,0,0,5
2018-04-15,0,0,5
2018-04-16,8,15,56
2018-04-17,12,16,56
2018-04-18,16,14,22
2018-04-19,5,16,21
2018-04-20,11,7,19
2018-04-21,0,1,1
2018-04-22,0,0,5
2018-04-23,3,17,19
2018-04-24,3,19,16
2018-04-25,14,13,10
2018-04-26,5,29,11
2018-04-27,9,13,24
2018-04-28,0,1,2
2018-04-29,0,0,0
2018-04-30,14,14,12
2018-05-01,7,16,3
2018-05-02,20,25,19
2018-05-03,13,9,10
2018-05-04,18,19,4
2018-05-05,1,1,2
2018-05-06,0,0,1
2018-05-07,13,21,23
2018-05-08,20,18,38
2018-05-09,13,14,3
2018-05-10,21,16,2
2018-05-11,7,14,4
2018-05-12,0,0,1
2018-05-13,0,0,0
2018-05-14,8,12,8
2018-05-15,17,14,5
2018-05-16,15,14,10
2018-05-17,11,20,4
2018-05-18,24,3,11
2018-05-19,2,0,3
2018-05-20,1,0,2
2018-05-21,9,9,21
