,statsmodels/statsmodels,mlpack/mlpack,scikit-learn/scikit-learn
2010-01-05,0,0,219
2010-01-06,0,5,113
2010-01-07,0,0,0
2010-01-08,0,0,1
2010-01-09,0,0,0
2010-01-10,0,2,0
2010-01-11,0,2,5
2010-01-12,2,3,1
2010-01-13,1,2,0
2010-01-14,0,0,8
2010-01-15,0,0,0
2010-01-16,5,0,0
2010-01-17,2,0,0
2010-01-18,2,0,6
2010-01-19,2,0,8
2010-01-20,0,2,0
2010-01-21,0,2,0
2010-01-22,0,2,10
2010-01-23,4,2,0
2010-01-24,3,0,0
2010-01-25,1,1,6
2010-01-26,0,3,0
2010-01-27,0,0,7
2010-01-28,0,0,1
2010-01-29,0,3,7
2010-01-30,0,4,0
2010-01-31,0,12,0
2010-02-01,2,0,5
2010-02-02,0,0,0
2010-02-03,0,15,8
2010-02-04,1,1,2
2010-02-05,0,2,1
2010-02-06,0,0,0
2010-02-07,2,0,0
2010-02-08,0,0,0
2010-02-09,1,0,0
2010-02-10,1,1,0
2010-02-11,1,8,0
2010-02-12,6,0,0
2010-02-13,4,0,0
2010-02-14,8,0,0
2010-02-15,5,0,0
2010-02-16,1,0,0
2010-02-17,0,0,0
2010-02-18,0,0,0
2010-02-19,0,0,0
2010-02-20,0,1,0
2010-02-21,0,0,0
2010-02-22,0,0,0
2010-02-23,0,4,0
2010-02-24,7,2,0
2010-02-25,0,1,0
2010-02-26,0,7,0
2010-02-27,0,0,0
2010-02-28,0,0,0
2010-03-01,1,0,10
2010-03-02,0,0,8
2010-03-03,0,3,62
2010-03-04,0,0,11
2010-03-05,0,1,6
2010-03-06,1,0,2
2010-03-07,0,0,0
2010-03-08,9,0,1
2010-03-09,1,2,2
2010-03-10,3,1,1
2010-03-11,6,0,4
2010-03-12,2,0,15
2010-03-13,0,0,0
2010-03-14,2,0,0
2010-03-15,0,5,10
2010-03-16,1,0,5
2010-03-17,1,1,17
2010-03-18,0,0,16
2010-03-19,0,0,11
2010-03-20,1,0,0
2010-03-21,0,0,0
2010-03-22,0,0,7
2010-03-23,0,0,8
2010-03-24,0,0,5
2010-03-25,0,0,6
2010-03-26,0,2,0
2010-03-27,0,0,0
2010-03-28,0,0,0
2010-03-29,0,1,0
2010-03-30,2,0,1
2010-03-31,2,0,0
2010-04-01,9,0,0
2010-04-02,0,0,0
2010-04-03,3,0,0
2010-04-04,0,0,0
2010-04-05,1,2,0
2010-04-06,0,1,4
2010-04-07,0,2,0
2010-04-08,1,2,8
2010-04-09,1,0,0
2010-04-10,0,0,0
2010-04-11,4,2,0
2010-04-12,14,3,0
2010-04-13,3,4,3
2010-04-14,1,16,9
2010-04-15,0,2,5
2010-04-16,4,0,0
2010-04-17,6,0,0
2010-04-18,3,0,0
2010-04-19,2,0,9
2010-04-20,1,4,15
2010-04-21,1,3,16
2010-04-22,1,0,13
2010-04-23,0,0,7
2010-04-24,14,2,0
2010-04-25,1,2,1
2010-04-26,1,0,1
2010-04-27,0,1,0
2010-04-28,0,11,2
2010-04-29,0,3,7
2010-04-30,0,1,4
2010-05-01,0,0,0
2010-05-02,11,0,0
