,python/cpython,rust-lang/rust,JuliaLang/julia
2022-06-16,11.0,89,9
2022-06-17,13.899999999999999,68,11
2022-06-18,5.004999999999998,71,3
2022-06-19,9.311499999999999,69,7
2022-06-20,4.9302125,100,9
2022-06-21,23.11827825,84,10
2022-06-22,9.3403291125,105,7
2022-06-23,10.71593440375,105,4
2022-06-24,9.616787275578126,65,4
2022-06-25,6.611770165620314,74,1
2022-06-26,11.937343024601564,94,2
2022-06-27,6.609957652826564,98,5
2022-06-28,9.937938862245314,140,3
2022-06-29,6.779871230607814,115,6
2022-06-30,8.998117707398439,165,16
2022-07-01,9.012144108564064,106,2
2022-07-02,0.9948808452937516,117,0
2022-07-03,0.7989634681265643,74,6
2022-07-04,4.259326154406252,84,3
2022-07-05,12.21214490555469,107,22
2022-07-06,2.4911912929375006,128,12
2022-07-07,10.076608781876564,97,7
2022-07-08,4.619094063453125,125,7
2022-07-09,4.932057690881251,70,5
2022-07-10,1.0627403537562508,50,3
2022-07-11,5.543835548309376,116,3
2022-07-12,3.3237332542984386,65,10
2022-07-13,4.444283121315626,97,13
2022-07-14,9.41001130691875,103,7
2022-07-15,3.9679082698828125,97,5
2022-07-16,4.232963917209375,68,5
2022-07-17,4.360755914889063,77,5
2022-07-18,13.404049156951563,108,7
2022-07-19,4.531125445032813,94,8
2022-07-20,13.915346652170314,171,10
2022-07-21,2.136417625476562,111,6
2022-07-22,12.8726831891125,81,7
2022-07-23,5.1372797415109375,63,6
2022-07-24,5.567287391690627,109,4
2022-07-25,14.684976975440627,112,7
2022-07-26,13.8393128658,114,6
2022-07-27,10.463678568351563,97,3
2022-07-28,12.591482355248438,115,1
2022-07-29,6.351378750596876,97,4
2022-07-30,2.876188122085939,85,5
2022-07-31,1.4157071753359398,77,0
2022-08-01,13.932681126837503,85,3
2022-08-02,1.9817938471968768,96,3
2022-08-03,7.709511738123439,103,8
2022-08-04,18.553793359670312,134,4
2022-08-05,9.451847018746875,65,3
2022-08-06,4.75954450176875,72,5
2022-08-07,-2.6670741384531245,63,3
2022-08-08,8.342444430221878,72,3
2022-08-09,3.7911587253562518,111,7
2022-08-10,5.005619819346877,97,5
2022-08-11,12.074314823414063,76,5
2022-08-12,4.3729377500625,109,4
2022-08-13,4.795843957542188,61,2
2022-08-14,1.027310287907813,57,1
2022-08-15,6.526307892212501,80,4
2022-08-16,6.240848604843751,106,4
2022-08-17,7.093722797796876,88,11
2022-08-18,10.972378108675,104,8
2022-08-19,9.490811438779687,89,6
2022-08-20,-1.6374380378624998,79,5
2022-08-21,3.4102561523890635,117,1
2022-08-22,3.417794173201564,133,7
2022-08-23,8.48008150576719,134,3
2022-08-24,7.003749746837501,87,5
2022-08-25,7.932602911321876,67,3
2022-08-26,7.779839640473438,112,8
2022-08-27,4.705382652095313,92,0
2022-08-28,-0.01376308719687458,80,2
2022-08-29,11.604995226135939,87,14
2022-08-30,16.72347659724219,100,16
2022-08-31,1.7830542159140625,124,21
2022-09-01,2.7076973200000003,94,17
2022-09-02,3.058310147020314,87,12
2022-09-03,3.2467431957343775,53,10
2022-09-04,6.378708978531252,60,0
2022-09-05,9.17637886746719,82,6
2022-09-06,5.795827684475,75,19
2022-09-07,8.880842175985938,74,11
2022-09-08,6.651917942989063,96,3
2022-09-09,4.809664128492188,88,2
2022-09-10,1.9883153409921883,72,1
2022-09-11,1.3489109647421889,54,5
2022-09-12,0.6113857244453142,126,9
2022-09-13,8.855337779040626,115,11
2022-09-14,4.219610096729689,103,16
2022-09-15,4.402125882790625,75,17
2022-09-16,2.4465186312140625,94,7
2022-09-17,5.693712813567188,58,7
2022-09-18,2.507187166435938,46,3
2022-09-19,6.734216633309376,70,7
2022-09-20,6.406907278860938,82,7
2022-09-21,3.2588804122718757,86,11
2022-09-22,4.455924119046875,103,7
2022-09-23,2.4729211341906256,99,1
2022-09-24,1.674295708971876,93,2
2022-09-25,3.866509013746876,68,1
2022-09-26,4.755330360185939,101,5
2022-09-27,2.6454479532312507,140,10
2022-09-28,6.782867619337501,64,5
2022-09-29,2.4630946371343754,77,14
2022-09-30,7.7381762867265635,82,12
2022-10-01,1.324891981471875,104,2
2022-10-02,4.754492094559376,91,7
2022-10-03,20.60466764981406,83,11
2022-10-04,29.944995474226562,65,9
2022-10-05,22.101897762721872,65,11
2022-10-06,13.742699938231247,78,14
2022-10-07,41.1484311239,116,15
2022-10-08,6.507105608965624,60,6
2022-10-09,-2.561661314370311,83,1
2022-10-10,6.170246084298441,108,17
2022-10-11,6.226944434690631,64,0
2022-10-12,8.383717378443755,74,6
2022-10-13,-0.5743613888578092,68,8
2022-10-14,-1.483120418267184,87,5
2022-10-15,13.26068911809844,68,5
2022-10-16,4.275177687378127,70,4
2022-10-17,8.952265537950002,77,3
2022-10-18,9.698726449735936,65,7
2022-10-19,12.427163701984377,93,5
2022-10-20,11.014859867203125,104,8
2022-10-21,4.904880196771876,78,7
2022-10-22,4.423961348126563,64,5
2022-10-23,2.663299940979689,101,2
2022-10-24,13.953037962101565,106,16
2022-10-25,15.089967546576563,92,9
2022-10-26,10.506047747167187,95,9
2022-10-27,6.612951476834375,99,9
2022-10-28,8.004993422242189,74,5
2022-10-29,5.083610624121876,109,8
2022-10-30,2.440393807353127,39,1
2022-10-31,6.873191602170314,70,4
2022-11-01,9.679503021570314,71,8
2022-11-02,15.316372602643751,72,23
2022-11-03,20.630398672134376,52,12
2022-11-04,4.740859925590624,105,9
2022-11-05,4.770199648968751,102,2
2022-11-06,11.20281352422969,69,8
2022-11-07,11.824678698384377,158,5
2022-11-08,12.57108584017969,78,15
2022-11-09,5.309664988489064,122,6
2022-11-10,18.8765683127875,95,8
2022-11-11,9.817469775728126,86,1
2022-11-12,6.220443726996876,85,0
2022-11-13,7.794291388051564,71,3
2022-11-14,18.873229403743753,72,5
2022-11-15,4.819090616762502,102,8
2022-11-16,12.69575716246094,70,6
2022-11-17,2.330719049784376,70,3
2022-11-18,3.218616318332815,97,1
2022-11-19,0.5590187619906271,105,8
2022-11-20,2.158487250590628,106,2
2022-11-21,5.360397601468753,130,8
2022-11-22,17.20049876951094,80,4
2022-11-23,4.98495121206875,90,3
2022-11-24,12.640282816426563,86,3
2022-11-25,5.09155576633125,170,3
2022-11-26,10.597863117940626,80,2
2022-11-27,8.2253748232375,88,2
2022-11-28,6.256924579079689,100,12
2022-11-29,7.410798819996876,100,9
2022-11-30,11.357183827451564,65,9
2022-12-01,-0.05113149605781153,90,4
2022-12-02,1.9511820019781267,87,3
2022-12-03,2.2227947690859393,75,4
2022-12-04,4.451989839259378,54,1
2022-12-05,13.37247808261094,53,5
2022-12-06,8.511292417464063,106,3
2022-12-07,5.540812412020312,60,14
2022-12-08,10.785183953671876,59,0
2022-12-09,10.37655029045,83,4
2022-12-10,5.231144580329688,60,5
2022-12-11,0.5660547227937505,68,5
2022-12-12,10.169760630512501,68,6
2022-12-13,-0.4623748191999981,110,6
2022-12-14,4.308592286289064,112,5
