,gcc-mirror/gcc,llvm/llvm-project,golang/go
2016-03-03,19,116,25.0
2016-03-04,28,85,24.499999999999996
2016-03-05,13,24,7.174999999999997
2016-03-06,3,25,5.9724999999999975
2016-03-07,26,66,24.3189375
2016-03-08,8,90,27.62069375
2016-03-09,18,104,21.3370099375
2016-03-10,20,92,23.094536506249998
2016-03-11,17,128,21.586541988359375
2016-03-12,8,34,6.320343213929689
2016-03-13,6,54,4.752638434607816
2016-03-14,10,97,20.683418856214068
2016-03-15,27,85,18.58925750825469
2016-03-16,28,66,37.255935303779694
2016-03-17,23,81,16.273995976178124
2016-03-18,22,79,18.31729024657656
2016-03-19,2,23,-3.4916364142296867
2016-03-20,1,25,8.81616728479063
2016-03-21,17,74,28.865480830626566
2016-03-22,18,95,11.970723901750002
2016-03-23,24,98,12.647065685476566
2016-03-24,18,133,14.924228306965627
2016-03-25,10,118,22.878001134829688
2016-03-26,2,35,2.2380547124968757
2016-03-27,3,29,1.8907327838046903
2016-03-28,6,114,13.786055671939065
2016-03-29,18,114,17.039572830017192
2016-03-30,14,134,27.435112449532816
2016-03-31,20,104,26.203771745071876
2016-04-01,10,125,15.555071799040626
2016-04-02,7,45,1.1364912898437503
2016-04-03,2,30,7.796317484868753
2016-04-04,13,85,12.091468202868754
2016-04-05,20,120,24.822982542268754
2016-04-06,12,125,31.418896253560938
2016-04-07,7,133,16.051108275245312
2016-04-08,15,118,8.77335429735
2016-04-09,14,21,2.838553308756252
2016-04-10,3,25,10.042132248100003
2016-04-11,7,102,21.008133523560943
2016-04-12,21,133,31.898786357568753
2016-04-13,28,112,21.243892983221876
2016-04-14,15,121,25.354111493629688
2016-04-15,21,108,10.940772713060937
2016-04-16,4,48,4.184852701439065
2016-04-17,14,36,1.4162388978359415
2016-04-18,62,99,13.359046928743755
2016-04-19,33,122,15.721544127856255
2016-04-20,54,104,15.27146671002344
2016-04-21,45,146,23.159772686732815
2016-04-22,11,164,20.40937645499375
2016-04-23,6,50,-0.7481367029312498
2016-04-24,7,66,5.259236134196877
2016-04-25,15,121,9.639883510296878
2016-04-26,25,133,19.465837388518754
2016-04-27,57,176,35.41159497157656
2016-04-28,50,132,18.31577461896875
2016-04-29,37,165,22.84070076984375
2016-04-30,17,34,0.49237414683750025
2016-05-01,8,35,14.548153590237504
2016-05-02,73,129,3.2222140814296907
2016-05-03,29,124,5.161755494223442
2016-05-04,27,108,20.484422305173442
2016-05-05,13,117,16.22664835229844
2016-05-06,39,126,22.102968544421877
2016-05-07,6,42,-1.459083002101563
2016-05-08,7,22,-0.48107199340156015
2016-05-09,22,101,8.481987902451566
2016-05-10,31,151,12.102804481442192
2016-05-11,18,100,13.705741140071877
2016-05-12,20,124,7.2914743560515625
2016-05-13,27,130,1.6771773670593761
2016-05-14,5,64,5.51469707282344
2016-05-15,2,34,3.6253807532171898
2016-05-16,33,104,11.014466554559377
2016-05-17,27,129,3.4007955929703133
2016-05-18,48,129,26.828829203120314
2016-05-19,34,125,14.73010616944531
2016-05-20,33,131,8.849890482467186
2016-05-21,5,47,-0.6229433379734379
2016-05-22,8,43,-1.4786221068046852
2016-05-23,24,116,1.1867359253687535
2016-05-24,44,116,17.371627525581253
2016-05-25,27,159,15.926604360189064
2016-05-26,21,138,13.38072666608125
2016-05-27,22,135,22.216326990410938
2016-05-28,12,67,-3.6778471186359383
2016-05-29,6,43,1.3582244942359392
2016-05-30,24,41,0.8383950531265647
2016-05-31,26,111,16.182327992167192
2016-06-01,31,79,14.869773053845314
2016-06-02,16,157,18.33355194327031
2016-06-03,25,118,10.726707865551562
2016-06-04,7,57,-3.878573627767187
2016-06-05,11,43,-0.27582580144999813
2016-06-06,32,101,2.3109540816515657
2016-06-07,20,112,1.3465908933093782
2016-06-08,30,126,6.53457175061094
2016-06-09,22,119,7.144774515071877
2016-06-10,27,96,3.0115288242593756
2016-06-11,8,46,-0.6140779760249995
2016-06-12,4,32,1.0040315194609384
2016-06-13,43,74,5.194606051468751
2016-06-14,33,133,6.839488604115626
2016-06-15,21,122,4.502245718309375
2016-06-16,36,119,6.544161859517187
2016-06-17,19,95,0.32385536882187504
2016-06-18,6,31,-1.1538494591515618
2016-06-19,4,27,0.27636895680468854
2016-06-20,28,89,5.3816057439328135
2016-06-21,29,109,4.942811771834376
2016-06-22,40,148,3.770468603159375
2016-06-23,17,109,4.79866320661875
2016-06-24,18,119,7.714781238159375
2016-06-25,6,37,-0.6326649588187501
2016-06-26,6,47,1.0171235236781255
2016-06-27,3,114,9.138838684484377
2016-06-28,19,113,11.400656029370314
2016-06-29,22,103,4.785043200440625
2016-06-30,13,109,7.08930327970625
2016-07-01,15,108,-0.036767919523437165
2016-07-02,3,46,0.5917943463937514
2016-07-03,2,21,-0.139620753339061
2016-07-04,35,49,3.1446416464328144
2016-07-05,18,60,-0.0372087239781238
2016-07-06,33,118,5.213450919187501
2016-07-07,25,100,1.8857734346734378
2016-07-08,20,138,6.109315047607813
2016-07-09,2,53,-1.2212052038546877
2016-07-10,2,29,-0.6402678273531245
2016-07-11,18,91,4.557909184412501
2016-07-12,18,104,3.170274374151563
2016-07-13,29,108,6.112970811840626
2016-07-14,29,150,-0.21372390687968768
2016-07-15,35,147,3.2109335719875003
2016-07-16,3,48,2.1000915012828125
2016-07-17,2,43,0.1577934697484381
2016-07-18,14,151,11.409403718750001
2016-07-19,19,131,-0.6136171875781253
2016-07-20,28,139,4.033960099007813
2016-07-21,32,148,6.8796719024968755
2016-07-22,27,126,0.5302121467328131
2016-07-23,2,40,-0.009678705848437108
2016-07-24,11,48,0.23123255455937575
2016-07-25,34,114,0.3710650118765637
2016-07-26,23,106,7.456118632526564
2016-07-27,17,110,2.8024848753031253
2016-07-28,27,115,1.0034067373859374
2016-07-29,32,134,0.20133057819531253
2016-07-30,8,34,-0.5959999050687493
2016-07-31,16,25,-0.3642057268374992
2016-08-01,30,88,0.7313510381984383
2016-08-02,21,137,9.687739214448438
2016-08-03,28,106,-0.21676091666093789
2016-08-04,36,98,4.28068652265
2016-08-05,20,97,3.0855117675749995
2016-08-06,13,52,1.0973922319125005
2016-08-07,8,27,0.27410913496406275
2016-08-08,23,91,1.4338569287500005
2016-08-09,35,102,3.401098961984376
2016-08-10,20,116,3.194722258557813
2016-08-11,25,128,2.1084306303750004
2016-08-12,22,134,-0.7783809776140624
2016-08-13,6,35,-0.47950041974218693
2016-08-14,5,26,-0.3227667574249993
2016-08-15,20,100,4.7723440394125
2016-08-16,17,105,64.32709143643281
2016-08-17,26,132,22.13606822036562
2016-08-18,23,140,14.927350249043746
2016-08-19,24,148,12.576887150809371
2016-08-20,4,39,-2.0203428076078103
2016-08-21,2,17,14.578888687500005
2016-08-22,20,81,22.739702456250004
2016-08-23,23,97,38.54349306617188
2016-08-24,11,90,6.257856937554687
2016-08-25,8,88,13.136934411460938
2016-08-26,20,93,17.684337133129688
2016-08-27,6,39,-1.5171051012859351
2016-08-28,7,25,2.290142845306254
2016-08-29,19,77,16.87019345936094
2016-08-30,19,145,25.752629642931254
2016-08-31,19,135,15.42249997384219
2016-09-01,21,100,5.77454558995
2016-09-02,13,122,7.982864553450002
2016-09-03,3,43,-1.738706257542185
2016-09-04,9,37,8.467835712110942
2016-09-05,14,41,4.194521161762503
2016-09-06,11,83,16.471793224471877
2016-09-07,8,119,9.403997800062502
2016-09-08,4,119,26.65310404184375
2016-09-09,17,114,13.110502523573437
2016-09-10,14,28,7.599918585917187
2016-09-11,7,35,13.2260816472875
2016-09-12,14,93,18.967823990506254
2016-09-13,19,145,13.196320539745313
2016-09-14,18,135,19.362780158701565
2016-09-15,17,117,18.736143120114065
2016-09-16,22,113,26.503912594064065
2016-09-17,3,44,2.512315972140626
2016-09-18,4,27,-1.5673197255843725
2016-09-19,22,77,9.74477920955313
2016-09-20,28,84,14.382071475029692
2016-09-21,32,81,11.880261247392191
2016-09-22,36,84,4.9442097819781265
2016-09-23,68,103,3.645368884262502
2016-09-24,7,27,1.2104694688875024
2016-09-25,8,23,7.848533150459378
2016-09-26,28,86,17.69124061187969
2016-09-27,34,94,17.586448390689064
2016-09-28,30,91,3.9421607802515624
2016-09-29,25,144,13.917658292353126
2016-09-30,29,161,10.416282118534376
2016-10-01,4,67,3.5321897260671893
2016-10-02,3,25,1.2105058176859393
2016-10-03,17,82,13.778248772200003
2016-10-04,16,112,23.843621743078128
2016-10-05,44,137,25.414312593453126
2016-10-06,19,98,16.507749331370313
2016-10-07,27,100,5.808135023446875
2016-10-08,11,56,-2.1677962990796855
2016-10-09,9,22,4.183443638387503
2016-10-10,36,120,2.328483802685942
2016-10-11,47,125,15.665065407856254
2016-10-12,57,127,38.541789495503124
2016-10-13,60,92,16.767967136060935
2016-10-14,39,114,-2.529952896171876
2016-10-15,10,21,4.6111435710375
2016-10-16,7,36,2.9965835598234407
2016-10-17,35,84,40.426198397568754
2016-10-18,25,109,26.91020265967031
2016-10-19,24,112,28.39746432303906
2016-10-20,27,116,8.688901456446873
2016-10-21,38,103,9.187911805381251
2016-10-22,6,28,4.018017057626565
2016-10-23,8,23,-2.0203120267328067
2016-10-24,32,88,38.03683770036876
2016-10-25,35,100,45.697101511362504
2016-10-26,41,111,26.19450969268906
2016-10-27,23,107,29.818141833267184
