,davisking/dlib,scikit-image/scikit-image,opencv/opencv
2010-05-11,0,0,1
2010-05-12,5,0,4
2010-05-13,11,7,5
2010-05-14,8,5,5
2010-05-15,8,0,0
2010-05-16,16,0,0
2010-05-17,1,0,2
2010-05-18,0,0,7
2010-05-19,0,0,2
2010-05-20,1,0,3
2010-05-21,0,0,3
2010-05-22,0,0,1
2010-05-23,1,0,0
2010-05-24,0,0,0
2010-05-25,0,1,6
2010-05-26,0,2,9
2010-05-27,0,1,3
2010-05-28,8,0,0
2010-05-29,3,0,0
2010-05-30,8,0,2
2010-05-31,0,0,4
2010-06-01,0,0,10
2010-06-02,2,0,4
2010-06-03,5,0,0
2010-06-04,2,0,3
2010-06-05,2,0,0
2010-06-06,1,0,2
2010-06-07,4,0,3
2010-06-08,4,0,5
2010-06-09,0,3,13
2010-06-10,1,0,18
2010-06-11,3,0,13
2010-06-12,1,0,12
2010-06-13,9,0,3
2010-06-14,5,0,5
2010-06-15,0,0,1
2010-06-16,0,0,4
2010-06-17,0,0,3
2010-06-18,0,0,1
2010-06-19,0,0,5
2010-06-20,0,0,3
2010-06-21,1,0,1
2010-06-22,0,0,1
2010-06-23,0,0,5
2010-06-24,0,0,10
2010-06-25,0,1,2
2010-06-26,0,0,2
2010-06-27,4,0,0
2010-06-28,0,0,4
2010-06-29,0,0,7
2010-06-30,0,0,2
2010-07-01,2,0,2
2010-07-02,6,3,2
2010-07-03,0,5,2
2010-07-04,0,0,1
2010-07-05,2,0,2
2010-07-06,4,0,1
2010-07-07,14,0,4
2010-07-08,6,0,4
2010-07-09,0,0,7
2010-07-10,0,0,2
2010-07-11,0,0,1
2010-07-12,0,0,8
2010-07-13,0,0,7
2010-07-14,1,0,3
2010-07-15,0,0,6
2010-07-16,0,0,19
2010-07-17,9,0,6
2010-07-18,4,0,0
2010-07-19,0,0,6
2010-07-20,0,0,6
2010-07-21,0,0,4
2010-07-22,0,0,11
2010-07-23,6,0,8
2010-07-24,19,0,0
2010-07-25,5,0,0
2010-07-26,1,0,11
2010-07-27,0,0,17
2010-07-28,5,0,13
2010-07-29,2,0,13
2010-07-30,0,0,6
2010-07-31,0,0,4
2010-08-01,0,0,1
2010-08-02,0,0,8
2010-08-03,0,0,2
2010-08-04,0,0,1
2010-08-05,0,0,4
2010-08-06,0,0,4
2010-08-07,0,0,0
2010-08-08,0,0,0
2010-08-09,0,0,3
2010-08-10,0,0,5
2010-08-11,0,0,1
2010-08-12,0,0,8
2010-08-13,0,0,8
2010-08-14,5,0,1
2010-08-15,2,0,1
2010-08-16,0,0,10
2010-08-17,0,0,4
2010-08-18,0,0,10
2010-08-19,0,0,4
2010-08-20,0,0,2
2010-08-21,0,0,1
2010-08-22,0,0,0
2010-08-23,0,4,1
2010-08-24,0,0,5
2010-08-25,0,0,5
2010-08-26,1,0,2
2010-08-27,1,0,0
2010-08-28,1,0,0
2010-08-29,1,0,0
2010-08-30,0,0,7
2010-08-31,0,0,5
2010-09-01,0,0,0
2010-09-02,0,0,1
2010-09-03,0,0,1
2010-09-04,0,0,0
2010-09-05,0,0,0
2010-09-06,0,0,2
2010-09-07,0,0,1
2010-09-08,0,0,2
2010-09-09,0,0,1
2010-09-10,1,0,4
2010-09-11,8,0,0
2010-09-12,9,0,1
2010-09-13,6,0,2
2010-09-14,4,0,7
2010-09-15,2,0,6
2010-09-16,2,0,2
2010-09-17,0,0,6
2010-09-18,0,0,0
2010-09-19,1,0,2
2010-09-20,0,0,7
2010-09-21,0,0,5
