,gcc-mirror/gcc,llvm/llvm-project,golang/go
2020-03-03,16.0,143,19
2020-03-04,31.4,119,12
2020-03-05,14.979999999999997,110,12
2020-03-06,21.159,83,9
2020-03-07,-3.6261000000000028,37,2
2020-03-08,1.293769500000002,16,1
2020-03-09,12.707467550000004,110,9
2020-03-10,12.856873697500003,118,20
2020-03-11,17.418155528,93,22
2020-03-12,11.663766738659376,150,15
2020-03-13,15.875131000267189,121,20
2020-03-14,3.6466209801765626,31,2
2020-03-15,1.6908749010859396,33,11
2020-03-16,16.477278501651565,102,8
2020-03-17,26.344860492121878,119,9
2020-03-18,33.79222938246094,110,14
2020-03-19,5.200197896096873,123,10
2020-03-20,22.060189813495313,113,16
2020-03-21,5.242099216612501,47,5
2020-03-22,-0.4964102735937459,40,6
2020-03-23,18.738323760884377,117,23
2020-03-24,11.48528991502344,106,20
2020-03-25,22.59633435759844,92,22
2020-03-26,9.5794372738125,111,11
2020-03-27,26.423271058660937,107,19
2020-03-28,6.236522109396875,60,6
2020-03-29,2.4957849783578148,48,4
2020-03-30,8.54609610254219,117,17
2020-03-31,17.483739476012502,146,20
2020-04-01,13.578102999709378,131,17
2020-04-02,17.607807576753125,133,14
2020-04-03,16.158590302545313,138,13
2020-04-04,7.121827565976563,57,2
2020-04-05,1.906839041448439,52,4
2020-04-06,8.939532460959377,166,12
2020-04-07,27.75602342981094,129,9
2020-04-08,29.811626638740627,127,30
2020-04-09,19.57655488246406,127,20
2020-04-10,6.844255496759374,104,18
2020-04-11,0.10075574088125183,74,7
2020-04-12,-0.5645087369421833,37,7
2020-04-13,13.303845898975005,104,28
2020-04-14,17.46506410734688,127,23
2020-04-15,10.653774122334376,152,11
2020-04-16,14.901631100839063,133,17
2020-04-17,17.694785659085937,118,13
2020-04-18,2.3880067461125005,54,5
2020-04-19,13.71921081320469,59,6
2020-04-20,24.19906064577344,112,33
2020-04-21,18.866019375392188,136,31
2020-04-22,38.60449410484688,134,26
2020-04-23,23.437675147760935,129,26
2020-04-24,10.739489109664062,143,43
2020-04-25,5.932339829223439,49,11
2020-04-26,3.0016658668500042,47,2
2020-04-27,24.949360415982817,126,48
2020-04-28,14.270385232451567,123,30
2020-04-29,30.567996094118755,135,35
2020-04-30,19.1113999577,125,35
2020-05-01,8.458055602434376,86,30
2020-05-02,0.7523497321046895,54,3
2020-05-03,0.18136796566562907,40,1
2020-05-04,22.022781824193757,89,15
2020-05-05,62.37964872725938,122,15
2020-05-06,22.518755376145307,107,13
2020-05-07,26.894846890718746,137,26
2020-05-08,12.772958151549998,91,28
2020-05-09,34.144588661331255,41,3
2020-05-10,-3.34034001363281,55,2
2020-05-11,37.56971288897188,114,7
2020-05-12,32.87123596571563,106,6
2020-05-13,23.970168747054693,110,9
2020-05-14,22.33180998234219,104,14
2020-05-15,20.90116437955313,126,1
2020-05-16,-4.791228770835934,33,0
2020-05-17,5.978738994354693,39,0
2020-05-18,21.357243779698443,71,10
2020-05-19,26.378048568898443,141,10
2020-05-20,25.259560893564064,122,7
2020-05-21,12.957652020260937,97,12
2020-05-22,15.998507684079689,82,1
2020-05-23,6.191855767682815,42,1
2020-05-24,-2.6734506463390586,36,3
2020-05-25,21.863945496720316,57,1
2020-05-26,23.173743803698443,108,16
2020-05-27,22.272686787565625,136,5
2020-05-28,24.90638650235,153,6
2020-05-29,23.4310689910375,152,9
2020-05-30,1.2876029329375003,46,1
2020-05-31,10.285848783021878,38,5
2020-06-01,13.427391887287504,75,7
2020-06-02,57.242340374537505,124,8
2020-06-03,42.71716753966406,143,18
2020-06-04,58.81628290580625,141,15
2020-06-05,39.40943118800937,161,13
2020-06-06,-8.191770076582813,39,0
2020-06-07,4.487977751046881,49,2
2020-06-08,40.647769676978136,125,13
2020-06-09,52.7890480101797,149,9
2020-06-10,37.19281317988438,112,7
2020-06-11,45.18991217470938,119,7
2020-06-12,32.43698731505313,93,4
2020-06-13,-7.779454286792182,34,1
2020-06-14,-0.2879535264312434,31,2
2020-06-15,38.38415308491876,145,7
2020-06-16,56.43928802783438,144,5
2020-06-17,47.230788945092186,128,12
2020-06-18,40.49768805625625,151,8
2020-06-19,30.661730752598437,117,6
2020-06-20,-2.4645170527515603,62,1
2020-06-21,-3.6851822899296796,29,0
2020-06-22,10.479272201246886,102,1
2020-06-23,18.243378015810947,132,5
2020-06-24,20.543412651153133,136,9
2020-06-25,18.27191092849219,154,9
2020-06-26,5.607793059301564,142,8
2020-06-27,3.1426640396734395,48,1
2020-06-28,7.300578038814066,27,1
2020-06-29,20.639034885114064,116,7
2020-06-30,15.417819784106252,140,7
2020-07-01,25.255197735800003,142,4
2020-07-02,18.164575031465624,109,1
2020-07-03,7.302418451139063,92,1
2020-07-04,-2.593374777085936,42,0
2020-07-05,0.973538306693754,21,3
2020-07-06,41.45816627654063,103,6
2020-07-07,40.76882430972969,127,11
2020-07-08,35.913519341325,138,9
2020-07-09,16.223735186312496,131,4
2020-07-10,47.554735835296874,120,4
2020-07-11,-1.9600704725656257,52,0
2020-07-12,-4.405962293998433,25,0
2020-07-13,27.48499232036563,124,2
2020-07-14,19.387510293418757,131,3
2020-07-15,34.21484557918438,120,1
2020-07-16,36.83073606437344,142,7
2020-07-17,9.896359769278126,114,3
2020-07-18,0.0022368757421880048,52,0
2020-07-19,0.9144468138984418,28,0
2020-07-20,19.169362698681255,123,3
2020-07-21,13.96159641342813,118,5
2020-07-22,15.878472721693754,163,1
2020-07-23,13.792742181675,125,6
2020-07-24,14.96372064407344,100,3
2020-07-25,0.06685298983593935,45,2
2020-07-26,3.7225243957078153,45,0
2020-07-27,40.15252565290469,108,2
2020-07-28,10.765384944175,136,2
2020-07-29,18.881835085626562,166,0
2020-07-30,22.54974549973906,129,11
2020-07-31,26.98833741194844,104,7
2020-08-01,2.2131702227546874,34,2
2020-08-02,1.1876742229531274,36,1
2020-08-03,29.279392394960944,112,8
2020-08-04,32.065657936326566,138,1
2020-08-05,13.667587709689064,170,1
2020-08-06,11.863084337014064,148,2
2020-08-07,4.439401685950003,136,2
2020-08-08,0.5447347082281295,48,0
2020-08-09,1.6264654591734424,38,0
2020-08-10,18.28037524783282,103,10
2020-08-11,11.971663335268753,165,6
2020-08-12,16.937378125470314,99,13
2020-08-13,11.54620612280625,143,7
2020-08-14,10.959151187464062,98,11
2020-08-15,-2.8556927695531242,34,11
2020-08-16,0.6135186658125029,29,6
2020-08-17,10.025052600992192,131,41
2020-08-18,22.371864261492192,112,27
2020-08-19,18.839057517245312,116,13
2020-08-20,11.444650208596874,90,7
2020-08-21,7.847163382245312,107,7
2020-08-22,1.3860504304406263,44,3
2020-08-23,2.2990674101953155,18,3
2020-08-24,12.73243629091719,100,22
2020-08-25,21.90659699245469,109,17
2020-08-26,37.58004523042813,133,14
2020-08-27,13.298117947242186,157,19
2020-08-28,10.461777715923436,94,13
2020-08-29,-1.8257936905124996,55,2
2020-08-30,4.73772978574063,34,1
2020-08-31,13.933554915992191,53,3
2020-09-01,11.18589911083594,94,13
2020-09-02,11.092778394070315,85,6
2020-09-03,11.082543164945314,101,10
2020-09-04,8.156200255678126,76,0
2020-09-05,-2.346069497718749,35,4
2020-09-06,1.9052208878781274,22,3
2020-09-07,20.17354516451719,102,4
