,diaspora/diaspora,friendica/friendica,mastodon/mastodon
2017-01-12,0,6,0.6900177001953125
2017-01-13,6,5,-1.6574859619140625
2017-01-14,12,2,5.417266845703125
2017-01-15,17,7,7.0897674560546875
2017-01-16,2,10,0.5172119140625
2017-01-17,0,4,-2.191253662109375
2017-01-18,5,3,-4.991424560546875
2017-01-19,0,6,2.9972381591796875
2017-01-20,0,7,2.3348388671875
2017-01-21,0,5,10.613616943359375
2017-01-22,2,4,-1.058349609375
2017-01-23,5,0,8.224212646484375
2017-01-24,0,3,2.036651611328125
2017-01-25,0,4,2.794281005859375
2017-01-26,0,3,23.76715087890625
2017-01-27,0,17,-11.838973999023438
2017-01-28,2,19,-6.1072998046875
2017-01-29,4,4,3.6277313232421875
2017-01-30,0,10,-1.187896728515625
2017-01-31,4,6,-2.7524871826171875
2017-02-01,0,12,-0.880401611328125
2017-02-02,0,5,7.7641448974609375
2017-02-03,0,7,-5.8852996826171875
2017-02-04,0,4,-1.646484375
2017-02-05,7,2,15.475509643554688
2017-02-06,0,1,-2.1370391845703125
2017-02-07,0,0,-2.9430084228515625
2017-02-08,4,10,-3.511627197265625
2017-02-09,0,1,0.5972747802734375
2017-02-10,0,5,12.231796264648438
2017-02-11,3,3,3.3144989013671875
2017-02-12,12,0,-2.5275726318359375
2017-02-13,9,0,9.135025024414062
2017-02-14,4,1,-3.8685760498046875
2017-02-15,1,5,-6.1607208251953125
2017-02-16,3,6,0.5227813720703125
2017-02-17,1,3,9.022491455078125
2017-02-18,7,5,-7.37957763671875
2017-02-19,4,10,8.608856201171875
