,python/cpython,rust-lang/rust,JuliaLang/julia
2014-06-16,32,30,20
2014-06-17,25,46,23
2014-06-18,6,33,23
2014-06-19,11,41,15
2014-06-20,19,22,28
2014-06-21,5,17,20
2014-06-22,24,13,15
2014-06-23,8,18,10
2014-06-24,20,36,22
2014-06-25,37,60,24
2014-06-26,11,31,14
2014-06-27,20,17,10
2014-06-28,5,29,28
2014-06-29,5,20,8
2014-06-30,14,35,27
2014-07-01,20,24,18
2014-07-02,14,36,26
2014-07-03,6,41,18
2014-07-04,4,56,18
2014-07-05,11,32,10
2014-07-06,6,22,4
2014-07-07,41,19,9
2014-07-08,10,40,9
2014-07-09,3,44,19
2014-07-10,10,31,20
2014-07-11,18,31,9
2014-07-12,8,15,7
2014-07-13,6,27,19
2014-07-14,10,27,27
2014-07-15,4,32,20
2014-07-16,20,28,12
2014-07-17,12,27,18
2014-07-18,4,36,23
2014-07-19,4,20,6
2014-07-20,3,17,10
2014-07-21,14,58,20
2014-07-22,15,31,17
2014-07-23,26,29,18
2014-07-24,30,48,24
2014-07-25,30,43,7
2014-07-26,12,23,15
2014-07-27,10,23,17
2014-07-28,10,23,20
2014-07-29,18,48,25
2014-07-30,8,21,21
2014-07-31,4,41,6
2014-08-01,7,29,19
2014-08-02,5,27,7
2014-08-03,7,18,9
2014-08-04,21,23,13
2014-08-05,16,23,44
2014-08-06,6,41,21
2014-08-07,9,24,34
2014-08-08,4,28,56
2014-08-09,13,28,30
2014-08-10,10,13,16
2014-08-11,3,15,37
2014-08-12,10,41,48
2014-08-13,2,50,19
2014-08-14,5,25,19
2014-08-15,13,21,15
2014-08-16,9,14,7
2014-08-17,19,24,10
2014-08-18,4,30,33
2014-08-19,9,34,24
2014-08-20,3,22,20
2014-08-21,2,36,8
2014-08-22,20,18,19
2014-08-23,10,25,5
2014-08-24,13,23,8
2014-08-25,8,16,21
2014-08-26,4,15,21
2014-08-27,8,23,24
2014-08-28,2,21,14
2014-08-29,9,30,21
2014-08-30,2,23,9
2014-08-31,16,35,1
2014-09-01,9,11,8
2014-09-02,5,21,3
2014-09-03,19,18,10
2014-09-04,8,24,11
2014-09-05,9,31,9
2014-09-06,15,19,20
2014-09-07,0,25,17
2014-09-08,2,24,9
2014-09-09,3,45,9
2014-09-10,8,25,11
2014-09-11,11,19,6
2014-09-12,2,26,18
2014-09-13,2,15,6
2014-09-14,9,35,20
2014-09-15,9,36,16
2014-09-16,7,22,18
2014-09-17,14,61,15
2014-09-18,12,30,26
2014-09-19,6,21,14
2014-09-20,20,18,23
2014-09-21,14,12,10
2014-09-22,10,43,10
2014-09-23,18,19,12
2014-09-24,14,34,24
2014-09-25,13,31,22
2014-09-26,10,21,31
2014-09-27,17,16,5
2014-09-28,7,9,20
2014-09-29,15,47,20
2014-09-30,45,37,29
2014-10-01,24,40,12
2014-10-02,23,67,11
2014-10-03,14,43,30
2014-10-04,29,22,7
2014-10-05,13,27,17
2014-10-06,24,25,11
2014-10-07,4,29,19
2014-10-08,10,23,26
2014-10-09,18,48,17
2014-10-10,36,12,11
2014-10-11,18,25,24
2014-10-12,45,23,6
2014-10-13,24,41,8
2014-10-14,10,22,21
2014-10-15,24,28,19
2014-10-16,4,27,10
2014-10-17,21,21,18
2014-10-18,9,17,10
2014-10-19,7,16,11
2014-10-20,7,15,23
2014-10-21,2,23,21
2014-10-22,3,20,12
2014-10-23,7,21,32
2014-10-24,0,19,17
2014-10-25,6,26,11
2014-10-26,3,21,9
2014-10-27,0,53,9
2014-10-28,30,41,14
2014-10-29,34,24,13
2014-10-30,33,45,26
2014-10-31,22,37,9
2014-11-01,12,18,3
2014-11-02,22,30,8
2014-11-03,7,76,10
2014-11-04,6,24,14
2014-11-05,20,34,14
2014-11-06,9,69,20
2014-11-07,13,40,12
2014-11-08,2,18,13
2014-11-09,2,31,8
2014-11-10,19,18,55
2014-11-11,6,18,38
2014-11-12,4,32,15
2014-11-13,0,20,2
2014-11-14,3,20,19
2014-11-15,7,14,14
