,gohugoio/hugo,gatsbyjs/gatsby,vercel/next.js
2016-10-05,6,14.0,4
2016-10-06,3,-0.5999999999999988,12
2016-10-07,9,1.3200000000000003,2
2016-10-08,3,1.504000000000001,5
2016-10-09,5,-3.5024,7
2016-10-10,11,-0.5473280000000005,4
2016-10-11,2,2.6007551999999996,0
2016-10-12,3,-1.44976384,1
2016-10-13,4,-1.5126087679999998,2
2016-10-14,4,6.1207784448,2
2016-10-15,5,-3.2919741439999997,8
2016-10-16,5,-1.164140544,8
2016-10-17,6,2.347833856,17
2016-10-18,1,3.397198848,2
2016-10-19,5,-1.6614555647999998,3
2016-10-20,0,-1.4190907391999998,2
2016-10-21,1,-0.7061920768000002,1
2016-10-22,1,-0.46794598400000026,1
2016-10-23,0,-0.3498366976000001,2
2016-10-24,9,-0.19987968000000003,7
2016-10-25,2,12.839716864,51
2016-10-26,1,-4.332543590399999,12
2016-10-27,1,9.960853504,1
2016-10-28,3,-5.764798156799999,9
2016-10-29,2,-2.0448000000000004,5
2016-10-30,0,-0.19897600000000026,2
2016-10-31,1,1.7723263999999994,4
2016-11-01,2,12.05879552,2
2016-11-02,1,4.4850467840000015,2
2016-11-03,2,-4.715578470399999,3
2016-11-04,4,3.6345812992,5
2016-11-05,3,-4.5927970816000006,7
2016-11-06,4,-1.9321881600000008,6
2016-11-07,1,1.7475758079999997,1
2016-11-08,0,-2.1191523328,0
2016-11-09,0,1.9317590016000001,1
2016-11-10,0,-0.9353705471999996,0
2016-11-11,0,-0.18448506879999993,0
2016-11-12,0,1.0664577024000002,0
2016-11-13,1,1.7327233024000002,1
2016-11-14,0,2.30943232,4
2016-11-15,1,-1.2739087359999997,0
2016-11-16,2,-0.30162135040000004,3
2016-11-17,0,5.9524951040000005,3
2016-11-18,2,1.6418968576000004,2
2016-11-19,1,-3.1989925887999995,0
2016-11-20,2,-1.3096260607999999,0
2016-11-21,1,3.1913391103999995,2
2016-11-22,52,-2.1580150784,5
2016-11-23,27,-0.8752212992000001,3
2016-11-24,1,-0.5273637888,1
2016-11-25,0,0.6228590591999998,0
2016-11-26,0,-0.6851736575999999,0
2016-11-27,4,-0.275843584,0
2016-11-28,1,6.86251776,3
2016-11-29,3,-2.902222847999999,0
2016-11-30,3,1.0788553728,0
2016-12-01,1,7.7290368,9
2016-12-02,1,-4.149570559999999,16
2016-12-03,3,-1.4328197120000001,4
2016-12-04,3,-0.8327405568000001,0
2016-12-05,0,-0.5628979200000004,3
2016-12-06,2,6.578415616,6
2016-12-07,0,-2.1329970175999993,0
2016-12-08,0,-0.43564646399999973,1
2016-12-09,1,8.8700022784,6
2016-12-10,2,-0.5903834111999995,0
2016-12-11,1,-3.115264,2
2016-12-12,1,0.6477055999999999,1
2016-12-13,0,-1.6535091200000003,1
2016-12-14,1,0.14665625599999965,0
2016-12-15,11,-1.0005533696,5
2016-12-16,3,0.4932877311999999,7
2016-12-17,0,-0.7617415167999999,12
2016-12-18,0,-0.396130816,2
2016-12-19,5,7.8181142528,16
2016-12-20,1,-3.2948746239999993,30
2016-12-21,2,-1.0339188736,10
2016-12-22,5,-0.550118912,20
2016-12-23,7,-0.36396871680000037,7
2016-12-24,0,-0.25477171200000015,9
2016-12-25,4,-0.19650375680000004,2
2016-12-26,4,-0.14696447999999995,9
2016-12-27,3,9.878754304,8
2016-12-28,10,-1.1023852543999988,9
2016-12-29,3,-1.3999999999999995,6
2016-12-30,0,-0.3999999999999999,6
2016-12-31,4,-1.1280000000000006,11
2017-01-01,5,-0.6083200000000003,9
2017-01-02,11,7.574911999999999,6
2017-01-03,5,5.4758528,5
2017-01-04,4,-4.819583999999999,0
2017-01-05,6,1.193217536,12
2017-01-06,6,-0.18072074240000013,6
2017-01-07,2,-1.8019698688000003,4
2017-01-08,1,-0.8980717568000002,5
2017-01-09,0,5.39356672,4
2017-01-10,1,-2.8596367359999997,5
2017-01-11,3,5.9124197376000005,2
2017-01-12,0,6.5997785088,10
2017-01-13,0,1.8281917440000006,3
2017-01-14,1,-4.6964178944,1
2017-01-15,2,-1.9345755136000005,5
2017-01-16,0,-1.1838873600000006,15
2017-01-17,0,0.15760332799999954,4
2017-01-18,4,1.9553211392,2
2017-01-19,0,4.229462016,3
2017-01-20,1,0.8062618624000004,12
2017-01-21,0,-2.7876715519999995,4
2017-01-22,1,-0.10833909760000004,5
2017-01-23,2,-1.0184192000000003,2
2017-01-24,1,14.44662784,2
2017-01-25,0,-1.3918545919999987,2
2017-01-26,1,-4.101941452799999,7
2017-01-27,1,0.20723701760000024,3
2017-01-28,0,1.0956250111999994,3
2017-01-29,1,-2.1668431872000005,3
2017-01-30,0,-0.9973637120000002,1
2017-01-31,0,-0.6783725568000001,3
2017-02-01,0,0.49610752,2
2017-02-02,0,1.1964666880000001,11
2017-02-03,2,1.9103784960000003,5
2017-02-04,6,6.410576896,1
2017-02-05,2,-3.800663449599999,4
2017-02-06,2,14.6964535296,2
2017-02-07,1,7.8803328000000015,1
2017-02-08,0,-2.406952959999998,6
2017-02-09,2,7.415597568000001,14
2017-02-10,4,-6.8275268608,2
2017-02-11,1,-3.665259929600001,2
2017-02-12,1,-2.177931366400001,8
2017-02-13,1,-1.5252742144000007,3
2017-02-14,0,0.913195008,8
2017-02-15,1,-1.6708031487999997,16
2017-02-16,1,-0.7846871039999997,14
2017-02-17,14,1.5798162432000002,8
2017-02-18,8,-1.0647317503999998,5
2017-02-19,8,-0.3127021568,2
2017-02-20,4,-0.1739264,2
2017-02-21,17,-0.11994112000000008,4
2017-02-22,4,8.909784576,1
2017-02-23,3,-3.671522713599999,2
2017-02-24,3,-1.1167411200000001,1
2017-02-25,4,-0.606311424,3
2017-02-26,2,-0.3999963136000004,7
2017-02-27,6,5.7304319999999995,8
2017-02-28,5,-2.6066687999999996,8
2017-03-01,9,0.11466496000000004,3
2017-03-02,3,1.0795985920000002,4
2017-03-03,1,-0.28478341120000006,1
2017-03-04,3,1.116288,1
2017-03-05,3,-1.2273792,3
2017-03-06,0,-0.5273753600000001,6
2017-03-07,1,0.656598528,4
2017-03-08,3,-0.6542379008,2
2017-03-09,2,2.745235968,0
2017-03-10,4,0.6285934592000002,2
2017-03-11,4,0.7209068544000001,0
2017-03-12,1,-0.3050615807999999,3
2017-03-13,4,-0.9413595136,5
2017-03-14,5,3.5605734399999998,5
2017-03-15,3,2.1088506880000004,10
2017-03-16,0,0.7046597632000005,1
2017-03-17,1,-0.09408665599999999,0
2017-03-18,3,0.2891897856000001,2
2017-03-19,5,-1.5924862976,1
2017-03-20,2,3.2547871743999996,0
2017-03-21,2,14.9208108032,1
2017-03-22,2,-7.626098687999999,1
2017-03-23,0,0.43124244480000007,1
2017-03-24,3,0.3662727168000002,3
2017-03-25,4,-1.4924550144000008,2
2017-03-26,1,-1.6089445376000002,4
2017-03-27,51,6.073747046399999,4
2017-03-28,0,0.5484216320000006,5
2017-03-29,2,1.0508146688000002,5
2017-03-30,0,-1.8995219455999997,5
2017-03-31,5,-1.5507420160000003,2
2017-04-01,2,-0.8542961664000003,3
2017-04-02,12,-0.5645005824000002,1
2017-04-03,1,4.6053471232,5
2017-04-04,11,-1.3013770239999998,3
2017-04-05,2,-1.2466553855999998,6
2017-04-06,7,0.4298139648000001,12
2017-04-07,8,0.2616516607999999,7
2017-04-08,6,-0.7241581568000001,0
2017-04-09,1,-0.32876800000000006,0
2017-04-10,5,6.779584,2
2017-04-11,0,4.034298880000001,7
2017-04-12,6,-0.7720616959999993,2
2017-04-13,4,-1.5421319167999998,3
2017-04-14,2,3.467273728,1
2017-04-15,0,-1.8408178687999999,0
2017-04-16,3,-1.5720045568,0
2017-04-17,0,6.13920768,3
2017-04-18,2,-1.4055255039999999,7
2017-04-19,3,6.8948880384,2
2017-04-20,0,-2.5861927935999995,0
2017-04-21,0,0.5324338175999999,0
2017-04-22,6,1.5841887232,12
2017-04-23,1,-1.7621928960000002,2
2017-04-24,9,8.3879135232,1
2017-04-25,4,-2.9102039039999994,1
2017-04-26,5,0.3485840384000003,2
2017-04-27,6,13.4909635584,9
2017-04-28,1,-1.6264113151999986,1
2017-04-29,1,6.9377711104,0
2017-04-30,4,-1.075723878399999,5
2017-05-01,20,2.7245636607999995,1
2017-05-02,7,10.313182003200001,2
2017-05-03,3,0.9962721280000011,5
2017-05-04,1,0.4562043904000008,6
2017-05-05,0,-2.6031796224,0
2017-05-06,3,4.240853299199999,5
2017-05-07,1,-6.0398184448,4
2017-05-08,1,1.2727921663999995,4
2017-05-09,4,0.6963884032000003,11
2017-05-10,2,-1.2864958463999998,5
2017-05-11,1,7.5992870912,8
2017-05-12,0,-0.19177830399999962,1
2017-05-13,7,-3.9425511423999997,2
2017-05-14,1,-1.7224548352000002,3
2017-05-15,1,4.923577548799999,19
2017-05-16,0,13.912448512000001,11
2017-05-17,3,2.9520514048000006,3
2017-05-18,10,-5.2040256511999985,4
2017-05-19,4,3.2733937664,2
2017-05-20,4,0.16532787199999976,2
2017-05-21,0,-4.136553984000001,3
2017-05-22,10,6.03873024,3
2017-05-23,7,5.473067008,1
2017-05-24,1,-5.960102604799999,0
2017-05-25,2,0.5564749824000002,5
2017-05-26,8,5.4126989312,0
2017-05-27,1,-2.4391550975999996,8
2017-05-28,1,-1.6005912575999997,0
2017-05-29,0,0.2826127359999999,1
2017-05-30,6,6.2243927039999996,2
2017-05-31,5,1.8503520256000003,6
2017-06-01,2,0.04369715200000046,5
2017-06-02,4,14.816489984,5
2017-06-03,6,3.323951513600001,1
2017-06-04,0,-7.9022096384,0
2017-06-05,1,2.8006892543999995,8
2017-06-06,3,1.6355387391999994,10
2017-06-07,2,3.4927458303999996,5
2017-06-08,7,-1.3435633663999997,5
2017-06-09,1,-3.9372402687999997,6
2017-06-10,0,2.0342458368,0
2017-06-11,1,-1.9185265663999997,1
2017-06-12,10,-0.6875964416000002,3
2017-06-13,28,11.719328768,3
2017-06-14,5,-0.9569404927999994,1
2017-06-15,0,10.9430751232,2
2017-06-16,9,8.241587097600002,8
2017-06-17,1,-7.238390067199999,0
2017-06-18,1,-2.3793326080000003,0
2017-06-19,4,1.7789995007999995,2
2017-06-20,4,6.1355328512,3
2017-06-21,9,8.0634447872,3
2017-06-22,2,0.8517718016000018,3
2017-06-23,2,4.180914176,8
2017-06-24,2,-3.458891263999999,0
2017-06-25,1,-4.7645590528,1
2017-06-26,6,1.6448794623999996,5
2017-06-27,6,6.8102667264,2
2017-06-28,7,3.3447234560000005,12
2017-06-29,0,3.0661002240000013,7
2017-06-30,0,5.9040954368000005,4
2017-07-01,2,8.6528135168,9
2017-07-02,1,5.6168246272,7
2017-07-03,4,-5.686274867199998,5
2017-07-04,3,7.356234752,0
2017-07-05,4,-6.239777587200001,2
2017-07-06,7,22.575491583999998,5
2017-07-07,8,-6.3271227391999965,3
2017-07-08,5,6.2359630848,10
2017-07-09,0,2.595943526400001,16
2017-07-10,8,-1.9152140288000012,1
2017-07-11,0,0.22675712000000026,1
2017-07-12,0,2.8949715967999996,2
2017-07-13,0,5.3400370176,3
2017-07-14,2,-5.8635032576,2
2017-07-15,1,-4.3012504576,4
2017-07-16,0,0.7249798143999993,3
2017-07-17,2,-2.7471470592000005,5
2017-07-18,6,3.6024454143999995,4
2017-07-19,1,22.1115254784,0
2017-07-20,0,-3.2171616255999975,6
2017-07-21,8,-6.9436490752,1
2017-07-22,1,-3.0207789056000003,1
2017-07-23,1,-1.7824679936000012,2
2017-07-24,0,-0.2418831360000009,9
2017-07-25,0,12.6560567296,2
2017-07-26,2,5.5612518400000015,4
2017-07-27,2,9.866151936000001,2
2017-07-28,5,-5.618799615999999,6
2017-07-29,1,-5.1227372544000005,1
2017-07-30,0,-2.5094912000000007,2
2017-07-31,7,-1.662479360000001,1
2017-08-01,2,16.776514048,1
2017-08-02,1,10.844392755200001,0
2017-08-03,2,-5.525195059199998,1
2017-08-04,0,-1.9167072255999997,0
2017-08-05,0,5.557008486399999,0
2017-08-06,3,-6.180728627200001,1
2017-08-07,8,1.3535743999999994,3
2017-08-08,1,6.67686912,1
2017-08-09,3,1.2475325440000002,8
2017-08-10,8,8.742449049600001,3
2017-08-11,5,4.131542220800001,0
2017-08-12,0,-7.772127231999999,1
2017-08-13,0,-3.2213225472000007,3
2017-08-14,2,18.008840192,1
2017-08-15,0,0.6764011520000004,1
2017-08-16,2,-2.412252467199999,6
2017-08-17,3,-0.24681779199999987,1
2017-08-18,3,2.405786214399999,2
2017-08-19,1,1.9039172608000001,2
2017-08-20,0,-2.0803618816,0
2017-08-21,0,-2.4428031999999997,1
2017-08-22,2,4.74940416,0
2017-08-23,0,11.772946944000001,1
2017-08-24,0,6.905180672000002,3
2017-08-25,1,1.0714383360000017,0
2017-08-26,0,-7.512716287999999,0
2017-08-27,0,-3.309015961600001,2
2017-08-28,1,22.942600806399998,2
2017-08-29,0,4.585164697600002,0
2017-08-30,0,-0.4567851007999977,6
2017-08-31,0,11.6427311104,3
2017-09-01,0,-1.8798117887999979,3
2017-09-02,0,0.20207052800000014,0
2017-09-03,1,-2.6772935679999996,0
2017-09-04,0,2.321804799999999,1
2017-09-05,4,-1.2934937600000005,2
2017-09-06,0,-5.159334912,0
2017-09-07,1,0.4570611711999999,0
2017-09-08,2,-0.8240302079999999,7
2017-09-09,1,11.704712704,1
2017-09-10,3,0.2782986240000014,1
2017-09-11,6,-0.1855424511999999,0
2017-09-12,0,1.8138547200000001,2
2017-09-13,6,-1.3373574143999996,0
2017-09-14,0,6.884443136,1
2017-09-15,0,4.434642944,0
2017-09-16,0,3.7220038656000005,0
2017-09-17,0,-6.625698201599999,1
2017-09-18,0,15.1392478208,0
2017-09-19,0,-2.8999986175999997,1
2017-09-20,0,15.284811264,0
2017-09-21,2,-5.107113676799999,0
2017-09-22,3,3.3439108095999996,0
2017-09-23,8,-4.3159802879999996,1
2017-09-24,2,-4.5301882880000015,0
2017-09-25,13,11.524977152,0
2017-09-26,11,12.747034624000001,1
2017-09-27,2,-10.949182054399998,9
2017-09-28,4,10.8792297472,4
2017-09-29,6,1.5253092352000017,0
2017-09-30,0,-3.3347857408,2
2017-10-01,0,-0.8539735039999998,0
2017-10-02,0,5.901153689599999,1
2017-10-03,3,-2.1808711679999995,2
2017-10-04,4,-1.3486564351999997,2
