,JetBrains/kotlin,rust-lang/rust,apple/swift
2010-07-17,0.0,2.0,1
2010-07-18,0.0,4.8,18
2010-07-19,0.0,8.16,22
2010-07-20,0.0,8.968,0
2010-07-21,0.0,-3.0432000000000006,1
2010-07-22,0.0,2.6407039999999995,14
2010-07-23,0.0,2.794201599999999,8
2010-07-24,0.0,-9.995758080000002,13
2010-07-25,0.0,-3.0461117439999996,11
2010-07-26,0.0,11.2337780736,0
2010-07-27,0.0,-8.000153907200001,16
2010-07-28,0.0,2.9873770495999996,2
2010-07-29,0.0,26.9711594496,0
2010-07-30,0.0,-20.758167756800002,7
2010-07-31,0.0,-3.7242309632,2
2010-08-01,0.0,-2.9362904064,7
2010-08-02,0.0,-0.5170739199999992,0
2010-08-03,0.0,0.3649827839999995,7
2010-08-04,0.0,13.911813734399999,8
2010-08-05,0.0,-1.4030062592000014,8
2010-08-06,0.0,-2.8642588672000002,0
2010-08-07,0.0,4.648960409599999,3
2010-08-08,0.0,-6.714391552,2
2010-08-09,0.0,15.1970940928,0
2010-08-10,0.0,-5.157906432000001,0
2010-08-11,0.0,4.746973388799999,0
2010-08-12,0.0,-1.6926347264000015,0
2010-08-13,0.0,-3.7209234432000002,0
2010-08-14,0.0,-4.9526939648,0
2010-08-15,0.0,-1.951568896,0
2010-08-16,0.0,1.787718656,0
2010-08-17,0.0,0.39664711679999964,0
2010-08-18,0.0,20.2340414464,0
2010-08-19,0.0,-10.682023014400002,0
2010-08-20,0.0,16.3347506176,0
2010-08-21,0.0,-14.246721945600003,0
2010-08-22,0.0,-4.3896178687999985,0
2010-08-23,0.0,-2.1009459199999996,0
2010-08-24,0.0,11.658241024,0
2010-08-25,0.0,7.242910822399999,0
2010-08-26,0.0,0.13350154239999767,0
2010-08-27,0.0,3.6139761663999987,0
2010-08-28,0.0,-8.447221452800001,0
2010-08-29,0.0,-5.1840098304,0
2010-08-30,0.0,-2.1390876671999997,0
2010-08-31,0.0,3.65131008,0
2010-09-01,0.0,-2.9629660160000006,0
2010-09-02,0.0,-1.9341945856000007,0
2010-09-03,0.0,3.1086609407999997,0
2010-09-04,0.0,-2.9095660544000004,2
2010-09-05,0.0,-0.7778899968000001,0
2010-09-06,0.0,-0.3561302016000001,0
2010-09-07,0.0,3.7842176,0
2010-09-08,0.0,12.443980799999999,0
2010-09-09,0.0,-5.599871488000002,0
2010-09-10,0.0,-1.4842038272,0
2010-09-11,0.0,-3.2957614079999997,0
2010-09-12,0.0,-0.21340026879999963,0
2010-09-13,0.0,-0.3121408000000001,0
2010-09-14,0.0,3.7847782399999996,0
2010-09-15,0.0,0.4531921919999995,0
2010-09-16,0.0,12.6193190912,0
2010-09-17,0.0,-10.624116736000001,0
2010-09-18,0.0,-2.4166325248,2
2010-09-19,0.0,-1.1998268415999997,0
2010-09-20,0.0,0.26396620800000037,0
2010-09-21,0.0,10.8839415808,0
2010-09-22,0.0,0.30001121279999854,0
2010-09-23,0.0,-2.586678784000001,0
2010-09-24,0.0,3.7349460992,0
2010-09-25,0.0,-6.290081075200001,0
2010-09-26,0.0,-1.7437311999999998,0
2010-09-27,0.0,2.02082816,0
2010-09-28,0.0,2.540320768,0
2010-09-29,0.0,-2.8457946112000005,0
2010-09-30,0.0,3.2615090175999994,0
2010-10-01,0.0,-1.7135814656000004,0
2010-10-02,0.0,-1.2092750847999998,0
2010-10-03,0.0,-1.3861221376000001,0
2010-10-04,0.0,0.45459968000000006,0
2010-10-05,0.0,1.0501565439999998,0
2010-10-06,0.0,3.4267945984,0
2010-10-07,0.0,-0.46983628800000066,0
2010-10-08,0.0,3.3515900927999995,0
2010-10-09,0.0,4.59383552,17
2010-10-10,0.0,-4.5457956864,11
2010-10-11,0.0,-0.8859779072,3
2010-10-12,0.0,8.665888768,3
2010-10-13,0.0,-0.5355635712000009,0
2010-10-14,0.0,1.8871545855999994,0
2010-10-15,0.0,-4.6707768320000005,4
2010-10-16,0.0,-2.2046836736,0
2010-10-17,0.0,-1.9779648512,4
2010-10-18,0.0,8.0319066112,1
2010-10-19,0.0,-1.0031350784000006,0
2010-10-20,0.0,-0.5145636864000007,0
2010-10-21,0.0,11.1703328768,0
2010-10-22,0.0,1.752756633599999,0
2010-10-23,0.0,-1.6992546816000011,0
2010-10-24,0.0,-7.506781286400001,1
2010-10-25,0.0,-2.4359990271999994,0
2010-10-26,0.0,3.581368832,0
2010-10-27,0.0,-1.9742261248000004,0
2010-10-28,0.0,5.538400255999999,0
2010-10-29,0.0,-5.798260428800001,0
2010-10-30,0.0,-1.595018752,0
2010-10-31,0.0,-0.8141876224000001,0
2010-11-01,0.0,-0.4662885375999999,0
2010-11-02,0.0,1.7190784,0
2010-11-03,0.0,7.58840576,0
