,plotly/plotly.js,highcharts/highcharts,apache/echarts
2021-05-31,21.0,18,3.0
2021-06-01,2.6999999999999993,18,1.0
2021-06-02,21.095000000000002,7,1.0
2021-06-03,4.0055,19,5.0
2021-06-04,0.6910875000000019,12,2.0
2021-06-05,-6.702587749999998,0,3.0
2021-06-06,-3.5786053624999985,0,0.0
2021-06-07,6.5218679887499995,5,2.0
2021-06-08,1.4131250591718736,7,0.0
2021-06-09,-4.259445571279688,8,2.0
2021-06-10,-2.175474950001563,16,4.0
2021-06-11,7.535479257478124,8,6.0
2021-06-12,-3.5415154861500007,0,3.0
2021-06-13,-1.455099981595312,3,0.0
2021-06-14,7.15419936125,12,6.0
2021-06-15,7.981903406609375,3,17.0
2021-06-16,3.375006730310937,18,5.0
2021-06-17,15.677971758103126,37,10.0
2021-06-18,12.01358453625,18,11.0
2021-06-19,-9.398439950890625,1,2.0
2021-06-20,-4.246720369095311,0,6.0
2021-06-21,1.3612403225000005,7,12.0
2021-06-22,4.880554354625,25,8.0
2021-06-23,4.685008369715624,20,4.0
2021-06-24,36.10080599531406,4,9.0
2021-06-25,1.3130028838249963,13,10.0
2021-06-26,2.330116400031251,0,3.0
2021-06-27,-6.983516214656248,0,0.0
2021-06-28,26.906779255000004,5,5.0
2021-06-29,9.130676930437499,3,4.0
2021-06-30,2.6168852866937513,8,7.0
2021-07-01,-10.581988030503123,3,5.0
2021-07-02,-5.607804198985937,17,7.0
2021-07-03,-3.8310766945453136,3,3.0
2021-07-04,-2.462917077178126,0,0.0
2021-07-05,5.227046709442187,20,4.0
2021-07-06,17.598505277034374,22,7.0
2021-07-07,26.89668390145625,12,3.0
2021-07-08,3.3415141573937497,8,9.0
2021-07-09,6.4906113015078155,18,5.0
2021-07-10,-10.018954249999998,1,2.0
2021-07-11,-4.989278787499998,0,4.0
2021-07-12,15.64392972125,10,8.0
2021-07-13,1.7879232963906233,7,13.0
2021-07-14,6.011981561542187,9,5.0
2021-07-15,-7.639485080935939,25,13.0
2021-07-16,-1.7906848019140629,8,10.0
2021-07-17,22.15936804002656,1,0.0
2021-07-18,-8.202569412457814,1,1.0
2021-07-19,12.976639923750003,6,1.0
2021-07-20,4.433293431453125,4,11.0
2021-07-21,3.8287004221703125,5,8.0
2021-07-22,5.25653807471875,4,4.0
2021-07-23,5.021996767973438,9,9.0
2021-07-24,-5.030660389781249,0,0.0
2021-07-25,-4.211247181856249,2,1.0
2021-07-26,3.3100211986640624,5,0.0
2021-07-27,0.47534262925156145,7,4.0
2021-07-28,20.823693012604686,6,3.0
2021-07-29,2.119057021784373,5,3.0
2021-07-30,9.087037843251563,3,1.0
2021-07-31,-8.11340760748125,7,5.0
2021-08-01,-3.7517205673249987,5,0.0
2021-08-02,-1.3411074189656245,8,1.0
2021-08-03,11.00064715440625,5,1.0
2021-08-04,11.663404596040625,5,4.0
2021-08-05,2.4591013334437495,4,2.0
2021-08-06,-3.4026246820093746,4,2.0
2021-08-07,-3.916777763810938,0,0.0
2021-08-08,-2.219741224225,0,0.0
2021-08-09,-1.4069777362499998,1,0.0
2021-08-10,37.92421406198437,6,0.0
2021-08-11,-4.564223759935938,4,1.0
2021-08-12,4.799096117957814,8,0.0
2021-08-13,1.7929429861359374,112,1.0
2021-08-14,-5.185801782624999,0,0.0
2021-08-15,-3.4801399896984364,0,1.0
2021-08-16,12.7318343625,16,0.0
2021-08-17,-0.20318607625000062,19,0.0
2021-08-18,3.2671347561406243,14,0.0
2021-08-19,-5.046002147704688,15,4.0
2021-08-20,-2.2925217333,3,5.0
2021-08-21,-1.4876274334343753,0,3.0
2021-08-22,-0.9869618733609375,0,8.0
2021-08-23,9.324610305517187,23,1.0
2021-08-24,1.461858706015624,9,7.0
2021-08-25,14.999330310914061,6,2.0
2021-08-26,7.271485786478125,12,2.0
2021-08-27,1.1022076941375003,11,2.0
2021-08-28,-5.439014999999999,0,3.0
2021-08-29,-2.777334874999999,0,0.0
2021-08-30,8.120783450000001,5,0.0
2021-08-31,12.59000743859375,11,0.0
2021-09-01,1.7298572813437492,6,1.0
2021-09-02,3.1146532995546874,13,5.0
2021-09-03,8.323441337090625,11,10.0
2021-09-04,-6.9776465193843755,0,0.0
2021-09-05,-3.2136826808624988,0,2.0
2021-09-06,-2.0472921499999996,11,1.0
2021-09-07,0.4796741660937496,9,5.0
2021-09-08,0.19803495640624913,12,4.0
2021-09-09,-1.6803560145984382,6,7.0
2021-09-10,-0.859543002485938,8,3.0
2021-09-11,-0.5438497538140632,0,0.0
2021-09-12,-0.3299332852593753,0,0.0
2021-09-13,6.893997775,16,5.0
2021-09-14,2.8155237274999996,5,7.0
2021-09-15,4.695332018968751,16,5.0
2021-09-16,-0.10042025999687532,4,3.0
2021-09-17,-2.2408043264656246,33,3.0
2021-09-18,-1.1403542499999995,0,0.0
2021-09-19,-0.7712047874999999,0,0.0
2021-09-20,-0.57763447875,9,0.0
2021-09-21,-0.4580501736093753,38,1.0
2021-09-22,-0.37701098020781293,14,4.0
2021-09-23,3.764074095226562,10,1.0
2021-09-24,-1.342714042926563,9,2.0
2021-09-25,-0.46075023969843726,0,0.0
2021-09-26,-0.23799999999999988,0,0.0
2021-09-27,0.83935,20,0.0
2021-09-28,0.5811189999999999,9,2.0
2021-09-29,1.50187655,28,5.0
2021-09-30,12.159670905,21,0.0
2021-10-01,14.7268306329375,13,0.0
2021-10-02,-7.30821640293125,0,0.0
2021-10-03,-2.9018261124999984,0,1.0
2021-10-04,7.245708863750001,18,2.0
2021-10-05,-0.930846465515625,16,0.0
2021-10-06,-2.779710639998437,21,3.0
2021-10-07,0.4153822069859381,8,0.0
2021-10-08,14.26628515433125,20,2.0
2021-10-09,-2.8762117405734386,3,4.0
2021-10-10,-3.2557733639234367,0,0.0
2021-10-11,0.4122169487500007,4,5.0
2021-10-12,0.3196972278593746,6,7.0
2021-10-13,-1.6224540943921877,7,2.0
2021-10-14,-0.8693193371984372,5,4.0
2021-10-15,-0.6042374010312501,2,10.0
2021-10-16,-0.4778316159656258,0,0.0
2021-10-17,-0.3709669870218755,2,4.0
2021-10-18,26.874773487801562,32,1.0
2021-10-19,3.8303320189687486,16,1.0
2021-10-20,-2.493920259996874,16,4.0
2021-10-21,-2.0936668264656237,17,2.0
2021-10-22,3.1816125000000004,10,0.0
2021-10-23,-3.53239675,2,0.0
2021-10-24,-1.8948762874999994,5,1.0
2021-10-25,-1.3474227412499997,1,10.0
2021-10-26,5.950302412328124,9,3.0
2021-10-27,-1.9579850784734392,3,6.0
2021-10-28,-1.4391075483562499,16,0.0
2021-10-29,7.2786692710375,2,0.0
2021-10-30,-2.8630646270593756,1,0.0
2021-10-31,-1.1697047293968745,0,0.0
2021-11-01,-0.6686862874999997,11,5.0
2021-11-02,-0.47728177875,28,2.0
2021-11-03,5.6321437088906245,8,2.0
2021-11-04,-2.097207509395313,11,6.0
2021-11-05,3.204758396767188,9,0.0
2021-11-06,-1.6840137341250003,2,0.0
2021-11-07,-0.7696423058624999,2,0.0
2021-11-08,-0.41632149999999984,22,1.0
2021-11-09,-0.30033517499999995,18,2.0
2021-11-10,-0.2326246425,6,0.0
