,neovim/neovim,pulsar-edit/pulsar,microsoft/vscode
2023-11-13,24,3,50
2023-11-14,15,3,56
2023-11-15,2,2,77
2023-11-16,18,17,57
2023-11-17,30,5,83
2023-11-18,6,3,5
2023-11-19,4,0,9
2023-11-20,7,0,43
2023-11-21,8,2,62
2023-11-22,11,0,33
2023-11-23,13,4,39
2023-11-24,5,1,35
2023-11-25,8,0,2
2023-11-26,9,0,7
2023-11-27,22,0,60
2023-11-28,18,0,28
2023-11-29,20,4,67
2023-11-30,22,0,33
2023-12-01,9,0,43
2023-12-02,11,1,7
2023-12-03,3,0,7
2023-12-04,7,0,42
2023-12-05,9,0,62
2023-12-06,18,1,63
2023-12-07,19,1,39
2023-12-08,9,1,64
2023-12-09,12,0,6
2023-12-10,3,0,9
2023-12-11,7,0,24
2023-12-12,13,4,47
2023-12-13,12,3,41
2023-12-14,14,0,39
2023-12-15,8,1,67
2023-12-16,18,19,8
2023-12-17,6,0,5
2023-12-18,12,4,48
2023-12-19,14,8,63
2023-12-20,7,0,38
2023-12-21,11,0,4
2023-12-22,19,0,2
2023-12-23,9,0,1
2023-12-24,7,0,1
2023-12-25,8,0,0
2023-12-26,7,0,0
2023-12-27,8,0,0
2023-12-28,18,0,0
2023-12-29,3,1,2
2023-12-30,9,1,7
2023-12-31,1,2,1
2024-01-01,8,0,0
2024-01-02,21,0,2
2024-01-03,7,16,17
2024-01-04,9,0,26
2024-01-05,9,0,33
2024-01-06,5,1,1
2024-01-07,2,24,1
2024-01-08,4,0,55
2024-01-09,9,3,33
2024-01-10,2,1,36
2024-01-11,5,62,40
2024-01-12,14,5,37
2024-01-13,10,5,5
2024-01-14,9,1,10
2024-01-15,7,1,31
2024-01-16,17,12,34
2024-01-17,23,1,42
2024-01-18,14,20,60
2024-01-19,9,4,33
2024-01-20,5,20,4
2024-01-21,8,13,1
2024-01-22,23,5,62
2024-01-23,12,2,28
2024-01-24,17,1,39
2024-01-25,11,7,25
2024-01-26,8,1,29
2024-01-27,11,10,3
2024-01-28,15,6,0
2024-01-29,16,12,54
2024-01-30,1,8,47
2024-01-31,4,0,61
2024-02-01,12,1,47
2024-02-02,7,5,51
2024-02-03,12,3,4
2024-02-04,4,3,1
2024-02-05,10,1,24
2024-02-06,13,2,29
2024-02-07,5,0,55
2024-02-08,23,0,41
2024-02-09,11,5,60
2024-02-10,14,7,9
2024-02-11,13,3,3
2024-02-12,15,0,61
2024-02-13,9,0,90
2024-02-14,2,0,35
2024-02-15,14,6,59
2024-02-16,17,13,62
2024-02-17,6,1,3
2024-02-18,11,2,6
2024-02-19,9,0,48
2024-02-20,9,1,23
2024-02-21,9,0,50
2024-02-22,16,0,35
2024-02-23,5,0,52
2024-02-24,13,0,5
2024-02-25,9,0,1
2024-02-26,9,0,44
2024-02-27,8,0,44
2024-02-28,14,0,44
2024-02-29,10,0,31
2024-03-01,12,2,19
2024-03-02,6,1,4
2024-03-03,9,8,4
2024-03-04,5,1,47
2024-03-05,3,1,15
2024-03-06,11,0,40
2024-03-07,8,4,65
2024-03-08,26,0,40
2024-03-09,14,2,3
2024-03-10,14,2,0
2024-03-11,19,0,39
2024-03-12,13,0,67
2024-03-13,9,0,67
2024-03-14,17,0,51
2024-03-15,12,0,59
2024-03-16,17,4,4
2024-03-17,6,0,6
2024-03-18,12,5,63
2024-03-19,22,1,41
2024-03-20,7,4,77
2024-03-21,15,4,101
2024-03-22,3,2,69
2024-03-23,10,6,12
2024-03-24,7,0,11
2024-03-25,13,2,10
2024-03-26,9,1,66
2024-03-27,17,0,35
2024-03-28,20,0,70
2024-03-29,14,1,28
2024-03-30,6,0,12
2024-03-31,10,4,10
2024-04-01,21,1,71
2024-04-02,9,0,46
2024-04-03,7,0,54
2024-04-04,3,5,48
2024-04-05,16,3,37
2024-04-06,12,9,8
2024-04-07,5,0,8
2024-04-08,9,2,60
2024-04-09,20,0,56
2024-04-10,13,2,31
2024-04-11,10,0,25
2024-04-12,21,4,35
2024-04-13,15,2,13
2024-04-14,16,6,2
2024-04-15,10,8,18
2024-04-16,26,4,38
2024-04-17,5,0,52
2024-04-18,8,4,45
2024-04-19,6,4,66
2024-04-20,8,2,5
2024-04-21,11,1,2
2024-04-22,10,0,44
2024-04-23,10,0,34
2024-04-24,3,0,48
2024-04-25,12,0,30
2024-04-26,18,0,42
2024-04-27,7,0,12
2024-04-28,9,2,24
2024-04-29,12,0,33
2024-04-30,5,7,15
2024-05-01,7,0,22
2024-05-02,14,0,32
2024-05-03,9,0,54
2024-05-04,2,0,0
2024-05-05,5,1,1
2024-05-06,3,14,32
2024-05-07,15,3,23
2024-05-08,4,0,36
2024-05-09,3,1,33
2024-05-10,4,1,32
2024-05-11,11,2,2
2024-05-12,5,0,2
2024-05-13,2,2,56
2024-05-14,14,1,28
2024-05-15,13,4,39
2024-05-16,13,10,37
2024-05-17,10,2,15
2024-05-18,3,3,1
2024-05-19,6,1,3
2024-05-20,15,1,23
2024-05-21,14,1,26
2024-05-22,8,0,35
2024-05-23,11,0,27
2024-05-24,18,0,26
2024-05-25,15,0,7
2024-05-26,15,0,4
2024-05-27,15,0,33
2024-05-28,13,1,14
2024-05-29,1,0,45
2024-05-30,10,0,31
2024-05-31,13,0,37
2024-06-01,17,0,2
2024-06-02,9,0,1
2024-06-03,4,1,40
2024-06-04,16,0,52
2024-06-05,10,0,40
2024-06-06,4,1,31
2024-06-07,6,2,33
2024-06-08,4,1,5
2024-06-09,9,0,2
2024-06-10,6,0,12
2024-06-11,15,1,9
2024-06-12,12,0,13
2024-06-13,10,3,26
2024-06-14,21,0,16
2024-06-15,12,1,0
2024-06-16,10,5,3
2024-06-17,7,1,27
2024-06-18,8,1,49
2024-06-19,9,1,33
2024-06-20,7,1,49
2024-06-21,8,1,40
2024-06-22,3,1,1
2024-06-23,1,0,2
2024-06-24,10,0,39
2024-06-25,3,1,26
2024-06-26,2,2,35
2024-06-27,4,1,15
2024-06-28,3,3,33
2024-06-29,4,1,5
2024-06-30,0,0,0
2024-07-01,1,0,21
2024-07-02,4,0,25
2024-07-03,3,0,24
2024-07-04,15,0,27
2024-07-05,3,0,23
2024-07-06,12,0,0
2024-07-07,8,7,5
2024-07-08,18,0,44
2024-07-09,4,0,34
2024-07-10,12,4,21
2024-07-11,10,0,37
2024-07-12,11,0,37
2024-07-13,14,0,2
2024-07-14,11,1,3
2024-07-15,5,0,27
2024-07-16,20,8,30
2024-07-17,30,5,26
2024-07-18,10,1,35
2024-07-19,10,0,50
2024-07-20,3,0,18
2024-07-21,7,1,19
2024-07-22,3,1,51
2024-07-23,1,0,16
2024-07-24,4,0,55
2024-07-25,8,2,27
2024-07-26,7,2,38
2024-07-27,10,5,5
2024-07-28,2,2,2
2024-07-29,9,0,41
2024-07-30,14,4,29
2024-07-31,19,3,37
2024-08-01,19,1,20
2024-08-02,15,1,44
2024-08-03,11,1,17
2024-08-04,3,0,11
2024-08-05,9,0,38
2024-08-06,17,1,35
2024-08-07,4,1,46
2024-08-08,7,1,29
2024-08-09,1,11,42
2024-08-10,3,6,2
2024-08-11,2,0,6
2024-08-12,3,0,25
2024-08-13,4,1,55
2024-08-14,4,0,47
2024-08-15,5,0,56
2024-08-16,9,10,43
2024-08-17,10,4,9
2024-08-18,1,2,1
2024-08-19,3,0,31
2024-08-20,11,0,33
2024-08-21,5,0,46
2024-08-22,6,0,54
2024-08-23,3,1,55
2024-08-24,5,2,4
2024-08-25,1,0,4
2024-08-26,6,0,48
2024-08-27,2,3,15
2024-08-28,5,0,51
2024-08-29,7,0,34
2024-08-30,4,0,38
2024-08-31,11,1,2
2024-09-01,9,0,13
2024-09-02,8,1,49
2024-09-03,6,0,37
2024-09-04,2,1,61
2024-09-05,10,0,46
2024-09-06,4,0,46
2024-09-07,4,1,5
2024-09-08,7,7,1
2024-09-09,4,1,42
2024-09-10,8,3,59
2024-09-11,15,0,41
2024-09-12,7,1,64
2024-09-13,8,1,59
2024-09-14,5,4,4
2024-09-15,3,4,8
2024-09-16,7,2,47
2024-09-17,3,2,40
2024-09-18,6,7,44
2024-09-19,5,2,35
2024-09-20,4,1,51
2024-09-21,16,0,16
2024-09-22,4,2,3
2024-09-23,11,1,71
2024-09-24,3,0,18
2024-09-25,8,0,68
2024-09-26,10,0,41
2024-09-27,8,0,95
2024-09-28,5,1,13
2024-09-29,13,3,13
2024-09-30,5,0,53
2024-10-01,10,1,51
2024-10-02,9,0,32
2024-10-03,9,0,47
2024-10-04,8,1,64
2024-10-05,8,0,3
2024-10-06,9,0,6
2024-10-07,11,1,35
2024-10-08,6,0,23
2024-10-09,8,0,14
2024-10-10,4,0,20
2024-10-11,12,0,38
2024-10-12,7,0,4
2024-10-13,6,0,7
2024-10-14,7,0,36
2024-10-15,9,2,36
2024-10-16,8,1,41
2024-10-17,23,3,19
2024-10-18,5,3,41
2024-10-19,7,1,4
2024-10-20,11,2,3
2024-10-21,3,2,53
2024-10-22,18,1,23
2024-10-23,11,0,48
2024-10-24,14,0,46
2024-10-25,2,0,26
2024-10-26,0,1,6
2024-10-27,0,1,6
2024-10-28,0,3,29
2024-10-29,0,0,39
2024-10-30,0,0,74
2024-10-31,0,0,35
2024-11-01,0,0,32
2024-11-02,0,0,1
2024-11-03,0,0,0
2024-11-04,0,1,3
2024-11-05,0,2,0
2024-11-06,0,0,0
2024-11-07,0,0,0
2024-11-08,0,0,0
2024-11-09,0,0,0
2024-11-10,0,0,0
2024-11-11,0,1,0
2024-11-12,0,0,0
