,golang/go,rust-lang/rust,swiftlang/swift
2014-07-17,10,27,50
2014-07-18,12,36,54
2014-07-19,6,20,19
2014-07-20,6,17,22
2014-07-21,8,58,45
2014-07-22,7,31,66
2014-07-23,9,29,91
2014-07-24,4,48,73
2014-07-25,5,43,54
2014-07-26,5,23,15
2014-07-27,0,23,10
2014-07-28,4,23,49
2014-07-29,12,48,66
2014-07-30,11,21,60
2014-07-31,12,41,71
2014-08-01,5,29,64
2014-08-02,1,27,30
2014-08-03,1,18,26
2014-08-04,2,23,38
2014-08-05,16,23,24
2014-08-06,47,41,26
2014-08-07,42,24,19
2014-08-08,13,28,19
2014-08-09,0,28,8
2014-08-10,0,13,1
2014-08-11,10,15,7
2014-08-12,37,41,21
2014-08-13,38,50,26
2014-08-14,18,25,31
2014-08-15,12,21,23
2014-08-16,4,14,4
2014-08-17,0,24,0
2014-08-18,9,30,22
2014-08-19,23,34,28
2014-08-20,5,22,29
2014-08-21,19,36,61
2014-08-22,10,18,33
2014-08-23,4,25,5
2014-08-24,12,23,0
2014-08-25,35,16,15
2014-08-26,11,15,19
2014-08-27,9,23,29
2014-08-28,33,21,51
2014-08-29,25,30,46
2014-08-30,16,23,15
2014-08-31,1,35,6
2014-09-01,15,11,14
2014-09-02,17,21,20
2014-09-03,14,18,27
2014-09-04,23,24,38
2014-09-05,18,31,17
2014-09-06,8,19,10
2014-09-07,10,25,1
2014-09-08,28,24,23
2014-09-09,17,45,24
2014-09-10,4,25,39
2014-09-11,11,19,37
2014-09-12,17,26,32
2014-09-13,0,15,5
2014-09-14,3,35,0
2014-09-15,12,36,21
2014-09-16,23,22,37
2014-09-17,13,61,47
2014-09-18,14,30,52
2014-09-19,22,21,36
2014-09-20,0,18,4
2014-09-21,1,12,9
2014-09-22,7,43,27
2014-09-23,5,19,50
2014-09-24,21,34,26
2014-09-25,16,31,20
2014-09-26,21,21,15
2014-09-27,1,16,12
2014-09-28,1,9,29
2014-09-29,14,47,26
2014-09-30,22,37,37
2014-10-01,12,40,32
2014-10-02,9,67,32
2014-10-03,9,43,25
2014-10-04,4,22,12
2014-10-05,1,27,7
2014-10-06,18,25,26
2014-10-07,13,29,25
2014-10-08,13,23,25
2014-10-09,11,48,38
2014-10-10,2,12,34
2014-10-11,3,25,11
2014-10-12,1,23,3
2014-10-13,5,41,16
2014-10-14,6,22,23
2014-10-15,19,28,44
2014-10-16,10,27,17
2014-10-17,9,21,14
2014-10-18,2,17,7
2014-10-19,5,16,3
2014-10-20,16,15,24
2014-10-21,7,23,15
2014-10-22,10,20,8
2014-10-23,3,21,22
2014-10-24,9,19,29
2014-10-25,1,26,8
2014-10-26,1,21,12
2014-10-27,17,53,20
2014-10-28,21,41,20
2014-10-29,22,24,17
2014-10-30,16,45,9
2014-10-31,9,37,19
2014-11-01,2,18,14
2014-11-02,1,30,14
2014-11-03,8,76,18
2014-11-04,4,24,14
2014-11-05,8,34,15
2014-11-06,14,69,20
2014-11-07,4,40,25
2014-11-08,1,18,16
2014-11-09,7,31,15
