,facebook/react,emberjs/ember.js,angular/angular
2014-09-18,2,0,1.0
2014-09-19,4,5,4.5
2014-09-20,0,8,-2.625
2014-09-21,1,7,1.3125
2014-09-22,12,4,-0.3515625
2014-09-23,2,1,-0.97265625
2014-09-24,7,2,-0.4072265625
2014-09-25,6,0,6.74072265625
2014-09-26,4,8,4.312591552734375
2014-09-27,6,30,-2.0197296142578125
2014-09-28,0,4,-2.0447845458984375
2014-09-29,1,3,2.30926513671875
2014-09-30,1,7,1.148681640625
2014-10-01,0,6,0.9470977783203125
2014-10-02,0,11,3.85205078125
2014-10-03,2,5,3.284332275390625
2014-10-04,0,2,-4.6405792236328125
2014-10-05,0,1,-2.427825927734375
2014-10-06,0,1,3.7998809814453125
2014-10-07,11,0,7.7238311767578125
2014-10-08,14,3,-1.68682861328125
2014-10-09,6,8,2.41229248046875
2014-10-10,8,4,-5.292510986328125
2014-10-11,0,1,-0.9511260986328125
2014-10-12,2,3,12.363494873046875
2014-10-13,4,6,-7.8522186279296875
2014-10-14,4,8,-1.349151611328125
2014-10-15,12,10,-1.8367462158203125
2014-10-16,9,5,0.0025177001953125
2014-10-17,4,14,-1.1120147705078125
2014-10-18,1,3,1.4563446044921875
2014-10-19,1,11,-1.328521728515625
2014-10-20,6,7,-0.5037689208984375
2014-10-21,5,7,-0.321197509765625
2014-10-22,7,4,-0.111724853515625
2014-10-23,15,17,-0.0817108154296875
2014-10-24,6,1,-0.054107666015625
2014-10-25,0,11,-0.0431365966796875
2014-10-26,2,7,-0.02618408203125
2014-10-27,7,16,6.978179931640625
2014-10-28,30,14,4.5
2014-10-29,5,9,2.125
2014-10-30,9,8,-1.9375
2014-10-31,5,2,-2.1484375
2014-11-01,1,12,-1.81640625
2014-11-02,0,10,-0.9482421875
2014-11-03,2,6,-0.64794921875
2014-11-04,7,7,5.514801025390625
2014-11-05,5,11,6.6172332763671875
2014-11-06,10,11,3.002227783203125
2014-11-07,5,1,-3.2567596435546875
2014-11-08,5,7,-1.5301971435546875
2014-11-09,0,10,-2.5030975341796875
2014-11-10,0,9,-0.185546875
2014-11-11,3,12,0.7099609375
2014-11-12,1,16,2.29058837890625
2014-11-13,4,9,-2.770111083984375
2014-11-14,0,14,19.0196533203125
2014-11-15,6,21,-9.525161743164062
2014-11-16,4,9,-3.2903594970703125
2014-11-17,19,37,-0.563323974609375
2014-11-18,15,20,5.528900146484375
2014-11-19,9,10,-1.3124847412109375
2014-11-20,2,19,2.050811767578125
2014-11-21,7,18,-3.73797607421875
2014-11-22,0,8,-0.3912353515625
2014-11-23,0,15,-0.372894287109375
2014-11-24,5,26,0.9270782470703125
2014-11-25,13,31,8.488372802734375
2014-11-26,9,23,0.3950042724609375
2014-11-27,4,9,-4.6376190185546875
2014-11-28,1,15,-1.5991668701171875
2014-11-29,0,0,-0.9114837646484375
2014-11-30,2,3,-0.578033447265625
2014-12-01,8,5,2.5746307373046875
2014-12-02,8,32,2.1787261962890625
2014-12-03,8,19,5.375579833984375
2014-12-04,2,4,1.124847412109375
2014-12-05,3,17,-0.432647705078125
2014-12-06,1,5,2.51171875
