,jackc/pgx,go-pg/pg,lib/pq
2013-04-27,0.0,1,0
2013-04-28,0.0,0,0
2013-04-29,0.0,1,0
2013-04-30,0.0,0,0
2013-05-01,1.0,0,1
2013-05-02,0.2999999999999998,0,0
2013-05-03,0.19499999999999984,0,0
2013-05-04,-0.8505000000000001,0,0
2013-05-05,-0.17666249999999994,0,0
2013-05-06,-0.08892974999999996,0,3
2013-05-07,1.9441953875,0,0
2013-05-08,-1.4390116512500004,0,0
2013-05-09,-0.2391229130156249,0,0
2013-05-10,-0.11373284339218745,0,0
2013-05-11,-0.06568830464218747,0,0
2013-05-12,-0.04051929287656249,0,0
2013-05-13,-0.024749724999999983,1,0
2013-05-14,-0.01873907749999999,0,0
2013-05-15,-0.014757023531249974,2,0
2013-05-16,-0.011969585753125008,0,0
2013-05-17,0.0,0,0
2013-05-18,0.0,0,0
2013-05-19,0.0,0,0
2013-05-20,0.0,0,0
2013-05-21,0.0,0,0
2013-05-22,0.0,0,0
2013-05-23,0.0,0,0
2013-05-24,0.0,0,0
2013-05-25,0.0,0,0
2013-05-26,0.0,0,0
2013-05-27,0.0,0,0
2013-05-28,0.0,0,0
2013-05-29,0.0,0,0
2013-05-30,0.0,0,0
2013-05-31,0.0,0,0
2013-06-01,0.0,0,0
2013-06-02,0.0,0,0
2013-06-03,0.0,0,0
2013-06-04,0.0,0,0
2013-06-05,0.0,0,0
2013-06-06,0.0,0,1
2013-06-07,1.0,2,5
2013-06-08,-0.7000000000000002,0,0
2013-06-09,-0.10499999999999997,0,0
2013-06-10,-0.045499999999999985,0,0
2013-06-11,-0.026162499999999988,0,0
2013-06-12,-0.01726724999999999,0,0
2013-06-13,-0.012374862499999991,0,0
2013-06-14,-0.009369538749999995,1,0
2013-06-15,-0.007378511765624987,0,0
2013-06-16,-0.005984792876562504,0,0
2013-06-17,0.0,0,0
2013-06-18,0.0,0,0
2013-06-19,0.0,0,0
2013-06-20,0.0,0,0
2013-06-21,0.0,0,0
2013-06-22,0.0,0,0
2013-06-23,0.0,0,0
2013-06-24,0.0,0,0
2013-06-25,0.0,0,0
2013-06-26,0.0,0,0
2013-06-27,0.0,0,0
2013-06-28,0.0,0,0
2013-06-29,11.0,0,0
2013-06-30,-4.700000000000002,0,0
2013-07-01,1.745,0,0
2013-07-02,-4.3155,0,0
2013-07-03,-0.9492874999999996,0,0
2013-07-04,-0.4959272499999998,0,0
2013-07-05,-0.31873773749999984,0,0
2013-07-06,-0.22652576374999986,0,0
2013-07-07,-0.1711465581718748,0,0
2013-07-08,6.865184049310938,0,0
2013-07-09,0.04515306254218654,0,0
2013-07-10,-2.264923964382813,0,0
2013-07-11,-1.2435,0,0
2013-07-12,2.6793625,0,0
2013-07-13,0.7523167499999994,0,0
2013-07-14,0.5092147124999995,0,0
2013-07-15,1.4098419162499995,0,0
2013-07-16,-2.3471642511093753,0,1
2013-07-17,-1.3906190489640622,0,3
2013-07-18,0.5852310233359375,0,0
2013-07-19,1.09779279748125,0,5
2013-07-20,2.3833623050609374,0,0
2013-07-21,-2.119502686068751,0,0
2013-07-22,-1.2561428873187501,0,0
2013-07-23,-0.342467670334375,0,0
2013-07-24,-1.1574145016640625,0,0
2013-07-25,2.63562698748125,2,0
2013-07-26,4.6830782548421865,0,0
2013-07-27,-3.3641322898000006,0,0
2013-07-28,-2.3747281274578125,0,0
2013-07-29,-0.6734128891640623,0,0
2013-07-30,5.64534311373125,1,0
