,NativeScript/NativeScript,ionic-team/ionic-framework,flutter/flutter
2015-06-16,3,6,10.0
2015-06-17,19,7,9.0
2015-06-18,33,21,10.549999999999999
2015-06-19,1,19,2.0649999999999986
2015-06-20,0,3,-1.4316250000000001
2015-06-21,0,2,-0.8897924999999991
2015-06-22,0,8,9.345262375
2015-06-23,2,13,9.481391912500001
2015-06-24,2,9,8.02096875734375
2015-06-25,9,24,10.854555939484374
2015-06-26,14,10,8.486691933453125
2015-06-27,0,8,-2.4975144824937496
2015-06-28,0,0,-1.4146247851437488
2015-06-29,9,10,0.0010009000000020807
2015-06-30,5,11,1.1138608360937523
2015-07-01,9,7,1.1064326564687517
2015-07-02,4,7,0.20442930319843866
2015-07-03,4,12,-0.5980697533124992
2015-07-04,0,2,-0.3738782761390618
2015-07-05,0,2,-0.20760789039531197
2015-07-06,22,5,7.909686278750001
2015-07-07,18,7,0.12580351948437452
2015-07-08,6,2,3.4771151164328122
2015-07-09,10,3,1.2799719726468746
2015-07-10,9,0,1.3998339819125003
2015-07-11,0,0,-0.5619953525359374
2015-07-12,0,0,-0.3510628499999994
2015-07-13,6,5,-0.26470358249999937
2015-07-14,11,4,0.7861532496250007
2015-07-15,23,1,-0.27969144330312457
2015-07-16,17,9,7.859816477901563
2015-07-17,4,24,17.096580571325
2015-07-18,0,5,5.783403168896873
2015-07-19,0,7,-1.8709144550718764
2015-07-20,12,30,8.9485379875
2015-07-21,6,23,32.26004730375
2015-07-22,10,14,24.579734086984374
2015-07-23,6,13,25.82200135246406
2015-07-24,14,7,16.037845863374997
2015-07-25,0,0,0.38663747543125027
2015-07-26,0,1,-3.980027974771872
2015-07-27,11,12,16.369440542212505
2015-07-28,12,11,11.120238584843754
2015-07-29,8,3,13.027405753359378
2015-07-30,10,7,26.790288577575
2015-07-31,11,3,7.451694680473437
2015-08-01,0,2,-0.3330852424578117
2015-08-02,0,3,-0.9537766213843728
2015-08-03,25,2,14.876374218534378
2015-08-04,12,0,14.755810646453128
2015-08-05,1,0,9.186114132832813
2015-08-06,6,9,13.496053144445312
2015-08-07,13,14,35.18223970215469
2015-08-08,0,0,0.8631389421828111
2015-08-09,0,0,-3.891613940029687
2015-08-10,5,6,24.534478652575004
2015-08-11,8,3,45.4704260286625
2015-08-12,7,19,3.328826858857812
2015-08-13,11,9,24.7902040114
2015-08-14,4,1,10.725477854517187
2015-08-15,0,0,-5.425377824470309
2015-08-16,0,0,-3.4030327775109335
2015-08-17,0,0,23.701918358498443
2015-08-18,6,10,15.607423598578128
2015-08-19,2,7,24.33393954699844
2015-08-20,1,6,20.377240830031248
2015-08-21,1,8,11.419745395385938
2015-08-22,0,3,4.056587602656251
2015-08-23,1,1,-3.8125403181109347
2015-08-24,4,8,18.554212897500005
2015-08-25,7,3,45.020853574093756
2015-08-26,3,6,35.62138680750313
2015-08-27,6,2,15.793800806828122
2015-08-28,18,24,18.03519368930156
2015-08-29,0,4,4.3627109965500015
2015-08-30,0,0,0.9074941772484424
2015-08-31,5,23,20.050083843426567
2015-09-01,12,20,9.80264327292188
2015-09-02,8,8,16.18065327022969
2015-09-03,12,19,23.821460493567187
2015-09-04,26,27,18.12198478482969
2015-09-05,3,3,-1.642022520003124
2015-09-06,0,4,-2.6798369840703105
2015-09-07,7,3,-1.5151404034890583
2015-09-08,0,17,7.05487391615938
2015-09-09,8,18,9.597284860153128
2015-09-10,11,6,9.316847647382815
2015-09-11,6,14,18.193967009292187
2015-09-12,1,3,-2.714822283417188
2015-09-13,1,3,-2.044102171674999
2015-09-14,7,16,9.742433468090626
2015-09-15,6,26,1.9684319181984398
2015-09-16,7,4,27.36030357532344
2015-09-17,7,6,19.99044720348906
2015-09-18,21,17,19.49197687963125
2015-09-19,1,6,5.120751249990623
2015-09-20,0,0,-2.758405853770311
2015-09-21,6,6,11.619636688714065
2015-09-22,0,29,24.85597340932813
2015-09-23,5,12,27.17980687879219
2015-09-24,5,14,20.065956502403125
2015-09-25,10,10,32.985533179082815
2015-09-26,0,0,3.6585045517624994
2015-09-27,0,3,-2.201086462268748
2015-09-28,5,27,1.4231340641250037
2015-09-29,11,20,20.952463870245317
2015-09-30,17,16,30.35095194505938
2015-10-01,22,15,35.695119772493754
2015-10-02,5,26,9.294361539193748
2015-10-03,0,6,9.08296518020625
2015-10-04,0,10,-4.103887343323436
2015-10-05,11,31,22.816139651807816
2015-10-06,6,48,31.099376729814065
2015-10-07,7,35,6.404860081195314
2015-10-08,6,27,18.850433378590626
2015-10-09,18,40,17.35380624083594
2015-10-10,1,7,6.391633915975003
2015-10-11,0,3,-0.4074267095953106
2015-10-12,10,10,21.801262596445316
2015-10-13,12,9,21.288306281557816
2015-10-14,17,3,13.519428964253127
2015-10-15,20,6,14.945727242003127
2015-10-16,12,23,12.071046740907814
2015-10-17,0,0,-0.6890598152218725
2015-10-18,0,19,0.7719585379859408
2015-10-19,10,9,24.457417536256255
2015-10-20,10,14,13.521084924465626
2015-10-21,17,7,15.581597319445313
2015-10-22,13,3,11.42758674926875
2015-10-23,6,3,22.772460155254688
2015-10-24,0,0,-0.22473845698437422
2015-10-25,0,0,-3.4551543676734355
2015-10-26,4,9,35.744250314043754
2015-10-27,2,18,16.486877855934377
2015-10-28,10,11,17.720070472248437
2015-10-29,20,23,25.670997166540623
2015-10-30,20,38,6.76641507978125
2015-10-31,0,10,-0.8657060732468729
2015-11-01,0,0,-2.473073058548434
2015-11-02,29,33,16.585158254820318
2015-11-03,14,24,35.262384750406255
2015-11-04,6,10,25.731495566040625
2015-11-05,8,20,14.498513798599998
2015-11-06,30,13,14.253138336939061
2015-11-07,0,2,8.588654954682815
2015-11-08,0,2,-0.5968835187796842
2015-11-09,18,8,11.68308906059063
2015-11-10,27,5,26.12526289641719
2015-11-11,9,7,18.435247051707815
2015-11-12,12,23,21.384266363348438
2015-11-13,5,13,21.114755545521874
2015-11-14,0,7,-2.036328211067186
2015-11-15,0,0,-3.907640905437497
2015-11-16,9,22,16.38868749368438
2015-11-17,10,32,27.16714095712188
2015-11-18,10,14,18.49254252399219
2015-11-19,2,12,18.462523775296873
2015-11-20,2,18,27.431817738965627
2015-11-21,0,2,2.4597559951078125
2015-11-22,0,6,5.42036024196719
2015-11-23,20,15,11.119399973606253
2015-11-24,7,21,16.88324466895313
2015-11-25,15,25,15.183851838332815
2015-11-26,6,1,14.08522518651094
2015-11-27,11,0,-2.7853670619874986
2015-11-28,0,4,-1.049453931628122
2015-11-29,0,5,1.7451541491734415
2015-11-30,7,13,13.123996990770316
2015-12-01,10,21,13.19173565815625
2015-12-02,10,18,16.738571976132814
2015-12-03,5,28,19.13277008268281
2015-12-04,10,38,34.571309084484376
2015-12-05,0,13,20.669098483285936
2015-12-06,0,5,-6.059357303603125
2015-12-07,3,32,26.44385889911563
2015-12-08,10,51,26.436117754621876
2015-12-09,3,36,19.45988324121094
2015-12-10,10,49,21.5756263478625
2015-12-11,4,38,2.3220482586718765
2015-12-12,8,7,2.088429885314067
2015-12-13,0,0,-3.9367210753234327
2015-12-14,11,28,24.450150194029693
2015-12-15,9,24,25.47900850453125
2015-12-16,9,33,20.280187704921875
2015-12-17,3,28,5.221061722943749
2015-12-18,7,18,1.638852215878126
2015-12-19,0,11,-3.289965811896872
2015-12-20,0,0,1.8978302985671922
2015-12-21,4,7,5.029494858498442
2015-12-22,6,6,0.8853730860781281
2015-12-23,2,6,-1.77273714893906
2015-12-24,0,1,0.881105551765627
2015-12-25,0,0,0.11521171339375158
2015-12-26,0,0,2.4327499440109386
2015-12-27,0,0,-0.6372522377156247
2015-12-28,1,4,3.6397598366875004
2015-12-29,0,11,1.3277493099968751
2015-12-30,0,10,2.428074818201563
2015-12-31,0,8,3.3871037873921876
2016-01-01,0,7,-0.74436635978125
2016-01-02,0,4,9.5690608931625
2016-01-03,0,2,-1.297972841582813
2016-01-04,2,19,7.323104382392188
2016-01-05,0,24,6.7505863179375
2016-01-06,0,21,13.494713825075
2016-01-07,1,19,27.66095507088125
2016-01-08,3,22,11.736610065329685
2016-01-09,0,3,1.1837336273562489
2016-01-10,0,14,4.2851492698437506
2016-01-11,11,13,27.479339554640628
2016-01-12,16,13,18.365671238375
2016-01-13,10,6,6.084316356837499
2016-01-14,4,19,11.030660146978125
2016-01-15,8,15,10.96046636899219
2016-01-16,0,2,5.000098846921878
2016-01-17,0,1,-3.2552122044031226
2016-01-18,6,3,10.93576862121094
2016-01-19,13,18,14.14603274052969
2016-01-20,12,15,22.495788628312503
2016-01-21,3,11,18.457188567251563
2016-01-22,5,13,16.256111870620312
2016-01-23,0,6,0.1938690004765622
2016-01-24,2,0,4.705086482320315
2016-01-25,8,15,9.038665063426565
2016-01-26,16,5,13.837709019546878
2016-01-27,5,40,16.22722695576719
2016-01-28,3,21,13.724002342232813
2016-01-29,4,12,9.701396950956251
2016-01-30,0,3,0.12046373709531366
2016-01-31,0,7,6.29885406166719
2016-02-01,10,32,9.351320665695315
2016-02-02,8,41,14.067779837275001
2016-02-03,12,21,22.472977798303127
