,apache/mxnet,tensorflow/tensorflow,pytorch/pytorch
2016-12-25,0,4.0,4
2016-12-26,2,2.5999999999999996,4
2016-12-27,2,25.52,24
2016-12-28,2,22.150999999999996,17
2016-12-29,110,24.161849999999998,36
2016-12-30,14,9.207545499999997,23
2016-12-31,6,0.9892766999999996,34
2017-01-01,8,2.052541177500002,10
2017-01-02,1,-2.519235415812496,8
2017-01-03,6,26.21216923580938,27
2017-01-04,8,47.808701547735936,72
2017-01-05,2,25.403634088675,35
2017-01-06,6,41.78241036216406,6
2017-01-07,8,3.064047203024998,1
2017-01-08,5,3.9078870181687524,0
2017-01-09,6,22.08519432224219,9
2017-01-10,6,46.92664234232032,9
2017-01-11,7,37.8831978680625,8
2017-01-12,4,41.001723263431245,8
2017-01-13,3,46.101415072365626,22
2017-01-14,2,-1.8755187014515613,4
2017-01-15,4,1.163499919551568,2
2017-01-16,4,3.0206394281625073,16
2017-01-17,1,45.861369784468764,22
2017-01-18,3,34.186664280451566,29
2017-01-19,8,58.59050688261094,16
2017-01-20,6,50.83379590576406,17
2017-01-21,8,-2.987468646223439,4
2017-01-22,7,-1.2761608534546838,9
2017-01-23,2,14.015220503750008,11
2017-01-24,4,47.70887396378595,25
2017-01-25,8,40.342900324629696,20
2017-01-26,8,26.270837928495315,13
2017-01-27,12,41.14261381714219,20
2017-01-28,6,3.994893257571876,17
2017-01-29,5,0.28136353632969247,11
2017-01-30,3,26.417560683531256,8
2017-01-31,2,38.85507429943594,54
2017-02-01,2,61.873763021437505,23
2017-02-02,4,41.497265663528125,16
2017-02-03,1,58.766687095375,7
2017-02-04,6,4.909845948623435,4
2017-02-05,2,-2.9242081445671833,0
2017-02-06,5,58.998455602835946,9
2017-02-07,8,121.3879682482125,19
2017-02-08,3,50.78631646138125,12
2017-02-09,1,36.98388432423749,20
2017-02-10,3,58.887219645854685,15
2017-02-11,0,22.75387942270001,5
2017-02-12,2,-5.277530426098426,2
2017-02-13,2,17.172485245707826,9
2017-02-14,2,84.2186261344672,32
2017-02-15,4,44.75477073030001,14
2017-02-16,3,34.67616565736094,35
2017-02-17,0,24.391978285339064,25
2017-02-18,5,-0.9076935781484323,5
2017-02-19,7,0.5217489354296987,0
2017-02-20,0,2.546925357671885,9
2017-02-21,5,23.6108631657547,26
2017-02-22,7,62.13776946181095,18
2017-02-23,3,31.747252730168753,63
2017-02-24,7,27.88039849952656,8
2017-02-25,3,6.5302094573593745,8
2017-02-26,0,-6.071307468287495,14
2017-02-27,2,41.43641292621407,15
2017-02-28,11,30.029204206285943,34
2017-03-01,4,54.47396117097344,19
2017-03-02,4,36.51950376462969,27
2017-03-03,7,40.692297307848435,25
2017-03-04,1,8.402546793860937,9
2017-03-05,6,9.28903032413438,10
2017-03-06,4,14.656428293909382,14
2017-03-07,1,40.872637503745324,21
2017-03-08,1,36.36505642500313,16
2017-03-09,5,28.779857813650004,16
2017-03-10,8,33.08880431048594,16
2017-03-11,6,7.928144151462503,7
2017-03-12,4,-2.687936399681244,5
2017-03-13,7,34.701247397500005,21
2017-03-14,5,48.24532702300938,18
2017-03-15,10,45.72487245445937,25
2017-03-16,7,49.50467798830625,15
2017-03-17,5,31.403459661987497,17
2017-03-18,6,1.4527406964265648,1
2017-03-19,3,-6.193467274576555,3
2017-03-20,5,41.41820803927501,8
2017-03-21,7,25.16418177669532,7
2017-03-22,8,53.154341117187506,28
2017-03-23,8,40.4176519578625,26
2017-03-24,7,27.324397366534377,34
2017-03-25,2,0.4291098963703135,4
2017-03-26,2,-2.3007840607843697,4
2017-03-27,4,37.72257764225157,19
2017-03-28,6,53.85785263569376,19
2017-03-29,11,43.77435672077969,27
2017-03-30,5,43.234916164309375,12
2017-03-31,7,65.69321132470938,20
2017-04-01,3,3.185659489271874,4
2017-04-02,4,-8.067417710823431,3
2017-04-03,10,27.31083859327657,18
2017-04-04,4,22.63375217264845,15
2017-04-05,8,21.395518452735946,17
2017-04-06,4,27.620797158162503,31
2017-04-07,2,33.34132286216406,20
2017-04-08,6,6.702217137804691,12
2017-04-09,3,-3.932530199584371,5
2017-04-10,10,39.60012346832188,6
2017-04-11,5,41.48008669364688,33
2017-04-12,12,25.63817447279375,32
2017-04-13,12,26.221553090917187,12
2017-04-14,12,30.298047462859376,13
2017-04-15,6,-1.1153125154499968,3
2017-04-16,2,3.81633729649063,3
2017-04-17,7,33.94507842287813,21
2017-04-18,5,37.60161236595469,44
2017-04-19,8,32.97880009440313,32
2017-04-20,7,45.67990841394219,26
2017-04-21,6,15.193693951945312,7
2017-04-22,2,7.282140508632814,8
2017-04-23,0,-2.9589359530265575,4
2017-04-24,10,11.137840333306258,23
2017-04-25,9,22.83118016078126,23
2017-04-26,9,33.66838923539532,18
2017-04-27,12,51.21129887047656,11
2017-04-28,4,39.72889567513125,40
2017-04-29,0,10.427721782117185,7
2017-04-30,5,0.06430084081562626,3
2017-05-01,8,43.2475521173625,68
2017-05-02,4,39.133694336606254,25
2017-05-03,3,21.904649007487503,27
2017-05-04,9,42.80921915461875,18
2017-05-05,1,30.11903185564063,13
2017-05-06,8,18.55426757834844,4
2017-05-07,1,-1.0163693826249958,4
2017-05-08,8,3.7080238763703193,25
2017-05-09,5,-3.3614534780531162,26
2017-05-10,11,60.95175502098907,24
2017-05-11,11,80.666468594275,8
2017-05-12,9,65.0795855332875,12
2017-05-13,7,-7.261046956759383,1
2017-05-14,5,-3.1374997264265616,2
2017-05-15,6,36.423912034832824,12
2017-05-16,11,41.07856284455626,9
2017-05-17,19,54.44668021735938,17
2017-05-18,13,46.0946212989125,11
2017-05-19,19,51.37604031000781,15
2017-05-20,11,-3.413160351468747,6
2017-05-21,5,1.7720154305359443,3
2017-05-22,5,37.02609348786876,6
2017-05-23,13,49.62550305011251,13
2017-05-24,10,43.19440844642344,23
2017-05-25,11,38.6344863859375,32
2017-05-26,18,50.68073747349219,16
2017-05-27,3,18.524990058114064,1
2017-05-28,0,-3.9281618167578074,1
2017-05-29,0,1.6619710564328205,0
2017-05-30,5,26.8574763331672,15
2017-05-31,6,56.20344883924688,15
2017-06-01,6,38.78135168827031,16
2017-06-02,7,29.810712132976562,44
2017-06-03,7,1.5208091831828128,5
2017-06-04,1,-5.355680462514057,2
2017-06-05,3,26.156971848990633,19
2017-06-06,5,77.46163243885782,24
2017-06-07,3,50.479822062660936,36
2017-06-08,4,32.81791250831406,13
2017-06-09,8,42.86950109066875,10
2017-06-10,4,-1.572461090437498,5
2017-06-11,0,1.5690730098390695,70
2017-06-12,5,11.40223325978751,8
2017-06-13,4,66.48419931894377,30
2017-06-14,7,87.12283308932344,20
2017-06-15,2,16.37556270199687,29
2017-06-16,6,50.90720196026719,13
2017-06-17,2,-8.571219216262499,49
2017-06-18,2,-6.412651770148427,0
2017-06-19,7,26.15349529694845,20
2017-06-20,7,47.364812526609384,18
2017-06-21,2,52.502043712962504,29
2017-06-22,6,55.43541326257969,32
2017-06-23,5,25.19211284317656,18
2017-06-24,1,-2.3694318599203115,13
2017-06-25,1,-4.8014998173421795,0
2017-06-26,2,41.623054893789075,13
2017-06-27,6,50.24437969717813,16
2017-06-28,11,30.696044039240626,17
2017-06-29,1,32.26603130803906,17
2017-06-30,5,33.37812698892344,10
2017-07-01,6,3.4078097661968787,2
2017-07-02,0,-0.48977899229218114,4
2017-07-03,4,-0.5516480731203064,17
2017-07-04,2,11.501589876907822,17
2017-07-05,5,18.98590968288907,10
2017-07-06,4,65.41366906497345,7
2017-07-07,1,43.711290173818746,13
2017-07-08,1,1.2802139832671848,5
2017-07-09,0,-5.05423983005,3
2017-07-10,6,30.416537692137506,18
2017-07-11,7,32.207914777170316,25
2017-07-12,29,38.95390663157032,30
2017-07-13,9,35.4503517383,45
2017-07-14,9,30.88015256752813,32
2017-07-15,2,0.8931204371046899,4
2017-07-16,4,-1.8784063731281204,3
2017-07-17,2,15.127679537287507,11
2017-07-18,3,44.48612634813126,20
2017-07-19,3,32.28860741738281,31
2017-07-20,10,34.98327844561406,19
2017-07-21,6,41.41122241135781,19
2017-07-22,1,1.437950080992188,4
2017-07-23,1,-5.170313128395309,6
2017-07-24,1,36.21635975702657,10
2017-07-25,5,75.37738765200783,60
2017-07-26,3,29.04773295225,26
2017-07-27,4,34.6901452670625,24
2017-07-28,5,36.77602261458907,8
2017-07-29,2,-1.459756105378121,6
2017-07-30,5,0.21849360947969476,2
2017-07-31,7,35.08741005978751,8
2017-08-01,14,24.639149647537508,22
2017-08-02,7,44.43686024822969,16
2017-08-03,19,40.47897196536094,19
2017-08-04,7,95.14139174977187,18
2017-08-05,3,-5.810008553903128,0
2017-08-06,2,-7.0776853843812475,11
2017-08-07,4,25.226301761765633,11
2017-08-08,7,27.816150457321886,13
2017-08-09,7,43.019501177760944,24
2017-08-10,8,58.28349369273594,16
2017-08-11,2,34.77061266179844,7
2017-08-12,7,-3.25068535523906,5
2017-08-13,2,-7.131148300731244,1
2017-08-14,3,27.913293453057822,18
2017-08-15,5,28.879463960892195,22
2017-08-16,5,39.828659882787505,32
2017-08-17,2,50.27663414064375,19
2017-08-18,5,37.36811128755313,17
